Fecha;NO;NO2;PM10
01/01/2015;29;40;Sense dades
02/01/2015;24;42;Sense dades
03/01/2015;11;38;Sense dades
04/01/2015;14;33;Sense dades
05/01/2015;64;44;Sense dades
06/01/2015;20;27;Sense dades
07/01/2015;65;43;24
08/01/2015;36;34;16
09/01/2015;23;34;15
10/01/2015;16;33;Sense dades
11/01/2015;18;27;22
12/01/2015;69;49;35
13/01/2015;52;47;28
14/01/2015;80;56;29
15/01/2015;86;54;Sense dades
16/01/2015;65;40;15
17/01/2015;21;34;Sense dades
18/01/2015;29;41;Sense dades
19/01/2015;30;50;13
20/01/2015;10;34;17
21/01/2015;24;40;21
22/01/2015;42;41;18
23/01/2015;26;40;Sense dades
24/01/2015;6;24;Sense dades
25/01/2015;6;28;Sense dades
26/01/2015;32;50;23
27/01/2015;66;49;32
28/01/2015;66;56;25
29/01/2015;27;33;26
30/01/2015;4;22;Sense dades
31/01/2015;3;18;Sense dades
01/02/2015;2;13;Sense dades
02/02/2015;42;45;20
03/02/2015;52;54;15
04/02/2015;15;37;Sense dades
05/02/2015;14;39;13
06/02/2015;21;41;18
07/02/2015;18;33;Sense dades
08/02/2015;7;27;Sense dades
09/02/2015;38;50;28
10/02/2015;61;65;31
11/02/2015;76;68;Sense dades
12/02/2015;82;65;43
13/02/2015;49;55;37
14/02/2015;33;37;Sense dades
15/02/2015;21;32;Sense dades
16/02/2015;41;54;26
17/02/2015;53;62;25
18/02/2015;36;54;Sense dades
19/02/2015;48;54;34
20/02/2015;48;53;36
21/02/2015;26;46;Sense dades
22/02/2015;8;33;Sense dades
23/02/2015;31;43;13
24/02/2015;3;16;17
25/02/2015;12;36;Sense dades
26/02/2015;56;58;27
27/02/2015;44;50;19
28/02/2015;15;47;Sense dades
01/03/2015;16;42;Sense dades
02/03/2015;12;41;19
03/03/2015;40;47;21
04/03/2015;48;53;Sense dades
05/03/2015;20;42;21
06/03/2015;33;40;22
07/03/2015;17;46;Sense dades
08/03/2015;13;44;Sense dades
09/03/2015;32;66;32
10/03/2015;29;54;32
11/03/2015;37;71;47
12/03/2015;32;57;40
13/03/2015;32;53;Sense dades
14/03/2015;7;34;Sense dades
15/03/2015;12;38;33
16/03/2015;46;50;23
17/03/2015;28;45;18
18/03/2015;13;48;Sense dades
19/03/2015;27;52;23
20/03/2015;6;30;18
21/03/2015;5;23;Sense dades
22/03/2015;6;29;Sense dades
23/03/2015;13;45;22
24/03/2015;13;47;12
25/03/2015;21;40;Sense dades
26/03/2015;27;43;15
27/03/2015;33;51;20
28/03/2015;12;35;Sense dades
29/03/2015;14;37;Sense dades
30/03/2015;4;23;25
31/03/2015;7;36;30
01/04/2015;27;36;22
02/04/2015;19;47;27
03/04/2015;17;38;Sense dades
04/04/2015;10;36;Sense dades
05/04/2015;4;20;Sense dades
06/04/2015;3;22;Sense dades
07/04/2015;19;50;23
08/04/2015;26;45;18
09/04/2015;26;56;19
10/04/2015;26;56;20
11/04/2015;25;42;Sense dades
12/04/2015;7;41;Sense dades
13/04/2015;24;71;25
14/04/2015;28;72;Sense dades
15/04/2015;22;55;Sense dades
16/04/2015;24;47;31
17/04/2015;16;47;26
18/04/2015;18;45;Sense dades
19/04/2015;4;25;Sense dades
20/04/2015;22;43;16
21/04/2015;21;43;Sense dades
22/04/2015;28;59;21
23/04/2015;22;51;21
24/04/2015;20;41;27
25/04/2015;8;39;Sense dades
26/04/2015;6;28;Sense dades
27/04/2015;3;19;11
28/04/2015;7;32;17
29/04/2015;19;39;16
30/04/2015;9;30;23
01/05/2015;4;29;Sense dades
02/05/2015;11;34;Sense dades
