Fecha;NO;NO2;NOX;O3;dd;vv;TMP;HR;RS;PRB;PM10
01/01/2014;3;6;11;63;172;1;11;63;136;936;11
02/01/2014;3;6;11;62;219;1;12;68;37;934;17
03/01/2014;3;6;11;57;193;1;14;64;144;936;12
04/01/2014;3;5;9;70;221;2;12;56;139;933;16
05/01/2014;3;6;10;74;213;1;10;47;149;938;10
06/01/2014;3;5;10;49;190;1;9;64;153;936;11
07/01/2014;4;8;13;66;148;1;10;34;143;937;12
08/01/2014;3;10;15;65;139;0;10;43;159;938;19
09/01/2014;3;10;15;69;119;0;9;51;128;936;
10/01/2014;4;12;18;61;96;0;7;77;86;932;26
11/01/2014;3;9;13;39;185;0;8;83;83;934;23
12/01/2014;3;7;11;50;188;0;10;68;150;939;22
13/01/2014;3;9;13;54;188;0;8;67;32;936;14
14/01/2014;2;4;7;76;242;2;10;55;80;932;4
15/01/2014;2;6;9;58;227;1;12;64;148;933;7
16/01/2014;3;8;12;43;179;1;10;77;43;928;11
17/01/2014;2;6;10;65;211;1;7;65;136;922;9
18/01/2014;2;5;9;65;212;1;8;73;110;914;6
19/01/2014;2;5;8;69;216;1;6;69;84;915;5
20/01/2014;2;5;9;75;234;1;7;47;154;930;7
21/01/2014;2;6;9;66;213;1;6;59;172;933;9
22/01/2014;2;6;9;65;181;1;9;67;90;929;6
23/01/2014;2;5;8;76;115;1;9;53;173;937;5
24/01/2014;2;5;9;82;224;1;12;42;171;940;6
25/01/2014;2;4;8;71;214;2;16;45;106;938;8
26/01/2014;2;5;8;70;204;1;15;42;169;939;6
27/01/2014;2;4;7;76;237;2;13;45;189;930;8
28/01/2014;2;6;10;78;228;1;8;50;177;925;7
29/01/2014;3;6;10;82;227;2;8;56;104;916;7
30/01/2014;3;6;10;77;246;2;7;49;191;923;6
31/01/2014;3;7;12;73;220;1;9;55;83;928;7
01/02/2014;3;7;11;67;214;1;10;59;117;928;7
02/02/2014;3;6;10;74;263;1;7;42;192;933;7
03/02/2014;3;8;12;64;198;1;5;56;120;928;12
04/02/2014;3;7;11;73;215;1;8;50;130;931;11
05/02/2014;3;7;11;74;225;2;12;59;162;928;11
06/02/2014;3;6;10;67;223;2;14;56;198;931;9
07/02/2014;3;6;10;81;237;2;10;47;207;933;8
08/02/2014;3;6;10;71;220;2;11;58;188;929;11
09/02/2014;3;7;11;72;210;2;10;60;89;925;13
10/02/2014;3;6;10;83;248;3;8;48;145;922;8
11/02/2014;3;8;12;74;209;1;6;54;75;933;10
12/02/2014;3;7;11;66;222;1;11;64;198;935;9
13/02/2014;3;5;9;55;240;1;15;59;148;936;5
14/02/2014;3;6;11;57;218;2;15;54;195;932;9
15/02/2014;3;6;11;62;214;2;14;44;207;928;41
16/02/2014;3;6;10;59;99;0;8;82;67;931;10
17/02/2014;3;8;13;49;80;0;8;83;29;929;16
18/02/2014;3;10;15;47;129;0;9;80;69;927;39
19/02/2014;3;7;11;73;149;1;10;52;225;935;12
20/02/2014;3;8;13;73;169;1;12;46;221;936;12
21/02/2014;3;7;11;64;211;1;11;57;180;934;8
22/02/2014;3;7;11;80;234;1;10;44;237;939;9
23/02/2014;3;8;12;79;180;1;9;46;242;935;12
24/02/2014;3;10;15;72;188;1;6;63;74;932;14
25/02/2014;3;8;13;77;184;1;10;52;208;936;6
26/02/2014;2;9;12;81;224;1;9;47;201;939;10
27/02/2014;2;10;14;76;173;1;9;47;127;943;8
28/02/2014;2;8;11;79;235;2;12;47;197;936;16
01/03/2014;2;7;11;79;239;2;13;51;108;926;6
02/03/2014;2;7;10;60;245;2;15;56;206;924;7
03/03/2014;2;7;10;81;254;3;12;46;253;925;11
04/03/2014;2;8;11;83;228;2;11;39;262;930;10
05/03/2014;2;8;11;73;164;1;12;53;155;932;7
06/03/2014;3;10;14;70;71;1;13;53;263;936;13
07/03/2014;2;10;13;93;92;1;12;62;233;940;16
08/03/2014;2;10;14;96;124;1;10;42;280;940;13
09/03/2014;2;10;14;105;109;1;9;45;278;940;14
10/03/2014;2;10;13;88;125;0;9;56;253;937;17
11/03/2014;2;12;15;98;123;1;10;42;251;936;20
12/03/2014;2;10;13;95;45;1;7;74;35;939;16
13/03/2014;2;9;12;89;51;1;9;73;175;940;9
14/03/2014;2;10;13;94;73;1;10;60;174;941;12
15/03/2014;2;11;14;101;109;1;13;45;274;942;25
16/03/2014;2;10;14;91;129;1;15;36;279;940;19
17/03/2014;2;11;15;93;148;1;16;34;291;939;19
18/03/2014;2;11;14;98;112;1;17;36;288;937;22
19/03/2014;2;12;16;103;68;1;13;54;251;938;24
20/03/2014;2;11;14;86;132;1;13;62;285;936;25
21/03/2014;2;11;15;78;214;1;14;64;192;936;19
22/03/2014;2;9;12;75;218;1;15;55;231;933;15
23/03/2014;2;9;12;87;123;1;12;41;293;934;8
24/03/2014;2;9;12;84;217;1;13;40;258;936;14
