Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;CO;BEN;TOL;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;3;3;18;43;8;67;0.5;0.5;2.5;304;0.5;15.7;57;1027;0;0.0
01/01/2014;1:00:00;3;3;22;46;8;57;0.6;0.9;1.3;304;0.6;15.6;67;1027;0;0.0
01/01/2014;2:00:00;3;3;19;41;7;59;0.6;0.8;3.1;304;0.2;15.2;71;1026;0;0.0
01/01/2014;3:00:00;3;2;14;43;8;70;0.5;0.8;4.8;293;0.5;14.9;73;1025;0;0.0
01/01/2014;4:00:00;3;3;14;40;7;73;0.4;0.6;3.2;292;0.5;14.6;74;1025;0;0.0
01/01/2014;5:00:00;3;2;14;30;5;72;0.4;0.5;3.7;293;0.4;14.3;74;1024;0;0.0
01/01/2014;6:00:00;3;3;16;42;8;68;0.5;0.5;3.4;293;0.3;14.3;74;1025;0;0.0
01/01/2014;7:00:00;3;3;18;40;7;61;0.5;0.6;3.0;293;0.3;14.0;72;1026;0;0.0
01/01/2014;8:00:00;3;3;16;40;7;63;0.5;0.6;3.9;283;0.2;15.2;71;1026;84;0.0
01/01/2014;9:00:00;3;4;16;41;7;61;0.5;0.6;3.2;226;0.1;18.1;66;1027;270;0.0
01/01/2014;10:00:00;3;3;11;44;8;81;0.4;0.5;1.8;33;0.1;20.5;52;1028;444;0.0
01/01/2014;11:00:00;3;3;10;37;6;86;0.4;0.3;1.0;158;0.8;21.2;45;1028;567;0.0
01/01/2014;12:00:00;3;3;10;32;6;85;0.4;0.3;0.6;137;0.4;22.9;40;1027;633;0.0
01/01/2014;13:00:00;4;8;15;29;5;77;0.4;0.3;0.8;23;0.8;22.2;39;1026;632;0.0
01/01/2014;14:00:00;3;6;12;30;5;87;0.5;0.3;0.6;79;0.7;22.2;43;1024;565;0.0
01/01/2014;15:00:00;6;14;24;32;6;62;0.5;0.4;0.8;22;1.0;20.2;50;1024;440;0.0
01/01/2014;16:00:00;4;7;15;38;7;82;0.5;0.3;0.9;23;1.1;19.7;52;1024;268;0.0
01/01/2014;17:00:00;3;3;11;38;7;91;0.4;0.3;1.0;24;1.4;18.3;58;1025;75;0.0
01/01/2014;18:00:00;3;3;13;33;6;85;0.5;0.3;0.8;24;0.9;17.3;62;1025;0;0.0
01/01/2014;19:00:00;3;3;18;31;5;70;0.5;0.4;2.2;178;0.6;16.7;64;1026;0;0.0
01/01/2014;20:00:00;3;3;16;33;6;73;0.5;0.6;2.3;335;0.6;16.2;66;1026;0;0.0
01/01/2014;21:00:00;3;3;15;34;6;72;0.5;0.4;1.9;335;0.5;15.9;70;1027;0;0.0
01/01/2014;22:00:00;3;3;13;18;2;76;0.4;0.4;1.6;336;0.7;16.0;71;1027;0;0.0
01/01/2014;23:00:00;3;2;13;17;2;71;0.4;0.4;2.1;336;0.4;15.8;71;1027;0;0.0
02/01/2014;0:00:00;3;2;16;23;3;57;0.4;0.4;2.2;326;0.3;15.5;72;1026;0;0.0
02/01/2014;1:00:00;3;3;16;16;2;54;0.4;0.4;2.7;318;0.6;15.2;74;1026;0;0.0
02/01/2014;2:00:00;3;2;15;18;2;59;0.4;0.4;2.4;316;0.9;14.8;75;1025;0;0.0
02/01/2014;3:00:00;3;3;15;15;1;62;0.4;0.4;2.4;315;0.5;14.7;75;1024;0;0.0
02/01/2014;4:00:00;3;3;14;20;3;66;0.4;0.3;2.5;315;0.6;14.5;77;1024;0;0.0
02/01/2014;5:00:00;3;2;11;18;2;74;0.4;0.4;2.7;315;0.8;14.5;78;1024;0;0.0
02/01/2014;6:00:00;3;3;15;13;1;67;0.5;0.4;2.9;316;1.0;14.4;78;1024;0;0.0
02/01/2014;7:00:00;3;3;17;23;3;64;0.5;0.5;2.3;315;0.9;14.4;78;1025;0;0.0
02/01/2014;8:00:00;3;4;20;13;1;57;0.6;0.5;3.0;316;0.4;15.1;76;1026;65;0.0
02/01/2014;9:00:00;3;3;14;9;1;77;0.5;0.6;1.5;34;0.7;17.8;70;1026;271;0.0
02/01/2014;10:00:00;3;4;14;8;1;78;0.5;0.4;1.8;24;0.9;19.4;63;1027;461;0.0
02/01/2014;11:00:00;3;4;14;13;1;83;0.5;0.4;1.4;43;1.1;20.4;59;1027;627;0.0
02/01/2014;12:00:00;3;4;13;8;1;87;0.5;0.4;0.9;33;1.2;20.2;57;1026;627;0.0
02/01/2014;13:00:00;3;3;13;9;1;86;0.5;0.4;0.8;22;0.7;21.8;51;1025;643;0.0
02/01/2014;14:00:00;3;3;11;11;1;90;0.5;0.4;1.0;79;0.6;21.3;52;1024;570;0.0
02/01/2014;15:00:00;4;7;17;10;1;82;0.5;0.4;0.8;33;1.0;20.4;54;1024;448;0.0
02/01/2014;16:00:00;4;4;12;10;1;89;0.5;0.4;0.8;24;1.2;19.3;58;1024;283;0.0
02/01/2014;17:00:00;3;3;12;10;1;89;0.5;0.4;1.3;25;1.1;18.4;62;1025;87;0.0
02/01/2014;18:00:00;3;3;18;8;1;79;0.6;0.4;1.1;23;0.7;17.4;68;1025;0;0.0
02/01/2014;19:00:00;3;3;24;11;1;59;0.7;0.6;1.3;178;0.7;17.0;71;1026;0;0.0
02/01/2014;20:00:00;3;3;21;18;2;66;0.6;0.7;2.1;334;1.0;16.5;73;1027;0;0.0
02/01/2014;21:00:00;3;3;21;19;2;66;0.6;0.7;2.2;324;0.9;16.1;75;1027;0;0.0
02/01/2014;22:00:00;3;3;17;16;2;73;0.6;0.6;0.6;333;0.7;15.9;76;1028;0;0.0
02/01/2014;23:00:00;3;3;14;4;1;77;0.5;0.6;1.7;334;0.8;15.8;77;1027;0;0.0
03/01/2014;0:00:00;3;3;12;13;1;79;0.5;0.5;3.2;334;0.9;15.6;78;1027;0;0.0
03/01/2014;1:00:00;3;3;10;6;1;83;0.4;0.4;2.8;335;1.1;15.4;79;1027;0;0.0
03/01/2014;2:00:00;3;3;10;9;1;83;0.5;0.4;3.0;335;0.9;15.3;80;1026;0;0.0
03/01/2014;3:00:00;3;3;10;9;1;83;0.5;0.3;2.6;335;0.3;15.1;81;1026;0;0.0
03/01/2014;4:00:00;3;4;14;10;1;75;0.5;0.4;1.8;6;1.1;15.1;81;1026;0;0.0
03/01/2014;5:00:00;3;3;11;13;1;80;0.5;0.3;2.7;6;0.8;15.1;81;1026;0;0.0
03/01/2014;6:00:00;3;3;16;17;2;64;0.5;0.4;2.5;168;0.1;15.1;81;1027;0;0.0
03/01/2014;7:00:00;3;3;23;13;1;51;0.7;0.6;3.9;6;0.2;15.2;81;1027;0;0.0
03/01/2014;8:00:00;3;5;31;23;4;36;0.8;0.7;3.6;6;0.1;15.7;81;1028;51;0.0
03/01/2014;9:00:00;3;4;17;26;4;76;0.6;1.0;3.3;24;0.3;18.4;76;1029;205;0.0
03/01/2014;10:00:00;3;4;16;24;4;76;0.6;0.6;2.0;179;0.2;20.4;67;1029;378;0.0
03/01/2014;11:00:00;3;4;14;27;4;79;0.6;0.5;1.2;43;1.0;20.8;64;1029;582;0.0
03/01/2014;12:00:00;4;6;16;21;3;76;0.6;0.4;1.0;23;1.6;20.6;64;1028;693;0.0
03/01/2014;13:00:00;3;4;12;18;2;82;0.6;0.5;1.6;33;1.3;21.0;61;1027;647;0.0
03/01/2014;14:00:00;3;4;11;12;1;82;0.6;0.3;1.4;34;1.7;20.2;63;1027;568;0.0
03/01/2014;15:00:00;3;3;10;13;1;84;0.6;0.4;1.2;34;2.2;19.7;64;1027;451;0.0
03/01/2014;16:00:00;3;3;10;13;1;85;0.5;0.3;1.1;24;2.0;19.6;65;1027;279;0.0
03/01/2014;17:00:00;3;3;12;11;1;82;0.5;0.3;1.1;24;2.1;18.8;68;1028;86;0.0
03/01/2014;18:00:00;3;4;18;8;1;67;0.6;0.4;1.9;21;1.6;18.2;70;1028;0;0.0
03/01/2014;19:00:00;3;4;21;6;1;55;0.6;0.5;0.9;176;0.9;17.6;72;1028;0;0.0
