Fecha;Hora;O3
01/03/2015;1:00:00;56
01/03/2015;2:00:00;57
01/03/2015;3:00:00;56
01/03/2015;4:00:00;50
01/03/2015;5:00:00;46
01/03/2015;6:00:00;47
01/03/2015;7:00:00;53
01/03/2015;8:00:00;56
01/03/2015;9:00:00;64
01/03/2015;10:00:00;67
01/03/2015;11:00:00;70
01/03/2015;12:00:00;72
01/03/2015;13:00:00;72
01/03/2015;14:00:00;73
01/03/2015;15:00:00;73
01/03/2015;16:00:00;73
01/03/2015;17:00:00;69
01/03/2015;18:00:00;68
01/03/2015;19:00:00;66
01/03/2015;20:00:00;54
01/03/2015;21:00:00;52
01/03/2015;22:00:00;54
01/03/2015;23:00:00;60
01/03/2015;0:00:00;60
02/03/2015;1:00:00;67
02/03/2015;2:00:00;63
02/03/2015;3:00:00;60
02/03/2015;4:00:00;60
02/03/2015;5:00:00;61
02/03/2015;6:00:00;53
02/03/2015;7:00:00;49
02/03/2015;8:00:00;51
02/03/2015;9:00:00;51
02/03/2015;10:00:00;60
02/03/2015;11:00:00;64
02/03/2015;12:00:00;70
02/03/2015;13:00:00;73
02/03/2015;14:00:00;69
02/03/2015;15:00:00;66
02/03/2015;16:00:00;66
02/03/2015;17:00:00;60
02/03/2015;18:00:00;59
02/03/2015;19:00:00;63
02/03/2015;20:00:00;63
02/03/2015;21:00:00;55
02/03/2015;22:00:00;48
02/03/2015;23:00:00;47
02/03/2015;0:00:00;45
03/03/2015;1:00:00;45
03/03/2015;2:00:00;43
03/03/2015;3:00:00;41
03/03/2015;4:00:00;38
03/03/2015;5:00:00;47
03/03/2015;6:00:00;75
03/03/2015;7:00:00;76
03/03/2015;8:00:00;71
03/03/2015;9:00:00;70
03/03/2015;10:00:00;69
03/03/2015;11:00:00;67
03/03/2015;12:00:00;78
03/03/2015;13:00:00;83
03/03/2015;14:00:00;83
03/03/2015;15:00:00;78
03/03/2015;16:00:00;77
03/03/2015;17:00:00;74
03/03/2015;18:00:00;59
03/03/2015;19:00:00;59
03/03/2015;20:00:00;57
03/03/2015;21:00:00;49
03/03/2015;22:00:00;55
03/03/2015;23:00:00;55
03/03/2015;0:00:00;61
04/03/2015;1:00:00;53
04/03/2015;2:00:00;55
04/03/2015;3:00:00;54
04/03/2015;4:00:00;60
04/03/2015;5:00:00;55
04/03/2015;6:00:00;38
04/03/2015;7:00:00;51
04/03/2015;8:00:00;65
04/03/2015;9:00:00;73
04/03/2015;10:00:00;76
04/03/2015;11:00:00;
04/03/2015;12:00:00;
04/03/2015;13:00:00;
04/03/2015;14:00:00;
04/03/2015;15:00:00;
04/03/2015;16:00:00;
04/03/2015;17:00:00;
04/03/2015;18:00:00;
04/03/2015;19:00:00;
04/03/2015;20:00:00;
04/03/2015;21:00:00;
04/03/2015;22:00:00;
04/03/2015;23:00:00;
04/03/2015;0:00:00;
05/03/2015;1:00:00;
05/03/2015;2:00:00;
05/03/2015;3:00:00;
05/03/2015;4:00:00;
05/03/2015;5:00:00;
05/03/2015;6:00:00;
05/03/2015;7:00:00;
05/03/2015;8:00:00;85
05/03/2015;9:00:00;85
05/03/2015;10:00:00;83
05/03/2015;11:00:00;86
05/03/2015;12:00:00;91
05/03/2015;13:00:00;93
05/03/2015;14:00:00;95
05/03/2015;15:00:00;96
05/03/2015;16:00:00;96
05/03/2015;17:00:00;94
05/03/2015;18:00:00;68
05/03/2015;19:00:00;93
05/03/2015;20:00:00;91
05/03/2015;21:00:00;90
05/03/2015;22:00:00;91
05/03/2015;23:00:00;89
05/03/2015;0:00:00;88
06/03/2015;1:00:00;88
06/03/2015;2:00:00;87
06/03/2015;3:00:00;86
06/03/2015;4:00:00;85
06/03/2015;5:00:00;84
06/03/2015;6:00:00;83
06/03/2015;7:00:00;82
06/03/2015;8:00:00;82
06/03/2015;9:00:00;86
06/03/2015;10:00:00;88
06/03/2015;11:00:00;91
06/03/2015;12:00:00;92
06/03/2015;13:00:00;94
06/03/2015;14:00:00;98
06/03/2015;15:00:00;98
06/03/2015;16:00:00;100
06/03/2015;17:00:00;99
06/03/2015;18:00:00;91
06/03/2015;19:00:00;
06/03/2015;20:00:00;
06/03/2015;21:00:00;
06/03/2015;22:00:00;
06/03/2015;23:00:00;
06/03/2015;0:00:00;
07/03/2015;1:00:00;87
07/03/2015;2:00:00;89
07/03/2015;3:00:00;87
07/03/2015;4:00:00;75
07/03/2015;5:00:00;80
07/03/2015;6:00:00;80
07/03/2015;7:00:00;75
07/03/2015;8:00:00;65
07/03/2015;9:00:00;66
07/03/2015;10:00:00;72
07/03/2015;11:00:00;94
07/03/2015;12:00:00;101
07/03/2015;13:00:00;106
07/03/2015;14:00:00;108
07/03/2015;15:00:00;109
07/03/2015;16:00:00;108
07/03/2015;17:00:00;109
07/03/2015;18:00:00;95
07/03/2015;19:00:00;85
07/03/2015;20:00:00;89
07/03/2015;21:00:00;91
07/03/2015;22:00:00;94
07/03/2015;23:00:00;84
07/03/2015;0:00:00;84
08/03/2015;1:00:00;80
08/03/2015;2:00:00;88
08/03/2015;3:00:00;
08/03/2015;4:00:00;
08/03/2015;5:00:00;
08/03/2015;6:00:00;
08/03/2015;7:00:00;
08/03/2015;8:00:00;
08/03/2015;9:00:00;
08/03/2015;10:00:00;
08/03/2015;11:00:00;
08/03/2015;12:00:00;
08/03/2015;13:00:00;
08/03/2015;14:00:00;
08/03/2015;15:00:00;
08/03/2015;16:00:00;
08/03/2015;17:00:00;
08/03/2015;18:00:00;
08/03/2015;19:00:00;
08/03/2015;20:00:00;
08/03/2015;21:00:00;
