Fecha;Hora;SO2;NO;NO2;PM10;PM25;CO
01/01/2014;00:00:00;3;2;32;38;11;0.1
01/01/2014;01:00:00;3;1;24;58;11;0.1
01/01/2014;02:00:00;3;1;19;26;10;0.1
01/01/2014;03:00:00;3;1;18;24;8;0.1
01/01/2014;04:00:00;3;1;19;21;8;0.1
01/01/2014;05:00:00;3;1;16;27;8;0.1
01/01/2014;06:00:00;3;1;11;24;8;0.1
01/01/2014;07:00:00;3;2;10;42;8;0.1
01/01/2014;08:00:00;3;1;4;38;8;0.1
01/01/2014;09:00:00;3;2;6;24;6;0.1
01/01/2014;10:00:00;3;2;7;34;6;0.1
01/01/2014;11:00:00;3;1;3;30;7;0.1
01/01/2014;12:00:00;3;1;7;28;6;0.1
01/01/2014;13:00:00;3;1;6;30;8;0.1
01/01/2014;14:00:00;3;1;4;28;8;0.1
01/01/2014;15:00:00;3;1;4;28;8;0.1
01/01/2014;16:00:00;3;1;5;25;7;0.1
01/01/2014;17:00:00;3;1;11;19;8;0.1
01/01/2014;18:00:00;3;1;26;15;7;0.1
01/01/2014;19:00:00;3;1;18;14;7;0.1
01/01/2014;20:00:00;3;1;18;15;7;0.1
01/01/2014;21:00:00;3;1;18;16;7;0.1
01/01/2014;22:00:00;3;1;13;11;6;0.1
01/01/2014;23:00:00;3;1;14;11;6;0.1
02/01/2014;00:00:00;3;1;12;16;6;0.1
02/01/2014;01:00:00;3;1;20;21;6;0.1
02/01/2014;02:00:00;3;1;24;20;7;0.1
02/01/2014;03:00:00;3;1;13;16;6;0.1
02/01/2014;04:00:00;3;1;15;16;6;0.1
02/01/2014;05:00:00;3;1;27;19;8;0.1
02/01/2014;06:00:00;3;6;44;6;7;0.1
02/01/2014;07:00:00;3;12;35;38;8;0.1
02/01/2014;08:00:00;3;1;7;21;8;0.1
02/01/2014;09:00:00;3;2;6;18;7;0.1
02/01/2014;10:00:00;3;1;3;28;6;0.1
02/01/2014;11:00:00;3;1;4;15;5;0.1
02/01/2014;12:00:00;3;1;5;10;6;0.1
