Fecha;PM10;SO2;NO2;NO;HR;PRB;RS;LL;O3;dd;vv;TMP
01/01/2015;9;0;36;8;82.2;1034;60;0;20;157;0.8;10
02/01/2015;10;1;52;28;83;1036;50;0;12;156;0.7;10
03/01/2015;8;1;32;11;81.2;1035;50;0;32;179;1.2;15
04/01/2015;12;0;24;7;88.4;1034;24;0;35;125;1.1;14
05/01/2015;8;2;24;15;84.4;1026;61;0;33;127;1.5;13
06/01/2015;11;0;23;2;85.9;1026;17;0;37;135;1;13
07/01/2015;12;0;35;11;83.4;1029;61;0;29;118;1.2;14
08/01/2015;14;1;34;15;79.2;1035;42;0;28;139;1.1;15
09/01/2015;32;0;38;23;87.4;1040;63;0;20;164;1;14
10/01/2015;20;0;18;3;94.5;1033;27;0;29;182;1.3;14
11/01/2015;14;0;11;0;86.6;1033;23;3;60;138;1.8;14
12/01/2015;7;0;18;8;61.5;1025;69;0.25;50;156;1.9;16
13/01/2015;8;0;11;2;68.6;1019;35;0.25;56;170;2.5;16
14/01/2015;7;0;15;2;68.3;1020;68;0;52;134;1.6;14
15/01/2015;6;0;8;1;69.3;1008;6;7.75;71;169;3.1;15
16/01/2015;5;0;7;0;84.2;1011;29;9.5;72;192;3.1;11
17/01/2015;8;1;13;1;78.9;1019;64;1.5;59;182;2.1;11
18/01/2015;3;0;6;1;68.4;1008;48;7.25;63;169;2.1;13
19/01/2015;11;0;7;1;79.2;1013;41;6.25;70;215;3;11
20/01/2015;6;0;20;4;91.3;1009;35;2.5;47;134;1.5;10
21/01/2015;5;0;6;0;90.6;1006;27;33.5;75;197;3.4;10
22/01/2015;16;0;8;1;89;1014;29;11.25;69;225;2.7;11
23/01/2015;11;0;27;5;87.4;1025;37;1.5;44;201;1.2;11
24/01/2015;9;1;15;1;84.2;1029;41;2.25;54;182;1.6;13
25/01/2015;14;0;21;2;87.1;1032;54;0;53;144;1.2;11
26/01/2015;13;0;24;7;79.9;1031;32;0;;185;1.7;13
27/01/2015;9;0;12;0;90.2;1030;16;5.75;67;210;2.2;13
28/01/2015;6;0;8;0;87.5;1023;37;0.5;68;201;2.8;13
29/01/2015;5;0;9;1;85;1007;32;12;65;205;3.7;15
30/01/2015;;1;12;1;98.2;994;1;66.25;76;207;3.9;13
31/01/2015;12;1;5;0;86.5;997;23;18.5;83;210;4;11
01/02/2015;19;0;5;0;81.9;1010;49;14;82;215;3.9;10
02/02/2015;3;1;18;3;94;1003;50;8.75;55;152;2.1;10
03/02/2015;11;1;20;2;92.6;1001;20;19;65;158;2.3;9
04/02/2015;13;1;13;1;90.8;1009;12;19;69;149;2.3;8
05/02/2015;17;0;11;1;82.2;1017;32;11.75;73;161;2.5;9
06/02/2015;11;1;19;3;92.7;1014;3;12.5;45;170;1.7;8
07/02/2015;22;2;30;6;92.1;1021;3;1.5;26;116;1;8
08/02/2015;23;1;16;1;79.9;1029;15;0;59;162;1.5;10
09/02/2015;25;1;28;5;79;1028;98;0.25;57;57;1.7;10
10/02/2015;18;1;24;4;77.2;1021;123;0;56;75;1.9;9
11/02/2015;16;0;33;2;72.4;1018;58;0;66;121;1.9;11
12/02/2015;18;0;59;9;79.5;1017;83;0;53;148;1.7;11
13/02/2015;8;0;38;3;73.7;1015;79;1.75;65;190;2;14
14/02/2015;5;0;24;0;88.1;1011;15;9.25;69;179;1.8;13
15/02/2015;6;0;26;0;97.8;1011;12;26.5;65;193;1.9;13
16/02/2015;10;0;17;0;90.4;1019;37;12.5;77;200;2.7;13
17/02/2015;28;0;19;1;81.4;1033;36;2.25;79;231;2.2;12
18/02/2015;17;0;41;3;80.9;1035;51;0.25;59;152;1.4;11
19/02/2015;16;0;80;24;70.2;1028;139;0;32;155;1.3;13
20/02/2015;10;0;28;6;75.4;1015;41;7.25;57;135;1.4;13
21/02/2015;13;0;2;0;89.5;1010;60;11.75;85;215;3.8;12
22/02/2015;11;0;4;1;92;1014;44;2.5;76;195;2.6;13
23/02/2015;10;0;5;9;93.6;1012;53;26.25;62;195;3;14
24/02/2015;12;0;6;0;92.3;1022;40;35.75;83;208;4.4;10
25/02/2015;7;;5;0;94.8;1026;48;17.5;82;217;5.3;13
26/02/2015;4;0;5;0;96.8;1024;62;16.75;74;221;3.9;14
27/02/2015;15;0;7;0;83.3;1025;119;2.5;88;221;2.7;13
28/02/2015;6;0;10;2;93.2;1020;55;1.75;63;172;2.4;16
01/03/2015;15;0;21;4;91.8;1018;55;1;32;151;1;16
02/03/2015;8;0;24;7;98.5;1022;37;5.25;44;157;1.4;15
03/03/2015;17;0;22;8;97.9;1024;44;6.25;55;147;1.2;13
04/03/2015;14;0;7;0;81.9;1035;77;16;86;226;2.3;12
05/03/2015;18;0;14;2;72.3;1037;163;0;81;67;2.1;12
06/03/2015;19;0;37;14;75.3;1030;175;0;41;109;1.4;13
07/03/2015;22;0;52;19;72.9;1027;176;0;23;133;1.1;15
08/03/2015;24;0;27;4;87.2;1025;168;0;56;180;1.4;14
09/03/2015;26;0;41;15;85.5;1025;170;0;49;165;1.3;14
10/03/2015;24;0;31;9;93.8;1025;170;0;60;151;1.5;14
11/03/2015;30;0;23;1;96.9;1026;24;0;62;176;1.4;13
12/03/2015;41;0;22;6;87.9;1022;129;0;58;191;1.7;14
13/03/2015;20;0;4;0;86.4;1026;80;7.25;87;219;3.5;13
14/03/2015;18;0;5;0;90.6;1024;12;18;79;213;3;11
15/03/2015;29;0;15;1;85.1;1019;24;1.75;64;194;1.7;11
16/03/2015;31;1;30;7;86.2;1017;134;0.25;55;84;1.7;11
17/03/2015;19;0;26;4;61.1;1014;184;0;67;122;1.6;16
18/03/2015;21;1;36;10;83.8;1019;105;0;50;192;1.1;14
19/03/2015;20;1;30;5;95.4;1019;110;2.5;50;196;1.2;14
20/03/2015;50;0;15;1;88.2;1018;21;0;71;226;1.4;13
21/03/2015;24;0;22;2;98.3;1014;12;8.5;52;149;1.2;11
22/03/2015;29;0;11;1;90.4;1014;39;2.25;70;139;1.9;13
23/03/2015;10;0;33;6;96.6;1010;22;20;37;138;1;11
24/03/2015;16;0;13;1;93.3;1011;35;13;69;204;2.1;11
25/03/2015;11;0;6;1;83.9;1014;145;7.5;86;220;2.8;11
26/03/2015;9;0;5;1;97.1;1017;48;6;71;193;3.2;14
27/03/2015;8;0;11;3;98;1027;55;9.75;68;174;2.3;14
28/03/2015;11;0;4;2;91.7;1029;118;0;66;210;2;15
29/03/2015;11;0;3;1;79.6;1025;146;0;75;212;2.8;17
30/03/2015;17;0;3;1;75;1026;116;0;80;216;3.1;17
31/03/2015;15;0;2;0;91.8;1030;41;0.5;74;219;2.6;15
01/04/2015;31;0;12;1;83.6;1033;178;0;75;222;1.6;14
02/04/2015;22;1;11;2;84.8;1027;230;0;67;88;1.7;14
03/04/2015;17;1;10;2;88.2;1022;170;0;59;212;1.9;14
04/04/2015;11;0;2;0;89.4;1018;133;0.75;86;203;2;14
05/04/2015;14;0;6;1;88;1016;130;0;68;130;1.6;13
06/04/2015;19;1;14;2;77.3;1019;241;0;64;110;1.6;14
