Fecha;PM25;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;13;3;2;5;15;7;44
02/01/2015;14;3;3;8;24;11;32
03/01/2015;9;3;2;6;14;9;35
04/01/2015;17;3;2;7;22;9;32
05/01/2015;13;5;3;7;17;10;38
06/01/2015;17;3;2;6;20;8;38
07/01/2015;26;3;3;8;30;12;33
08/01/2015;17;3;3;8;21;11;32
12/01/2015;13;3;3;8;18;12;41
13/01/2015;13;3;2;5;16;8;40
14/01/2015;16;3;3;6;21;9;39
15/01/2015;18;3;2;6;23;9;42
16/01/2015;6;3;2;4;7;6;64
17/01/2015;7;3;2;4;7;6;59
18/01/2015;10;3;2;4;12;6;46
19/01/2015;5;3;2;4;5;6;54
20/01/2015;4;3;2;4;5;6;58
21/01/2015;8;3;2;4;8;6;49
22/01/2015;6;3;2;4;7;6;56
23/01/2015;2;3;2;4;3;6;69
24/01/2015;3;3;2;4;4;6;70
25/01/2015;2;3;2;4;3;6;71
26/01/2015;4;3;2;4;5;6;70
27/01/2015;3;3;2;4;5;6;67
28/01/2015;4;3;2;4;6;6;65
29/01/2015;10;3;2;4;12;6;56
31/01/2015;2;;2;4;2;6;73
01/02/2015;2;3;2;4;2;6;71
02/02/2015;6;3;;;6;;53
03/02/2015;2;3;;;2;;65
04/02/2015;3;3;;;3;;74
05/02/2015;4;4;;;7;;70
06/02/2015;3;3;;;3;;66
07/02/2015;10;3;3;6;10;9;37
08/02/2015;13;3;2;6;14;7;59
09/02/2015;21;3;2;9;31;11;55
10/02/2015;17;3;2;10;21;11;64
11/02/2015;19;3;2;10;24;12;62
12/02/2015;11;3;2;8;14;10;62
13/02/2015;11;3;2;9;14;11;54
14/02/2015;10;3;2;6;11;8;59
15/02/2015;2;3;2;6;2;7;55
16/02/2015;5;3;2;7;5;9;47
17/02/2015;6;3;2;7;6;9;59
18/02/2015;13;4;5;10;17;15;59
19/02/2015;25;3;3;11;34;14;67
20/02/2015;18;3;2;9;20;10;57
21/02/2015;9;3;4;6;9;10;66
22/02/2015;2;3;4;5;2;10;75
23/02/2015;6;3;2;6;6;8;51
24/02/2015;2;3;2;5;2;7;70
25/02/2015;2;3;2;6;2;7;67
26/02/2015;1;3;2;5;2;7;65
27/02/2015;3;3;2;5;4;8;68
28/02/2015;3;3;2;6;4;7;65
01/03/2015;6;4;2;8;7;9;49
02/03/2015;6;4;2;7;7;9;46
03/03/2015;11;3;3;14;15;17;37
04/03/2015;9;3;2;7;10;8;56
