Fecha;vv;dd;TMP;HR;PRB;RS;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;1.5;282;9.8;71;1031;107;9;3;0.1;2;6;12;8;46
02/01/2015;0.6;236;7.9;74;1033;114;15;3;0.2;9;13;18;27;17
03/01/2015;0.6;225;8.9;70;1031;113;14;3;0.2;15;13;17;36;18
04/01/2015;0.7;253;10.3;70;1028;112;10;3;0.2;5;10;11;19;21
05/01/2015;0.8;292;9.7;82;1026;110;13;3;0.1;6;10;15;19;27
06/01/2015;0.7;331;10.3;84;1023;99;21;3;0.2;3;7;21;11;27
07/01/2015;1.1;324;10.6;78;1027;84;18;3;0.1;4;8;22;14;28
08/01/2015;1;269;9.5;78;1033;108;24;3;0.2;8;10;25;23;24
09/01/2015;0.7;245;8.3;79;1037;96;20;4;0.1;16;13;24;37;17
10/01/2015;0.8;232;10.1;72;1028;124;14;3;0.1;14;13;16;34;18
11/01/2015;1.1;334;11.2;64;1025;113;8;3;0.2;4;10;10;15;25
12/01/2015;1.4;287;12.1;78;1030;114;10;3;0.2;2;8;12;12;34
13/01/2015;0.9;238;10.8;79;1022;115;19;3;0.1;9;13;23;26;17
14/01/2015;1;298;11.6;66;1022;123;12;3;0.2;5;13;15;20;21
15/01/2015;1.4;221;12;65;1015;122;13;3;0.2;7;11;19;21;27
16/01/2015;3.1;230;13.3;46;1010;86;5;3;0.2;2;5;8;7;57
17/01/2015;2;299;10.1;47;1018;135;4;3;0.1;3;6;6;10;58
18/01/2015;0.9;220;7.2;64;1012;99;7;3;0.1;3;6;9;10;39
19/01/2015;1.4;316;8.8;76;1006;26;6;3;0.2;3;8;7;12;29
20/01/2015;1;247;6.9;59;1007;107;4;3;0.2;4;10;5;15;35
21/01/2015;2.1;239;8.6;58;1005;110;4;3;0.1;3;6;5;10;43
22/01/2015;1.9;309;10.4;45;1009;124;2;3;0.2;2;5;2;8;65
