Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;2.5;281;8.5;40;973;105;0;5;3;0.1;2;7;6;12;53
02/01/2015;2.1;281;9.8;26;975;104;0;4;3;0.1;4;17;6;29;41
03/01/2015;4.7;269;12.2;19;973;106;0;5;3;0.2;2;5;6;9;53
04/01/2015;2.3;292;12.2;26;970;103;0;6;3;0.1;3;13;7;22;43
05/01/2015;1.2;298;9;;968;103;0;10;3;0.1;8;24;11;45;29
06/01/2015;2;298;8.5;;964;106;0;12;3;0.1;3;14;14;24;39
07/01/2015;1.4;297;7.9;;969;70;0.1;19;3;0.1;17;26;20;56;22
08/01/2015;1.5;284;8.3;;975;102;0;13;3;0.1;3;18;15;29;29
09/01/2015;2.5;287;11.2;;979;112;0;4;3;0.1;2;15;6;24;41
10/01/2015;5.7;266;14.3;;971;114;0;4;3;0.1;2;4;6;6;56
11/01/2015;3.1;295;12.2;;968;109;0;3;3;0.1;3;13;4;21;47
12/01/2015;0.8;298;10.3;;971;75;0;9;3;0.1;8;20;12;38;30
13/01/2015;2.9;272;11.9;;964;107;0;5;3;0.1;3;15;7;25;44
14/01/2015;4.3;270;11.7;;964;114;0;8;3;0.1;2;12;10;19;48
15/01/2015;3.9;256;12.2;;957;107;0;8;3;0.1;2;6;11;10;57
16/01/2015;6.4;267;9.4;;953;76;0;3;3;0.1;2;4;4;7;65
17/01/2015;4.5;296;6.7;;960;123;0.1;5;3;0.2;2;4;6;7;59
18/01/2015;2.1;252;5.4;60;954;74;2.7;6;3;0.1;2;5;7;7;53
19/01/2015;1.5;308;4.8;;948;28;9.2;2;3;0.1;4;10;3;17;40
20/01/2015;3.2;288;4.5;55;949;98;0;2;3;0.1;2;10;3;16;46
21/01/2015;5.5;278;4.8;66;948;83;0;5;3;0.1;2;4;5;6;46
22/01/2015;4.9;295;5.6;60;951;101;0;4;3;0.1;2;6;4;9;52
23/01/2015;3.2;308;7.3;40;957;137;0;1;3;0.1;2;5;2;8;65
24/01/2015;3.3;277;8.6;37;961;128;0;2;3;0.1;2;4;2;6;68
25/01/2015;4.1;301;10.4;28;961;141;0;1;3;0.1;2;5;2;7;72
26/01/2015;1.6;303;7.5;40;964;134;0;4;5;0.2;9;21;7;40;40
27/01/2015;2.8;304;10.3;45;962;136;0.7;2;3;0.1;3;13;3;21;45
28/01/2015;1.7;280;9.3;52;960;140;0;2;3;0.1;3;13;4;21;49
29/01/2015;9.5;274;10.6;56;950;108;12.1;6;3;0.1;2;4;14;6;55
30/01/2015;16.2;268;14;69;937;121;92;2;3;0.1;2;4;6;6;56
31/01/2015;7.4;283;9.2;67;936;113;27.1;1;3;0.1;2;4;1;6;67
01/02/2015;6;285;6.1;47;949;150;0;1;3;0.1;2;4;1;6;69
