Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;CO;dd;vv;TMP;HR;PRB
01/01/2014;00:00:00;1;9;22;46;18;69;0.1;352;1.4;13.5;97;N
01/01/2014;01:00:00;1;8;16;42;13;70;0.1;349;1.8;13.1;97;N
01/01/2014;02:00:00;1;8;11;34;13;73;0.1;347;1.7;12.8;97;N
01/01/2014;03:00:00;1;7;9;29;11;75;0.1;345;1.6;12.6;97;N
01/01/2014;04:00:00;1;9;8;30;11;75;0.1;346;1.7;12.3;97;N
01/01/2014;05:00:00;1;8;9;30;11;78;0.1;348;1.7;12.4;97;N
01/01/2014;06:00:00;1;9;11;30;11;74;0.1;348;1.7;12.3;97;N
01/01/2014;07:00:00;1;8;15;50;14;71;0.1;349;1.5;13.5;97;N
01/01/2014;08:00:00;2;10;22;42;20;69;0.1;350;0.2;16.6;95;N
01/01/2014;09:00:00;5;10;11;21;8;82;0.1;307;0.3;19.2;74;N
01/01/2014;10:00:00;4;10;7;34;9;88;0.1;84;0.7;21.5;57;N
01/01/2014;11:00:00;2;9;5;21;6;91;0.1;110;1.5;22.4;47;N
01/01/2014;12:00:00;11;10;8;34;6;91;0.1;102;1.4;23.3;42;N
01/01/2014;13:00:00;7;12;9;42;11;95;0.1;105;1.5;23.8;45;N
01/01/2014;14:00:00;1;17;22;39;12;91;0.1;98;1.3;22.8;50;N
01/01/2014;15:00:00;1;13;25;37;12;87;0.1;72;1.2;21.5;55;N
01/01/2014;16:00:00;6;9;9;31;11;93;0.1;49;1.7;19.2;66;N
01/01/2014;17:00:00;1;9;13;30;9;93;0.1;36;1.3;16.3;89;N
01/01/2014;18:00:00;1;8;22;26;9;82;0.1;60;1.0;15.3;97;N
01/01/2014;19:00:00;1;9;18;26;8;79;0.1;262;1.3;14.8;97;N
01/01/2014;20:00:00;1;7;15;19;8;79;0.1;148;1.2;14.8;97;N
01/01/2014;21:00:00;1;8;11;11;6;80;0.1;110;1.2;15.3;97;N
01/01/2014;22:00:00;1;9;13;9;4;74;0.1;16;0.8;14.7;97;N
01/01/2014;23:00:00;1;8;26;9;4;57;0.1;228;0.9;14.0;97;N
02/01/2014;00:00:00;2;8;28;10;4;53;0.1;350;1.3;13.4;97;N
02/01/2014;01:00:00;1;7;23;13;5;57;0.1;350;1.5;13.0;97;N
02/01/2014;02:00:00;1;9;19;13;4;64;0.1;351;1.3;12.8;97;N
02/01/2014;03:00:00;1;10;13;14;5;70;0.1;359;1.5;13.0;97;N
02/01/2014;04:00:00;1;9;9;11;4;77;0.1;212;1.6;13.2;97;N
02/01/2014;05:00:00;1;7;12;7;4;79;0.1;137;1.6;13.5;97;N
02/01/2014;06:00:00;5;7;30;6;4;68;0.1;78;1.5;13.4;97;N
02/01/2014;07:00:00;5;28;56;20;7;60;0.1;79;1.1;14.5;97;N
02/01/2014;08:00:00;5;20;41;13;10;70;0.1;70;1.1;17.2;94;N
02/01/2014;09:00:00;1;12;18;11;3;81;0.1;85;1.1;19.2;84;N
02/01/2014;10:00:00;1;20;32;10;3;77;0.1;81;1.2;21.5;69;N
02/01/2014;11:00:00;1;13;16;9;3;86;0.1;92;1.3;22.6;61;N
