Fecha;vv;dd;TMP;HR;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;0.2;244;8.5;60;;3;0.2;2;11;9;13;59
02/01/2015;0.2;236;10;52;;3;0.2;2;10;5;12;57
03/01/2015;0.2;232;13;46;;3;0.1;2;12;9;14;60
04/01/2015;0.3;239;13.8;51;;3;0.2;2;13;11;15;60
05/01/2015;0.3;218;9.9;75;;3;0.2;2;12;9;15;42
06/01/2015;0.3;230;10.3;84;;3;0.2;2;11;13;13;39
07/01/2015;0.2;219;9.4;85;;3;0.2;2;12;13;15;39
08/01/2015;0.2;217;9.5;83;;3;0.2;2;13;13;15;38
09/01/2015;0.2;234;11.3;72;;3;0.1;2;10;6;13;47
10/01/2015;0.3;236;13.5;51;;4;0.1;2;11;8;14;53
11/01/2015;0.3;243;13.4;53;;3;0.1;2;8;9;10;63
12/01/2015;0.2;236;10.6;79;;3;0.2;2;11;9;13;47
13/01/2015;0.2;214;12.2;76;;6;0.2;3;18;17;22;35
14/01/2015;0.3;229;12;71;;3;0.2;2;11;11;14;51
15/01/2015;0.4;229;12.8;66;;5;0.2;3;9;;12;55
16/01/2015;0.9;225;13.3;54;5;3;0.2;2;6;;8;74
17/01/2015;0.7;215;9.6;52;9;3;0.2;2;7;;8;70
18/01/2015;0.2;209;6.9;71;8;3;0.2;2;8;;10;55
19/01/2015;0.1;238;8.1;;3;3;0.1;2;9;;11;46
20/01/2015;0.1;263;6.9;68;3;3;0.2;2;8;;10;60
21/01/2015;0.5;244;9.1;67;5;4;0.2;2;7;;9;63
22/01/2015;0.7;206;9.7;59;;4;0.1;2;7;;8;74
23/01/2015;0.8;224;10.5;47;;3;0.3;2;5;;7;75
24/01/2015;0.8;210;11.4;49;;3;0.1;2;4;5;6;70
25/01/2015;0.8;217;11.7;34;;3;0.1;2;4;4;6;75
26/01/2015;0.2;202;10;53;;3;0.2;2;10;8;12;55
27/01/2015;0.5;234;12.6;59;;3;0.1;2;5;2;6;62
28/01/2015;0.3;247;11.5;63;;3;0.2;2;9;;11;59
29/01/2015;1.1;210;15.6;55;;4;0.2;2;4;18;6;66
30/01/2015;1.2;235;16.9;67;;4;0.2;2;4;2;6;59
31/01/2015;1.4;220;11.6;67;;5;0.1;2;4;1;6;71
01/02/2015;1.5;201;9.8;51;;3;0.1;2;4;3;6;75
02/02/2015;0.5;237;10.2;61;;3;0.2;;;4;;61
03/02/2015;0.7;249;10.8;65;;3;0.2;;;2;;61
04/02/2015;0.9;217;7.1;60;;3;0.2;;;4;;71
05/02/2015;1.6;202;7.1;42;;3;0.3;;;6;;71
06/02/2015;0.7;219;6.2;51;;5;0.2;;;2;;66
07/02/2015;0.2;218;5.7;70;;5;0.3;;;6;;36
08/02/2015;0.2;241;7.8;62;;3;0.3;;;6;;55
09/02/2015;0.4;203;7.1;71;;5;0.2;;;11;;57
10/02/2015;0.3;195;7.8;79;;4;0.3;;;15;;51
11/02/2015;0.1;192;9.3;89;;3;0.2;;;16;;41
12/02/2015;0.1;225;8.6;;;3;0.1;;;;;28
13/02/2015;0.2;241;9;;;4;0.1;;;;;42
14/02/2015;0.3;241;9.9;69;;4;0.1;;;;;57
15/02/2015;0.7;248;11.4;69;;3;0.1;;;;;53
16/02/2015;0.6;221;11.8;65;;3;0.2;;;;;61
17/02/2015;0.2;233;9.3;72;;3;0.1;;;;;47
18/02/2015;0.3;231;8.5;69;;3;0.1;;;;;56
19/02/2015;0.3;210;6.2;80;;4;0.1;;;;;59
20/02/2015;0.5;196;7.1;81;;5;0.2;3;6;14;9;54
21/02/2015;0.8;248;8.6;69;;3;0.2;2;4;3;6;61
22/02/2015;1.3;188;10.6;52;;3;0.2;2;4;0;7;80
23/02/2015;1.1;212;13.8;55;;5;0.2;2;5;0;7;65
24/02/2015;1.6;161;10;48;;3;0.2;3;4;1;7;76
25/02/2015;1.7;215;10.8;58;;3;0.2;2;4;0;6;76
26/02/2015;0.9;164;14.6;55;;6;0.2;2;4;0;6;66
27/02/2015;1.1;185;11.4;48;;3;0.2;2;4;1;6;78
28/02/2015;0.4;208;11.2;56;;3;0.2;2;4;2;6;66
01/03/2015;0.3;259;14.8;61;;3;0.2;2;4;4;6;50
02/03/2015;0.4;240;17.2;55;;5;0.2;3;5;8;7;49
03/03/2015;0.2;193;13;82;;6;0.2;3;16;16;18;27
04/03/2015;0.6;201;11.3;58;;4;0.1;2;4;6;6;54
05/03/2015;0.3;216;9.7;40;;3;0.1;3;4;6;7;72
06/03/2015;0.5;198;8.4;59;;3;0.2;2;7;13;9;60
07/03/2015;0.3;191;11.6;58;;5;0.2;3;11;15;14;54
08/03/2015;0.5;211;10.1;68;;3;0.3;2;8;16;9;61
09/03/2015;0.4;213;11.3;64;;3;0.2;3;9;18;13;60
10/03/2015;0.5;190;11.4;65;;6;0.2;3;9;20;13;64
11/03/2015;0.5;221;13.2;57;;3;0.2;3;9;18;12;68
12/03/2015;0.5;193;13.6;54;;3;0.2;4;9;;13;80
13/03/2015;0.5;183;10.7;75;22;3;0.2;3;7;;11;68
14/03/2015;0.5;226;9.8;49;2;3;0.2;2;4;;6;76
15/03/2015;0.2;295;8;59;7;3;0.2;2;5;;6;66
16/03/2015;0.6;173;7.9;65;9;4;0.2;2;5;;8;62
17/03/2015;0.8;166;7.9;73;18;3;0.2;2;8;;10;68
18/03/2015;0.8;170;8.7;89;6;3;0.3;2;4;;6;68
19/03/2015;1.3;134;10.5;80;;4;0.2;2;4;;6;86
20/03/2015;1.3;165;10.6;83;;3;0.3;2;5;;7;87
21/03/2015;0.1;241;9.6;;;6;0.3;2;4;;6;49
22/03/2015;0.1;203;9;;;3;0.2;2;4;;6;53
23/03/2015;0.3;171;8.9;;;3;0.3;2;4;;6;63
24/03/2015;0.2;219;9.2;;;5;0.2;2;4;;6;63
25/03/2015;0.6;224;9;57;;3;0.2;2;4;;6;75
26/03/2015;0.9;154;11.5;52;;3;0.2;2;4;;6;72
27/03/2015;1.1;183;16;50;;3;0.2;2;4;;6;68
28/03/2015;0.5;193;17.6;49;;5;0.2;3;4;;7;64
29/03/2015;0.5;213;17.7;44;;4;0.2;2;4;;7;70
30/03/2015;1;220;18.5;39;;4;0.2;2;4;;6;81
31/03/2015;0.3;291;19.6;45;;3;0.2;4;5;19;9;68
01/04/2015;0.9;171;14.6;58;;3;0.2;3;5;25;8;71
02/04/2015;0.5;191;12.7;69;;4;0.2;4;6;24;10;56
03/04/2015;0.5;214;13.5;67;;3;0.2;3;7;29;10;51
04/04/2015;0.6;166;12.6;76;;3;0.2;2;4;16;7;49
05/04/2015;0.9;128;12.2;75;;3;0.2;3;5;11;8;56
06/04/2015;0.5;121;11.1;82;;3;0.2;2;5;10;7;63
07/04/2015;0.7;166;9.8;76;;3;0.1;2;4;12;6;69
08/04/2015;0.7;161;9.9;72;;4;0.1;2;5;13;7;72
09/04/2015;0.5;166;10.4;75;;9;0.2;2;5;;7;68
10/04/2015;0.6;164;11;73;8;3;0.1;2;5;;6;65
11/04/2015;0.3;175;11.3;85;12;5;0.2;2;4;;6;58
12/04/2015;0.7;188;12.7;66;12;5;0.1;2;4;;6;73
13/04/2015;0.6;204;12.9;59;11;4;0.1;2;6;;8;80
14/04/2015;0.6;173;13.6;58;12;11;0.1;3;4;;7;73
15/04/2015;0.2;203;11.5;71;11;4;0.1;2;4;;6;64
16/04/2015;0.4;211;14.3;73;;3;0.1;2;4;;6;59
17/04/2015;0.5;162;15.1;66;;5;0.2;2;4;10;7;66
18/04/2015;0.7;164;13.7;77;;3;0.1;2;4;11;6;65
19/04/2015;0.7;132;14.7;54;;3;0.1;2;4;4;6;77
20/04/2015;0.8;167;13.4;67;;3;0.2;2;4;8;6;69
21/04/2015;0.7;166;13.4;71;;5;0.1;2;4;10;6;66
22/04/2015;0.5;192;13.1;80;;6;0.1;2;5;13;7;61
23/04/2015;0.6;173;15.2;71;;3;0.2;2;6;21;8;64
24/04/2015;0.5;154;15.8;75;;3;0.2;2;5;25;8;68
25/04/2015;0.2;162;16.8;70;;4;0.2;2;5;21;7;57
26/04/2015;0.5;225;16.1;64;;3;0.1;2;4;8;6;60
27/04/2015;1.2;200;15.8;50;;3;0.1;2;4;5;6;85
28/04/2015;0.9;153;15.2;57;;3;0.2;2;4;8;6;79
29/04/2015;0.4;179;13.6;81;;3;0.2;2;6;16;7;56
30/04/2015;0.6;158;15.4;78;;3;0.2;2;4;21;7;59
01/05/2015;0.3;237;18.9;56;;5;0.1;2;4;14;6;55
02/05/2015;0.7;171;19.3;62;;3;0.1;3;4;14;7;61
03/05/2015;0.2;219;20.8;60;;3;0.2;2;4;21;6;63
04/05/2015;0.5;170;19.4;61;;;0.2;2;4;21;6;70
05/05/2015;0.4;223;19.2;46;;;0.1;2;4;12;6;70
06/05/2015;0.6;151;17;53;;;0.2;2;4;12;6;82
07/05/2015;0.6;146;16.3;67;;;0.1;2;4;;6;82
08/05/2015;0.4;266;19.7;51;8;;0.1;3;4;;6;71
09/05/2015;0.7;157;18.8;55;9;;0.1;3;4;;6;76
10/05/2015;0.6;160;18.2;61;10;;0.1;2;4;;6;72
11/05/2015;0.7;161;17.5;59;9;;0.1;2;4;;6;79
12/05/2015;0.8;168;18.4;56;13;;0.1;2;4;;6;84
13/05/2015;0.4;184;21.1;61;19;;0.1;3;6;;9;82
14/05/2015;1;230;25.5;30;;3;0.2;3;4;;7;76
15/05/2015;1.2;151;18.1;39;;3;0.1;2;4;15;6;87
16/05/2015;0.7;115;18.1;42;;3;0.1;2;4;5;6;88
17/05/2015;0.9;156;17.4;53;;3;0.2;2;4;14;6;78
18/05/2015;0.9;151;17.6;63;;3;0.2;3;4;16;7;73
19/05/2015;0.4;198;14.2;83;;3;0.1;2;4;12;6;49
20/05/2015;0.5;124;14.2;64;;3;0.1;2;4;8;6;68
21/05/2015;0.8;129;14.9;52;;3;0.1;2;4;8;6;79
22/05/2015;0.6;125;14.7;55;;3;0.1;2;4;12;6;79
23/05/2015;0.6;143;15.5;58;;3;0.1;2;4;15;6;77
24/05/2015;0.5;178;15.2;67;;3;0.1;3;4;11;6;66
25/05/2015;0.2;173;16.5;63;;3;0.1;2;4;12;6;61
26/05/2015;0.6;137;18;55;;3;0.1;2;4;11;6;64
27/05/2015;0.8;145;17.1;58;;3;0.1;2;4;12;6;71
28/05/2015;0.9;143;16.8;67;;3;0.1;2;4;16;6;75
29/05/2015;0.7;140;17.2;65;;3;0.1;2;4;15;6;77
30/05/2015;0.7;165;16.8;74;;3;0.1;2;4;17;6;68
31/05/2015;0.5;128;17.6;77;;3;0.1;3;4;14;6;59
01/06/2015;0.6;177;17.9;75;;3;0.2;3;4;16;7;52
02/06/2015;0.7;143;18.5;69;;3;0.1;2;4;19;6;55
03/06/2015;0.8;156;20;55;;3;0.1;3;4;17;6;72
04/06/2015;0.8;164;19.6;48;;3;0.1;2;4;;6;82
05/06/2015;0.8;150;19.4;50;11;4;0.1;2;4;;6;79
06/06/2015;0.9;153;19.8;48;10;3;0.1;3;4;;7;81
07/06/2015;0.7;145;20;43;8;3;0.1;2;4;;6;86
08/06/2015;0.6;140;20.8;42;11;3;0.1;3;4;;7;92
09/06/2015;0.6;176;19.7;56;12;3;0.2;2;4;;6;88
10/06/2015;0.6;163;18.4;76;13;3;;2;4;;6;73
11/06/2015;0.4;192;16.9;88;;3;0.2;2;4;;6;50
12/06/2015;0.6;147;18.9;70;;3;0.1;3;4;18;7;76
13/06/2015;0.5;186;16.7;;;3;0.2;2;4;;6;50
14/06/2015;0.6;226;18.4;49;;3;0.1;2;4;9;6;65
15/06/2015;0.4;202;15.7;68;;3;0.1;2;4;;6;62
16/06/2015;0.3;157;16.8;68;;3;0.1;2;4;5;6;64
17/06/2015;0.5;119;18.7;64;;3;0.1;2;4;11;6;79
18/06/2015;0.5;142;19.4;64;;3;0.2;;;19;;72
19/06/2015;0.7;141;20.6;56;;3;0.2;;;18;;83
20/06/2015;0.7;149;20.1;59;;3;0.1;;;;;72
21/06/2015;0.9;144;20.6;66;;3;0.2;;;17;;71
22/06/2015;0.5;192;19.1;77;;3;0.2;;;17;;65
23/06/2015;0.5;209;18.6;76;;3;0.1;;;;;72
24/06/2015;0.6;155;18.3;73;;3;0.1;;;13;;65
25/06/2015;0.8;153;20.4;66;;3;0.2;;;;;68
26/06/2015;0.6;165;22.6;57;;3;0.1;;;;;84
27/06/2015;0.7;161;23.2;56;;3;0.1;;;23;;91
28/06/2015;0.7;152;23.7;58;;3;0.2;;;;;97
29/06/2015;0.8;134;23;58;;3;0.2;;;21;;89
30/06/2015;0.9;160;22.8;53;;3;0.1;;;;;93
01/07/2015;0.8;153;22.3;51;;3;0.2;;;;;91
02/07/2015;0.6;165;21.2;56;;3;0.1;2;6;;8;94
03/07/2015;0.8;145;22.2;59;15;3;0.1;2;8;;9;89
04/07/2015;0.6;156;22.5;52;16;3;0.1;2;5;;7;88
05/07/2015;0.6;162;23.8;50;17;3;0.2;2;4;;6;87
06/07/2015;0.5;169;24.3;49;18;3;0.1;2;6;;8;90
07/07/2015;0.4;220;24.7;52;22;3;0.2;2;9;;11;85
08/07/2015;0.7;151;23.6;57;27;3;0.2;2;9;;10;86
09/07/2015;0.6;115;21.9;74;;3;0.3;2;7;;8;62
