Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;00:00:00;9;28;42;316;N;28;170;0.7;14.0;82;1023;0;0.0
01/01/2014;01:00:00;5;3;31;231;N;45;13;1.6;14.2;80;1023;0;0.0
01/01/2014;02:00:00;5;3;21;53;N;55;21;1.4;13.7;78;1022;0;0.0
01/01/2014;03:00:00;5;2;13;42;N;64;13;1.2;13.5;75;1022;0;0.0
01/01/2014;04:00:00;5;2;16;41;N;58;5;1.2;13.1;74;1021;0;0.0
01/01/2014;05:00:00;5;2;15;43;N;56;5;0.8;12.5;77;1021;0;0.0
01/01/2014;06:00:00;5;3;18;43;N;52;14;1.0;11.8;78;1021;0;0.0
01/01/2014;07:00:00;5;5;31;41;N;37;173;0.8;11.4;80;1022;0;0.0
01/01/2014;08:00:00;5;3;22;42;N;48;14;0.6;11.9;80;1022;62;0.0
01/01/2014;09:00:00;5;3;10;39;N;67;33;1.1;15.1;73;1023;237;0.0
01/01/2014;10:00:00;5;4;9;33;N;74;112;1.3;18.0;66;1023;396;0.0
01/01/2014;11:00:00;5;3;5;40;N;84;114;3.1;18.1;67;1024;521;0.0
01/01/2014;12:00:00;5;2;4;26;N;87;113;3.0;18.3;66;1023;576;0.0
01/01/2014;13:00:00;5;3;4;24;N;90;124;3.6;18.3;65;1022;585;0.0
01/01/2014;14:00:00;5;3;5;23;N;90;125;3.1;17.9;67;1021;534;0.0
01/01/2014;15:00:00;5;2;4;15;N;92;133;3.2;18.0;68;1021;432;0.0
01/01/2014;16:00:00;5;3;6;16;N;87;124;2.8;17.7;69;1021;289;0.0
01/01/2014;17:00:00;6;14;28;23;N;66;90;2.0;17.6;68;1021;125;0.0
01/01/2014;18:00:00;6;2;8;23;N;79;79;1.9;16.5;71;1022;3;0.0
01/01/2014;19:00:00;6;3;18;18;N;62;33;1.2;15.5;74;1022;0;0.0
01/01/2014;20:00:00;5;3;17;23;N;61;13;1.6;14.9;75;1022;0;0.0
01/01/2014;21:00:00;5;3;17;26;N;58;5;1.0;14.2;77;1023;0;0.0
01/01/2014;22:00:00;5;4;23;31;N;50;327;1.4;13.7;78;1023;0;0.0
01/01/2014;23:00:00;4;2;17;34;N;53;173;1.1;13.2;81;1023;0;0.0
02/01/2014;00:00:00;4;3;14;29;4;59;5;1.1;12.7;82;1022;0;0.0
02/01/2014;01:00:00;4;2;5;21;8;76;5;1.2;13.2;83;1022;0;0.0
02/01/2014;02:00:00;5;2;4;15;5;77;5;1.5;13.3;83;1022;0;0.0
02/01/2014;03:00:00;4;2;3;15;6;74;14;1.1;12.9;84;1021;0;0.0
02/01/2014;04:00:00;5;2;4;15;7;70;5;1.2;12.2;85;1021;0;0.0
02/01/2014;05:00:00;4;2;6;13;5;69;5;1.2;12.4;86;1021;0;0.0
02/01/2014;06:00:00;5;3;21;10;8;54;5;1.2;12.4;86;1021;0;0.0
02/01/2014;07:00:00;4;6;45;24;5;34;5;0.7;12.3;86;1021;0;0.0
02/01/2014;08:00:00;5;8;48;21;7;37;14;1.4;13.3;84;1022;68;0.0
02/01/2014;09:00:00;5;9;28;16;6;57;56;1.6;15.9;77;1022;239;0.0
02/01/2014;10:00:00;6;10;20;15;7;70;92;2.1;17.9;72;1023;390;0.0
02/01/2014;11:00:00;9;15;34;21;12;57;114;3.4;18.0;71;1023;506;0.0
02/01/2014;12:00:00;11;16;35;18;8;58;114;4.0;18.0;71;1022;577;0.0
02/01/2014;13:00:00;16;16;32;16;7;57;123;3.5;18.1;72;1021;587;0.0
02/01/2014;14:00:00;7;4;9;14;8;77;124;3.2;18.3;73;1021;538;0.0
02/01/2014;15:00:00;14;14;34;12;9;55;113;4.0;18.2;71;1021;434;0.0
02/01/2014;16:00:00;19;17;46;15;7;46;113;2.5;18.2;71;1021;291;0.0
02/01/2014;17:00:00;10;23;43;24;10;51;101;3.0;17.8;74;1021;124;0.0
02/01/2014;18:00:00;6;4;22;24;12;68;90;2.0;16.9;76;1022;3;0.0
02/01/2014;19:00:00;5;2;20;13;5;63;68;1.5;16.3;78;1022;0;0.0
02/01/2014;20:00:00;5;3;26;17;7;56;34;1.2;15.5;80;1022;0;0.0
02/01/2014;21:00:00;5;3;20;13;5;60;15;1.1;15.2;81;1023;0;0.0
02/01/2014;22:00:00;5;2;18;15;10;58;21;1.2;14.4;77;1023;0;0.0
02/01/2014;23:00:00;5;2;13;23;5;65;13;1.3;14.1;80;1023;0;0.0
03/01/2014;00:00:00;5;2;8;9;7;66;22;1.2;13.7;83;1023;0;0.0
03/01/2014;01:00:00;5;2;7;11;7;71;13;1.5;13.6;85;1023;0;0.0
03/01/2014;02:00:00;4;2;5;14;5;78;14;1.4;13.9;87;1022;0;0.0
03/01/2014;03:00:00;4;2;4;11;5;80;21;1.5;14.2;87;1022;0;0.0
03/01/2014;04:00:00;4;2;4;12;6;74;21;1.0;14.1;88;1022;0;0.0
03/01/2014;05:00:00;4;2;9;15;8;67;13;1.0;13.9;89;1022;0;0.0
03/01/2014;06:00:00;5;3;15;10;8;58;21;1.1;13.9;89;1022;0;0.0
03/01/2014;07:00:00;5;7;46;16;6;29;23;1.1;14.1;89;1023;0;0.0
03/01/2014;08:00:00;5;16;58;41;12;22;33;1.2;14.5;89;1023;15;0.0
03/01/2014;09:00:00;4;9;31;16;6;55;68;2.1;16.7;83;1024;228;0.0
03/01/2014;10:00:00;5;6;19;17;12;67;112;3.0;17.9;76;1024;173;0.0
03/01/2014;11:00:00;6;8;21;11;5;64;112;2.4;18.9;74;1024;481;0.0
03/01/2014;12:00:00;6;7;16;14;10;72;112;4.0;18.9;72;1023;585;0.0
03/01/2014;13:00:00;8;12;23;22;7;64;114;3.2;19.0;72;1023;583;0.0
