Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
01/09/2015;1:00:00;32;2;12;2;54;89;0.1;52.6;0;943;20.8
01/09/2015;2:00:00;31;3;14;2;45;132;0;57.3;0;943;20
01/09/2015;3:00:00;21;2;14;2;26;295;0;62;0;943;19
01/09/2015;4:00:00;26;2;19;2;10;184;0.3;68.3;0;943;18
01/09/2015;5:00:00;28;2;17;2;22;91;0;67.1;0;943;18
01/09/2015;6:00:00;23;2;12;2;40;107;0;64.5;0;943;18.1
01/09/2015;7:00:00;33;2;21;2;5;279;0;71;0;943;17.1
01/09/2015;8:00:00;31;2;28;6;9;264;0;72.1;0;943;16.8
01/09/2015;9:00:00;36;3;37;17;6;245;0;69.8;0;944;17.3
01/09/2015;10:00:00;39;2;36;23;10;179;0;61.8;0;944;19.6
01/09/2015;11:00:00;29;2;22;7;48;69;0.2;51.4;0;944;22.9
01/09/2015;12:00:00;29;2;9;3;75;91;0.2;47.5;0;945;24.1
01/09/2015;13:00:00;32;2;10;3;85;222;0.2;41.8;0;944;26.1
01/09/2015;14:00:00;32;2;8;2;92;47;0.4;37.6;0;944;26.8
01/09/2015;15:00:00;28;2;6;2;99;39;0.2;36.5;0;944;27.2
01/09/2015;16:00:00;33;3;6;3;102;67;0.3;34.3;0;943;27.8
01/09/2015;17:00:00;34;3;5;2;111;226;0.5;31.4;0;942;28.9
01/09/2015;18:00:00;33;3;6;2;113;199;0.4;29.3;0;942;29.6
01/09/2015;19:00:00;30;2;6;2;113;275;0.7;28.8;0;942;29.3
01/09/2015;20:00:00;38;3;9;2;104;269;0.6;28.7;0;942;28.4
01/09/2015;21:00:00;38;3;19;2;92;205;0.1;31.4;0;941;27.2
01/09/2015;22:00:00;42;2;33;2;65;250;0.2;34.9;0;942;25.5
01/09/2015;23:00:00;51;2;21;2;53;6;0;36.5;0;942;23.5
01/09/2015;0:00:00;32;2;12;2;61;255;0.4;39.9;0;942;21.9
02/09/2015;1:00:00;22;3;10;2;67;243;0.6;43;0;942;21.3
02/09/2015;2:00:00;25;2;8;2;66;247;0.6;45.1;0;942;20.5
02/09/2015;3:00:00;25;2;7;2;69;249;0.8;47;0;942;19.5
02/09/2015;4:00:00;27;3;5;2;84;245;1.1;45.4;0;942;19.5
02/09/2015;5:00:00;29;2;5;2;86;251;0.5;46.4;0;942;18.9
02/09/2015;6:00:00;25;2;6;2;76;269;0;49.5;0;942;17.9
02/09/2015;7:00:00;29;2;7;2;77;244;0;51.6;0;942;17.5
02/09/2015;8:00:00;20;2;16;2;64;248;0;53.1;0;942;17
02/09/2015;9:00:00;31;3;27;3;53;247;0.6;50.5;0;942;17.3
02/09/2015;10:00:00;33;3;19;5;58;353;0;46.9;0;942;19.7
02/09/2015;11:00:00;27;3;6;2;85;254;0.4;44.5;0;942;22.3
