Fecha;Hora;NO;NO2;O3;PM10;TMP;HR;PRB;LL
01/01/2015;1:00:00;0.2;2;72;22;13.4;74;1029;0.0
01/01/2015;2:00:00;0.2;2;69;15;12.9;76;1029;0.0
01/01/2015;3:00:00;0.3;2;69;16;13.1;75;1030;0.0
01/01/2015;4:00:00;0.3;2;67;12;13.2;74;1030;0.0
01/01/2015;5:00:00;0.3;2;67;23;13.3;71;1031;0.0
01/01/2015;6:00:00;0.3;2;67;27;13.6;67;1031;0.0
01/01/2015;7:00:00;0.2;2;67;14;13.3;66;1032;0.0
01/01/2015;8:00:00;0.1;3;64;16;13.1;68;1033;0.0
01/01/2015;9:00:00;0.5;3;64;16;14.1;67;1033;0.0
01/01/2015;10:00:00;0.5;3;68;30;14.6;66;1034;0.0
01/01/2015;11:00:00;0.6;3;66;20;14.5;68;1034;0.0
01/01/2015;12:00:00;0.9;3;70;22;14.6;71;1034;0.0
01/01/2015;13:00:00;0.5;2;75;24;14.9;67;1033;0.0
01/01/2015;14:00:00;0.4;2;82;24;14.9;61;1033;0.0
01/01/2015;15:00:00;0.4;2;86;24;14.7;61;1034;0.0
01/01/2015;16:00:00;0.5;3;84;24;14.4;62;1034;0.0
01/01/2015;17:00:00;1.1;5;75;27;13.5;68;1034;0.0
01/01/2015;18:00:00;0.7;4;78;35;13.2;69;1035;0.0
01/01/2015;19:00:00;0.3;3;77;24;13.2;71;1035;0.0
01/01/2015;20:00:00;0.4;5;69;23;13.0;72;1035;0.0
01/01/2015;21:00:00;0.2;5;69;27;13.0;73;1035;0.0
01/01/2015;22:00:00;0.2;3;75;20;13.3;74;1035;0.0
01/01/2015;23:00:00;0.2;2;78;20;13.6;74;1035;0.0
01/01/2015;0:00:00;0.3;2;80;21;13.9;74;1035;0.0
02/01/2015;1:00:00;0.1;2;82;22;14.2;75;1034;0.0
02/01/2015;2:00:00;0.2;2;82;19;14.4;75;1034;0.0
02/01/2015;3:00:00;0.2;2;80;20;14.4;75;1034;0.0
02/01/2015;4:00:00;0.9;3;77;23;14.3;74;1034;0.0
02/01/2015;5:00:00;0.4;2;74;23;14.0;73;1034;0.0
02/01/2015;6:00:00;2.7;10;69;27;14.3;75;1034;0.0
02/01/2015;7:00:00;3.1;10;65;21;14.4;77;1035;0.0
02/01/2015;8:00:00;8.1;21;45;22;14.5;78;1036;0.0
02/01/2015;9:00:00;7.6;19;52;23;15.8;79;1036;0.0
02/01/2015;10:00:00;0.9;5;76;35;16.6;76;1036;0.0
02/01/2015;11:00:00;1.0;4;82;23;16.7;73;1037;0.0
02/01/2015;12:00:00;0.6;3;85;20;17.0;73;1036;0.0
02/01/2015;13:00:00;0.6;3;87;30;17.1;74;1036;0.0
02/01/2015;14:00:00;0.4;2;90;13;17.1;73;1035;0.0
02/01/2015;15:00:00;0.7;4;90;26;16.9;71;1035;0.0
02/01/2015;16:00:00;0.4;3;88;32;16.6;72;1035;0.0
02/01/2015;17:00:00;0.4;4;84;24;15.7;76;1035;0.0
02/01/2015;18:00:00;0.3;5;80;33;15.2;79;1036;0.0
02/01/2015;19:00:00;0.3;3;82;28;15.1;80;1036;0.0
02/01/2015;20:00:00;0.4;5;80;22;14.9;76;1036;0.0
