Fecha;NO;NO2;O3
01/01/2015;13;46;23
02/01/2015;61;74;5
03/01/2015;37;59;14
04/01/2015;28;53;11
05/01/2015;60;59;5
06/01/2015;36;41;12
07/01/2015;68;62;6
08/01/2015;60;54;5
09/01/2015;38;48;8
10/01/2015;67;57;5
11/01/2015;41;43;10
12/01/2015;42;60;15
13/01/2015;60;61;15
14/01/2015;39;48;23
15/01/2015;31;56;16
16/01/2015;64;44;17
17/01/2015;13;19;36
18/01/2015;25;32;24
19/01/2015;13;42;18
20/01/2015;8;27;23
21/01/2015;14;27;22
22/01/2015;22;36;21
23/01/2015;27;43;20
24/01/2015;2;9;51
25/01/2015;4;23;52
26/01/2015;15;40;24
27/01/2015;22;40;21
28/01/2015;18;42;23
29/01/2015;15;37;27
30/01/2015;3;21;47
31/01/2015;3;14;48
01/02/2015;2;6;57
02/02/2015;16;42;29
03/02/2015;16;34;25
04/02/2015;6;33;35
05/02/2015;19;43;29
06/02/2015;8;36;32
07/02/2015;5;31;26
08/02/2015;3;22;35
09/02/2015;19;52;23
10/02/2015;40;69;15
11/02/2015;74;76;15
12/02/2015;57;71;20
13/02/2015;36;68;19
14/02/2015;22;41;26
15/02/2015;5;30;30
16/02/2015;41;66;13
17/02/2015;23;55;18
18/02/2015;13;38;30
19/02/2015;10;40;37
20/02/2015;26;65;23
21/02/2015;2;36;43
22/02/2015;3;25;55
23/02/2015;18;45;23
24/02/2015;4;19;47
25/02/2015;11;41;35
26/02/2015;51;72;8
27/02/2015;25;49;26
28/02/2015;3;34;43
01/03/2015;20;61;15
02/03/2015;11;40;22
03/03/2015;6;34;29
04/03/2015;29;64;40
05/03/2015;11;38;55
06/03/2015;33;60;33
07/03/2015;14;41;42
08/03/2015;7;46;47
09/03/2015;33;77;29
10/03/2015;27;74;33
11/03/2015;80;103;16
12/03/2015;52;59;47
13/03/2015;18;53;64
14/03/2015;1;28;61
15/03/2015;3;37;44
16/03/2015;10;43;41
17/03/2015;9;35;49
18/03/2015;4;18;80
19/03/2015;3;21;84
20/03/2015;6;23;85
21/03/2015;1;8;84
22/03/2015;1;14;70
23/03/2015;4;20;81
24/03/2015;3;22;74
25/03/2015;8;36;44
26/03/2015;12;49;40
27/03/2015;10;42;41
28/03/2015;20;37;37
29/03/2015;5;30;43
30/03/2015;13;44;38
31/03/2015;12;37;51
01/04/2015;9;44;43
02/04/2015;4;35;61
03/04/2015;2;30;61
04/04/2015;3;28;64
05/04/2015;1;19;68
06/04/2015;2;13;84
07/04/2015;7;34;65
08/04/2015;23;54;61
09/04/2015;14;42;70
10/04/2015;12;47;65
11/04/2015;2;27;80
12/04/2015;2;28;83
13/04/2015;17;69;42
14/04/2015;23;71;44
15/04/2015;18;50;59
16/04/2015;4;39;67
17/04/2015;12;41;55
18/04/2015;18;62;36
19/04/2015;2;18;72
20/04/2015;12;33;58
21/04/2015;19;45;52
22/04/2015;10;46;54
23/04/2015;13;49;58
24/04/2015;20;58;49
25/04/2015;7;43;64
26/04/2015;3;23;66
27/04/2015;4;23;58
28/04/2015;6;26;65
29/04/2015;15;42;53
30/04/2015;12;44;52
01/05/2015;4;35;67
02/05/2015;11;49;50
03/05/2015;14;55;48
04/05/2015;4;25;74
05/05/2015;19;45;54
06/05/2015;22;63;38
07/05/2015;14;52;49
08/05/2015;14;47;59
09/05/2015;9;46;55
10/05/2015;9;47;43
11/05/2015;39;71;29
12/05/2015;22;61;37
13/05/2015;13;54;52
14/05/2015;12;43;54
15/05/2015;8;27;70
16/05/2015;10;35;73
17/05/2015;4;39;66
18/05/2015;15;62;44
19/05/2015;8;46;42
20/05/2015;6;23;53
21/05/2015;8;33;55
22/05/2015;7;37;64
23/05/2015;5;36;65
24/05/2015;4;37;65
25/05/2015;22;59;47
26/05/2015;4;27;68
27/05/2015;4;23;72
28/05/2015;5;41;69
29/05/2015;18;61;49
30/05/2015;3;28;73
31/05/2015;2;25;78
01/06/2015;7;44;60
02/06/2015;10;50;53
03/06/2015;39;79;30
04/06/2015;22;68;42
05/06/2015;27;80;33
06/06/2015;11;44;69
07/06/2015;8;55;68
08/06/2015;6;51;73
09/06/2015;9;55;63
10/06/2015;5;27;84
11/06/2015;3;26;77
12/06/2015;8;37;63
13/06/2015;2;10;93
14/06/2015;2;22;75
15/06/2015;3;18;81
16/06/2015;3;36;74
17/06/2015;4;29;75
18/06/2015;5;35;77
19/06/2015;4;28;85
20/06/2015;3;35;74
21/06/2015;4;35;59
22/06/2015;7;41;65
23/06/2015;4;35;71
24/06/2015;2;22;74
25/06/2015;5;23;86
26/06/2015;10;43;60
27/06/2015;10;30;70
28/06/2015;4;28;60
29/06/2015;16;60;48
30/06/2015;20;67;49
01/07/2015;8;41;50
02/07/2015;5;27;77
03/07/2015;8;42;64
04/07/2015;10;67;52
05/07/2015;10;64;62
06/07/2015;28;94;37
07/07/2015;24;77;40
08/07/2015;5;27;55
09/07/2015;6;34;58
10/07/2015;9;50;41
11/07/2015;2;28;67
12/07/2015;3;30;51
13/07/2015;4;35;47
14/07/2015;6;37;45
15/07/2015;26;59;26
16/07/2015;18;46;46
17/07/2015;5;26;46
18/07/2015;4;26;42
19/07/2015;2;23;70
20/07/2015;7;32;45
21/07/2015;11;42;30
22/07/2015;6;39;77
23/07/2015;3;35;59
24/07/2015;4;26;50
25/07/2015;Sense dades;Sense dades;59
26/07/2015;Sense dades;Sense dades;55
27/07/2015;3;20;32
28/07/2015;3;28;35
29/07/2015;8;27;33
30/07/2015;3;18;46
31/07/2015;3;24;62
01/08/2015;1;15;78
02/08/2015;4;32;63
03/08/2015;7;39;45
04/08/2015;4;23;56
05/08/2015;13;40;42
06/08/2015;7;27;41
07/08/2015;8;24;37
08/08/2015;4;26;37
09/08/2015;3;21;51
10/08/2015;4;19;58
11/08/2015;8;35;53
12/08/2015;9;34;40
13/08/2015;6;35;47
14/08/2015;6;27;53
15/08/2015;2;19;55
16/08/2015;3;23;52
17/08/2015;2;22;59
18/08/2015;2;24;50
19/08/2015;7;37;48
20/08/2015;8;38;45
21/08/2015;6;35;49
22/08/2015;8;30;56
23/08/2015;4;26;60
24/08/2015;5;23;54
25/08/2015;6;27;47
26/08/2015;7;34;45
27/08/2015;10;36;48
28/08/2015;15;33;43
29/08/2015;3;20;50
30/08/2015;2;19;52
31/08/2015;10;41;46
01/09/2015;4;26;63
02/09/2015;5;26;60
03/09/2015;3;18;77
04/09/2015;5;36;46
05/09/2015;2;22;63
06/09/2015;3;24;65
07/09/2015;5;27;63
08/09/2015;6;31;62
09/09/2015;11;47;57
10/09/2015;17;57;30
11/09/2015;8;36;40
12/09/2015;3;29;51
13/09/2015;13;49;34
14/09/2015;9;34;44
15/09/2015;9;42;48
16/09/2015;15;50;41
17/09/2015;6;30;60
18/09/2015;6;33;53
19/09/2015;6;36;53
20/09/2015;2;22;69
21/09/2015;14;39;40
22/09/2015;17;44;43
