Fecha;CO;NO;NO2;NOX;O3;PM10;SO2
1/10/2015;0.13;9.4;42.0;55.0;54.0;20.0;3.4
2/10/2015;0.13;18.0;46.0;72.0;46.0;16.0;4.3
3/10/2015;0.1;3.1;33.0;35.0;55.0;18.0;4.0
4/10/2015;0.1;1.8;8.0;9.1;55.0;6.1;2.2
5/10/2015;0.1;3.5;12.0;16.0;64.0;9.9;2.3
6/10/2015;0.1;3.5;22.0;26.0;56.0;13.0;2.5
7/10/2015;0.11;12.0;33.0;50.0;32.0;null(null);4.3
8/10/2015;0.13;21.0;37.0;68.0;24.0;15.0;4.0
9/10/2015;0.18;23.0;50.0;84.0;25.0;24.0;4.6
10/10/2015;0.1;3.0;20.0;23.0;57.0;11.0;1.2
11/10/2015;0.1;2.0;14.0;15.0;38.0;1.1;2.7
12/10/2015;0.1;1.6;11.0;11.0;46.0;2.8;2.8
13/10/2015;0.12;12.0;36.0;53.0;38.0;11.0;5.1
14/10/2015;0.12;9.1;38.0;50.0;37.0;15.0;1.9
15/10/2015;0.21;13.0;44.0;61.0;39.0;15.0;3.3
16/10/2015;0.15;17.0;49.0;72.0;28.0;21.0;5.3
17/10/2015;0.1;3.2;19.0;22.0;60.0;11.0;2.8
18/10/2015;0.11;5.4;27.0;33.0;35.0;6.5;2.8
19/10/2015;0.12;15.0;24.0;47.0;28.0;4.0;4.0
20/10/2015;0.1;4.4;20.0;25.0;53.0;6.7;3.0
21/10/2015;0.14;17.0;44.0;68.0;31.0;12.0;6.1
22/10/2015;0.16;22.0;47.0;80.0;34.0;17.0;4.1
23/10/2015;0.11;15.0;37.0;60.0;46.0;15.0;2.0
24/10/2015;0.1;2.6;17.0;20.0;62.0;9.7;3.7
25/10/2015;0.1;3.3;17.0;21.0;56.0;8.6;2.7
26/10/2015;0.1;6.3;33.0;41.0;44.0;5.0;3.8
27/10/2015;0.1;6.4;28.0;37.0;57.0;7.1;1.9
28/10/2015;0.1;8.1;26.0;37.0;62.0;9.4;4.7
29/10/2015;0.1;5.7;20.0;28.0;60.0;2.6;3.9
30/10/2015;0.1;4.0;21.0;26.0;58.0;7.6;2.5
31/10/2015;0.11;6.2;27.0;35.0;61.0;8.0;2.4
1/07/2015;0.12;4.4;13.0;19.0;42.0;16.0;3.8
2/07/2015;0.12;4.9;12.0;19.0;39.0;14.0;3.5
3/07/2015;0.19;6.8;19.0;29.0;35.0;22.0;4.0
4/07/2015;0.22;2.3;12.0;16.0;40.0;31.0;2.4
5/07/2015;0.26;1.8;10.0;13.0;46.0;38.0;null(null)
6/07/2015;0.26;5.9;17.0;25.0;39.0;null(null);null(null)
7/07/2015;0.27;4.7;16.0;23.0;30.0;null(null);5.2
8/07/2015;0.26;2.4;12.0;16.0;50.0;null(null);4.5
9/07/2015;0.69;8.1;23.0;35.0;67.0;null(null);6.7
10/07/2015;0.17;2.3;8.8;12.0;58.0;null(null);3.8
11/07/2015;0.23;1.8;12.0;14.0;39.0;null(null);3.8
12/07/2015;0.22;1.6;12.0;14.0;44.0;null(null);5.2
13/07/2015;0.21;3.9;18.0;24.0;39.0;23.0;3.2
14/07/2015;0.12;2.9;20.0;25.0;39.0;21.0;4.5
15/07/2015;0.11;2.1;14.0;17.0;55.0;17.0;4.0
16/07/2015;0.1;2.0;9.7;12.0;43.0;9.3;3.0
17/07/2015;0.11;4.3;10.0;17.0;28.0;6.0;4.1
18/07/2015;0.1;2.3;11.0;14.0;38.0;4.8;4.5
19/07/2015;0.1;1.3;8.7;10.0;37.0;7.4;3.3
20/07/2015;0.11;3.3;11.0;16.0;27.0;6.2;5.5
21/07/2015;0.1;3.5;7.7;12.0;32.0;5.4;4.8
22/07/2015;0.11;2.6;13.0;17.0;44.0;13.0;6.1
23/07/2015;0.12;3.7;15.0;20.0;42.0;10.0;5.7
24/07/2015;0.1;2.8;7.5;11.0;46.0;3.7;4.0
25/07/2015;0.1;1.3;7.4;8.9;67.0;11.0;4.2
26/07/2015;0.1;1.9;9.2;12.0;32.0;7.0;3.2
27/07/2015;0.1;1.3;6.4;7.9;47.0;7.8;2.9
28/07/2015;0.1;2.6;9.7;13.0;28.0;7.1;3.9
29/07/2015;0.1;1.7;6.6;8.9;37.0;3.4;3.3
30/07/2015;0.1;3.9;16.0;22.0;39.0;6.4;4.6
31/07/2015;0.1;1.4;8.9;11.0;63.0;5.5;4.9
1/09/2015;0.1;7.0;9.4;17.0;55.0;4.8;2.8
2/09/2015;0.1;2.3;7.9;11.0;56.0;6.2;4.3
3/09/2015;0.11;1.2;5.9;7.2;67.0;5.0;3.2
4/09/2015;0.1;2.9;11.0;15.0;59.0;5.0;5.1
5/09/2015;0.1;1.6;12.0;13.0;60.0;5.2;5.1
6/09/2015;0.1;1.4;17.0;19.0;55.0;9.3;5.6
7/09/2015;0.14;3.4;25.0;29.0;52.0;14.0;5.3
8/09/2015;0.11;4.2;17.0;23.0;55.0;15.0;4.0
9/09/2015;0.1;2.0;16.0;18.0;41.0;8.8;4.2
10/09/2015;0.1;4.9;15.0;22.0;34.0;10.0;5.8
11/09/2015;0.11;8.0;20.0;32.0;27.0;11.0;4.8
12/09/2015;0.1;1.8;12.0;14.0;42.0;6.6;2.3
13/09/2015;0.1;1.3;5.7;7.3;59.0;5.2;2.9
14/09/2015;0.11;2.8;14.0;18.0;56.0;11.0;4.2
15/09/2015;0.1;2.2;7.3;10.0;51.0;2.3;1.2
16/09/2015;0.1;1.9;7.5;9.9;62.0;15.0;3.2
17/09/2015;0.1;4.4;16.0;23.0;44.0;7.8;4.2
18/09/2015;0.1;5.4;13.0;20.0;48.0;8.5;3.1
19/09/2015;0.12;4.3;21.0;27.0;41.0;7.8;5.3
20/09/2015;0.11;2.6;16.0;20.0;50.0;8.9;2.9
21/09/2015;0.13;8.1;19.0;31.0;45.0;10.0;5.1
22/09/2015;0.1;1.4;9.4;11.0;59.0;6.2;4.0
23/09/2015;0.15;9.5;18.0;32.0;36.0;7.9;5.6
24/09/2015;0.13;9.7;38.0;51.0;25.0;12.0;4.5
25/09/2015;0.15;16.0;52.0;74.0;50.0;22.0;5.4
26/09/2015;0.11;2.3;30.0;30.0;60.0;17.0;1.8
27/09/2015;0.1;2.4;23.0;23.0;46.0;12.0;2.5
28/09/2015;0.17;30.0;50.0;96.0;29.0;18.0;6.7
29/09/2015;0.14;15.0;58.0;79.0;53.0;15.0;4.2
30/09/2015;0.1;5.1;36.0;41.0;66.0;18.0;3.5
1/08/2015;0.11;1.3;16.0;17.0;71.0;7.8;2.8
2/08/2015;0.1;1.1;9.1;10.0;64.0;10.0;4.3
3/08/2015;0.1;3.8;14.0;20.0;43.0;9.3;4.6
4/08/2015;0.1;4.0;11.0;17.0;48.0;8.0;3.7
5/08/2015;0.1;2.5;13.0;16.0;48.0;7.5;2.5
6/08/2015;0.1;3.7;11.0;17.0;39.0;7.3;3.2
7/08/2015;0.1;1.3;6.8;8.0;61.0;12.0;3.8
8/08/2015;0.1;1.0;7.2;8.0;69.0;7.6;3.1
9/08/2015;0.13;2.0;17.0;19.0;65.0;11.0;5.9
10/08/2015;0.31;3.8;26.0;31.0;67.0;37.0;6.5
