Fecha;vv;dd;TMP;HR;PRB;RS;LL
01/01/2015;2;281;9.8;68;1023;101;0
02/01/2015;2;265;11.4;46;1024;109;0
03/01/2015;2;264;14.1;39;1022;111;0
04/01/2015;2.1;267;13.4;54;1019;108;0
05/01/2015;2.2;286;10.4;74;1017;106;0
06/01/2015;1;327;9.6;80;1014;97;0
07/01/2015;1.9;317;10.5;74;1019;67;0
08/01/2015;1.5;285;10.3;70;1025;105;0
09/01/2015;1.8;254;11.9;54;1028;113;0
10/01/2015;1.9;264;15.3;40;1019;117;0
11/01/2015;2.3;309;14.9;44;1017;110;0
12/01/2015;2.1;299;11.7;75;1020;103;0
13/01/2015;1.8;281;12.8;67;1013;109;0
14/01/2015;2;249;13.8;57;1013;114;0
15/01/2015;2.4;262;14.8;49;1005;109;0
16/01/2015;4.4;269;13.1;44;1001;75;0
17/01/2015;3.5;279;10.1;45;1009;120;0
18/01/2015;1.2;288;8.3;56;1003;82;1.4
19/01/2015;1.2;312;7.5;75;997;20;5.2
20/01/2015;1.7;271;7.5;54;998;103;0
21/01/2015;3.8;280;8.4;58;996;101;0
22/01/2015;3.8;316;9.5;48;1000;102;0
23/01/2015;4.4;302;11;33;1007;131;0
24/01/2015;4;272;11.3;37;1010;129;0
25/01/2015;3.5;312;13.8;24;1010;134;0
26/01/2015;1.5;280;10.3;44;1014;135;0
27/01/2015;3.5;289;12.3;48;1011;126;0
28/01/2015;2.4;272;11.5;54;1010;139;0
29/01/2015;5.7;265;13.8;50;998;107;0
30/01/2015;15.2;289;17.7;58;984;127;5.8
31/01/2015;7.7;292;13.3;52;983;130;2.4
01/02/2015;6.9;290;10.2;36;998;137;0
02/02/2015;4.7;264;9.5;54;998;94;0
03/02/2015;6.4;272;11.9;51;988;144;0.2
04/02/2015;4.8;280;7.2;44;988;84;0
05/02/2015;6.4;304;7.4;29;995;134;0
06/02/2015;4.2;284;6.7;35;998;141;0
07/02/2015;0.8;331;5.9;53;1007;50;0
08/02/2015;3;287;8.3;46;1009;157;0
09/02/2015;2.7;11;8.6;57;1013;122;0
10/02/2015;1.1;349;10.2;64;1013;116;0
11/02/2015;2.8;31;10.5;75;1010;57;0
12/02/2015;0.7;310;9.6;83;1009;37;1.8
13/02/2015;2.2;251;12.2;62;1008;145;0.2
14/02/2015;4.2;270;14.4;53;1003;87;0
15/02/2015;2.4;280;16.2;51;998;119;0
16/02/2015;2.5;272;14.2;61;1004;139;0
17/02/2015;5.2;21;12;64;1012;63;0.6
18/02/2015;1.9;21;11.8;57;1019;101;0
19/02/2015;1.6;338;10.3;70;1018;89;0.2
20/02/2015;2.6;290;9.9;70;1010;167;0
21/02/2015;5.1;269;11.9;53;995;99;0
22/02/2015;4.9;250;12.8;40;999;182;0
23/02/2015;5.5;268;15.4;51;1000;111;0
24/02/2015;7.1;301;13.5;33;1008;158;0
25/02/2015;5.4;294;14.6;39;1010;79;0
26/02/2015;5.2;283;18.4;42;1006;194;0
27/02/2015;6.4;272;14.9;37;1006;186;0
28/02/2015;2.1;227;12.2;45;1009;179;0
01/03/2015;3.7;258;18.4;46;1009;175;0
02/03/2015;3.7;277;21.3;46;1008;210;0
03/03/2015;1.7;68;15.6;73;1012;151;0
04/03/2015;4.3;260;14.2;58;1014;156;0.1
05/03/2015;3.9;315;12.7;30;1018;215;0
06/03/2015;2.7;51;11.7;47;1019;211;0
07/03/2015;1.9;219;13.2;54;1015;214;0
08/03/2015;0.8;46;11.9;73;1013;145;0
09/03/2015;0.9;240;13;66;1012;182;0
10/03/2015;1.5;3;13.2;61;1013;208;0
11/03/2015;1.3;27;13.9;66;1011;202;0
12/03/2015;2.5;310;15.8;56;1007;213;0
13/03/2015;1.4;65;13.1;75;1009;173;0
14/03/2015;2.5;231;12.1;53;1008;148;0.5
15/03/2015;2.4;244;11.1;46;1005;168;0.4
16/03/2015;1.5;192;10;65;1007;217;0.6
17/03/2015;2.4;135;9.9;68;1009;200;0
18/03/2015;4.5;56;11.1;83;1006;42;5
19/03/2015;11.5;42;12;82;1003;25;3.9
20/03/2015;13.5;40;11.5;81;998;50;11.7
21/03/2015;2.6;41;9.7;;995;96;21.6
22/03/2015;2.4;12;7.6;;997;37;4
23/03/2015;2.6;142;6.4;;996;48;17.8
24/03/2015;3.8;36;;;991;49;4.8
25/03/2015;5.1;311;12;;993;218;0
26/03/2015;3.8;298;12.9;38;1002;247;0
27/03/2015;5.1;279;19.8;38;1008;256;0
28/03/2015;2.8;283;20.2;44;1010;261;0
29/03/2015;2.6;68;18.3;50;1010;243;0
30/03/2015;3;291;22.8;35;1010;213;0
31/03/2015;1.7;264;22.5;38;1011;261;0
01/04/2015;2.2;109;17;55;1013;259;0
02/04/2015;1.7;232;15;62;1012;262;0
03/04/2015;1.1;20;14.8;69;1006;258;0
04/04/2015;2.1;102;13.7;73;1002;221;0
05/04/2015;1.6;104;14.1;71;1000;262;0
