Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;NO;NO2;NOX;O3
01/01/2015;4;284;7.1;19;892;120;0;5;2;5;6;80
02/01/2015;2.6;296;10.8;30;894;118;0;9;3;6;9;77
03/01/2015;6;299;13.6;28;893;117;0;10;2;6;9;75
04/01/2015;6.4;285;11.1;54;890;124;0;8;3;5;8;68
05/01/2015;1;96;12;50;887;120;0;5;2;4;7;71
06/01/2015;4.2;159;8.4;66;884;109;0;15;2;10;11;61
07/01/2015;2.6;122;5.3;89;889;54;0;19;2;9;11;60
08/01/2015;3.8;144;7.2;74;894;124;0;26;3;9;13;66
09/01/2015;6.1;47;11.1;69;898;126;0;23;3;8;11;67
10/01/2015;5.4;325;16.5;39;892;122;0;8;2;4;6;72
11/01/2015;6.4;320;8.5;70;889;25;0;11;2;4;7;68
12/01/2015;3.1;272;11;52;890;129;0;6;2;5;7;77
13/01/2015;1.7;223;13.1;40;884;122;0;5;2;4;6;72
14/01/2015;3.5;163;10.1;69;884;125;0;6;2;6;8;65
15/01/2015;2.6;141;12.5;50;877;122;0;6;2;4;6;72
16/01/2015;5.1;157;6.3;68;872;60;0;5;2;4;6;73
17/01/2015;5.6;80;2.5;68;880;103;0;7;2;4;7;72
18/01/2015;1.8;273;3.8;57;874;69;0;6;2;6;7;71
19/01/2015;3.7;;0.8;96;870;4;0;7;2;5;6;63
20/01/2015;4.1;;-.5;88;870;115;0;7;2;5;7;69
21/01/2015;5.5;;1.2;93;868;75;0;6;2;5;7;65
22/01/2015;5.8;;0.5;94;872;44;0;6;2;6;8;67
23/01/2015;8.6;;1;82;879;109;0;17;2;9;11;69
24/01/2015;9.9;;2.4;79;883;110;0;8;2;5;8;72
25/01/2015;9.9;;2.1;61;883;133;0;10;2;5;8;78
26/01/2015;8.3;;2.5;79;886;116;0;10;2;9;10;77
27/01/2015;8.4;;4.9;90;884;50;0;12;2;7;8;70
28/01/2015;7.5;;4.6;84;882;94;0;9;2;5;7;75
29/01/2015;7.9;;9.5;71;870;99;0;4;2;4;6;67
30/01/2015;8.2;;8.6;89;857;;0;5;2;4;6;66
31/01/2015;8.2;;3.2;89;857;;0;4;2;4;6;78
01/02/2015;9.1;;0.2;84;868;90;0;4;2;4;6;76
02/02/2015;4.5;;2.5;82;869;50;0;8;2;4;6;70
03/02/2015;5.7;;2.4;86;861;76;0;5;2;4;6;72
04/02/2015;7.5;;-3.6;92;862;30;0;5;2;5;7;75
05/02/2015;11.4;;-4.2;74;868;138;0;5;2;6;7;69
06/02/2015;7.2;;-4.7;79;870;131;0;8;3;9;11;59
07/02/2015;2.8;;-3.7;91;877;86;0;6;3;9;12;47
08/02/2015;6.7;;-1.9;88;881;96;0;6;2;5;7;66
09/02/2015;1.5;;1.9;75;883;148;0;6;3;5;8;77
10/02/2015;2;;4.9;62;883;178;0;6;2;4;7;91
11/02/2015;2.3;;4.5;84;882;66;0;4;2;4;6;93
12/02/2015;1.7;;5.8;78;881;37;0;3;2;4;6;92
13/02/2015;3;;7.4;71;879;136;0;3;2;5;6;77
14/02/2015;5.1;;6.4;81;875;78;0.2;3;2;4;6;76
15/02/2015;6.9;;7.6;90;871;68;0;4;2;4;6;65
16/02/2015;6.8;;5.8;93;878;53;7.2;4;2;5;8;72
17/02/2015;4.5;;3.4;97;885;34;2.2;3;3;5;9;69
18/02/2015;2.7;;3.3;87;890;145;0;4;2;6;9;67
19/02/2015;0.8;;4.5;78;889;123;0;3;3;5;8;95
20/02/2015;1.2;;5.8;76;880;178;0;3;2;7;10;100
21/02/2015;6.9;;3.8;86;868;35;0.2;3;2;4;6;83
22/02/2015;9;;3;86;871;81;0;3;2;5;7;84
23/02/2015;6.4;;9.5;78;873;145;0;4;2;5;7;66
24/02/2015;7.9;;2.4;88;879;51;0;3;2;5;7;79
25/02/2015;9.6;;5.2;91;881;24;0;5;2;4;7;83
