Fecha;TMP;HR;O3
01/01/2015;5.1;64;41
02/01/2015;6.1;62;42
03/01/2015;7.6;50;41
04/01/2015;9.3;52;45
05/01/2015;7.9;66;42
06/01/2015;7.1;67;44
07/01/2015;6.6;72;45
08/01/2015;6;71;40
09/01/2015;6.7;63;42
10/01/2015;9;53;42
11/01/2015;10.7;50;51
12/01/2015;10.2;65;48
13/01/2015;9.7;55;54
14/01/2015;9.5;60;52
15/01/2015;9.9;58;52
16/01/2015;8.5;58;65
17/01/2015;5.7;56;56
18/01/2015;3.3;67;51
19/01/2015;3.9;89;48
20/01/2015;3.6;63;55
21/01/2015;3.9;73;45
22/01/2015;4.8;69;54
23/01/2015;6.5;50;63
24/01/2015;6.2;49;61
25/01/2015;8.7;41;67
26/01/2015;6.5;45;58
27/01/2015;9.2;52;57
28/01/2015;8.8;55;62
29/01/2015;9.6;60;56
30/01/2015;14.1;66;59
31/01/2015;9.3;66;69
01/02/2015;5.5;54;68
02/02/2015;5.1;69;54
03/02/2015;7.1;75;63
04/02/2015;3.3;60;73
05/02/2015;4.1;38;69
06/02/2015;2.8;49;66
07/02/2015;1.2;66;43
08/02/2015;3.7;60;50
09/02/2015;4.1;76;56
10/02/2015;6.1;85;69
11/02/2015;7.2;89;67
12/02/2015;6.8;91;67
13/02/2015;8.3;75;58
14/02/2015;10.1;67;68
15/02/2015;11.4;69;63
16/02/2015;11.1;70;49
17/02/2015;7.6;84;60
18/02/2015;8.7;67;62
19/02/2015;7.1;78;79
20/02/2015;7.4;73;63
21/02/2015;7.5;65;65
22/02/2015;10.2;46;74
23/02/2015;10.5;66;55
24/02/2015;8.8;49;72
25/02/2015;8.9;56;69
26/02/2015;14.5;50;62
27/02/2015;12.4;43;69
28/02/2015;12.2;44;66
01/03/2015;14.7;55;55
02/03/2015;16.9;56;55
03/03/2015;16.2;66;50
04/03/2015;13;57;55
05/03/2015;9.4;33;77
06/03/2015;10.2;43;66
07/03/2015;12.9;39;71
08/03/2015;11.3;49;80
09/03/2015;13;52;79
10/03/2015;13.5;51;81
11/03/2015;15.4;46;80
12/03/2015;15.4;39;80
13/03/2015;12.8;64;93
14/03/2015;10.2;57;67
15/03/2015;8.2;53;72
16/03/2015;9;58;72
17/03/2015;8;65;78
18/03/2015;8.2;89;85
19/03/2015;9.2;;91
20/03/2015;9.3;;86
21/03/2015;10.5;;73
22/03/2015;9.5;;73
23/03/2015;10.9;;74
24/03/2015;9.4;;78
25/03/2015;8.5;53;78
26/03/2015;11;47;70
27/03/2015;16.9;52;54
28/03/2015;18.9;44;57
29/03/2015;18.4;42;65
30/03/2015;19.8;39;69
31/03/2015;20.9;43;73
01/04/2015;16.3;51;73
02/04/2015;14.9;54;76
03/04/2015;16.4;59;76
04/04/2015;14.7;63;73
05/04/2015;14.5;69;66
06/04/2015;10.9;77;74
07/04/2015;10.3;71;88
08/04/2015;11;59;96
09/04/2015;9.8;71;91
10/04/2015;13.1;65;92
11/04/2015;10.2;81;74
12/04/2015;12.9;68;102
13/04/2015;13.8;51;110
14/04/2015;15;51;101
15/04/2015;13.6;60;94
16/04/2015;15.3;64;79
17/04/2015;17.2;58;72
18/04/2015;17.6;58;86
19/04/2015;15;49;79
20/04/2015;15.4;59;84
21/04/2015;14.3;61;87
22/04/2015;15.8;66;94
23/04/2015;18;53;78
24/04/2015;19.4;54;88
25/04/2015;19.1;44;77
26/04/2015;16.5;58;73
27/04/2015;15.5;54;78
28/04/2015;16.4;54;72
29/04/2015;17.3;55;81
