Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
08/04/2015;16:00:00;31.25;2;3.5;4.25;112.75;335;2.3;23.475;0;941.5;16.4
08/04/2015;17:00:00;53.75;2.75;2.5;3.25;116.5;335;2.7;23.75;0;941;16.8
08/04/2015;18:00:00;49;2;3;3;113.25;337;2.2;25.975;0;941;15.9
08/04/2015;19:00:00;47.5;2;3.75;3.25;111.25;336;2.3;34.6;0;941;14.1
08/04/2015;20:00:00;38.25;2;5;4.75;105.25;334;1.9;43.35;0;941;12.15
08/04/2015;21:00:00;22.25;2;13;5;94.5;335;1.1;45.025;0;941.25;10.85
08/04/2015;22:00:00;11.25;2;8.5;3;93.5;339;1;49.9;0;942;9.65
08/04/2015;23:00:00;16.75;2;2;2;103.25;334;1;56.9;0;942;8.6
08/04/2015;0:00:00;10;2;2;2;108.5;119;1;51.7;0;942;8.35
09/04/2015;1:00:00;11;2;3;2.75;101;354;0.4;46.275;0;942;8.15
09/04/2015;2:00:00;13;2;2;2;102.25;356;0.5;41.025;0;941.75;8.225
09/04/2015;3:00:00;12;2;2;2;99.5;337;0.9;43.95;0;941.75;8
09/04/2015;4:00:00;12;2;2;2;108.75;351;1.7;32.475;0;941;8.475
09/04/2015;5:00:00;12;2;2;2;105;9;1.3;33.925;0;941;8.3
09/04/2015;6:00:00;11.25;2;2;2;102.25;342;0.8;33.575;0;941;8.2
09/04/2015;7:00:00;15;2;2;2;108.5;335;1.7;34.2;0;941;8.475
09/04/2015;8:00:00;17.25;2;3.5;2.75;92.25;339;0.8;68.95;1.16;941;5.925
09/04/2015;9:00:00;14.75;2;10.75;7.75;83.25;335;0.9;74.375;1.16;941.25;6
09/04/2015;10:00:00;3;2;23.75;14.25;56.25;25;0.8;70.225;0.29;942;6
09/04/2015;11:00:00;31.5;2;18.25;8;60.75;75;0.3;72.425;0.87;942;5.925
09/04/2015;12:00:00;19.75;2;16.5;10.5;72.5;179;1.9;65.525;0;943;7.45
09/04/2015;13:00:00;27;2;6.5;6.25;83.75;351;2.2;69.625;0.29;943;7.875
09/04/2015;14:00:00;25.25;2;8.25;7;81.75;342;1.9;83.375;0.29;943;7.225
09/04/2015;15:00:00;30.5;2;11.25;12;80.25;331;1.4;87.875;1.45;942.25;7.275
09/04/2015;16:00:00;18.25;2;9;7.75;81;333;1.3;81.45;0;941.5;8.175
09/04/2015;17:00:00;23.25;2;16.75;7;66.5;11;1.2;78.925;0;941;8.95
09/04/2015;18:00:00;29.5;2;14.25;7.75;74.75;353;1.6;77.675;0;941;9.45
09/04/2015;19:00:00;44.5;2;14.25;9.5;80;354;1.8;71.9;0;941;9.15
09/04/2015;20:00:00;30.75;2;14.75;9.75;83.5;343;1.4;68.675;0;941;9.85
09/04/2015;21:00:00;29.25;2;18.5;7;74.75;178;1.4;78.625;0;941;8.75
09/04/2015;22:00:00;36.5;2;21.5;5;63.25;342;0.5;83.425;0;941.25;7.95
09/04/2015;23:00:00;24.25;2;6.25;2.5;78.25;344;1;83.15;0;942;7.8
09/04/2015;0:00:00;30;2;2.25;2.25;105.5;331;1.5;79.75;0;942;8.225
