Fecha;Hora;SO2 ;NO2 ;PM10;PM25;O3 ;CO;BEN;TOL;XIL;dd;vv;TMP;HR;PRB
01/01/2014;0:00:00;6;9;45;21;42;0.7;0.7;1.1;0.8;195;0.9;14.2;63;994
01/01/2014;1:00:00;4;11;36;19;25;0.9;1.8;5.6;3.9;307;1.0;14.1;65;993
01/01/2014;2:00:00;2;13;28;15;16;0.8;1.2;3.2;2.3;292;0.6;13.5;61;993
01/01/2014;3:00:00;3;11;23;9;23;0.4;0.8;2.3;1.3;303;1.1;13.3;54;993
01/01/2014;4:00:00;7;8;22;10;31;0.8;0.5;2.9;2.1;285;1.1;13.2;63;992
01/01/2014;5:00:00;6;8;24;11;31;0.5;0.6;2.1;1.5;307;2.2;13.0;53;992
01/01/2014;6:00:00;4;12;26;8;34;0.5;0.5;1.4;1.0;296;1.2;12.9;52;992
01/01/2014;7:00:00;4;6;12;5;42;0.4;0.4;1.0;0.6;309;1.7;12.3;68;993
01/01/2014;8:00:00;4;9;10;3;35;0.2;0.5;1.6;0.8;319;1.5;12.3;70;993
01/01/2014;9:00:00;6;9;11;5;24;0.2;0.6;1.1;1.1;222;0.4;15.0;63;994
01/01/2014;10:00:00;2;11;12;5;53;0.2;0.3;0.9;0.4;101;0.1;17.2;58;994
01/01/2014;11:00:00;7;5;6;4;57;0.2;0.6;1.3;0.4;120;1.4;17.5;58;994
01/01/2014;12:00:00;3;5;4;2;63;0.1;0.7;1.1;0.5;114;1.4;17.2;66;994
01/01/2014;13:00:00;9;3;6;3;63;0.1;0.4;0.2;0.2;108;0.9;17.2;65;993
01/01/2014;14:00:00;3;2;7;2;69;0.1;0.3;0.1;0.2;132;1.2;17.1;65;992
01/01/2014;15:00:00;2;7;4;2;70;0.1;0.5;0.1;0.3;137;1.0;17.3;65;992
01/01/2014;16:00:00;7;9;2;2;65;0.2;0.5;0.1;0.2;157;0.8;17.2;66;991
01/01/2014;17:00:00;7;6;3;2;64;0.1;0.5;0.1;0.2;184;0.0;16.4;69;991
01/01/2014;18:00:00;6;8;6;3;56;0.2;0.8;0.7;0.8;311;1.2;15.6;71;992
01/01/2014;19:00:00;2;9;6;3;41;0.9;0.5;0.8;0.7;300;0.8;14.7;76;993
