Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;CO;dd;vv;TMP;HR;PRB
01/01/2014;0:00:00;11;2;8;N;10;53;0.1;295;1.0;14.1;71;1008
01/01/2014;1:00:00;11;1;9;N;8;51;0.1;296;1.1;13.8;75;1008
01/01/2014;2:00:00;13;1;6;N;13;56;0.1;305;1.7;13.9;63;1008
01/01/2014;3:00:00;30;1;11;N;8;54;0.1;309;1.2;13.6;69;1007
01/01/2014;4:00:00;29;2;10;N;7;55;0.1;308;1.2;13.4;63;1007
01/01/2014;5:00:00;65;1;25;N;5;45;0.1;307;1.4;13.3;71;1008
01/01/2014;6:00:00;57;2;14;N;6;50;0.1;307;1.2;15.7;65;1008
01/01/2014;7:00:00;92;5;17;20;8;55;0.1;273;0.4;20.7;55;1009
01/01/2014;8:00:00;31;2;6;26;6;67;0.1;119;1.3;19.7;59;1009
01/01/2014;9:00:00;17;2;4;18;6;75;0.1;108;1.3;20.2;56;1010
01/01/2014;10:00:00;19;2;3;16;4;77;0.1;110;1.7;21.0;56;1009
01/01/2014;11:00:00;17;2;3;15;3;77;0.1;109;1.4;19.8;62;1008
01/01/2014;12:00:00;18;1;3;8;4;79;0.1;109;1.1;19.9;62;1008
01/01/2014;13:00:00;17;2;4;8;4;82;0.1;107;1.2;20.0;61;1007
01/01/2014;14:00:00;20;1;4;6;4;78;0.1;113;1.2;18.6;66;1007
01/01/2014;15:00:00;29;2;6;6;3;73;0.1;97;0.2;17.5;72;1008
01/01/2014;16:00:00;10;1;6;N;2;70;0.1;100;0.1;15.8;79;1008
01/01/2014;17:00:00;10;1;9;N;4;57;0.1;4;1.0;15.6;77;1008
01/01/2014;18:00:00;9;2;6;N;4;60;0.1;314;1.3;15.2;79;1008
01/01/2014;19:00:00;12;2;8;N;4;58;0.1;309;1.3;14.8;78;1009
01/01/2014;20:00:00;31;2;17;N;3;48;0.1;307;1.3;14.4;76;1009
01/01/2014;21:00:00;25;1;9;N;4;57;0.2;309;0.6;13.9;81;1009
01/01/2014;22:00:00;16;1;7;N;4;58;0.1;309;0.4;13.6;84;1008
01/01/2014;23:00:00;14;1;5;N;2;60;0.1;309;0.7;13.5;81;1008
02/01/2014;0:00:00;36;1;13;N;4;56;0.1;309;0.6;13.4;78;1007
02/01/2014;1:00:00;20;1;3;N;4;67;0.1;308;0.8;13.5;78;1007
02/01/2014;2:00:00;31;1;10;N;2;61;0.1;308;0.8;13.1;78;1007
02/01/2014;3:00:00;24;1;5;N;1;67;0.1;322;0.6;13.4;77;1007
02/01/2014;4:00:00;12;2;3;N;4;68;0.1;313;1.2;13.6;73;1007
02/01/2014;5:00:00;9;2;7;N;4;66;0.1;328;0.9;13.4;80;1007
02/01/2014;6:00:00;9;2;4;N;3;69;0.2;343;0.9;16.4;68;1008
02/01/2014;7:00:00;10;2;7;N;2;72;0.2;77;1.0;20.0;62;1009
02/01/2014;8:00:00;18;3;13;N;1;68;0.2;110;1.6;19.8;64;1009
02/01/2014;9:00:00;14;2;7;N;11;72;0.1;113;1.4;20.6;62;1009
02/01/2014;10:00:00;11;2;5;N;N;74;0.1;115;1.5;21.2;58;1008
02/01/2014;11:00:00;10;2;4;32;1;79;0.1;113;1.4;21.5;57;1007
02/01/2014;12:00:00;8;2;3;6;N;78;0.1;108;1.2;20.7;60;1007
02/01/2014;13:00:00;8;2;3;6;3;79;0.1;106;1.0;21.0;59;1007
02/01/2014;14:00:00;8;2;4;5;4;78;0.1;111;0.7;20.6;61;1007
02/01/2014;15:00:00;20;3;16;4;4;66;0.1;122;0.4;18.2;71;1007
02/01/2014;16:00:00;37;2;27;10;5;53;0.2;112;0.1;16.1;81;1008
02/01/2014;17:00:00;13;2;25;7;4;56;0.2;98;0.1;15.3;85;1008
02/01/2014;18:00:00;16;2;29;5;5;45;0.2;82;0.6;15.2;84;1009
02/01/2014;19:00:00;16;2;31;51;4;42;0.2;335;0.6;15.1;86;1009
02/01/2014;20:00:00;27;2;32;N;5;38;0.2;304;1.0;15.0;84;1009
02/01/2014;21:00:00;56;2;35;N;4;34;0.1;308;0.6;14.8;83;1009
02/01/2014;22:00:00;60;2;27;N;5;38;0.1;308;0.5;14.6;78;1009
02/01/2014;23:00:00;59;1;23;N;3;41;0.1;306;1.0;14.6;78;1009
03/01/2014;0:00:00;34;2;9;N;2;54;0.1;299;0.8;14.7;77;1008
03/01/2014;1:00:00;16;1;4;N;3;61;0.1;334;0.9;14.7;76;1008
03/01/2014;2:00:00;11;1;2;N;2;64;0.1;300;0.9;14.5;80;1008
03/01/2014;3:00:00;16;1;6;N;1;56;0.1;302;1.2;14.2;72;1008
03/01/2014;4:00:00;60;2;19;N;1;47;0.1;302;1.0;14.4;75;1008
03/01/2014;5:00:00;52;2;16;N;1;48;0.1;302;1.1;14.4;71;1009
03/01/2014;6:00:00;29;2;8;N;1;55;0.1;313;1.0;16.5;70;1009
03/01/2014;7:00:00;16;3;8;2;1;64;0.1;74;1.4;20.1;64;1010
03/01/2014;8:00:00;21;4;12;4;1;64;0.1;117;1.8;20.3;64;1010
03/01/2014;9:00:00;34;4;12;6;1;66;0.1;117;1.8;21.0;62;1010
03/01/2014;10:00:00;31;2;7;3;3;72;0.1;116;1.8;21.5;61;1010
03/01/2014;11:00:00;13;2;4;4;1;74;0.1;116;1.5;22.1;59;1010
03/01/2014;12:00:00;10;2;3;5;N;77;0.1;105;1.4;21.4;59;1009
03/01/2014;13:00:00;9;2;4;6;N;80;0.1;124;1.1;21.7;56;1009
03/01/2014;14:00:00;9;2;5;6;1;77;0.1;150;0.6;22.2;54;1009
03/01/2014;15:00:00;9;2;8;4;6;71;0.1;176;0.4;19.4;68;1009
03/01/2014;16:00:00;8;1;8;6;4;68;0.1;193;0.2;18.0;74;1009
03/01/2014;17:00:00;10;1;10;6;4;59;0.1;287;1.0;17.1;74;1009
03/01/2014;18:00:00;8;1;9;7;3;55;0.1;301;1.1;16.3;71;1010
03/01/2014;19:00:00;8;1;10;7;2;54;0.1;300;0.7;15.8;72;1010
03/01/2014;20:00:00;11;1;10;7;2;55;0.1;304;1.0;15.7;64;1010
03/01/2014;21:00:00;14;1;8;8;2;57;0.1;314;1.0;15.5;58;1010
03/01/2014;22:00:00;12;1;6;6;3;57;0.1;308;1.3;15.6;49;1010
03/01/2014;23:00:00;14;1;6;6;2;57;0.1;306;1.4;15.4;52;1010
04/01/2014;0:00:00;26;1;8;6;N;53;0.1;303;1.3;15.5;55;1010
04/01/2014;1:00:00;48;1;12;6;N;47;0.1;288;1.4;15.8;62;1010
04/01/2014;2:00:00;27;2;7;5;N;50;0.1;318;0.7;16.3;72;1010
04/01/2014;3:00:00;23;1;4;3;N;51;0.1;60;2.4;17.0;73;1010
04/01/2014;4:00:00;12;1;3;5;N;55;0.1;281;1.9;16.8;68;1011
04/01/2014;5:00:00;8;2;4;3;1;50;0.1;292;1.5;16.0;69;1011
04/01/2014;6:00:00;6;1;1;5;2;56;0.1;52;1.9;17.7;72;1012
04/01/2014;7:00:00;8;2;4;4;2;57;0.1;59;2.0;19.7;66;1013
04/01/2014;8:00:00;13;3;12;2;1;53;0.2;83;2.0;19.6;74;1013
04/01/2014;9:00:00;19;4;8;2;1;55;0.2;86;2.8;20.7;72;1013
04/01/2014;10:00:00;46;5;7;2;N;54;0.2;81;3.1;22.0;66;1012
04/01/2014;11:00:00;28;2;5;N;1;56;0.2;87;4.3;21.0;73;1011
04/01/2014;12:00:00;35;5;8;N;1;53;0.2;89;5.1;20.6;75;1011
04/01/2014;13:00:00;20;2;4;N;2;54;0.2;82;4.7;20.5;75;1010
04/01/2014;14:00:00;6;2;4;N;1;54;0.1;76;4.7;21.2;65;1010
04/01/2014;15:00:00;5;2;6;N;N;53;0.1;81;3.9;19.2;78;1011
04/01/2014;16:00:00;3;1;9;N;1;49;0.1;65;2.3;18.2;83;1011
04/01/2014;17:00:00;5;1;13;N;1;45;0.1;61;1.2;18.1;81;1011
04/01/2014;18:00:00;4;1;16;N;1;40;0.1;62;1.0;17.1;83;1011
04/01/2014;19:00:00;4;1;7;6;3;49;0.1;291;1.4;17.7;72;1011
04/01/2014;20:00:00;7;1;13;5;2;41;0.1;333;1.4;17.0;79;1011
04/01/2014;21:00:00;3;1;2;7;2;58;0.1;3;1.8;18.5;72;1011
04/01/2014;22:00:00;9;1;11;5;2;47;0.1;58;0.2;17.3;84;1011
04/01/2014;23:00:00;15;1;5;2;1;53;0.1;62;0.7;17.4;76;1010
05/01/2014;0:00:00;9;1;2;6;1;60;0.1;34;1.0;17.6;72;1010
05/01/2014;1:00:00;11;1;5;6;1;55;0.1;60;0.3;16.6;82;1010
05/01/2014;2:00:00;14;1;5;6;1;54;0.1;289;1.2;15.8;74;1009
