Fecha;NO;NO2;NOX;O3;PM10;PM25;SO2;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;23;70;67;79;36;22;6;308;83;1006;18;174.3;16.4;1.65
30/09/2015;23;66;69;67;35;18;5;136;72;1002.3;0.8;175.7;18.4;0.93
29/09/2015;16;61;51;67;34;23;6;292;88;1003.6;0;148.7;15.5;1.04
28/09/2015;15;42;48;73;24;15;4;153;79;1007.8;0;210.5;16.8;0.8
27/09/2015;9;57;33;68;16;10;5;297;83;1008;0;193.9;15.6;0.57
26/09/2015;10;47;37;71;21;12;5;241;82;1005.2;0;189.5;17.4;0.28
25/09/2015;22;44;61;59;26;13;5;153;79;1006.1;0;189.2;17;0.72
24/09/2015;15;37;46;63;18;12;4;159;80;1006.8;0;188.3;17.2;0.54
23/09/2015;11;51;46;48;10;6;5;276;97;1004.6;13.7;59.9;14.8;0.73
22/09/2015;8;49;34;68;15;9;6;301;87;1002.3;6.6;95.8;15.9;2.32
21/09/2015;16;40;47;84;25;15;6;286;80;1004;0;219.2;16.6;1.01
20/09/2015;7;49;27;79;10;5;4;171;76;1008.4;0;237.8;16.4;0.33
19/09/2015;8;25;29;77;10;8;4;127;76;1011;0;217.9;16.6;0.65
18/09/2015;12;35;41;73;15;10;4;297;75;1007.4;0;202.1;15.2;0.5
17/09/2015;6;28;26;69;8;;6;267;71;997.9;2.9;84.2;15.8;1.58
16/09/2015;4;12;14;72;9;4;4;198;52;982.1;0.2;182.5;22.8;2.58
15/09/2015;13;98;43;70;17;9;4;176;71;989.2;7.9;56.8;17.9;1.96
14/09/2015;8;52;35;67;16;8;5;301;76;998.5;4.1;128;16.5;1.14
13/09/2015;7;45;27;68;15;8;4;240;72;992.6;3.2;90.3;19.3;1.02
12/09/2015;5;33;23;77;19;12;4;190;85;997.6;0;69;19.4;0.26
11/09/2015;13;41;41;80;28;13;4;260;77;998.3;0;241.5;19.6;0.47
10/09/2015;12;58;51;67;29;19;5;166;86;1001.3;0;65.9;18.3;0.27
09/09/2015;16;59;52;79;37;21;5;252;77;999.8;0;197.6;19;0.57
08/09/2015;15;42;46;86;22;12;4;219;74;1003.7;0;259.8;16.9;0.14
07/09/2015;18;48;52;66;21;13;5;289;77;1008.8;0;163.5;15.5;0.56
06/09/2015;8;61;32;84;9;6;4;96;73;1009.4;0;190.7;16;0.53
05/09/2015;9;36;30;69;11;8;4;295;79;1008;0;152.5;16;0.33
04/09/2015;8;35;32;62;11;7;4;281;84;1005;0.5;91.7;15.9;0.95
03/09/2015;10;54;42;54;15;9;4;291;90;1003.6;2.5;54.5;16.5;1.1
02/09/2015;12;36;39;70;21;13;5;260;80;1003.4;2.2;113.9;17.3;0.57
01/09/2015;7;37;32;59;13;7;4;287;86;1005.8;2.9;88.1;18;1.61
31/08/2015;6;47;29;63;19;13;4;265;80;999.3;12.6;85.9;22.8;1.14
30/08/2015;4;50;18;91;25;11;4;155;54;998.3;1.1;245.4;28;1.69
29/08/2015;5;39;23;84;27;17;5;276;74;1000.2;0;267.4;25.3;0.97
28/08/2015;11;33;38;61;19;11;5;285;76;1001.2;0;279.7;23.3;1.42
27/08/2015;7;45;30;71;13;7;4;191;54;996.9;0;106.5;25.7;0.71
26/08/2015;7;57;31;89;15;7;4;208;54;997.8;0;258.4;25.1;0.69
25/08/2015;6;40;25;74;10;5;3;134;62;1003;0;286.2;21.1;1.69
24/08/2015;6;40;24;67;8;6;4;289;58;999.1;0;183.9;19.2;1.64
23/08/2015;3;21;13;70;7;4;4;212;59;992.5;0;247.8;21.9;1.24
22/08/2015;5;21;21;69;27;21;5;284;89;997.4;0.1;174.9;21.3;1.46
21/08/2015;8;37;30;100;36;19;4;293;77;1003.5;0;285.2;22.7;1.21
20/08/2015;8;28;29;90;22;11;4;256;69;1006.3;0;297.4;21.4;0.41
19/08/2015;8;26;27;68;8;6;4;274;71;1005.7;0;303;19.2;0.73
18/08/2015;8;30;26;72;11;8;3;297;75;1002.9;0.1;233.6;18.8;0.68
17/08/2015;6;32;25;69;18;11;4;290;79;1001.3;0;221.7;19;1
16/08/2015;5;15;16;55;8;5;3;292;82;1000.3;0;148.9;17.5;0.46
15/08/2015;5;22;20;58;10;7;4;299;82;1002.7;0;205.9;17.8;0.87
14/08/2015;6;42;25;72;9;6;4;310;73;1003.5;0;179.5;18.3;2.14
13/08/2015;6;33;23;71;13;9;4;299;73;1001.4;0.6;189.1;20.9;1.71
12/08/2015;7;36;30;87;28;18;4;288;81;1000.1;0;230;23.2;1.29
11/08/2015;10;48;34;92;29;17;4;291;80;998.6;0;254.8;22.1;1.4
10/08/2015;8;32;27;93;15;8;4;124;71;1002.5;0;314.1;21.7;1.13
09/08/2015;5;22;19;68;10;7;4;299;80;1008.8;2.3;191;18.9;0.36
08/08/2015;5;23;22;63;8;5;4;295;88;1009.3;1.5;101.9;17.1;1.3
07/08/2015;6;31;25;55;13;8;4;288;93;1004.9;2;67.5;19;1.85
06/08/2015;11;43;35;76;25;14;4;300;83;1000.8;0.1;252.5;20.5;0.84
05/08/2015;7;28;27;75;21;13;4;290;77;999.7;0;309.2;21.8;1.45
04/08/2015;6;28;25;48;8;5;4;271;89;1003.9;1;77.5;19.5;0.68
03/08/2015;7;49;31;87;17;11;4;300;76;1001.2;0;260.6;21.8;1.28
02/08/2015;4;50;19;107;16;9;4;155;61;999.2;0;321.9;24.2;0.85
01/08/2015;4;26;20;90;18;13;5;118;73;1002.9;0;246.2;18.6;0.38
31/07/2015;5;27;25;73;11;8;4;278;90;998.8;7.7;94.4;16.7;0.87
30/07/2015;10;42;34;62;14;8;4;313;80;1002.5;;134.6;17.5;0.13
29/07/2015;13;42;42;40;16;11;5;228;92;1001.4;;68.1;18.3;0.51
28/07/2015;7;32;25;76;12;8;4;300;69;1001.1;;330.4;22;0.57
27/07/2015;7;34;30;51;15;8;5;282;85;1002.9;;121.5;19.5;0.96
26/07/2015;4;15;16;76;10;6;4;308;70;1000.5;0;280.5;21.2;0.92
25/07/2015;4;20;18;75;11;6;5;307;72;1005.9;0;208.8;18.7;1
24/07/2015;10;38;36;66;19;11;5;301;78;999.3;0;248.2;21.1;1.39
23/07/2015;9;27;30;74;15;8;4;270;76;1002.4;0;281.5;22.2;0.57
22/07/2015;9;34;34;38;15;11;4;293;96;1005.6;0;52.7;20.2;1.5
21/07/2015;10;43;38;54;21;14;4;283;94;1002.1;0;72.4;21.8;1.09
20/07/2015;8;35;29;94;20;12;4;218;69;1001.9;0;326.4;25.1;0.25
19/07/2015;5;29;19;64;15;11;4;267;74;1002.4;0;316.6;23.7;0.58
18/07/2015;5;34;21;68;20;13;4;271;83;1001.2;0;187.3;23.2;0.63
17/07/2015;9;36;32;69;22;17;4;298;79;1003;0;245.6;22.5;1.05
16/07/2015;7;31;30;69;22;16;5;292;83;1000.8;0;214.2;22;2.01
15/07/2015;9;41;33;62;31;17;6;296;81;1003.4;0;302.9;22.3;1.67
14/07/2015;8;47;29;68;21;12;5;291;75;1007.1;0;303.5;22;1.36
13/07/2015;13;38;38;65;19;10;4;283;76;1008.4;0;303;20.4;1.25
12/07/2015;6;32;20;59;6;4;4;255;77;1008.9;0;172.2;20.2;0.54
11/07/2015;4;19;17;73;13;6;4;304;78;1009.4;0;109.5;20.1;0.6
10/07/2015;7;34;29;114;27;14;5;308;67;1002.4;0;337.2;22.1;1.24
09/07/2015;8;50;31;71;15;9;5;110;67;1006.8;0;280.6;20.1;0.6
08/07/2015;6;27;24;59;10;5;4;294;78;1008.3;0;154.8;19.1;2.05
07/07/2015;8;41;30;76;22;15;6;292;73;1004.4;0;313.4;21.9;1.83
06/07/2015;7;31;33;93;25;15;5;287;74;1003.3;0;329.5;23.7;1.14
05/07/2015;4;11;14;50;10;6;4;283;90;1006.2;0;119.1;20.2;1.95
04/07/2015;5;23;18;75;16;9;4;144;74;1006.5;0;319.3;22.3;1
03/07/2015;8;32;29;107;34;16;4;175;67;1002.9;0;273.5;25.3;0.66
02/07/2015;9;33;33;51;14;10;5;293;91;1005.7;0;117.3;19.7;2.02
01/07/2015;6;47;26;76;35;22;5;289;83;999.3;0;297.2;22;2.24
30/06/2015;7;82;38;117;36;21;6;250;60;998;0;329.9;26.9;1.09
29/06/2015;6;31;25;79;17;10;5;191;73;1004.6;0.1;289.4;24;0.36
28/06/2015;5;17;18;55;12;10;5;289;83;1007.2;0;317.8;20.6;1.18
27/06/2015;5;23;20;73;21;17;5;277;73;1007.3;0;334.1;21.7;0.86
26/06/2015;8;55;38;88;41;28;8;290;85;1007.4;0;234.7;20.4;1.57
25/06/2015;10;39;38;108;25;15;6;266;64;1005.9;0;355.7;23.1;0.25
24/06/2015;9;32;30;68;28;17;5;278;71;1005.2;0;327.1;20;0.74
23/06/2015;10;35;32;60;27;20;7;306;70;1002.6;0;328.1;19.9;1
22/06/2015;9;36;32;79;23;13;6;292;76;1001.1;0;330.1;20.9;1.29
21/06/2015;6;44;24;91;13;9;6;271;69;1005.6;0;357.8;19.7;0.47
20/06/2015;5;23;19;91;13;11;5;114;70;1008.5;0;339.8;18.8;0.75
19/06/2015;11;45;40;57;18;13;8;302;92;1009.2;1;124.5;16.4;1.34
18/06/2015;11;58;38;93;23;16;6;305;79;1010.9;0;169.2;17;0.97
17/06/2015;9;63;39;91;25;14;11;305;79;1012.2;0;217.9;16.8;2.05
16/06/2015;8;70;37;78;17;10;8;306;78;1010.8;1.9;181.4;15.8;2.46
15/06/2015;9;48;36;70;22;12;5;291;89;1005.1;14.3;106.5;15.8;1.39
14/06/2015;5;36;24;72;13;;4;265;85;998.9;16.2;193.5;16.3;0.52
13/06/2015;6;28;25;60;13;10;5;247;93;996.6;10.3;119.9;16.9;0.69
12/06/2015;8;47;33;69;23;13;5;269;89;997;5.4;182;17.5;0.76
11/06/2015;6;51;29;76;;11;4;194;82;996.1;7.9;139.4;19.1;0.44
10/06/2015;9;50;42;64;20;;4;148;87;999;8.5;95.9;16.5;1.04
09/06/2015;11;67;45;90;40;17;9;295;84;1004.4;0.4;182.8;16.7;1.72
08/06/2015;6;41;29;87;37;20;7;300;81;1006.4;0;287.3;20.1;1.93
