Fecha;BEN;CO;EBN;NO;NO2;NOX;OXL;PM10;SO2;TOL
01/10/2015;0.37;0.47;0.48;23;90;66;2.04;25;5;4.15
30/09/2015;0.69;0.52;1;45;98;130;4.82;23;6;15.64
29/09/2015;0.43;0.55;0.72;36;81;98;3.26;24;6;12
28/09/2015;0.67;0.58;0.98;31;79;93;4.72;24;5;7.1
27/09/2015;0.3;0.49;0.41;16;70;55;1.65;15;5;2.1
26/09/2015;0.44;0.55;0.73;27;71;80;3.19;19;5;5.65
25/09/2015;0.6;0.55;0.94;45;78;112;4.47;23;6;6.98
24/09/2015;0.63;0.57;0.96;42;82;108;4.26;19;6;8.74
23/09/2015;0.23;0.32;0.34;12;60;43;1.18;16;5;3.34
22/09/2015;0.14;0.23;0.18;5;47;24;0.19;15;5;0.56
21/09/2015;0.36;0.5;0.41;24;66;68;1.69;19;5;2.62
20/09/2015;0.31;0.48;0.5;13;60;46;1.62;12;5;2.4
19/09/2015;0.44;0.49;0.61;15;65;53;2.33;15;5;4.26
18/09/2015;0.49;0.39;0.57;24;65;69;2.3;21;5;5.01
17/09/2015;0.27;0.32;0.37;11;57;48;1.4;15;5;2.69
16/09/2015;0.16;0.31;0.25;9;41;35;0.93;19;5;1.17
15/09/2015;0.47;0.55;0.81;39;67;100;3.99;26;6;7.7
14/09/2015;0.23;0.29;0.33;8;60;34;1.22;20;5;2.3
13/09/2015;0.4;0.46;0.59;24;57;68;2.54;19;5;3.58
12/09/2015;0.22;0.31;0.31;10;63;43;1.25;17;5;1.7
11/09/2015;0.31;0.41;0.49;19;62;53;2.11;23;5;4.38
10/09/2015;0.34;0.36;0.44;14;62;58;1.93;22;5;3.86
09/09/2015;0.35;0.45;0.62;24;68;67;2.87;28;5;7.49
08/09/2015;0.4;0.44;0.68;23;62;68;3.19;22;5;7.89
07/09/2015;0.26;0.39;0.49;20;62;60;1.83;20;5;3.35
06/09/2015;0.22;0.36;0.44;10;61;42;1.35;15;5;2.04
05/09/2015;0.21;0.37;0.4;11;54;43;1.29;13;5;4.67
04/09/2015;0.19;0.3;0.35;12;57;45;1.2;15;5;3.46
03/09/2015;0.18;0.27;0.27;7;61;39;0.92;15;5;1.4
02/09/2015;0.21;0.31;0.36;13;47;44;1.46;19;5;2.09
01/09/2015;0.18;0.25;0.28;5;46;27;0.76;19;5;1.6
31/08/2015;0.21;0.44;0.3;7;75;34;1.12;;5;1.76
30/08/2015;0.34;0.5;0.44;9;92;46;2.07;;5;3.18
29/08/2015;0.15;0.25;0.25;6;30;23;0.66;;5;1.93
28/08/2015;0.27;0.62;0.56;16;58;49;2.12;;5;8.36
27/08/2015;0.88;0.75;1.58;39;91;112;8.23;32;6;22.96
26/08/2015;0.29;0.33;0.47;11;47;45;1.91;22;5;4.53
25/08/2015;0.35;0.35;0.6;20;57;62;2.42;18;5;4.38
24/08/2015;;0.32;;6;52;26;;20;5;
23/08/2015;;0.39;;7;56;28;;13;5;
22/08/2015;;0.31;;6;39;28;;;5;
21/08/2015;0.26;0.4;0.39;16;50;48;1.44;;5;2.41
20/08/2015;0.27;0.41;0.48;16;50;54;1.57;20;5;2.95
19/08/2015;0.25;0.35;0.61;15;48;51;1.97;17;5;2.3
18/08/2015;0.22;0.32;0.42;14;47;49;1.38;19;5;3.25
17/08/2015;0.28;0.34;0.37;12;48;42;1.15;19;5;2.35
16/08/2015;0.16;0.4;0.24;9;24;30;0.96;19;5;1.56
15/08/2015;0.22;0.4;0.29;14;49;42;0.99;14;5;1.56
14/08/2015;0.14;0.17;0.15;4;25;17;0.25;17;5;0.49
13/08/2015;0.15;0.25;0.23;7;36;23;0.7;;5;1.2
