Fecha;SO2;NO;NO2;O3;CO;PM10;PM25;BEN
01/01/2015;3;37;52;24;0.5;28;Sense dades;Sense dades
02/01/2015;4;126;85;12;0.9;34;Sense dades;Sense dades
03/01/2015;3;45;46;34;0.6;21;Sense dades;0.3
04/01/2015;4;119;73;12;1.1;34;Sense dades;Sense dades
05/01/2015;4;108;74;7;1.1;31;Sense dades;0.5
06/01/2015;3;45;51;15;0.6;20;Sense dades;Sense dades
07/01/2015;4;107;81;5;1.1;38;Sense dades;0.6
08/01/2015;2;43;52;6;0.6;21;23;Sense dades
09/01/2015;1;29;41;14;0.5;17;19;Sense dades
10/01/2015;3;101;63;11;1;28;24;0.4
11/01/2015;3;89;58;10;1.1;30;28;Sense dades
12/01/2015;2;40;57;19;0.7;27;18;0.3
13/01/2015;3;67;72;13;1;33;20;Sense dades
14/01/2015;3;59;69;18;1;32;22;0.3
15/01/2015;4;48;67;12;0.8;25;26;Sense dades
16/01/2015;3;74;61;13;0.9;12;24;Sense dades
17/01/2015;2;21;44;27;0.6;15;12;0.2
18/01/2015;2;19;42;31;0.6;16;13;Sense dades
19/01/2015;2;54;68;15;0.9;15;13;0.3
20/01/2015;2;32;47;16;0.7;15;13;Sense dades
21/01/2015;2;21;41;19;0.7;16;16;0.2
22/01/2015;1;41;59;15;0.7;20;17;Sense dades
23/01/2015;2;33;55;19;0.5;19;15;Sense dades
24/01/2015;2;26;43;36;0.4;18;Sense dades;0.2
25/01/2015;3;15;50;41;0.3;21;Sense dades;Sense dades
26/01/2015;3;28;57;23;0.5;23;16;0.2
27/01/2015;3;51;58;21;0.8;27;17;Sense dades
28/01/2015;4;43;62;20;0.7;25;15;0.2
29/01/2015;2;19;45;21;0.4;21;18;Sense dades
30/01/2015;1;19;35;40;0.5;19;16;Sense dades
31/01/2015;1;16;30;42;0.4;10;Sense dades;0.1
01/02/2015;1;15;24;50;0.4;11;Sense dades;Sense dades
02/02/2015;1;31;52;26;0.5;18;12;0.2
03/02/2015;1;63;62;14;0.9;18;13;Sense dades
04/02/2015;1;28;50;27;0.6;13;10;0.2
05/02/2015;2;40;55;24;0.7;21;12;Sense dades
06/02/2015;1;20;47;27;0.5;17;13;0.2
07/02/2015;2;20;46;20;0.6;21;20;0.2
08/02/2015;1;17;35;32;0.6;21;24;Sense dades
09/02/2015;3;50;67;21;0.9;33;26;0.2
10/02/2015;3;58;65;26;1;36;21;Sense dades
11/02/2015;9;185;115;7;1.7;55;31;0.7
12/02/2015;5;129;96;13;1.4;42;28;Sense dades
13/02/2015;3;42;68;19;0.9;43;23;Sense dades
14/02/2015;2;31;51;23;0.7;25;16;0.2
15/02/2015;1;24;47;26;0.7;15;11;Sense dades
16/02/2015;2;49;68;17;0.9;26;18;0.2
17/02/2015;2;67;76;13;1.2;35;18;Sense dades
18/02/2015;1;42;63;22;1.1;31;19;0.2
19/02/2015;1;46;63;36;1.1;35;22;Sense dades
20/02/2015;1;23;59;39;0.8;36;26;Sense dades
21/02/2015;1;16;49;41;0.5;19;17;0.1
22/02/2015;1;17;41;50;0.3;14;14;Sense dades
23/02/2015;1;48;57;21;0.8;27;14;0.3
24/02/2015;1;25;38;43;0.5;19;13;Sense dades
25/02/2015;1;38;57;34;0.7;21;10;0.2
26/02/2015;2;74;74;10;0.9;32;13;Sense dades
27/02/2015;2;42;60;22;0.7;27;13;Sense dades
28/02/2015;1;12;41;44;0.4;18;10;0.1
01/03/2015;2;30;63;19;0.6;28;14;Sense dades
02/03/2015;2;44;56;16;0.8;25;17;0.2
03/03/2015;3;36;56;33;0.7;22;12;Sense dades
04/03/2015;2;44;69;16;0.7;20;13;0.2
05/03/2015;2;42;62;37;0.7;22;13;Sense dades
06/03/2015;3;50;70;26;0.8;32;15;Sense dades
07/03/2015;2;50;61;32;0.7;57;28;0.2
08/03/2015;2;23;57;40;0.7;33;22;Sense dades
09/03/2015;3;37;79;28;0.8;35;24;0.1
10/03/2015;3;70;89;25;1.1;41;28;Sense dades
11/03/2015;3;91;99;19;1.2;53;33;0.4
12/03/2015;4;130;86;32;1.5;51;40;Sense dades
13/03/2015;2;19;55;59;0.6;36;8;Sense dades
14/03/2015;2;17;42;47;0.4;12;10;0.1
15/03/2015;3;15;42;42;0.4;12;13;Sense dades
16/03/2015;2;34;58;36;0.7;16;15;0.1
17/03/2015;2;33;55;38;0.8;24;16;Sense dades
18/03/2015;2;30;47;55;0.8;23;13;0.1
19/03/2015;2;31;58;51;0.8;29;20;Sense dades
20/03/2015;2;29;50;60;0.7;32;21;Sense dades
21/03/2015;1;18;35;61;0.6;55;17;0.1
22/03/2015;1;20;40;47;0.6;21;15;Sense dades
23/03/2015;2;28;47;57;0.8;33;17;0.1
24/03/2015;2;34;60;43;0.8;21;14;Sense dades
25/03/2015;2;27;52;29;0.7;15;10;Sense dades
26/03/2015;2;17;51;36;0.6;19;14;Sense dades
27/03/2015;5;51;71;22;0.9;27;20;Sense dades
28/03/2015;4;31;48;27;0.7;21;18;0.1
29/03/2015;3;19;45;33;0.7;19;17;Sense dades
30/03/2015;4;35;65;27;0.8;27;25;0.2
31/03/2015;4;32;52;39;0.8;23;18;Sense dades
01/04/2015;3;23;44;40;0.7;29;15;0.1
02/04/2015;2;20;43;48;0.6;30;16;Sense dades
03/04/2015;2;11;32;57;0.5;26;15;Sense dades
04/04/2015;1;11;30;58;0.6;24;14;0
05/04/2015;2;7;25;57;0.5;17;12;Sense dades
06/04/2015;2;9;24;71;0.6;21;14;0
07/04/2015;2;30;52;49;0.7;25;19;Sense dades
08/04/2015;2;21;52;60;0.5;24;16;0.1
09/04/2015;3;35;62;55;0.6;21;14;Sense dades
10/04/2015;3;51;75;45;0.8;26;15;Sense dades
11/04/2015;2;17;46;63;0.5;25;14;0.2
12/04/2015;2;14;50;65;0.4;24;16;Sense dades
13/04/2015;5;63;94;31;0.9;37;22;0.2
14/04/2015;6;67;91;31;0.9;47;27;Sense dades
15/04/2015;4;81;85;38;1;41;24;0.2
16/04/2015;3;38;68;41;0.8;42;20;Sense dades
17/04/2015;3;42;65;36;0.8;32;24;Sense dades
18/04/2015;4;32;62;33;0.7;29;22;0.1
19/04/2015;2;13;32;Sense dades;0.4;17;16;Sense dades
20/04/2015;4;38;56;43;0.7;19;16;0.1
21/04/2015;5;59;72;33;0.8;27;19;Sense dades
22/04/2015;7;58;95;18;0.9;29;19;0.2
23/04/2015;5;46;72;40;0.8;28;18;Sense dades
24/04/2015;2;22;57;50;0.6;34;19;Sense dades
25/04/2015;1;13;37;62;0.5;41;19;0
26/04/2015;4;19;45;43;0.5;38;21;Sense dades
27/04/2015;1;22;40;42;0.5;10;Sense dades;0.1
28/04/2015;3;30;51;44;0.6;23;Sense dades;Sense dades
29/04/2015;3;18;50;51;0.6;24;14;0.1
30/04/2015;2;27;51;47;0.7;26;18;Sense dades
01/05/2015;1;13;42;50;0.5;36;19;Sense dades
02/05/2015;2;32;58;40;0.7;31;23;0.1
03/05/2015;2;11;40;52;0.5;29;22;Sense dades
04/05/2015;1;36;60;45;0.9;31;20;0.1
05/05/2015;2;47;66;32;0.9;45;28;Sense dades
06/05/2015;3;53;78;31;0.9;41;21;0.1
07/05/2015;3;49;71;37;0.8;36;20;Sense dades
08/05/2015;1;33;66;39;0.8;47;22;Sense dades
09/05/2015;1;16;47;57;0.6;37;23;0
10/05/2015;1;18;47;47;0.6;36;24;Sense dades
11/05/2015;2;38;70;32;0.8;42;28;0.2
12/05/2015;5;50;78;31;0.9;40;21;Sense dades
13/05/2015;2;26;56;43;0.8;46;23;0.1
14/05/2015;3;42;64;37;1;44;24;Sense dades
15/05/2015;1;27;45;50;0.7;50;Sense dades;Sense dades
16/05/2015;1;16;39;65;0.5;23;Sense dades;0
17/05/2015;4;17;54;49;0.6;28;19;Sense dades
18/05/2015;2;31;66;36;0.8;44;31;0.2
19/05/2015;1;45;67;30;1;26;15;Sense dades
20/05/2015;1;33;48;32;0.7;17;Sense dades;0.1
21/05/2015;1;28;51;44;0.7;21;22;Sense dades
22/05/2015;2;34;59;48;0.7;23;23;Sense dades
23/05/2015;1;20;51;52;0.6;22;15;0
24/05/2015;4;17;48;56;0.5;20;16;Sense dades
25/05/2015;4;60;81;43;1;33;21;0.1
26/05/2015;2;32;49;50;0.8;25;14;Sense dades
27/05/2015;1;31;52;49;0.8;31;12;0.1
28/05/2015;1;28;55;49;0.7;34;17;Sense dades
29/05/2015;2;35;73;40;0.7;33;16;Sense dades
30/05/2015;2;23;53;50;0.5;23;14;0
31/05/2015;3;19;51;54;0.4;20;13;Sense dades
01/06/2015;2;16;45;58;0.4;21;19;0
02/06/2015;2;28;59;50;0.6;31;14;Sense dades
03/06/2015;2;39;77;30;0.6;37;16;0.1
04/06/2015;5;72;88;31;0.7;46;20;Sense dades
05/06/2015;2;40;82;37;0.6;38;16;Sense dades
06/06/2015;3;28;68;54;0.6;32;21;0.1
07/06/2015;2;18;48;65;0.5;66;24;Sense dades
08/06/2015;1;38;75;51;0.8;34;23;0.1
09/06/2015;3;36;80;48;0.8;30;17;Sense dades
10/06/2015;5;34;68;60;0.8;30;19;0.1
11/06/2015;1;25;53;58;0.7;34;20;Sense dades
12/06/2015;3;32;58;52;0.6;32;16;Sense dades
13/06/2015;1;15;34;87;0.3;25;10;0
14/06/2015;2;14;35;74;0.3;20;12;Sense dades
15/06/2015;2;28;53;64;0.5;22;18;0.1
16/06/2015;1;21;60;59;0.4;18;17;Sense dades
17/06/2015;3;31;60;57;0.6;26;Sense dades;0.1
18/06/2015;2;28;60;64;0.5;31;18;Sense dades
19/06/2015;6;36;71;Sense dades;0.6;33;19;Sense dades
20/06/2015;7;20;52;Sense dades;0.4;28;18;0
21/06/2015;3;18;46;76;0.4;27;17;Sense dades
22/06/2015;2;25;52;65;0.6;36;22;0.1
23/06/2015;13;31;62;60;0.6;68;42;Sense dades
24/06/2015;4;14;37;71;0.3;31;25;0.1
25/06/2015;3;30;61;73;0.6;27;17;Sense dades
26/06/2015;2;1;23;69;0.6;33;16;Sense dades
27/06/2015;2;Sense dades;Sense dades;83;0.5;29;16;0
28/06/2015;3;Sense dades;Sense dades;62;0.4;24;15;Sense dades
29/06/2015;4;40;79;48;0.7;35;20;0.1
30/06/2015;4;35;84;56;0.6;34;19;Sense dades
01/07/2015;3;34;62;46;0.7;33;18;0.1
02/07/2015;2;29;57;58;0.8;30;16;Sense dades
03/07/2015;3;43;79;44;0.9;33;21;Sense dades
04/07/2015;6;31;80;54;0.7;36;21;0.1
05/07/2015;2;11;48;80;0.4;29;20;Sense dades
06/07/2015;3;39;84;49;0.7;43;24;0.1
07/07/2015;2;33;77;51;0.7;44;24;Sense dades
08/07/2015;1;31;49;45;0.8;39;18;0.1
09/07/2015;1;25;43;52;0.6;39;16;Sense dades
10/07/2015;3;35;57;36;0.8;48;21;Sense dades
11/07/2015;2;15;32;62;0.6;38;18;0
12/07/2015;1;11;26;62;0.5;35;16;Sense dades
13/07/2015;1;32;44;45;0.8;35;19;0.1
14/07/2015;2;31;52;42;0.8;42;20;Sense dades
15/07/2015;4;43;66;39;0.8;48;22;0.1
16/07/2015;3;44;70;41;0.8;41;Sense dades;Sense dades
17/07/2015;3;36;52;38;0.8;33;19;Sense dades
18/07/2015;1;17;30;45;0.6;34;20;0
19/07/2015;1;11;29;66;0.5;32;20;Sense dades
20/07/2015;1;30;43;40;0.8;36;Sense dades;0.1
21/07/2015;2;28;40;41;0.7;37;20;Sense dades
22/07/2015;2;23;50;72;0.7;28;17;0.1
23/07/2015;1;14;33;57;0.7;33;18;Sense dades
24/07/2015;1;Sense dades;Sense dades;51;0.7;35;18;Sense dades
25/07/2015;1;Sense dades;Sense dades;51;0.5;26;13;0.1
26/07/2015;1;Sense dades;Sense dades;59;0.5;32;14;Sense dades
27/07/2015;1;30;39;34;0.7;28;14;0.1
28/07/2015;1;37;47;29;0.9;36;15;Sense dades
29/07/2015;1;30;39;34;0.8;36;17;0.1
30/07/2015;1;30;37;37;0.7;24;12;Sense dades
31/07/2015;1;25;40;50;0.7;26;14;Sense dades
01/08/2015;2;Sense dades;Sense dades;67;0.5;14;Sense dades;Sense dades
02/08/2015;1;Sense dades;Sense dades;74;0.5;17;Sense dades;Sense dades
03/08/2015;1;20;45;52;0.6;27;Sense dades;Sense dades
04/08/2015;1;24;43;49;0.7;29;Sense dades;Sense dades
05/08/2015;4;31;56;42;0.7;32;Sense dades;Sense dades
06/08/2015;1;25;39;42;0.7;28;Sense dades;Sense dades
07/08/2015;1;29;42;36;0.7;31;Sense dades;Sense dades
08/08/2015;1;18;34;43;0.6;29;Sense dades;Sense dades
09/08/2015;2;12;20;50;0.5;18;Sense dades;Sense dades
10/08/2015;2;27;44;50;0.6;20;Sense dades;Sense dades
11/08/2015;1;19;38;62;0.6;21;Sense dades;Sense dades
12/08/2015;1;26;41;42;0.7;29;Sense dades;Sense dades
13/08/2015;1;18;39;41;0.7;31;Sense dades;Sense dades
14/08/2015;1;21;35;49;0.6;20;Sense dades;Sense dades
15/08/2015;2;15;33;47;0.5;14;Sense dades;Sense dades
16/08/2015;2;14;34;50;0.5;12;Sense dades;Sense dades
17/08/2015;2;23;40;47;0.6;19;Sense dades;Sense dades
18/08/2015;1;22;50;36;0.6;17;Sense dades;Sense dades
19/08/2015;2;17;44;50;0.5;19;Sense dades;Sense dades
20/08/2015;1;17;42;53;0.6;22;Sense dades;Sense dades
21/08/2015;1;15;36;54;0.6;22;Sense dades;Sense dades
22/08/2015;2;14;36;59;0.5;19;Sense dades;Sense dades
23/08/2015;1;9;26;65;0.5;23;Sense dades;Sense dades
24/08/2015;1;18;35;48;0.5;27;Sense dades;Sense dades
25/08/2015;2;25;40;43;0.6;26;Sense dades;Sense dades
26/08/2015;1;16;33;53;0.6;26;Sense dades;Sense dades
27/08/2015;1;20;38;52;0.7;22;Sense dades;Sense dades
28/08/2015;3;27;47;39;0.7;23;Sense dades;Sense dades
29/08/2015;1;16;29;47;0.6;16;Sense dades;Sense dades
30/08/2015;1;14;29;48;0.5;25;Sense dades;Sense dades
31/08/2015;2;25;52;39;0.7;44;Sense dades;Sense dades
01/09/2015;2;26;47;47;0.7;29;Sense dades;Sense dades
02/09/2015;2;29;46;44;0.7;20;Sense dades;Sense dades
03/09/2015;1;26;45;57;0.7;18;Sense dades;Sense dades
04/09/2015;1;40;64;31;0.8;21;Sense dades;Sense dades
05/09/2015;3;23;42;48;0.6;17;Sense dades;Sense dades
06/09/2015;2;18;40;54;0.5;18;Sense dades;Sense dades
07/09/2015;2;31;52;48;0.7;21;Sense dades;Sense dades
08/09/2015;3;34;60;46;0.7;24;Sense dades;Sense dades
09/09/2015;3;42;72;46;0.8;29;Sense dades;Sense dades
10/09/2015;2;42;70;38;0.9;26;Sense dades;Sense dades
11/09/2015;2;22;52;38;0.7;21;Sense dades;Sense dades
12/09/2015;1;16;45;48;0.6;23;Sense dades;Sense dades
13/09/2015;1;20;45;45;0.6;25;Sense dades;Sense dades
14/09/2015;2;21;43;39;0.6;19;Sense dades;Sense dades
15/09/2015;4;39;60;39;0.9;28;Sense dades;Sense dades
16/09/2015;2;25;48;50;0.8;41;Sense dades;Sense dades
17/09/2015;1;18;37;53;0.6;22;Sense dades;Sense dades
18/09/2015;4;34;52;42;0.7;21;Sense dades;Sense dades
19/09/2015;4;26;48;49;0.6;24;Sense dades;Sense dades
20/09/2015;3;17;38;58;0.6;17;Sense dades;Sense dades
21/09/2015;4;38;59;38;0.9;25;Sense dades;Sense dades
22/09/2015;3;39;60;38;0.9;28;Sense dades;Sense dades
23/09/2015;3;33;46;40;0.8;22;Sense dades;Sense dades
24/09/2015;2;20;42;43;0.6;22;Sense dades;Sense dades
25/09/2015;5;49;75;26;1;31;Sense dades;Sense dades
26/09/2015;4;25;58;38;0.7;21;Sense dades;Sense dades
27/09/2015;2;17;49;40;0.7;17;Sense dades;Sense dades
28/09/2015;2;34;60;42;0.9;25;Sense dades;Sense dades
29/09/2015;2;33;55;43;0.9;26;Sense dades;Sense dades
30/09/2015;1;30;57;33;0.8;22;Sense dades;Sense dades
01/10/2015;3;61;81;21;1.1;34;Sense dades;Sense dades
02/10/2015;4;56;78;30;1.1;30;Sense dades;Sense dades
03/10/2015;2;37;67;32;0.9;82;Sense dades;Sense dades
04/10/2015;3;22;54;37;0.7;62;Sense dades;Sense dades
05/10/2015;5;60;71;15;1;41;Sense dades;Sense dades
06/10/2015;4;89;64;24;1.1;31;Sense dades;Sense dades
07/10/2015;5;45;61;29;0.9;23;Sense dades;Sense dades
08/10/2015;3;32;56;31;0.8;22;Sense dades;Sense dades
09/10/2015;8;54;71;20;1;27;Sense dades;Sense dades
10/10/2015;1;14;44;43;0.6;19;Sense dades;Sense dades
11/10/2015;2;21;52;36;0.7;28;Sense dades;Sense dades
12/10/2015;1;18;40;43;0.8;29;Sense dades;Sense dades
13/10/2015;1;40;55;22;1;24;Sense dades;Sense dades
14/10/2015;1;31;55;23;0.9;20;Sense dades;Sense dades
15/10/2015;1;35;58;31;0.9;25;Sense dades;Sense dades
16/10/2015;1;44;62;31;1;25;Sense dades;Sense dades
17/10/2015;2;29;62;29;0.9;23;Sense dades;Sense dades
18/10/2015;4;40;72;16;1;28;Sense dades;Sense dades
19/10/2015;1;54;62;19;1.2;29;Sense dades;Sense dades
20/10/2015;1;40;58;24;0.9;26;Sense dades;Sense dades
21/10/2015;1;31;51;25;0.7;22;Sense dades;Sense dades
22/10/2015;2;41;63;25;0.7;27;Sense dades;Sense dades
23/10/2015;2;54;68;18;0.8;32;Sense dades;Sense dades
24/10/2015;3;88;75;13;1;37;Sense dades;Sense dades
25/10/2015;1;30;48;30;0.6;25;Sense dades;Sense dades
26/10/2015;1;44;67;20;0.9;25;Sense dades;Sense dades
27/10/2015;2;51;69;16;0.9;22;Sense dades;Sense dades
28/10/2015;1;29;48;35;0.6;18;Sense dades;Sense dades
29/10/2015;2;52;67;15;0.9;24;Sense dades;Sense dades
30/10/2015;5;80;81;8;1.1;27;Sense dades;Sense dades
31/10/2015;1;27;56;33;0.7;21;Sense dades;Sense dades
01/11/2015;1;11;37;57;0.5;35;Sense dades;Sense dades
02/11/2015;2;23;43;48;0.6;36;Sense dades;Sense dades
03/11/2015;2;65;65;26;1;27;Sense dades;Sense dades
04/11/2015;2;46;62;15;0.8;22;Sense dades;Sense dades
05/11/2015;4;85;73;10;1.1;35;Sense dades;Sense dades
