Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;CO
01/01/2014;0:00:00;1;1;4;30;17;86;0.1
01/01/2014;1:00:00;1;1;3;27;15;87;0.1
01/01/2014;2:00:00;1;1;3;24;14;88;0.1
01/01/2014;3:00:00;1;1;2;23;14;89;0.1
01/01/2014;4:00:00;1;1;2;24;12;90;0.1
01/01/2014;5:00:00;1;1;3;23;10;89;0.1
01/01/2014;6:00:00;1;1;4;24;10;86;0.1
01/01/2014;7:00:00;1;1;4;25;12;84;0.1
01/01/2014;8:00:00;1;1;4;24;12;86;0.1
01/01/2014;9:00:00;1;2;5;27;12;89;0.1
01/01/2014;10:00:00;1;1;2;24;11;100;0.1
01/01/2014;11:00:00;1;1;2;23;8;102;0.1
01/01/2014;12:00:00;1;1;2;23;8;104;0.1
01/01/2014;13:00:00;1;1;2;22;12;108;0.1
01/01/2014;14:00:00;1;1;2;22;14;110;0.1
01/01/2014;15:00:00;1;1;2;25;12;107;0.1
01/01/2014;16:00:00;1;1;2;24;12;106;0.1
01/01/2014;17:00:00;1;1;3;24;14;105;0.1
01/01/2014;18:00:00;1;1;5;26;11;93;0.1
01/01/2014;19:00:00;1;1;5;22;10;86;0.1
01/01/2014;20:00:00;1;1;4;21;14;88;0.1
01/01/2014;21:00:00;1;1;3;16;14;89;0.1
01/01/2014;22:00:00;1;1;4;11;10;83;0.1
01/01/2014;23:00:00;1;1;6;11;8;67;0.1
02/01/2014;0:00:00;1;1;7;12;9;64;0.1
02/01/2014;1:00:00;1;1;6;14;11;67;0.1
02/01/2014;2:00:00;1;1;5;15;10;73;0.1
02/01/2014;3:00:00;1;1;4;12;10;78;0.1
02/01/2014;4:00:00;1;1;4;12;9;84;0.1
02/01/2014;5:00:00;1;1;4;12;8;86;0.1
02/01/2014;6:00:00;1;1;7;10;9;79;0.1
02/01/2014;7:00:00;1;1;7;9;7;85;0.1
02/01/2014;8:00:00;1;1;3;11;8;98;0.1
02/01/2014;9:00:00;1;1;4;10;8;98;0.1
02/01/2014;10:00:00;1;1;3;11;8;100;0.1
02/01/2014;11:00:00;1;1;3;18;6;103;0.1
02/01/2014;12:00:00;1;1;3;11;6;103;0.1
02/01/2014;13:00:00;1;1;3;10;8;107;0.1
02/01/2014;14:00:00;1;1;3;10;7;107;0.1
02/01/2014;15:00:00;1;1;2;9;8;105;0.1
02/01/2014;16:00:00;1;1;3;9;1;103;0.1
02/01/2014;17:00:00;1;1;4;10;8;102;0.1
02/01/2014;18:00:00;1;1;4;11;9;100;0.1
02/01/2014;19:00:00;1;1;6;12;10;86;0.1
02/01/2014;20:00:00;1;1;5;13;11;85;0.1
02/01/2014;21:00:00;1;1;4;12;11;89;0.1
02/01/2014;22:00:00;1;1;3;10;10;88;0.1
02/01/2014;23:00:00;1;1;3;9;11;92;0.1
03/01/2014;0:00:00;1;1;2;9;14;94;0.1
03/01/2014;1:00:00;1;1;2;9;11;93;0.1
03/01/2014;2:00:00;1;1;2;10;9;93;0.1
03/01/2014;3:00:00;1;1;2;10;9;93;0.1
03/01/2014;4:00:00;1;1;3;9;10;91;0.1
03/01/2014;5:00:00;1;1;6;10;9;76;0.1
03/01/2014;6:00:00;1;2;9;17;9;68;0.2
03/01/2014;7:00:00;1;2;11;13;10;68;0.1
03/01/2014;8:00:00;1;1;4;15;11;100;0.1
03/01/2014;9:00:00;1;1;3;13;10;101;0.1
03/01/2014;10:00:00;1;1;3;13;9;97;0.1
03/01/2014;11:00:00;1;1;3;17;11;97;0.1
03/01/2014;12:00:00;1;1;4;19;12;95;0.1
03/01/2014;13:00:00;1;1;3;13;10;95;0.1
03/01/2014;14:00:00;1;1;3;13;9;95;0.1
03/01/2014;15:00:00;1;1;3;13;9;96;0.1
03/01/2014;16:00:00;1;1;3;12;4;94;0.1
03/01/2014;17:00:00;1;1;2;15;4;93;0.1
03/01/2014;18:00:00;1;1;4;12;9;83;0.1
03/01/2014;19:00:00;2;1;5;11;10;73;0.1
03/01/2014;20:00:00;1;1;4;10;10;75;0.1
03/01/2014;21:00:00;1;1;3;9;11;75;0.1
03/01/2014;22:00:00;1;1;3;9;10;73;0.1
03/01/2014;23:00:00;1;1;4;8;9;73;0.1
04/01/2014;0:00:00;1;1;4;8;8;84;0.1
04/01/2014;1:00:00;1;1;2;9;9;87;0.1
04/01/2014;2:00:00;1;1;2;10;9;87;0.1
04/01/2014;3:00:00;1;1;2;9;8;86;0.1
04/01/2014;4:00:00;1;1;2;9;8;86;0.1
04/01/2014;5:00:00;1;1;2;8;9;86;0.1
04/01/2014;6:00:00;1;2;3;9;10;79;0.1
04/01/2014;7:00:00;1;1;5;10;9;72;0.1
04/01/2014;8:00:00;1;1;4;10;8;75;0.1
04/01/2014;9:00:00;1;1;3;10;8;81;0.1
04/01/2014;10:00:00;1;1;2;10;9;80;0.1
04/01/2014;11:00:00;1;2;4;10;9;75;0.1
04/01/2014;12:00:00;1;1;2;11;7;82;0.1
04/01/2014;13:00:00;1;1;2;12;7;83;0.1
04/01/2014;14:00:00;1;1;2;12;8;85;0.1
04/01/2014;15:00:00;1;1;2;11;9;84;0.1
04/01/2014;16:00:00;1;1;2;12;9;85;0.1
04/01/2014;17:00:00;1;1;2;11;9;83;0.1
04/01/2014;18:00:00;1;1;2;11;9;80;0.1
04/01/2014;19:00:00;1;1;2;10;9;78;0.1
04/01/2014;20:00:00;1;1;2;10;9;79;0.1
04/01/2014;21:00:00;1;1;4;11;9;73;0.1
04/01/2014;22:00:00;1;1;4;11;9;69;0.1
04/01/2014;23:00:00;1;1;2;10;10;81;0.1
05/01/2014;0:00:00;1;1;2;10;10;89;0.1
05/01/2014;1:00:00;1;1;4;10;8;86;0.1
05/01/2014;2:00:00;1;1;5;12;10;83;0.1
05/01/2014;3:00:00;1;1;5;12;11;78;0.1
05/01/2014;4:00:00;1;1;5;10;10;74;0.1
05/01/2014;5:00:00;1;1;5;10;10;79;0.1
05/01/2014;6:00:00;1;1;4;15;9;81;0.1
05/01/2014;7:00:00;1;1;4;12;9;90;0.1
05/01/2014;8:00:00;1;1;3;13;9;95;0.1
05/01/2014;9:00:00;1;1;2;15;9;96;0.1
05/01/2014;10:00:00;1;1;3;16;8;97;0.1
05/01/2014;11:00:00;2;1;2;17;10;97;0.1
05/01/2014;12:00:00;1;1;2;14;10;96;0.1
05/01/2014;13:00:00;1;1;2;18;8;97;0.1
05/01/2014;14:00:00;1;1;2;14;8;97;0.1
05/01/2014;15:00:00;1;1;2;14;10;99;0.1
05/01/2014;16:00:00;1;1;2;17;11;94;0.1
05/01/2014;17:00:00;1;1;2;17;10;94;0.1
05/01/2014;18:00:00;1;1;2;16;8;93;0.1
05/01/2014;19:00:00;1;1;2;15;7;94;0.1
05/01/2014;20:00:00;1;1;2;15;7;94;0.1
05/01/2014;21:00:00;1;1;2;17;9;97;0.1
05/01/2014;22:00:00;1;1;2;13;10;96;0.1
05/01/2014;23:00:00;1;1;2;17;11;97;0.1
06/01/2014;0:00:00;1;1;2;14;10;97;0.1
06/01/2014;1:00:00;1;1;2;14;8;96;0.1
06/01/2014;2:00:00;1;1;2;13;10;98;0.1
06/01/2014;3:00:00;1;1;2;13;10;97;0.1
06/01/2014;4:00:00;1;1;2;13;10;98;0.1
06/01/2014;5:00:00;1;1;2;13;11;98;0.1
06/01/2014;6:00:00;1;1;2;15;12;98;0.1
06/01/2014;7:00:00;1;1;2;14;11;97;0.1
06/01/2014;8:00:00;1;1;2;13;12;100;0.1
06/01/2014;9:00:00;1;1;2;13;14;100;0.1
06/01/2014;10:00:00;1;1;2;13;11;100;0.1
06/01/2014;11:00:00;1;1;2;13;11;99;0.1
06/01/2014;12:00:00;1;1;2;15;14;98;0.1
06/01/2014;13:00:00;1;1;2;15;14;99;0.1
06/01/2014;14:00:00;1;1;2;15;12;99;0.1
06/01/2014;15:00:00;1;1;2;13;14;98;0.1
06/01/2014;16:00:00;1;1;2;15;12;96;0.1
06/01/2014;17:00:00;1;1;2;17;12;94;0.1
06/01/2014;18:00:00;1;1;4;17;14;89;0.1
06/01/2014;19:00:00;1;1;4;14;14;83;0.1
06/01/2014;20:00:00;1;1;5;12;14;83;0.1
06/01/2014;21:00:00;1;1;3;17;14;95;0.1
06/01/2014;22:00:00;1;1;3;13;14;86;0.1
06/01/2014;23:00:00;1;1;3;15;14;87;0.1
07/01/2014;0:00:00;1;1;2;14;15;89;0.1
07/01/2014;1:00:00;1;1;2;14;15;93;0.1
07/01/2014;2:00:00;1;1;2;16;14;101;0.1
07/01/2014;3:00:00;1;1;2;16;14;95;0.1
07/01/2014;4:00:00;1;1;3;15;14;90;0.1
07/01/2014;5:00:00;1;1;5;18;14;77;0.1
07/01/2014;6:00:00;1;2;11;15;15;54;0.1
07/01/2014;7:00:00;1;6;14;19;18;36;0.1
07/01/2014;8:00:00;1;7;12;20;18;51;0.1
07/01/2014;9:00:00;1;5;8;20;14;69;0.1
07/01/2014;10:00:00;1;2;5;15;16;81;0.1
07/01/2014;11:00:00;1;1;4;22;19;85;0.1
07/01/2014;12:00:00;1;1;3;16;14;89;0.1
07/01/2014;13:00:00;1;1;3;14;14;96;0.1
07/01/2014;14:00:00;1;3;4;14;14;87;0.1
07/01/2014;15:00:00;1;1;4;14;14;91;0.1
07/01/2014;16:00:00;1;2;3;13;14;95;0.1
07/01/2014;17:00:00;1;1;5;15;11;88;0.1
07/01/2014;18:00:00;1;2;9;18;10;66;0.1
07/01/2014;19:00:00;1;1;7;18;16;72;0.1
07/01/2014;20:00:00;1;1;6;18;11;69;0.1
07/01/2014;21:00:00;1;1;5;15;12;73;0.1
07/01/2014;22:00:00;1;1;4;14;14;70;0.1
07/01/2014;23:00:00;1;1;3;10;14;69;0.1
08/01/2014;0:00:00;5;50;6;10;11;17;0.1
08/01/2014;1:00:00;1;10;14;19;16;27;0.1
08/01/2014;2:00:00;1;1;6;15;14;60;0.1
08/01/2014;3:00:00;1;1;4;11;44;66;0.1
08/01/2014;4:00:00;1;1;5;29;N;63;0.1
08/01/2014;5:00:00;1;2;10;14;N;47;0.1
08/01/2014;6:00:00;2;13;18;14;N;20;0.2
08/01/2014;7:00:00;6;34;14;24;N;19;0.4
08/01/2014;8:00:00;3;17;12;47;N;37;0.1
08/01/2014;9:00:00;2;4;6;26;N;59;0.1
08/01/2014;10:00:00;1;2;4;20;N;65;0.1
08/01/2014;11:00:00;1;2;3;17;N;69;0.1
08/01/2014;12:00:00;1;1;3;16;N;76;0.1
08/01/2014;13:00:00;1;1;3;23;7;82;0.1
08/01/2014;14:00:00;1;1;3;22;1;81;0.1
08/01/2014;15:00:00;1;1;3;21;7;77;0.1
08/01/2014;16:00:00;1;2;5;27;7;72;0.1
08/01/2014;17:00:00;1;2;8;26;24;60;0.1
08/01/2014;18:00:00;1;7;14;24;N;34;0.2
08/01/2014;19:00:00;3;26;14;28;N;20;0.3
08/01/2014;20:00:00;3;25;9;32;43;41;0.1
08/01/2014;21:00:00;1;2;5;20;N;66;0.1
08/01/2014;22:00:00;1;1;6;20;N;63;0.1
08/01/2014;23:00:00;1;1;4;19;N;64;0.1
09/01/2014;0:00:00;1;1;3;17;N;62;0.1
09/01/2014;1:00:00;1;1;4;17;N;56;0.1
09/01/2014;2:00:00;1;1;4;15;N;55;0.1
09/01/2014;3:00:00;1;1;4;14;N;55;0.1
09/01/2014;4:00:00;1;1;4;19;N;58;0.1
09/01/2014;5:00:00;1;2;9;19;N;43;0.1
09/01/2014;6:00:00;1;11;6;22;N;66;0.1
09/01/2014;7:00:00;1;3;5;29;N;68;0.1
09/01/2014;8:00:00;1;2;4;31;N;68;0.1
09/01/2014;9:00:00;1;2;3;N;N;70;0.1
09/01/2014;10:00:00;1;1;3;N;N;74;0.1
09/01/2014;11:00:00;1;1;2;N;N;75;0.1
09/01/2014;12:00:00;1;1;4;26;10;92;0.1
09/01/2014;13:00:00;1;1;4;23;9;103;0.1
09/01/2014;14:00:00;1;1;4;23;7;119;0.1
09/01/2014;15:00:00;1;1;4;20;6;123;0.1
09/01/2014;16:00:00;1;1;4;20;8;117;0.1
09/01/2014;17:00:00;1;1;5;18;8;110;0.1
09/01/2014;18:00:00;2;1;6;16;8;103;0.1
09/01/2014;19:00:00;1;1;12;19;8;81;0.1
09/01/2014;20:00:00;1;2;9;18;8;87;0.1
09/01/2014;21:00:00;1;2;9;14;8;77;0.1
09/01/2014;22:00:00;2;4;13;14;9;58;0.1
09/01/2014;23:00:00;2;1;12;11;11;69;0.1
10/01/2014;0:00:00;1;1;6;9;8;79;0.1
10/01/2014;1:00:00;1;1;5;8;8;88;0.1
10/01/2014;2:00:00;1;1;4;8;8;94;0.1
10/01/2014;3:00:00;1;1;2;8;7;101;0.1
10/01/2014;4:00:00;1;1;2;8;7;115;0.1
10/01/2014;5:00:00;1;1;2;8;8;113;0.1
10/01/2014;6:00:00;1;2;8;14;8;90;0.1
10/01/2014;7:00:00;1;2;10;16;7;75;0.1
10/01/2014;8:00:00;1;2;7;16;8;89;0.1
10/01/2014;9:00:00;1;2;4;14;8;99;0.1
10/01/2014;10:00:00;1;1;3;14;10;103;0.1
10/01/2014;11:00:00;1;1;3;12;11;105;0.1
10/01/2014;12:00:00;1;1;3;14;11;105;0.1
10/01/2014;13:00:00;1;1;2;16;10;103;0.1
10/01/2014;14:00:00;1;1;3;14;8;101;0.1
10/01/2014;15:00:00;1;1;3;14;8;102;0.1
10/01/2014;16:00:00;1;1;3;15;10;103;0.1
10/01/2014;17:00:00;1;1;3;15;9;103;0.1
10/01/2014;18:00:00;1;1;5;16;8;94;0.1
10/01/2014;19:00:00;1;1;5;23;8;83;0.1
10/01/2014;20:00:00;1;1;4;15;8;87;0.1
10/01/2014;21:00:00;1;1;5;13;9;79;0.1
10/01/2014;22:00:00;1;1;5;13;10;77;0.1
10/01/2014;23:00:00;1;1;4;13;8;83;0.1
11/01/2014;0:00:00;1;1;3;15;9;86;0.1
11/01/2014;1:00:00;1;1;2;16;10;90;0.1
11/01/2014;2:00:00;1;1;2;16;9;90;0.1
11/01/2014;3:00:00;1;1;2;18;9;88;0.1
11/01/2014;4:00:00;1;1;2;22;9;84;0.1
11/01/2014;5:00:00;1;1;4;26;10;75;0.1
11/01/2014;6:00:00;1;1;7;26;12;70;0.1
11/01/2014;7:00:00;1;3;13;32;14;46;0.1
11/01/2014;8:00:00;2;6;12;31;12;52;0.1
11/01/2014;9:00:00;1;3;7;36;11;80;0.1
11/01/2014;10:00:00;2;2;4;33;14;90;0.1
11/01/2014;11:00:00;2;1;4;29;15;93;0.1
11/01/2014;12:00:00;2;9;4;30;15;88;0.1
11/01/2014;13:00:00;2;1;3;32;15;99;0.1
11/01/2014;14:00:00;1;1;2;32;17;98;0.1
11/01/2014;15:00:00;1;1;2;38;18;95;0.1
11/01/2014;16:00:00;1;1;2;40;16;96;0.1
11/01/2014;17:00:00;2;1;3;40;17;92;0.1
11/01/2014;18:00:00;1;1;6;60;15;76;0.1
11/01/2014;19:00:00;2;2;10;49;16;59;0.1
11/01/2014;20:00:00;1;2;12;52;18;57;0.1
11/01/2014;21:00:00;1;1;8;48;17;72;0.1
11/01/2014;22:00:00;1;1;4;52;18;80;0.1
11/01/2014;23:00:00;1;1;3;53;19;82;0.1
12/01/2014;0:00:00;1;1;4;48;18;83;0.1
12/01/2014;1:00:00;1;1;4;49;19;81;0.1
12/01/2014;2:00:00;1;1;3;46;16;80;0.1
12/01/2014;3:00:00;1;1;3;43;18;78;0.1
12/01/2014;4:00:00;1;1;4;38;15;70;0.1
12/01/2014;5:00:00;1;1;5;42;12;67;0.1
12/01/2014;6:00:00;1;1;6;41;16;66;0.1
12/01/2014;7:00:00;1;1;5;42;17;72;0.1
12/01/2014;8:00:00;1;1;3;43;18;91;0.1
12/01/2014;9:00:00;1;1;2;47;15;100;0.1
12/01/2014;10:00:00;1;1;2;38;12;101;0.1
12/01/2014;11:00:00;1;1;2;38;12;101;0.1
12/01/2014;12:00:00;1;1;2;42;14;100;0.1
12/01/2014;13:00:00;1;1;2;45;15;99;0.1
