Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;1;3;66;;;;;2
02/01/2014;;1;2;74;;;;;2
03/01/2014;;1;3;67;;;;;3
04/01/2014;;1;1;72;;;;;3
05/01/2014;;1;2;67;;;;;2
06/01/2014;;1;3;67;;;;;2
07/01/2014;;1;3;65;;;;;2
08/01/2014;;1;3;66;;;;;1
09/01/2014;;1;2;59;;;;;1
10/01/2014;;1;3;64;;;;;2
11/01/2014;;1;7;39;;;;;2
12/01/2014;;1;4;57;;;;;1
13/01/2014;;1;2;65;;;;;1
14/01/2014;;1;3;59;;;;;2
15/01/2014;;1;3;74;;;;;2
20/01/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/01/2014;;1;23;62;;;;;1
22/01/2014;;1;19;59;;;;;2
23/01/2014;;1;17;54;;;;;2
24/01/2014;;1;25;52;;;;;1
25/01/2014;;1;29;45;;;;;1
26/01/2014;;1;8;46;;;;;1
27/01/2014;;1;1;62;;;;;1
28/01/2014;;1;1;67;;;;;2
29/01/2014;;2;8;63;;;;;2
30/01/2014;;4;23;56;;;;;2
31/01/2014;;4;27;58;;;;;2
01/02/2014;;4;23;64;;;;;2
02/02/2014;;4;20;57;;;;;2
03/02/2014;;4;16;69;;;;;1
04/02/2014;;4;13;72;;;;;2
10/02/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
11/02/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
19/02/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
20/02/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
25/02/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
26/02/2014;;4;21;67;;;;;2
