Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;CO;dd;vv;TMP;HR;PRB
01/01/2014;0:00:00;3;3;6;27;6;61;0.2;281;3.8;15.0;80;1032
01/01/2014;1:00:00;3;3;4;28;6;66;0.2;282;3.6;15.0;80;1030
01/01/2014;2:00:00;3;3;4;25;4;68;0.2;282;3.8;15.0;80;1030
01/01/2014;3:00:00;3;3;4;28;4;68;0.2;280;3.8;15.0;82;1029
01/01/2014;4:00:00;3;2;3;26;8;69;0.2;280;3.4;16.0;80;1028
01/01/2014;5:00:00;2;2;4;21;6;68;0.3;281;4.0;15.0;80;1028
01/01/2014;6:00:00;2;2;3;24;5;68;0.3;281;4.4;15.0;80;1028
01/01/2014;7:00:00;3;2;3;20;5;67;0.3;281;3.6;16.0;79;1030
01/01/2014;8:00:00;2;3;4;21;6;66;0.2;282;1.4;18.0;75;1033
01/01/2014;9:00:00;3;3;5;28;6;77;0.2;283;0.7;22.0;66;1034
01/01/2014;10:00:00;4;3;5;30;6;79;0.2;286;0.7;23.0;65;1033
01/01/2014;11:00:00;4;3;4;26;5;79;0.2;100;1.2;23.0;64;1032
01/01/2014;12:00:00;5;3;4;24;4;78;0.2;37;1.2;22.0;67;1031
01/01/2014;13:00:00;5;2;5;21;4;77;0.2;29;1.4;22.0;68;1029
01/01/2014;14:00:00;4;4;5;17;4;78;0.2;28;1.3;21.0;71;1028
01/01/2014;15:00:00;5;3;4;14;3;78;0.2;27;1.5;20.0;72;1028
01/01/2014;16:00:00;5;3;5;25;4;79;0.2;29;0.9;19.0;75;1029
01/01/2014;17:00:00;4;4;8;15;3;57;0.2;194;1.4;17.0;76;1029
01/01/2014;18:00:00;5;4;8;11;2;57;0.2;281;2.2;16.0;77;1029
01/01/2014;19:00:00;4;3;7;12;3;63;0.2;282;3.9;16.0;80;1031
01/01/2014;20:00:00;5;4;6;13;3;64;0.2;281;4.2;15.0;81;1031
