Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;1.2;285;4.8;66;958;101;0;7;3;0.1;2;4;10;8;57
02/01/2015;2.2;317;6.3;64;961;105;0;6;3;0.1;2;4;8;7;63
03/01/2015;2.1;315;9;46;961;107;0;4;3;0.1;3;4;6;8;65
04/01/2015;3.6;315;11.2;41;956;104;0;5;4;0.1;2;5;6;8;65
05/01/2015;0.8;195;7.6;72;953;102;0;9;3;0.2;2;5;13;9;56
06/01/2015;3;329;7.3;66;950;103;0.1;13;4;0.1;2;5;14;8;58
07/01/2015;1.2;330;5.1;84;955;61;0;16;4;0.1;2;5;18;9;52
08/01/2015;0.8;323;4.8;83;961;99;0.4;15;3;0.1;2;5;15;8;50
09/01/2015;2.5;324;6.6;65;965;108;0;9;3;0.1;2;5;10;8;52
10/01/2015;3.2;318;10.3;46;959;111;0;4;4;0.1;2;4;6;8;59
11/01/2015;5.5;336;12.1;40;954;106;0.2;5;4;0.1;2;5;7;8;66
12/01/2015;1.9;80;7.3;71;958;64;0;6;4;0.1;3;6;10;9;57
13/01/2015;;;8.6;57;;;0;;;;;;9;;50
14/01/2015;;;8.8;57;;;;;;;;;15;;42
15/01/2015;;;8.8;61;;;;;;;;;18;;40
16/01/2015;;;7.5;53;;;;;;;;;18;;49
17/01/2015;;;3.6;57;;;;;;;;;8;;43
18/01/2015;;;2;74;;;;;;;;;10;;36
19/01/2015;;;2.8;88;;;;;;;;;4;;
20/01/2015;;;2.3;65;;;;;;;;;7;;
21/01/2015;;;3.3;69;;;;;;;;;;;
22/01/2015;;;3.7;68;;;;;;;;;;;
23/01/2015;;;;;;;;;;;;;2;;
24/01/2015;;;;;;;;;;;;;3;;
25/01/2015;;;;;;;;;;;;;3;;
26/01/2015;;;;;;;;;;;;;9;;
27/01/2015;;;;;;;;;;;;;7;;
28/01/2015;;;;;;;;;;;;;6;;
29/01/2015;;;;;;;;;;;;;10;;
30/01/2015;;;14;56;;;;;;;;;8;;
