Fecha;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;3;0.3;14;25;25;47;
02/01/2015;4;0.4;50;43;36;118;
03/01/2015;5;0.5;56;45;34;131;
04/01/2015;3;0.3;27;42;23;84;
05/01/2015;3;0.3;42;45;30;110;
06/01/2015;3;0.1;15;34;30;57;23
07/01/2015;3;0.3;30;47;33;92;26
08/01/2015;4;0.4;48;49;41;123;24
09/01/2015;4;0.4;62;55;43;150;20
10/01/2015;5;0.6;95;64;43;210;17
11/01/2015;3;0.3;27;45;25;87;32
12/01/2015;3;0.3;32;53;29;101;25
13/01/2015;3;0.3;28;52;33;95;35
14/01/2015;3;0.4;60;60;36;152;21
15/01/2015;3;0.3;44;55;45;122;24
16/01/2015;3;0.2;30;43;41;89;32
17/01/2015;3;0.2;14;33;15;54;50
18/01/2015;3;0.2;5;29;17;36;46
19/01/2015;3;0.1;6;24;11;33;50
20/01/2015;3;0.2;13;33;11;53;52
21/01/2015;3;0.1;7;26;10;36;48
22/01/2015;3;0.1;8;31;9;43;50
23/01/2015;3;0.2;14;33;17;54;55
24/01/2015;4;0.3;34;44;11;95;46
25/01/2015;3;0.2;11;26;24;42;62
26/01/2015;4;0.2;28;44;27;87;42
27/01/2015;4;0.2;37;49;19;105;35
28/01/2015;4;0.2;28;37;20;80;46
29/01/2015;3;0.1;7;26;13;35;54
30/01/2015;3;0.1;3;12;14;16;62
31/01/2015;3;0.1;3;11;9;15;73
01/02/2015;3;0.1;2;9;9;13;78
02/02/2015;3;0.1;5;19;17;26;65
03/02/2015;3;0.1;3;19;;23;65
04/02/2015;3;0.1;5;20;;27;73
05/02/2015;3;0.1;6;24;14;33;63
06/02/2015;3;0.2;8;33;12;45;55
07/02/2015;3;0.1;6;25;17;34;57
08/02/2015;3;0.2;8;27;28;39;55
09/02/2015;3;0.2;17;35;17;61;55
10/02/2015;3;0.1;10;29;8;44;68
11/02/2015;3;0.1;12;30;28;49;68
12/02/2015;3;0.1;14;51;29;72;35
13/02/2015;4;0.2;24;51;30;88;35
14/02/2015;3;0.1;4;19;11;24;69
15/02/2015;3;0.1;3;15;9;18;60
16/02/2015;3;0.1;5;21;13;28;63
17/02/2015;3;0.1;7;22;10;33;67
18/02/2015;3;0.1;5;21;26;30;77
19/02/2015;4;0.2;15;38;26;62;69
20/02/2015;4;0.1;8;37;28;49;73
21/02/2015;4;0.1;7;36;17;46;50
22/02/2015;3;0.1;4;23;10;29;73
23/02/2015;3;0.1;5;22;21;30;56
24/02/2015;3;0.1;4;19;13;25;78
25/02/2015;3;0.1;4;19;16;25;73
26/02/2015;3;0.1;8;29;12;40;60
27/02/2015;3;0.1;6;27;9;36;63
28/02/2015;4;0.1;6;35;18;45;63
01/03/2015;4;0.1;5;27;15;35;56
02/03/2015;4;0.1;18;44;28;72;43
03/03/2015;5;0.1;10;29;33;44;49
04/03/2015;4;0.1;6;21;24;30;68
05/03/2015;4;0.2;8;30;11;42;77
06/03/2015;4;0.2;11;38;19;55;61
07/03/2015;4;0.2;12;43;26;62;56
08/03/2015;4;0.1;4;27;21;33;79
09/03/2015;4;0.1;5;31;25;38;77
10/03/2015;4;0.1;10;35;27;50;60
11/03/2015;5;0.2;17;60;43;86;40
12/03/2015;5;0.2;18;60;43;87;47
13/03/2015;4;0.1;5;30;35;37;81
14/03/2015;3;0.1;3;27;20;31;55
15/03/2015;3;0.1;4;18;12;23;59
16/03/2015;3;0.1;5;20;14;27;65
17/03/2015;3;0.1;7;23;15;34;65
18/03/2015;3;0.1;5;30;20;37;63
19/03/2015;3;0.1;2;12;22;14;81
20/03/2015;4;0.1;3;18;32;22;76
21/03/2015;3;0.1;3;15;25;19;75
22/03/2015;4;0.1;2;12;11;16;79
23/03/2015;3;0.1;4;24;29;31;66
24/03/2015;4;0.1;5;22;21;28;62
25/03/2015;4;0.1;4;23;8;29;61
26/03/2015;3;0.1;6;22;39;32;68
27/03/2015;4;0.1;11;37;12;53;44
28/03/2015;4;0.1;10;33;13;49;44
29/03/2015;4;0.1;7;35;18;45;46
30/03/2015;4;0.2;20;49;21;79;45
31/03/2015;3;0.2;24;47;24;83;48
01/04/2015;3;0.1;5;24;18;31;64
02/04/2015;3;0.1;4;19;22;25;65
03/04/2015;3;0.1;4;18;25;23;60
04/04/2015;3;0.1;5;26;21;33;54
05/04/2015;3;0.3;4;15;21;21;63
06/04/2015;3;0.3;4;6;17;12;83
07/04/2015;3;0.2;5;15;20;22;87
08/04/2015;3;0.3;4;13;24;19;95
09/04/2015;3;0.3;4;17;23;23;91
10/04/2015;3;0.3;7;31;28;41;75
11/04/2015;3;0.2;4;30;30;35;66
12/04/2015;3;0.1;2;14;33;18;83
13/04/2015;3;0.2;4;20;41;25;94
14/04/2015;3;0.2;4;20;54;26;81
15/04/2015;3;0.2;4;23;38;29;79
16/04/2015;3;0.1;4;22;29;28;59
17/04/2015;4;0.2;7;39;21;50;59
18/04/2015;4;0.2;5;27;18;33;66
19/04/2015;4;0.3;3;18;16;23;76
20/04/2015;;0.2;;;16;;76
21/04/2015;3;0.4;6;23;19;33;76
22/04/2015;4;0.1;3;21;17;24;89
23/04/2015;4;0.2;7;28;30;38;65
24/04/2015;4;0.1;3;14;32;19;84
25/04/2015;4;0.2;3;26;45;30;68
26/04/2015;4;0.3;3;17;19;22;54
27/04/2015;4;0.4;3;18;12;23;74
28/04/2015;4;0.3;6;25;11;34;67
29/04/2015;4;0.2;5;23;20;31;68
30/04/2015;4;0.1;4;25;23;32;75
01/05/2015;5;0.1;3;28;25;33;77
02/05/2015;5;0.2;7;39;25;50;63
03/05/2015;5;0.1;4;31;23;36;65
04/05/2015;6;0.2;8;37;25;49;56
05/05/2015;5;0.4;7;32;30;43;52
06/05/2015;5;0.2;4;20;23;25;82
07/05/2015;5;0.2;6;24;21;34;69
08/05/2015;5;0.4;7;36;31;46;63
09/05/2015;4;0.2;4;16;25;23;68
10/05/2015;5;0.2;3;16;17;20;69
11/05/2015;;0.2;5;29;23;37;76
12/05/2015;;0.3;7;31;19;41;69
13/05/2015;;0.2;6;34;21;42;59
