Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3
01/01/2014;00:00:00;5;2;4;28;11;54
01/01/2014;01:00:00;5;2;4;38;11;53
01/01/2014;02:00:00;5;2;4;34;10;57
01/01/2014;03:00:00;5;2;4;30;8;58
01/01/2014;04:00:00;4;2;4;25;7;59
01/01/2014;05:00:00;5;2;4;20;5;58
01/01/2014;06:00:00;5;2;4;18;5;59
01/01/2014;07:00:00;5;2;5;20;6;60
01/01/2014;08:00:00;5;2;4;21;7;65
01/01/2014;09:00:00;5;2;3;19;7;67
01/01/2014;10:00:00;5;1;3;18;6;69
01/01/2014;11:00:00;6;2;3;15;6;74
01/01/2014;12:00:00;6;2;3;11;4;73
01/01/2014;13:00:00;5;2;3;10;4;73
01/01/2014;14:00:00;5;2;2;9;3;73
01/01/2014;15:00:00;5;2;2;8;3;77
01/01/2014;16:00:00;5;2;3;8;3;76
01/01/2014;17:00:00;5;2;3;7;3;71
01/01/2014;18:00:00;4;2;4;6;3;68
01/01/2014;19:00:00;4;2;4;7;3;61
01/01/2014;20:00:00;4;2;4;6;3;67
01/01/2014;21:00:00;5;2;5;7;3;62
01/01/2014;22:00:00;5;2;4;7;3;59
01/01/2014;23:00:00;5;2;6;8;4;57
02/01/2014;00:00:00;5;2;6;6;3;60
02/01/2014;01:00:00;5;2;5;6;3;64
02/01/2014;02:00:00;5;2;5;5;3;63
02/01/2014;03:00:00;5;2;4;4;2;63
02/01/2014;04:00:00;5;2;4;6;3;65
02/01/2014;05:00:00;5;2;4;5;3;65
02/01/2014;06:00:00;5;2;5;4;2;59
02/01/2014;07:00:00;4;3;7;7;3;63
02/01/2014;08:00:00;5;2;5;7;3;67
02/01/2014;09:00:00;5;2;6;8;3;66
02/01/2014;10:00:00;6;2;7;8;3;66
02/01/2014;11:00:00;6;2;7;9;3;68
02/01/2014;12:00:00;5;2;4;7;3;76
02/01/2014;13:00:00;5;2;4;8;3;73
02/01/2014;14:00:00;5;2;3;7;3;74
02/01/2014;15:00:00;5;2;4;8;3;73
02/01/2014;16:00:00;5;2;4;9;3;71
02/01/2014;17:00:00;5;1;6;10;3;67
02/01/2014;18:00:00;4;2;5;6;3;62
02/01/2014;19:00:00;4;2;6;6;3;58
02/01/2014;20:00:00;5;2;7;6;3;54
02/01/2014;21:00:00;5;3;8;5;3;54
02/01/2014;22:00:00;5;2;8;5;3;52
02/01/2014;23:00:00;5;2;7;3;2;52
03/01/2014;00:00:00;5;2;7;3;2;53
03/01/2014;01:00:00;5;2;4;2;1;53
03/01/2014;02:00:00;5;2;4;3;2;55
03/01/2014;03:00:00;5;2;4;2;1;55
03/01/2014;04:00:00;4;2;3;2;1;66
03/01/2014;05:00:00;4;2;3;2;1;58
03/01/2014;06:00:00;4;2;4;2;1;58
03/01/2014;07:00:00;4;2;5;3;2;59
03/01/2014;08:00:00;5;2;4;4;2;61
03/01/2014;09:00:00;6;2;6;5;2;60
03/01/2014;10:00:00;7;3;8;6;3;59
03/01/2014;11:00:00;7;2;8;6;3;63
03/01/2014;12:00:00;6;2;6;5;3;69
03/01/2014;13:00:00;5;2;4;5;2;73
03/01/2014;14:00:00;5;2;3;5;2;75
03/01/2014;15:00:00;5;2;3;5;2;70
03/01/2014;16:00:00;5;2;4;5;2;72
03/01/2014;17:00:00;4;2;5;7;3;70
03/01/2014;18:00:00;4;2;5;5;3;62
03/01/2014;19:00:00;4;2;5;6;3;64
03/01/2014;20:00:00;4;2;5;7;3;59
03/01/2014;21:00:00;4;2;7;6;3;56
03/01/2014;22:00:00;6;2;6;5;2;58
03/01/2014;23:00:00;6;2;7;5;2;56
04/01/2014;00:00:00;5;2;5;3;2;57
04/01/2014;01:00:00;5;2;5;3;2;55
04/01/2014;02:00:00;6;2;4;3;1;53
04/01/2014;03:00:00;5;1;3;2;1;59
04/01/2014;04:00:00;5;2;3;2;1;53
04/01/2014;05:00:00;5;2;4;2;1;53
04/01/2014;06:00:00;5;4;9;3;2;49
04/01/2014;07:00:00;5;2;5;4;2;49
04/01/2014;08:00:00;6;2;5;4;2;51
04/01/2014;09:00:00;6;2;6;5;2;53
04/01/2014;10:00:00;5;2;4;5;2;55
04/01/2014;11:00:00;5;2;3;4;2;54
04/01/2014;12:00:00;4;2;3;5;2;56
04/01/2014;13:00:00;4;2;3;5;3;54
04/01/2014;14:00:00;4;2;3;4;2;53
04/01/2014;15:00:00;4;2;3;4;2;53
04/01/2014;16:00:00;4;2;3;4;2;53
04/01/2014;17:00:00;4;2;3;3;2;50
04/01/2014;18:00:00;4;2;3;4;3;52
04/01/2014;19:00:00;5;2;5;5;3;46
04/01/2014;20:00:00;5;2;5;3;2;45
04/01/2014;21:00:00;5;2;5;4;2;48
04/01/2014;22:00:00;5;2;5;3;2;48
04/01/2014;23:00:00;5;2;3;3;2;55
05/01/2014;00:00:00;5;2;4;3;2;51
05/01/2014;01:00:00;5;1;3;3;2;54
05/01/2014;02:00:00;5;1;3;3;2;54
05/01/2014;03:00:00;5;2;3;5;3;56
05/01/2014;04:00:00;5;2;4;6;3;55
05/01/2014;05:00:00;5;2;4;6;3;57
05/01/2014;06:00:00;5;2;5;6;3;57
05/01/2014;07:00:00;5;3;6;5;3;56
05/01/2014;08:00:00;6;4;6;7;3;59
05/01/2014;09:00:00;5;2;4;12;5;63
05/01/2014;10:00:00;6;2;4;12;6;67
05/01/2014;11:00:00;5;2;3;12;6;71
05/01/2014;12:00:00;5;2;3;12;6;69
05/01/2014;13:00:00;5;2;3;12;6;67
05/01/2014;14:00:00;5;2;3;12;6;66
05/01/2014;15:00:00;4;2;3;12;6;65
05/01/2014;16:00:00;4;2;3;14;7;66
05/01/2014;17:00:00;4;2;4;11;5;63
05/01/2014;18:00:00;4;2;4;10;6;63
05/01/2014;19:00:00;4;2;5;12;7;57
05/01/2014;20:00:00;5;2;5;12;8;60
05/01/2014;21:00:00;5;2;5;10;5;55
05/01/2014;22:00:00;5;2;4;8;4;57
05/01/2014;23:00:00;5;2;5;8;4;58
06/01/2014;00:00:00;4;2;4;7;3;61
06/01/2014;01:00:00;4;2;4;7;3;60
06/01/2014;02:00:00;4;2;4;6;3;60
06/01/2014;03:00:00;4;2;4;4;3;60
06/01/2014;04:00:00;4;2;3;6;3;62
06/01/2014;05:00:00;4;2;3;6;3;62
06/01/2014;06:00:00;4;2;4;6;3;61
06/01/2014;07:00:00;4;2;4;6;3;60
06/01/2014;08:00:00;5;2;3;7;3;65
06/01/2014;09:00:00;5;2;3;10;4;67
06/01/2014;10:00:00;5;1;3;15;7;68
06/01/2014;11:00:00;5;2;3;13;6;70
06/01/2014;12:00:00;5;2;3;12;6;71
06/01/2014;13:00:00;5;2;3;12;6;72
06/01/2014;14:00:00;5;2;3;13;6;72
06/01/2014;15:00:00;4;2;3;13;6;70
06/01/2014;16:00:00;5;2;3;14;6;71
06/01/2014;17:00:00;5;2;5;15;6;62
06/01/2014;18:00:00;4;2;6;13;5;55
06/01/2014;19:00:00;4;2;5;9;4;56
06/01/2014;20:00:00;4;2;6;8;4;51
06/01/2014;21:00:00;5;2;5;6;3;49
06/01/2014;22:00:00;5;2;5;7;3;52
06/01/2014;23:00:00;5;2;4;4;2;52
07/01/2014;00:00:00;4;2;3;2;1;57
07/01/2014;01:00:00;4;2;3;3;1;60
07/01/2014;02:00:00;4;2;3;2;1;62
07/01/2014;03:00:00;4;2;4;3;2;58
07/01/2014;04:00:00;4;2;3;2;1;60
07/01/2014;05:00:00;4;2;3;2;1;61
07/01/2014;06:00:00;4;5;6;3;2;59
07/01/2014;07:00:00;4;2;5;4;2;60
07/01/2014;08:00:00;5;3;9;8;3;60
07/01/2014;09:00:00;5;4;9;17;4;54
07/01/2014;10:00:00;5;2;5;16;5;57
07/01/2014;11:00:00;5;3;7;27;7;60
07/01/2014;12:00:00;5;4;9;18;4;61
07/01/2014;13:00:00;6;3;9;14;4;62
07/01/2014;14:00:00;12;24;49;16;5;32
07/01/2014;15:00:00;8;8;20;16;4;48
07/01/2014;16:00:00;5;3;12;15;3;52
07/01/2014;17:00:00;6;5;27;22;7;41
07/01/2014;18:00:00;5;2;9;9;3;49
07/01/2014;19:00:00;5;2;13;12;3;44
07/01/2014;20:00:00;4;2;8;7;3;52
07/01/2014;21:00:00;13;20;31;8;3;41
07/01/2014;22:00:00;53;84;97;7;3;3
07/01/2014;23:00:00;16;7;31;5;2;31
08/01/2014;00:00:00;5;2;6;4;2;52
08/01/2014;01:00:00;4;2;3;4;2;57
08/01/2014;02:00:00;4;2;3;4;2;56
08/01/2014;03:00:00;27;77;50;7;3;34
08/01/2014;04:00:00;34;70;79;12;5;12
08/01/2014;05:00:00;8;2;14;8;3;49
08/01/2014;06:00:00;4;2;3;6;2;55
08/01/2014;07:00:00;4;2;4;5;2;56
08/01/2014;08:00:00;4;3;6;30;3;50
08/01/2014;09:00:00;5;2;6;34;4;50
08/01/2014;10:00:00;5;3;7;20;3;49
08/01/2014;11:00:00;4;2;4;18;3;56
08/01/2014;12:00:00;4;1;1;18;3;61
08/01/2014;13:00:00;4;1;1;23;3;61
08/01/2014;14:00:00;4;1;2;15;3;62
08/01/2014;15:00:00;4;1;2;13;3;60
08/01/2014;16:00:00;4;1;1;12;3;59
08/01/2014;17:00:00;4;1;1;7;2;60
08/01/2014;18:00:00;4;1;2;8;2;59
08/01/2014;19:00:00;4;1;4;10;3;54
08/01/2014;20:00:00;4;2;8;17;6;44
08/01/2014;21:00:00;5;2;9;19;7;41
08/01/2014;22:00:00;4;2;6;21;8;45
08/01/2014;23:00:00;4;2;5;17;7;45
09/01/2014;00:00:00;5;2;4;10;5;46
09/01/2014;01:00:00;5;1;5;9;5;50
09/01/2014;02:00:00;5;1;5;8;4;47
09/01/2014;03:00:00;4;1;4;6;3;55
09/01/2014;04:00:00;4;1;2;4;2;63
09/01/2014;05:00:00;4;1;2;4;2;56
09/01/2014;06:00:00;4;2;3;3;2;59
09/01/2014;07:00:00;4;2;5;3;2;62
09/01/2014;08:00:00;4;2;5;3;2;57
09/01/2014;09:00:00;5;3;8;4;2;59
09/01/2014;10:00:00;4;1;6;3;2;43
09/01/2014;11:00:00;2;1;2;2;2;3
09/01/2014;12:00:00;4;2;8;3;2;59
09/01/2014;13:00:00;4;2;6;2;1;70
09/01/2014;14:00:00;4;2;7;3;1;68
09/01/2014;15:00:00;4;2;8;3;2;69
09/01/2014;16:00:00;5;2;10;3;1;68
09/01/2014;17:00:00;4;2;4;3;2;73
09/01/2014;18:00:00;4;2;4;3;2;68
09/01/2014;19:00:00;4;2;6;3;2;55
09/01/2014;20:00:00;4;2;5;4;2;48
09/01/2014;21:00:00;4;2;4;3;2;53
09/01/2014;22:00:00;4;2;5;3;2;55
09/01/2014;23:00:00;4;2;4;3;2;61
10/01/2014;00:00:00;4;2;4;3;2;65
10/01/2014;01:00:00;4;2;4;3;1;65
10/01/2014;02:00:00;4;2;4;2;1;67
10/01/2014;03:00:00;4;2;3;2;1;68
10/01/2014;04:00:00;4;2;4;2;1;70
10/01/2014;05:00:00;4;2;3;2;1;72
10/01/2014;06:00:00;4;3;4;3;1;73
10/01/2014;07:00:00;4;2;5;6;2;69
10/01/2014;08:00:00;4;2;7;10;3;65
10/01/2014;09:00:00;4;3;9;8;2;71
10/01/2014;10:00:00;4;2;6;7;2;75
10/01/2014;11:00:00;4;2;6;11;3;76
10/01/2014;12:00:00;4;2;5;10;3;79
10/01/2014;13:00:00;5;2;7;13;3;77
10/01/2014;14:00:00;5;2;7;46;14;71
10/01/2014;15:00:00;4;2;5;71;23;65
10/01/2014;16:00:00;4;2;5;81;24;64
10/01/2014;17:00:00;4;2;6;96;26;57
10/01/2014;18:00:00;4;2;7;82;25;51
10/01/2014;19:00:00;4;2;6;93;29;55
10/01/2014;20:00:00;4;2;6;95;29;55
10/01/2014;21:00:00;4;2;6;115;30;50
10/01/2014;22:00:00;4;2;5;106;29;52
10/01/2014;23:00:00;4;2;5;93;28;56
11/01/2014;00:00:00;4;2;4;111;31;54
11/01/2014;01:00:00;4;2;4;90;28;52
11/01/2014;02:00:00;4;2;4;53;25;56
11/01/2014;03:00:00;4;2;3;56;25;53
11/01/2014;04:00:00;5;2;4;45;25;52
11/01/2014;05:00:00;5;2;4;36;21;52
11/01/2014;06:00:00;5;5;10;31;18;49
11/01/2014;07:00:00;5;4;8;28;16;50
11/01/2014;08:00:00;5;2;5;55;17;56
11/01/2014;09:00:00;5;2;4;60;17;61
11/01/2014;10:00:00;5;2;3;46;13;66
11/01/2014;11:00:00;5;2;4;43;13;71
11/01/2014;12:00:00;5;3;8;46;13;70
11/01/2014;13:00:00;6;5;22;49;14;54
11/01/2014;14:00:00;6;3;14;42;13;69
11/01/2014;15:00:00;5;2;4;40;12;77
11/01/2014;16:00:00;5;2;5;37;11;76
11/01/2014;17:00:00;5;2;6;19;9;76
11/01/2014;18:00:00;4;1;6;15;8;72
11/01/2014;19:00:00;4;2;6;15;8;66
11/01/2014;20:00:00;4;2;6;17;9;48
11/01/2014;21:00:00;4;2;5;17;9;52
11/01/2014;22:00:00;4;2;4;13;8;54
