Fecha;NO;NO2;O3;CO;PM10
01/01/2015;Sense dades;Sense dades;39;0.3;Sense dades
02/01/2015;Sense dades;Sense dades;27;0.4;29
03/01/2015;Sense dades;Sense dades;23;0.3;Sense dades
04/01/2015;Sense dades;Sense dades;28;0.4;Sense dades
05/01/2015;Sense dades;Sense dades;22;0.4;21
06/01/2015;Sense dades;Sense dades;20;0.4;Sense dades
07/01/2015;24;30;15;0.3;26
08/01/2015;36;34;12;0.4;37
09/01/2015;35;38;14;0.3;29
10/01/2015;40;45;15;0.4;Sense dades
11/01/2015;9;19;36;0.2;Sense dades
12/01/2015;26;37;30;0.3;26
13/01/2015;10;28;39;0.3;Sense dades
14/01/2015;13;29;30;0.3;28
15/01/2015;25;36;15;0.4;42
16/01/2015;10;23;39;0.2;Sense dades
17/01/2015;12;23;53;0.3;Sense dades
18/01/2015;6;26;43;0.4;Sense dades
19/01/2015;14;28;28;0.5;14
20/01/2015;6;24;43;0.4;15
21/01/2015;7;22;49;0.5;Sense dades
22/01/2015;16;23;50;0.4;Sense dades
23/01/2015;3;9;64;0.3;15
24/01/2015;2;9;64;0.5;Sense dades
25/01/2015;2;6;73;0.3;Sense dades
26/01/2015;3;14;62;0.5;13
27/01/2015;2;8;63;0.3;7
28/01/2015;5;12;63;0.4;15
29/01/2015;6;8;57;0.4;15
30/01/2015;10;6;63;0.3;Sense dades
31/01/2015;Sense dades;Sense dades;73;0.3;Sense dades
01/02/2015;Sense dades;Sense dades;78;0.4;Sense dades
02/02/2015;Sense dades;Sense dades;47;0.5;14
03/02/2015;Sense dades;Sense dades;54;0.3;6
04/02/2015;Sense dades;Sense dades;58;0.3;6
05/02/2015;4;19;62;0.4;7
06/02/2015;4;16;56;0.3;14
07/02/2015;8;26;41;0.2;Sense dades
08/02/2015;2;14;62;0.2;Sense dades
09/02/2015;36;40;40;0.4;40
10/02/2015;34;46;33;0.3;39
11/02/2015;36;50;34;0.4;Sense dades
12/02/2015;16;47;32;0.3;44
13/02/2015;33;36;33;0.4;30
14/02/2015;3;15;56;0.2;Sense dades
15/02/2015;3;12;53;0.2;Sense dades
16/02/2015;10;26;57;0.2;23
17/02/2015;9;26;38;0.2;19
18/02/2015;11;23;45;0.2;38
19/02/2015;22;38;39;0.3;37
20/02/2015;13;25;62;0.3;Sense dades
21/02/2015;2;9;75;0.2;Sense dades
22/02/2015;2;5;81;0.2;Sense dades
23/02/2015;3;14;53;0.2;6
24/02/2015;2;4;78;0.2;Sense dades
25/02/2015;2;7;71;0.2;7
26/02/2015;4;13;55;0.2;14
27/02/2015;2;6;77;0.2;Sense dades
28/02/2015;2;10;70;0.2;Sense dades
01/03/2015;4;20;41;0.2;Sense dades
02/03/2015;3;12;43;0.2;18
03/03/2015;7;28;50;0.2;33
04/03/2015;10;20;50;0.2;16
05/03/2015;2;9;74;0.2;24
06/03/2015;10;22;60;0.2;26
07/03/2015;9;32;50;0.2;Sense dades
08/03/2015;4;22;53;0.2;Sense dades
09/03/2015;3;19;65;0.2;36
10/03/2015;9;24;56;0.3;82
11/03/2015;14;36;49;0.3;Sense dades
12/03/2015;11;31;50;0.3;57
13/03/2015;2;10;68;0.2;32
14/03/2015;Sense dades;Sense dades;75;0.2;Sense dades
15/03/2015;Sense dades;Sense dades;63;0.2;Sense dades
16/03/2015;Sense dades;Sense dades;54;0.2;23
17/03/2015;Sense dades;Sense dades;59;0.2;22
18/03/2015;Sense dades;Sense dades;67;0.2;15
19/03/2015;Sense dades;Sense dades;72;0.2;33
20/03/2015;4;27;78;0.3;18
21/03/2015;3;14;68;0.2;Sense dades
22/03/2015;2;13;59;0.2;Sense dades
23/03/2015;3;18;71;0.2;20
24/03/2015;4;23;62;0.2;9
25/03/2015;2;8;75;0.2;9
26/03/2015;3;11;70;0.2;Sense dades
27/03/2015;2;8;74;0.2;9
28/03/2015;2;7;57;0.2;Sense dades
29/03/2015;1;7;69;0.2;Sense dades
30/03/2015;2;7;78;0.2;21
31/03/2015;7;19;61;0.2;19
01/04/2015;13;10;73;0.2;Sense dades
02/04/2015;6;17;70;0.2;27
03/04/2015;3;16;70;0.2;Sense dades
04/04/2015;3;11;68;0.2;Sense dades
05/04/2015;2;6;77;0.2;Sense dades
06/04/2015;3;10;83;0.2;Sense dades
07/04/2015;8;21;69;0.2;23
08/04/2015;6;21;83;0.2;19
09/04/2015;5;22;80;0.2;23
10/04/2015;6;24;79;0.2;27
11/04/2015;5;21;77;0.2;Sense dades
12/04/2015;3;17;80;0.2;Sense dades
13/04/2015;11;39;73;0.3;40
14/04/2015;12;36;73;0.3;30
15/04/2015;4;19;87;0.2;Sense dades
16/04/2015;3;22;66;0.2;29
17/04/2015;4;22;56;0.2;25
18/04/2015;2;17;77;0.2;Sense dades
19/04/2015;1;7;78;0.2;Sense dades
20/04/2015;2;10;78;0.2;15
21/04/2015;3;17;71;0.2;Sense dades
22/04/2015;4;25;68;0.2;26
23/04/2015;6;25;71;0.2;24
24/04/2015;1;13;84;0.2;29
25/04/2015;1;10;83;0.2;Sense dades
26/04/2015;1;11;66;0.2;Sense dades
27/04/2015;1;5;80;0.2;14
28/04/2015;1;8;84;0.2;19
29/04/2015;3;16;71;0.2;21
30/04/2015;2;12;73;0.2;26
01/05/2015;1;8;67;0.2;Sense dades
02/05/2015;1;13;74;0.2;Sense dades
03/05/2015;2;16;62;0.2;Sense dades
04/05/2015;3;24;56;0.2;35
05/05/2015;2;18;63;0.2;32
06/05/2015;2;12;82;0.2;Sense dades
07/05/2015;2;12;80;0.2;Sense dades
08/05/2015;2;12;73;0.2;30
09/05/2015;1;11;83;0.2;Sense dades
10/05/2015;1;8;78;0.2;Sense dades
11/05/2015;3;11;78;0.2;Sense dades
12/05/2015;3;13;82;0.2;24
13/05/2015;2;12;74;0.2;40
14/05/2015;4;20;77;0.2;73
15/05/2015;1;4;96;0.2;27
16/05/2015;1;5;91;0.2;Sense dades
17/05/2015;1;7;74;0.2;Sense dades
18/05/2015;2;10;71;0.2;27
19/05/2015;2;11;55;0.2;12
20/05/2015;1;5;76;0.3;Sense dades
21/05/2015;1;4;80;0.2;16
22/05/2015;1;7;81;0.2;21
23/05/2015;1;4;81;0.2;Sense dades
24/05/2015;1;4;74;0.2;Sense dades
25/05/2015;2;11;69;0.2;Sense dades
