Fecha;NO;NO2;NOX;O3;PM10;dd;HR;PRB;RS;TMP;vv
01/10/2015;2;17;12;103;17;315;63;964.7;139.2;16.3;2.44
30/09/2015;2;11;10;93;12;93;68;961.9;150.3;17.1;5.09
29/09/2015;3;16;12;87;16;42;70;961.9;161.1;15.9;0.84
28/09/2015;2;13;9;94;13;88;67;966.5;173.8;15.3;2.09
27/09/2015;2;10;9;84;11;327;70;965.6;183.1;15.9;1.3
26/09/2015;2;12;11;89;13;292;67;963;156.1;18.2;1.16
25/09/2015;3;22;15;84;14;302;62;963.9;178.6;18.3;1.22
24/09/2015;2;16;13;78;10;276;72;964.9;165.2;17.4;2.32
23/09/2015;2;11;10;70;5;295;81;963.2;123.5;14.5;3.32
22/09/2015;2;15;9;84;11;329;71;960.4;162.7;16.3;2.13
21/09/2015;2;12;11;115;13;290;59;962.1;202.6;18.6;2.04
20/09/2015;2;10;9;90;8;303;68;966.6;203.5;16.8;1.87
19/09/2015;2;11;10;90;11;320;70;968.9;208.9;16.1;0.72
18/09/2015;2;11;11;83;8;306;77;965.6;201.1;13.8;1.1
17/09/2015;2;9;8;75;7;303;71;957.4;138.5;13.8;4.01
16/09/2015;2;9;8;76;6;287;62;944.5;130.7;19.4;3.8
15/09/2015;3;19;13;65;12;80;76;951.1;65.3;15.3;1.9
14/09/2015;2;11;8;87;9;299;54;957.1;223.4;17.5;4.26
13/09/2015;2;7;7;79;10;304;70;953.8;114.2;18.2;1.87
12/09/2015;2;6;8;93;15;94;75;956.1;163.3;21;3.7
11/09/2015;2;11;10;102;20;90;73;957.8;225.7;19.4;3.91
10/09/2015;2;20;11;94;18;302;72;959.7;190.3;18.9;0.95
09/09/2015;3;19;13;100;20;104;63;959.7;192.9;18.2;1.36
08/09/2015;2;8;9;96;10;308;60;962.7;260.6;16.6;0.72
07/09/2015;2;9;9;90;9;315;70;966.8;206.6;15;1.44
06/09/2015;2;8;8;90;9;312;71;967.4;268.4;14.9;1.17
05/09/2015;2;7;8;90;7;320;69;966.1;244.4;15;0.94
04/09/2015;2;11;9;82;8;332;74;962.9;153.8;15.2;1.14
03/09/2015;2;12;9;81;7;329;80;961.8;127.5;15.8;1.8
02/09/2015;2;12;10;76;10;256;80;961.5;145.7;16.8;1.06
01/09/2015;2;7;8;74;7;334;79;963.9;86.7;17.9;1.06
31/08/2015;2;12;9;84;19;107;81;960.1;121.4;20;1.48
30/08/2015;2;4;6;102;28;93;52;960.8;230.1;25.2;6.57
29/08/2015;2;6;7;108;26;94;46;961.2;254.9;27.3;6.64
28/08/2015;2;13;9;92;14;85;45;961.2;274.2;26.6;0.67
27/08/2015;2;10;9;90;13;300;49;958.6;234.4;24.7;0.81
26/08/2015;2;7;9;103;18;90;50;959.3;252.9;24.3;1.51
25/08/2015;3;10;9;94;11;97;56;963.3;281.9;19.7;1.5
24/08/2015;2;7;7;76;8;298;59;958.4;252.5;17.8;3.77
23/08/2015;2;8;7;85;7;286;57;953.2;262.6;20.6;3.57
22/08/2015;2;7;8;104;15;96;65;957.2;185.2;22.7;1.95
21/08/2015;2;11;9;111;19;109;51;963.3;275.6;24.8;2.05
20/08/2015;2;13;10;105;13;98;52;965.5;288.9;22.6;0.77
19/08/2015;2;8;8;88;8;319;59;963.9;297.8;19.8;0.68
18/08/2015;2;10;8;88;9;348;66;961.3;247.3;18.1;1.61
17/08/2015;2;9;8;77;9;314;65;959.5;233.9;19.2;1.19
16/08/2015;2;7;8;72;8;321;67;958.8;180.5;18.3;0.22
15/08/2015;2;6;6;75;7;320;66;961.3;242.3;17.8;2.02
14/08/2015;2;9;8;77;7;293;73;962.3;135;17.4;1.72
13/08/2015;2;6;7;83;11;292;63;961.1;214.3;20.1;4.32
12/08/2015;2;10;9;102;31;58;60;960;199.6;25.5;0.31
11/08/2015;2;11;9;111;25;107;58;957.6;271.7;24.5;3.09
10/08/2015;2;9;9;104;11;309;58;961.7;321.1;22.6;0.75
