Fecha;vv;dd;TMP;HR;RS;LL;SO2;NO;NO2;NOX;O3
01/01/2015;2.1;284;8.9;80;77;0;3;2;10;12;35
02/01/2015;1.6;287;9.1;71;82;0.1;4;21;24;56;19
03/01/2015;1.7;283;11.1;59;82;0.1;3;5;18;25;26
04/01/2015;1.8;298;12.9;63;81;0.3;3;5;16;22;31
05/01/2015;1.6;295;9.9;85;78;0;6;12;20;38;17
06/01/2015;1.2;305;10.4;90;72;0;4;4;13;17;22
07/01/2015;1.7;299;10.3;84;76;0.1;7;17;21;46;16
08/01/2015;1.5;287;9.6;86;79;0;8;25;25;63;11
09/01/2015;1.6;275;9.8;81;82;0.1;10;31;27;75;10
10/01/2015;1.4;292;11.4;70;85;0;13;21;29;61;11
11/01/2015;1.8;296;12;67;84;0.1;10;5;19;26;24
12/01/2015;2.1;281;11.2;83;83;0.2;7;13;25;44;19
13/01/2015;1.3;294;11.3;83;80;0;9;32;27;75;12
14/01/2015;1.5;329;11.9;72;86;0;12;28;27;69;17
15/01/2015;1.7;260;11.9;76;85;0.1;11;23;29;63;18
16/01/2015;2.6;255;13.6;48;66;0;7;4;17;22;46
17/01/2015;2;294;9.2;52;94;0;3;5;19;26;37
18/01/2015;2.2;269;8.3;59;66;2.4;3;3;16;19;37
19/01/2015;2.3;11;9.3;70;28;5.2;3;2;7;8;48
20/01/2015;1.8;291;7.2;58;72;0;4;15;25;48;26
21/01/2015;1.8;288;8.3;68;73;0;5;23;28;62;19
22/01/2015;1.7;289;8.8;59;83;0;4;22;28;61;30
23/01/2015;2.4;292;10.7;31;103;0;3;6;15;23;55
24/01/2015;3;304;11.8;32;103;0;3;3;12;15;58
25/01/2015;2.8;348;12.6;16;107;0;3;2;8;10;68
26/01/2015;1.9;285;9;50;103;0;8;25;36;74;21
27/01/2015;2.1;288;11.7;64;100;0;4;16;25;49;31
28/01/2015;1.9;277;11;61;111;0;4;15;28;50;34
29/01/2015;3.5;271;15.4;54;83;0;4;10;22;37;37
30/01/2015;3.3;306;18.1;58;94;2.6;3;8;15;26;48
31/01/2015;3.6;304;12.8;58;118;2.1;3;3;10;12;57
01/02/2015;3.4;297;10.9;34;121;0;3;2;7;8;71
02/02/2015;2.4;260;11.2;49;94;0;3;7;19;29;42
03/02/2015;3.3;276;11.9;51;129;0.9;3;5;16;21;47
04/02/2015;3.1;355;7.4;57;81;2.9;3;2;6;8;63
05/02/2015;3.8;308;8.3;22;110;0;3;4;12;16;59
06/02/2015;2.5;323;6.6;30;116;0;3;4;13;18;56
07/02/2015;1.3;318;6;63;76;0;3;5;16;22;24
08/02/2015;2.3;287;7.4;59;138;0;3;3;14;16;40
09/02/2015;1.9;337;7.2;69;134;0;4;12;23;41;31
10/02/2015;2.2;285;8.4;75;143;0;4;11;28;44;35
11/02/2015;1.4;346;9.7;82;85;0;3;13;24;43;36
12/02/2015;0.9;297;9.9;88;50;0.6;3;17;26;51;26
13/02/2015;1.5;269;11.3;82;137;0;4;16;24;49;20
14/02/2015;2;305;13.3;66;70;0;3;4;20;25;36
15/02/2015;1.6;291;14.1;67;130;0;3;3;14;17;38
16/02/2015;1.6;299;12.8;67;130;0.1;3;12;26;43;33
17/02/2015;2.8;32;13;63;64;2.1;3;2;6;7;63
18/02/2015;1.9;54;12.4;58;127;0;3;6;13;21;56
19/02/2015;1.9;354;10;77;141;0;3;12;21;37;45
20/02/2015;2;274;9.1;81;156;1.4;4;10;29;43;34
21/02/2015;2.9;302;11;65;72;0.6;4;3;15;19;48
22/02/2015;3.9;11;13.2;45;162;0;3;2;5;7;85
23/02/2015;2.3;285;15.6;58;118;0;3;12;20;38;33
24/02/2015;4.5;321;14.2;26;150;0;3;2;8;9;75
25/02/2015;3;298;15.3;37;69;0;3;3;13;17;66
26/02/2015;3.8;333;17.1;55;140;0;3;4;14;20;57
27/02/2015;4.6;348;14.5;39;195;0;3;3;10;13;71
28/02/2015;1.6;266;11.2;54;158;0;3;3;16;19;54
01/03/2015;1.4;268;15;69;109;0;3;6;22;29;27
02/03/2015;1.1;352;18.2;67;146;1.5;4;9;20;33;26
03/03/2015;0.9;64;14.5;87;105;0;3;6;15;22;38
04/03/2015;3.1;337;13.5;60;150;0;5;20;15;44;48
05/03/2015;2.7;300;12.3;34;204;0;4;8;24;35;53
06/03/2015;2.3;265;10.6;61;198;0;6;9;27;40;36
07/03/2015;1.5;284;11.9;75;204;0;10;4;20;24;43
08/03/2015;1.2;236;11.3;84;132;0;3;2;14;16;55
09/03/2015;1.3;264;11.9;85;159;1.2;3;8;16;27;47
10/03/2015;1.1;243;12.4;86;196;0;3;12;26;44;42
11/03/2015;1.2;235;13.3;84;192;0;5;12;28;45;37
12/03/2015;1.5;39;15.4;68;195;0;6;11;24;39;59
13/03/2015;1.5;245;12.4;86;173;0;3;8;21;31;55
14/03/2015;1.9;295;11.8;54;160;0;3;2;11;13;66
15/03/2015;1.7;265;10.7;50;160;0;3;2;13;15;63
16/03/2015;1.7;261;10.2;67;208;0;3;7;19;28;51
17/03/2015;1.8;342;10.2;75;202;0;4;6;18;26;60
18/03/2015;2.1;58;12.9;86;47;4.6;3;2;6;7;85
19/03/2015;4.2;61;14;84;57;4.5;3;2;4;6;97
20/03/2015;4.6;60;13.8;85;24;13.1;3;2;4;6;98
21/03/2015;1.2;65;13.4;95;64;17.1;3;2;8;9;64
22/03/2015;1.4;352;11.4;97;18;192;3;2;7;8;72
23/03/2015;1.5;87;12.9;97;28;21.6;3;2;7;9;76
24/03/2015;2;67;13.3;92;40;6.8;3;2;4;6;86
25/03/2015;5.2;354;12.8;41;187;0;3;2;4;6;88
26/03/2015;2.9;299;12.2;48;230;0;3;3;13;16;71
27/03/2015;2.1;282;17.2;58;246;0;3;10;21;36;39
28/03/2015;1.5;255;17.8;66;251;0;3;5;16;23;38
29/03/2015;1.4;247;15.8;73;186;0;3;4;14;18;39
30/03/2015;1;290;19.1;65;66;0;4;33;36;86;8
31/03/2015;1.1;267;20.5;57;255;0;3;12;25;44;38
01/04/2015;1.5;191;16.1;64;252;0;4;6;13;20;52
02/04/2015;1.3;246;13.8;83;251;0;3;8;18;29;42
03/04/2015;1;89;13.6;90;231;0;3;2;10;12;53
