Fecha;SO2;NO;NO2;CO;PM10
01/01/2015;4;10;31;0.3;Sense dades
02/01/2015;13;151;74;0.9;59
03/01/2015;4;129;74;0.9;Sense dades
04/01/2015;4;70;58;0.7;Sense dades
05/01/2015;4;88;56;0.7;37
06/01/2015;2;37;34;0.4;Sense dades
07/01/2015;10;90;52;0.6;40
08/01/2015;2;81;50;0.6;39
09/01/2015;4;116;62;0.6;53
10/01/2015;5;120;61;0.5;Sense dades
11/01/2015;1;24;35;0.2;Sense dades
12/01/2015;9;83;58;0.3;30
13/01/2015;6;31;55;0.2;30
14/01/2015;7;52;47;0.3;31
15/01/2015;7;28;51;0.2;Sense dades
16/01/2015;15;43;48;0.3;32
17/01/2015;3;28;39;0.3;Sense dades
18/01/2015;3;13;28;0.2;Sense dades
19/01/2015;6;21;40;0.2;Sense dades
20/01/2015;2;38;45;0.2;19
21/01/2015;8;50;42;0.3;27
22/01/2015;3;33;37;0.2;19
23/01/2015;6;49;46;0.3;30
24/01/2015;2;33;48;0.3;Sense dades
25/01/2015;5;3;13;0.2;Sense dades
26/01/2015;9;33;51;0.3;34
27/01/2015;10;47;51;0.3;Sense dades
28/01/2015;7;46;45;0.3;36
29/01/2015;8;69;49;0.4;31
30/01/2015;5;17;37;0.2;19
31/01/2015;4;23;41;0.2;Sense dades
01/02/2015;4;17;32;0.3;Sense dades
02/02/2015;3;38;52;0.3;13
03/02/2015;2;39;51;0.3;16
04/02/2015;4;10;29;0.2;10
05/02/2015;3;20;34;0.2;Sense dades
06/02/2015;5;28;39;0.3;25
07/02/2015;6;27;37;0.5;33
08/02/2015;2;23;33;0.5;Sense dades
09/02/2015;3;17;43;0.3;25
10/02/2015;8;46;53;0.5;34
11/02/2015;4;34;53;0.4;Sense dades
12/02/2015;6;51;57;0.5;Sense dades
13/02/2015;5;25;48;0.4;40
14/02/2015;4;27;49;0.5;Sense dades
15/02/2015;3;17;37;0.4;25
16/02/2015;2;25;42;0.4;21
17/02/2015;1;11;35;0.3;12
18/02/2015;5;14;36;0.3;Sense dades
19/02/2015;8;25;44;0.4;33
20/02/2015;5;23;38;0.5;Sense dades
21/02/2015;2;8;35;0.4;Sense dades
22/02/2015;2;13;32;0.4;17
23/02/2015;8;29;50;0.4;19
24/02/2015;4;20;37;0.3;17
