Fecha;PM10;SO2;NO2;NO;SH2
01/01/2015;28;0;31;25;3
02/01/2015;35;1;44;58;3
03/01/2015;24;0;39;35;2
04/01/2015;27;0;30;18;3
05/01/2015;26;0;32;40;4
06/01/2015;30;0;29;24;5
07/01/2015;31;0;36;41;5
08/01/2015;32;0;42;40;4
09/01/2015;33;1;42;56;2
10/01/2015;34;1;29;14;1
11/01/2015;28;1;26;13;1
12/01/2015;18;1;45;17;
13/01/2015;16;0;46;6;2
14/01/2015;22;2;76;70;2
15/01/2015;14;1;44;4;2
16/01/2015;11;1;51;13;2
17/01/2015;18;1;62;21;2
18/01/2015;9;1;24;2;3
19/01/2015;12;1;33;4;1
20/01/2015;11;2;48;15;1
21/01/2015;9;2;36;9;1
22/01/2015;13;2;42;13;1
23/01/2015;37;1;83;39;1
24/01/2015;19;1;48;19;0
25/01/2015;22;1;63;17;1
26/01/2015;26;1;104;35;5
27/01/2015;17;1;123;8;1
28/01/2015;16;2;61;14;2
29/01/2015;17;2;45;17;6
30/01/2015;14;2;20;3;5
31/01/2015;14;3;11;2;4
01/02/2015;14;1;15;2;2
02/02/2015;11;3;69;29;1
03/02/2015;13;3;49;9;4
04/02/2015;12;1;18;3;4
05/02/2015;;;;;
06/02/2015;14;2;63;17;3
07/02/2015;35;1;66;17;4
08/02/2015;31;0;64;10;4
09/02/2015;28;1;;;3
10/02/2015;30;2;;;2
11/02/2015;24;1;42;18;2
12/02/2015;28;2;35;17;2
13/02/2015;17;2;24;13;2
14/02/2015;14;2;30;12;2
15/02/2015;11;1;18;2;1
16/02/2015;12;0;14;2;0
17/02/2015;20;0;20;6;0
18/02/2015;25;1;37;26;1
19/02/2015;28;2;43;32;2
20/02/2015;21;0;41;19;2
21/02/2015;13;0;8;2;0
22/02/2015;17;0;22;6;1
23/02/2015;14;0;15;4;1
24/02/2015;14;0;10;1;0
25/02/2015;14;0;11;1;0
26/02/2015;12;0;14;1;0
27/02/2015;17;0;15;2;0
28/02/2015;16;0;25;6;1
01/03/2015;16;1;25;5;1
02/03/2015;15;1;31;5;1
03/03/2015;17;1;23;7;1
04/03/2015;13;0;19;3;0
05/03/2015;18;0;23;7;1
06/03/2015;28;1;36;22;2
07/03/2015;28;6;39;17;2
08/03/2015;27;1;26;6;1
09/03/2015;43;3;37;9;1
10/03/2015;46;1;38;11;0
11/03/2015;45;0;28;2;0
12/03/2015;47;0;28;7;0
13/03/2015;20;0;16;1;0
14/03/2015;17;1;11;0;0
15/03/2015;30;1;20;1;0
16/03/2015;33;3;36;19;1
17/03/2015;29;4;33;4;1
18/03/2015;31;1;33;8;0
19/03/2015;28;0;31;8;0
20/03/2015;45;0;32;2;0
21/03/2015;22;0;28;2;0
22/03/2015;26;1;22;2;0
23/03/2015;13;1;32;9;0
24/03/2015;16;0;23;2;0
25/03/2015;11;0;14;2;0
26/03/2015;11;0;19;3;0
27/03/2015;14;1;22;4;0
28/03/2015;26;1;20;7;0
29/03/2015;19;2;20;2;1
30/03/2015;21;1;20;5;1
31/03/2015;;0;;;
01/04/2015;27;0;28;4;2
02/04/2015;26;3;35;11;3
03/04/2015;21;2;17;3;3
04/04/2015;16;1;11;1;4
05/04/2015;15;2;12;1;4
06/04/2015;22;3;22;5;
07/04/2015;28;4;31;14;
08/04/2015;25;1;9;1;0
09/04/2015;28;1;21;3;1
10/04/2015;20;1;23;2;1
11/04/2015;20;2;27;4;0
12/04/2015;30;2;32;7;0
13/04/2015;44;0;27;6;0
14/04/2015;49;0;35;9;0
15/04/2015;49;0;24;2;0
16/04/2015;31;3;27;8;1
17/04/2015;18;0;19;2;0
18/04/2015;16;0;18;3;1
19/04/2015;12;0;12;1;0
20/04/2015;18;2;24;5;0
21/04/2015;29;1;26;13;1
22/04/2015;20;0;15;1;0
23/04/2015;17;3;26;5;0
24/04/2015;23;1;30;9;0
25/04/2015;18;0;17;5;0
26/04/2015;13;0;9;0;0
27/04/2015;13;0;13;1;0
28/04/2015;17;1;18;3;0
29/04/2015;17;0;21;3;0
30/04/2015;19;1;27;4;0
01/05/2015;15;0;19;4;0
02/05/2015;13;0;17;5;0
03/05/2015;13;0;14;3;0
04/05/2015;18;0;10;2;0
05/05/2015;15;0;13;1;0
06/05/2015;16;0;17;3;0
07/05/2015;26;5;26;6;0
08/05/2015;17;1;18;3;0
09/05/2015;12;0;12;1;0
10/05/2015;22;3;16;5;0
11/05/2015;24;0;11;1;0
12/05/2015;32;3;16;2;0
13/05/2015;31;1;18;2;0
14/05/2015;21;0;16;3;0
15/05/2015;16;0;10;1;0
16/05/2015;14;0;11;1;0
17/05/2015;13;1;15;1;0
18/05/2015;16;0;16;5;1
19/05/2015;13;0;9;1;0
20/05/2015;13;0;11;1;0
21/05/2015;14;0;14;2;0
22/05/2015;16;0;19;2;0
23/05/2015;12;0;10;1;0
24/05/2015;8;0;7;1;0
25/05/2015;12;0;11;2;0
26/05/2015;14;0;11;1;0
27/05/2015;18;2;18;3;0
28/05/2015;21;0;16;7;0
29/05/2015;18;0;14;1;0
30/05/2015;22;1;15;1;1
31/05/2015;17;0;8;1;1
01/06/2015;13;0;13;1;1
02/06/2015;23;1;12;2;1
03/06/2015;28;0;16;3;1
04/06/2015;34;4;18;4;1
05/06/2015;24;0;15;1;0
06/06/2015;21;0;14;2;0
07/06/2015;24;1;9;1;0
08/06/2015;31;1;11;2;0
09/06/2015;36;0;19;2;0
10/06/2015;28;1;20;2;0
11/06/2015;30;0;21;2;0
12/06/2015;21;0;25;3;0
13/06/2015;15;0;11;1;0
14/06/2015;14;0;13;1;0
15/06/2015;16;0;13;1;0
16/06/2015;15;0;13;1;0
17/06/2015;18;0;13;1;0
18/06/2015;21;1;15;2;0
19/06/2015;14;0;13;2;0
20/06/2015;21;2;18;4;0
21/06/2015;22;2;18;2;0
22/06/2015;23;0;15;2;0
23/06/2015;20;2;19;5;0
24/06/2015;24;2;22;6;0
25/06/2015;29;2;20;7;0
26/06/2015;38;0;15;1;0
27/06/2015;28;4;19;3;0
28/06/2015;23;1;14;2;0
29/06/2015;23;5;22;5;0
30/06/2015;36;1;18;6;0
01/07/2015;27;0;11;1;0
02/07/2015;19;0;14;1;0
03/07/2015;31;0;20;3;0
04/07/2015;24;1;19;2;0
05/07/2015;16;0;9;0;0
06/07/2015;21;1;14;2;0
07/07/2015;20;1;12;3;0
08/07/2015;15;0;13;1;2
09/07/2015;20;1;15;4;0
10/07/2015;32;1;16;7;0
11/07/2015;22;1;15;2;0
12/07/2015;15;0;14;2;0
13/07/2015;19;4;20;5;0
14/07/2015;22;1;18;8;0
15/07/2015;26;0;18;2;0
16/07/2015;31;0;16;2;0
17/07/2015;29;3;22;3;0
18/07/2015;26;0;13;1;0
19/07/2015;24;2;14;1;0
20/07/2015;21;0;14;3;0
21/07/2015;24;0;23;5;0
22/07/2015;16;0;13;1;0
23/07/2015;17;1;19;10;0
24/07/2015;17;0;15;2;0
25/07/2015;21;0;11;1;1
26/07/2015;18;2;14;2;2
27/07/2015;20;0;10;1;1
28/07/2015;16;3;14;2;0
29/07/2015;15;1;22;3;
30/07/2015;19;0;21;2;0
31/07/2015;17;0;22;3;0
01/08/2015;17;1;15;1;3
02/08/2015;21;2;20;2;5
03/08/2015;24;3;20;3;
04/08/2015;17;0;16;1;
05/08/2015;24;0;20;5;0
06/08/2015;22;0;19;3;0
07/08/2015;16;0;17;2;1
08/08/2015;16;0;10;1;1
09/08/2015;18;2;13;1;
10/08/2015;26;4;24;3;
11/08/2015;27;0;17;1;0
12/08/2015;26;0;15;3;0
13/08/2015;19;0;12;2;0
14/08/2015;15;0;10;1;0
15/08/2015;14;0;13;2;0
16/08/2015;16;1;15;4;1
17/08/2015;18;2;18;3;1
18/08/2015;16;0;18;4;1
19/08/2015;15;1;20;6;2
20/08/2015;24;2;26;10;
21/08/2015;29;0;19;4;5
22/08/2015;27;0;14;1;5
23/08/2015;12;2;9;2;
24/08/2015;15;0;14;2;
25/08/2015;15;1;19;3;0
26/08/2015;15;1;23;7;0
27/08/2015;19;0;20;5;0
28/08/2015;16;0;14;2;0
29/08/2015;17;0;13;3;0
30/08/2015;24;0;20;3;
31/08/2015;24;0;17;2;
01/09/2015;14;0;17;1;0
02/09/2015;20;0;19;3;0
03/09/2015;11;0;15;1;0
04/09/2015;10;0;19;2;0
05/09/2015;10;0;18;3;0
06/09/2015;12;0;17;2;0
07/09/2015;20;2;23;5;0
08/09/2015;21;4;32;13;0
09/09/2015;28;2;25;8;0
10/09/2015;22;0;20;3;0
11/09/2015;20;0;20;10;0
12/09/2015;16;0;19;2;0
13/09/2015;12;0;9;1;0
14/09/2015;16;0;10;1;0
15/09/2015;13;0;12;2;0
16/09/2015;14;0;12;1;0
17/09/2015;13;0;13;1;0
18/09/2015;14;0;18;8;0
19/09/2015;13;1;15;2;0
20/09/2015;14;2;25;6;0
21/09/2015;21;0;18;9;0
22/09/2015;14;0;8;1;0
23/09/2015;11;0;14;1;0
24/09/2015;18;1;25;12;0
25/09/2015;26;0;27;10;0
26/09/2015;22;0;30;9;0
27/09/2015;18;0;24;6;0
28/09/2015;24;0;28;10;0
