Fecha;SO2;CO;NO;NO2;PM25;PM10;O3;TOL;BEN;EBN
15/01/2015;14;0.7;85;80;14;21;17;13.2;1.4;2.1
15/02/2015;11;0.6;26;51;-;16;37;6.3;0.7;0.8
15/03/2015;11;0.7;34;56;12;22;37;3.2;0.8;0.7
15/04/2015;8;0.6;15;45;10;20;55;2.2;0.4;0.5
15/05/2015;9;0.4;16;47;11;24;59;2.5;0.4;0.5
15/06/2015;12;0.4;9;53;14;25;70;2.2;0.4;0.3
15/07/2015;11;0.4;10;57;-;-;64;1.9;0.5;0.2
15/08/2015;12;0.4;10;43;12;27;59;1.5;0.2;0.2
15/09/2015;12;0.4;22;53;10;22;44;2.3;0.4;0.2
15/10/2015;12;0.5;34;60;13;22;15;3.7;1.0;0.6
15/11/2015;17;0.7;83;76;17;28;17;5.7;1.4;0.8
