Fecha;O3;PM25
01/01/2015;20;Sense dades
02/01/2015;8;11
03/01/2015;11;Sense dades
04/01/2015;14;16
05/01/2015;6;Sense dades
06/01/2015;8;18
07/01/2015;4;Sense dades
08/01/2015;5;10
09/01/2015;5;Sense dades
10/01/2015;8;11
11/01/2015;11;Sense dades
12/01/2015;3;Sense dades
13/01/2015;16;29
14/01/2015;20;Sense dades
15/01/2015;49;14
16/01/2015;21;Sense dades
17/01/2015;33;20
18/01/2015;39;Sense dades
19/01/2015;29;10
20/01/2015;27;Sense dades
21/01/2015;25;13
22/01/2015;15;Sense dades
23/01/2015;13;21
24/01/2015;27;Sense dades
25/01/2015;75;20
26/01/2015;18;Sense dades
27/01/2015;7;6
28/01/2015;16;Sense dades
29/01/2015;28;19
30/01/2015;45;Sense dades
31/01/2015;52;28
01/02/2015;69;Sense dades
02/02/2015;38;27
03/02/2015;11;Sense dades
04/02/2015;41;19
05/02/2015;43;Sense dades
06/02/2015;35;8
07/02/2015;34;Sense dades
08/02/2015;21;Sense dades
09/02/2015;26;Sense dades
10/02/2015;26;Sense dades
11/02/2015;21;16
12/02/2015;22;Sense dades
13/02/2015;37;27
14/02/2015;30;Sense dades
15/02/2015;29;13
16/02/2015;35;Sense dades
17/02/2015;29;15
18/02/2015;35;Sense dades
19/02/2015;37;20
20/02/2015;45;Sense dades
21/02/2015;71;18
22/02/2015;81;Sense dades
23/02/2015;36;17
24/02/2015;68;Sense dades
25/02/2015;76;Sense dades
26/02/2015;17;Sense dades
27/02/2015;49;Sense dades
28/02/2015;54;7
01/03/2015;42;14
02/03/2015;30;14
03/03/2015;37;13
04/03/2015;41;19
05/03/2015;75;8
06/03/2015;35;14
07/03/2015;31;21
08/03/2015;45;Sense dades
09/03/2015;46;Sense dades
10/03/2015;42;Sense dades
11/03/2015;43;35
12/03/2015;46;Sense dades
13/03/2015;58;32
14/03/2015;63;Sense dades
15/03/2015;52;27
16/03/2015;44;Sense dades
17/03/2015;51;7
18/03/2015;85;Sense dades
19/03/2015;83;8
20/03/2015;100;Sense dades
21/03/2015;84;5
22/03/2015;75;Sense dades
23/03/2015;76;6
24/03/2015;83;Sense dades
25/03/2015;54;3
26/03/2015;48;11
27/03/2015;40;9
28/03/2015;43;3
29/03/2015;27;3
30/03/2015;35;9
31/03/2015;48;4
01/04/2015;47;3
02/04/2015;55;Sense dades
03/04/2015;54;Sense dades
04/04/2015;58;Sense dades
05/04/2015;67;Sense dades
06/04/2015;74;Sense dades
07/04/2015;63;Sense dades
08/04/2015;65;Sense dades
09/04/2015;65;Sense dades
10/04/2015;70;Sense dades
11/04/2015;63;9
12/04/2015;66;Sense dades
13/04/2015;67;12
14/04/2015;65;Sense dades
15/04/2015;64;12
16/04/2015;46;Sense dades
17/04/2015;47;9
18/04/2015;58;Sense dades
19/04/2015;66;3
20/04/2015;53;Sense dades
21/04/2015;54;9
22/04/2015;51;Sense dades
23/04/2015;62;11
24/04/2015;66;Sense dades
25/04/2015;73;16
26/04/2015;54;Sense dades
27/04/2015;55;3
28/04/2015;56;Sense dades
29/04/2015;55;7
30/04/2015;60;Sense dades
01/05/2015;56;3
02/05/2015;49;Sense dades
03/05/2015;53;4
04/05/2015;59;Sense dades
05/05/2015;63;10
06/05/2015;69;Sense dades
07/05/2015;66;13
08/05/2015;66;Sense dades
09/05/2015;76;10
10/05/2015;73;Sense dades
11/05/2015;81;15
12/05/2015;81;Sense dades
13/05/2015;79;16
14/05/2015;75;Sense dades
15/05/2015;94;11
16/05/2015;89;Sense dades
17/05/2015;84;9
18/05/2015;80;Sense dades
19/05/2015;47;7
20/05/2015;55;Sense dades
21/05/2015;66;3
22/05/2015;71;Sense dades
23/05/2015;72;11
24/05/2015;79;Sense dades
25/05/2015;73;13
