Fecha;NO;NO2;NOX;O3;PM10;PM25;SO2
01/10/2015;18;77;60;85;24;;9
30/09/2015;16;85;70;55;26;17;8
29/09/2015;19;49;60;75;26;19;9
28/09/2015;9;61;49;74;20;;9
27/09/2015;5;43;30;77;15;;8
26/09/2015;7;34;32;74;17;;9
25/09/2015;17;48;52;70;20;;8
24/09/2015;9;50;39;61;;7;6
23/09/2015;3;48;33;54;7;;5
22/09/2015;2;32;20;76;9;4;6
21/09/2015;14;44;45;86;20;;10
20/09/2015;3;41;26;85;11;;8
19/09/2015;4;35;28;83;12;;6
18/09/2015;10;42;42;81;14;7;9
17/09/2015;2;46;23;66;8;2;5
16/09/2015;1;25;12;69;8;;5
15/09/2015;14;48;44;61;15;;9
14/09/2015;3;57;26;75;12;;6
13/09/2015;3;32;20;70;12;;6
12/09/2015;2;33;17;82;12;6;6
11/09/2015;11;41;41;90;20;9;9
10/09/2015;7;61;38;77;20;;6
09/09/2015;13;53;53;87;24;15;12
08/09/2015;10;51;50;83;19;;13
07/09/2015;10;47;45;76;16;;10
06/09/2015;4;46;27;90;12;;8
05/09/2015;3;35;25;75;12;;9
04/09/2015;3;47;22;67;6;;6
03/09/2015;4;52;30;66;9;4;6
02/09/2015;13;46;44;73;15;13;8
01/09/2015;3;40;26;73;;3;5
31/08/2015;5;53;28;80;10;;5
30/08/2015;3;28;20;90;24;17;8
29/08/2015;6;31;27;83;27;18;8
28/08/2015;9;39;37;60;20;11;7
27/08/2015;8;46;32;63;14;6;7
26/08/2015;12;66;53;80;22;12;13
25/08/2015;6;38;30;76;14;5;9
24/08/2015;3;46;18;71;9;;5
23/08/2015;2;19;12;68;8;;6
22/08/2015;2;27;18;74;24;19;6
21/08/2015;8;45;36;102;25;20;11
20/08/2015;9;39;39;93;18;7;11
19/08/2015;7;29;29;76;9;;7
18/08/2015;5;33;23;78;13;;6
17/08/2015;6;30;24;80;13;7;6
16/08/2015;6;23;23;56;13;;7
15/08/2015;3;22;17;61;14;5;7
14/08/2015;2;21;15;74;16;5;7
13/08/2015;3;39;20;76;19;7;7
12/08/2015;5;45;33;85;30;20;8
11/08/2015;8;49;36;110;27;15;7
10/08/2015;8;37;31;104;16;6;6
09/08/2015;2;34;16;81;12;;7
08/08/2015;2;30;18;74;13;5;8
07/08/2015;3;48;25;68;19;5;6
06/08/2015;13;49;44;86;26;13;8
05/08/2015;8;29;31;82;25;11;5
04/08/2015;4;36;27;45;22;6;5
03/08/2015;5;49;28;99;29;11;6
02/08/2015;3;27;19;114;17;;6
01/08/2015;3;33;19;91;15;7;7
31/07/2015;3;37;21;79;9;5;5
30/07/2015;7;45;28;65;9;4;5
29/07/2015;8;42;31;52;11;;7
28/07/2015;5;34;23;74;9;;6
27/07/2015;5;37;23;53;10;;7
26/07/2015;3;29;20;82;9;;8
25/07/2015;2;26;12;76;8;;6
24/07/2015;12;44;38;65;14;10;7
23/07/2015;7;35;29;68;14;;5
22/07/2015;6;33;31;47;15;8;5
21/07/2015;6;41;31;50;13;;5
20/07/2015;9;46;35;83;16;;9
19/07/2015;5;28;23;72;15;;6
18/07/2015;4;29;20;63;13;8;5
17/07/2015;9;45;37;78;19;;7
16/07/2015;3;31;21;68;14;;4
15/07/2015;6;41;26;56;14;7;5
14/07/2015;10;47;33;68;13;;11
13/07/2015;9;36;30;63;8;;8
12/07/2015;2;26;12;62;4;;4
11/07/2015;2;14;11;73;8;;6
10/07/2015;10;45;37;108;17;11;10
09/07/2015;4;49;19;69;5;;5
08/07/2015;3;30;14;65;4;;4
07/07/2015;5;39;21;79;13;;7
06/07/2015;3;30;22;86;18;;5
05/07/2015;2;12;11;55;7;2;5
04/07/2015;3;35;17;74;14;;7
03/07/2015;5;39;26;104;23;;7
02/07/2015;3;35;20;63;13;7;5
01/07/2015;3;43;20;80;25;20;6
30/06/2015;5;72;35;108;33;22;10
29/06/2015;3;47;25;77;17;8;6
28/06/2015;4;25;18;54;5;;7
27/06/2015;3;36;22;74;;25;8
26/06/2015;6;58;34;83;30;25;8
25/06/2015;12;62;52;108;17;;9
24/06/2015;11;36;36;70;18;;11
23/06/2015;5;35;24;62;14;;5
22/06/2015;10;41;36;66;16;;7
21/06/2015;4;33;26;85;17;;10
20/06/2015;5;30;22;84;15;;6
19/06/2015;7;54;38;65;15;11;11
18/06/2015;10;55;42;97;18;;9
17/06/2015;4;55;30;93;16;;7
16/06/2015;3;52;20;82;7;;5
15/06/2015;6;50;32;85;11;;6
14/06/2015;3;25;17;95;8;4;7
13/06/2015;2;21;15;81;9;;5
12/06/2015;4;45;24;75;16;11;5
11/06/2015;4;57;28;80;11;;4
10/06/2015;6;46;40;71;17;11;5
09/06/2015;7;65;37;95;24;11;9
08/06/2015;3;39;24;96;29;20;11
07/06/2015;2;17;12;69;17;8;8
06/06/2015;2;28;14;61;12;5;7
05/06/2015;6;62;33;70;25;17;12
04/06/2015;8;49;34;106;27;17;8
03/06/2015;2;21;14;67;15;;6
02/06/2015;6;48;29;63;19;13;8
01/06/2015;6;46;31;54;16;9;8
31/05/2015;3;31;18;71;16;;12
30/05/2015;5;38;28;86;16;;10
29/05/2015;2;39;19;81;13;;6
28/05/2015;7;46;35;79;22;14;9
27/05/2015;4;61;26;78;18;8;7
26/05/2015;3;50;20;66;16;7;7
25/05/2015;2;27;15;61;13;9;6
24/05/2015;2;14;12;58;9;5;6
23/05/2015;4;44;20;80;12;11;7
