Fecha;O3;dd;HR;PRB;LL;RS;RUV;TMP;vv
01/10/2015;91;22;;962.6;0;162.9;;17.1;1.23
30/09/2015;85;155;;957.9;0;141.7;;18.4;1.44
29/09/2015;68;31;;958.7;0;110.9;;15.7;1.2
28/09/2015;78;154;;964.8;0;142.3;;15.9;0.9
27/09/2015;78;33;;964.1;0;146.4;;15.8;1.45
26/09/2015;72;46;;960.6;0;138.7;;17.6;1.64
25/09/2015;62;39;;962;0;126.9;;17.1;0.59
24/09/2015;64;14;;963.1;0;140.6;;17.3;0.43
23/09/2015;68;350;;960.4;3;41.7;;14.1;1.41
22/09/2015;81;356;;956.9;0;118.9;;16.2;2.29
21/09/2015;87;56;;960;0;188.8;;17.2;1.53
20/09/2015;79;62;;966.2;0;152.3;;16.1;0.44
19/09/2015;85;68;;969.5;0;194.1;;15.7;1.1
18/09/2015;70;45;;964.9;0.1;156.1;;13.6;0.83
17/09/2015;72;275;;952.3;4.6;77.8;;14;3.16
16/09/2015;77;255;;932.6;2.5;136.1;;20;6.7
15/09/2015;67;211;;942.6;0.4;30.4;;17.1;2.68
14/09/2015;68;348;;952.2;0;139;;16.5;1.13
13/09/2015;79;262;;946;0.2;70.8;;19;3.92
12/09/2015;79;29;;950.8;0;141.9;;19.4;1.81
11/09/2015;87;190;;952.9;0;196.8;;19.6;0.27
10/09/2015;82;33;;956.5;0;105.3;;17.8;1.72
09/09/2015;84;25;;956.1;0;151;;19.5;0.32
08/09/2015;88;235;;960.8;0;212.6;;17.2;0.14
07/09/2015;83;41;;967.1;0;185.9;;15.4;1.55
06/09/2015;91;48;;968;0;210.2;;15.1;1.22
05/09/2015;82;35;;965.9;0;138.9;;15.4;1.25
04/09/2015;73;34;;961.4;0;133.1;;15.3;2.64
03/09/2015;68;27;;959.9;1.1;45.8;;15.4;2.2
02/09/2015;77;34;;959.7;5.9;124.1;;16.4;1.82
01/09/2015;65;39;;963.1;0.7;67.1;;17.3;2.72
31/08/2015;80;357;;956.5;7.6;81.2;;22.4;0.95
30/08/2015;98;139;;957.3;3.9;167.5;;27.9;2.61
29/08/2015;103;167;;957.6;0;197.4;;28.3;2.35
28/08/2015;77;262;;958.8;0;226.5;;27.4;1.6
27/08/2015;81;251;;954.6;0;143.4;;26.7;3.37
26/08/2015;99;262;;955;0;202.1;;25.9;2.14
25/08/2015;83;251;;960.9;0;225.9;;20.8;1.56
24/08/2015;65;315;;954.5;0;141.2;;17.3;1.38
23/08/2015;75;268;;946.2;0;193.9;;20.5;4.14
22/08/2015;98;150;;951.8;8.7;138.5;;23.2;1.27
21/08/2015;116;54;;960.9;0;208.2;;25;0.76
20/08/2015;113;80;;964.6;0;237.7;;22.7;0.54
19/08/2015;82;55;;962.7;0;235.1;;19.1;1.2
18/08/2015;81;44;;958.8;0;183.1;;18.3;1.8
17/08/2015;76;38;;956.6;0;163.8;;18.5;2.74
16/08/2015;60;38;;955.5;0;128.4;;17.8;1.28
15/08/2015;65;19;;958.9;0;142.1;;17.3;1.7
14/08/2015;79;6;;959.8;0.4;111;;17.9;1.73
13/08/2015;78;279;;957.9;3.3;158.9;;20.2;2.27
12/08/2015;95;257;;955.3;0;180.2;;26.5;1.05
11/08/2015;108;39;;952.9;0;207.5;;23.9;1.36
10/08/2015;110;85;;958.9;0;231.2;;21.6;0.74
09/08/2015;81;25;;966.9;0;113.1;;18.1;1
08/08/2015;73;42;;966.9;0.1;62.8;;16.6;2.85
07/08/2015;82;34;;960.6;0;101.7;;19.2;3.68
06/08/2015;104;18;;955.8;0;244.2;;22.7;0.9
05/08/2015;96;20;;954.6;0;236.1;;22.4;1.14
04/08/2015;66;41;;959.6;0;94.3;;19.7;2.56
03/08/2015;100;45;;956.2;0;189.2;;24.1;0.9
02/08/2015;102;212;;955.9;0;249.8;;24;0.64
01/08/2015;103;40;;958.9;0;201.4;;17.9;0.81
31/07/2015;82;22;;952.6;0.7;138.2;;16.6;1.81
30/07/2015;71;52;;957.8;8.2;62.9;;15.6;2.91
29/07/2015;56;51;;956.6;0;151.1;;19;2.22
28/07/2015;87;47;;956.9;0;243.1;;22;1.73
27/07/2015;64;48;;959;0;108.9;;19.1;3.09
26/07/2015;101;43;;957.2;0;233.5;;21.1;2
25/07/2015;88;39;;962.9;0;150.6;;18;2.46
24/07/2015;87;32;;954;0;179.4;;21.5;2.13
23/07/2015;91;50;;958;0;231.6;;22.6;2.1
22/07/2015;55;38;;962.2;0.1;65.8;;20.7;2.07
21/07/2015;82;26;;957.6;2.1;136.7;;22.7;1.75
20/07/2015;106;34;;958.1;0;247.1;;25.2;1.62
19/07/2015;85;40;;958.6;0;198.7;;23.3;1.13
18/07/2015;102;347;;957.4;0.7;157.9;;23.8;0.6
17/07/2015;119;25;;959;0;207.2;;23.9;0.93
16/07/2015;100;16;;955.8;0;206.8;;25;1.21
15/07/2015;91;40;;959.1;0;200.3;;22.9;2.39
14/07/2015;88;31;;964.4;0;228.4;;22;2.26
13/07/2015;83;39;;966.4;0;245;;20.4;2.39
12/07/2015;69;33;;966.8;0;206.6;;19.8;3.34
11/07/2015;83;39;;968.1;0;120.5;;18.8;3.63
10/07/2015;130;22;;960;0;252.9;;22.5;1.43
09/07/2015;86;33;;964.7;0;194.9;;19.3;2.69
08/07/2015;69;43;;966.2;0;152.1;;18.6;3.92
07/07/2015;97;39;;961.3;0;242.9;;22.3;3.24
06/07/2015;100;37;;960.1;0;241.6;;25.8;0.6
05/07/2015;64;34;;963.1;0;163.1;;21.1;3.05
04/07/2015;99;15;;964;0.2;241.5;;23.4;2.36
03/07/2015;115;165;;960.1;0;197.2;;27.3;2.82
02/07/2015;68;35;;962.3;0;225.5;;20.7;2.96
01/07/2015;110;52;;954.4;0;237.7;;25.6;0.71
30/06/2015;126;156;;954;0;213.8;;28.9;0.77
29/06/2015;111;85;;961.1;0;257.3;;25.6;1.01
28/06/2015;77;30;;964;0;283.3;;21.8;2.13
27/06/2015;85;42;;964.6;0;278.1;;21.7;1.94
26/06/2015;122;29;;964.6;0;251.6;;22.7;1.46
25/06/2015;136;69;;963.7;0;264.9;;22.5;0.55
24/06/2015;92;43;;961.6;0.1;250.9;;;1.43
23/06/2015;74;44;;957.3;0.1;254.2;;;2.96
22/06/2015;96;21;;956;2.2;222.8;;;1.19
21/06/2015;94;35;69;961.8;0;272.5;;19.5;1.32
20/06/2015;89;36;71;965.2;0;263.7;;17.5;1.81
19/06/2015;77;13;84;966.4;0;152.4;;15.7;1.83
18/06/2015;105;37;79;968.8;0;255.6;;15.7;2.59
17/06/2015;97;21;76;970.8;0;144.9;;15.3;2.65
16/06/2015;88;9;76;968.7;0;134.9;;14.4;2.64
15/06/2015;86;25;80;960.6;0;138.3;;14.9;2.69
14/06/2015;84;21;79;952.5;0.3;188.8;;15.7;0.99
13/06/2015;81;45;84;949.3;2.9;121.2;;16.5;0.61
12/06/2015;86;57;82;949.4;1.8;161.2;;17.1;0.82
11/06/2015;91;165;81;949.6;7.8;126.4;;17.9;1.79
10/06/2015;89;215;86;953.7;7.6;77.8;;15;0.69
09/06/2015;110;39;80;959.6;1.3;167.4;;15.9;2.4
08/06/2015;102;43;79;962.2;0;261.7;;20.1;2.65
07/06/2015;70;37;78;965.7;0;250.7;;19.7;2.07
06/06/2015;63;35;85;967.8;0;171.6;;16.3;3.41
05/06/2015;101;39;64;962.4;0;251.7;;20.8;1.48
04/06/2015;117;154;56;960.8;0;260.8;;24.8;1.24
03/06/2015;71;31;84;964.1;0;209.5;;18.3;2.53
02/06/2015;95;25;76;960.9;0;242.4;;19.7;1.62
01/06/2015;60;34;81;960.2;0;194.5;;17.4;2.04
31/05/2015;80;44;68;960.7;0;265;;16.9;2
30/05/2015;87;49;74;961.1;0;264.6;;14.5;1.9
29/05/2015;81;37;80;958.8;0;98.4;;13.8;3.06
28/05/2015;93;35;77;961.6;0;277.2;;15.1;1.64
27/05/2015;98;48;71;966.1;0;263.9;;14.6;3.28
26/05/2015;68;34;79;967;0.1;142.5;;13;3.39
25/05/2015;55;38;82;965.1;0;105.8;;13.7;3.1
24/05/2015;57;32;88;963.9;0.4;107.2;;13.2;2.79
23/05/2015;85;31;77;967.2;0;180.7;;11.9;3.2
22/05/2015;83;37;77;973.1;0;135;;10.6;3.49
21/05/2015;81;29;76;975.7;0.1;151.4;;10.2;3.14
20/05/2015;79;340;84;968.1;2.4;90.2;;9.5;2.56
19/05/2015;77;29;81;961.5;0;112.6;;10.4;3.49
18/05/2015;72;43;82;958.9;0;259.4;;12.5;2.16
17/05/2015;71;46;82;971.3;0.1;143.4;;13.9;2.76
16/05/2015;78;15;85;978.1;0;103;;11.8;2.69
15/05/2015;82;335;85;970.1;0.7;53.6;;10.4;3.63
14/05/2015;79;28;81;961.8;0;65.3;;13;2.46
13/05/2015;93;320;56;962.6;0;150.8;;23.1;0.53
12/05/2015;117;253;42;962.9;0;253.8;;25.6;1.3
11/05/2015;115;130;47;962.2;0;258.8;;24.4;0.63
10/05/2015;100;199;60;964.8;0;249.4;;21.3;0.6
09/05/2015;90;42;78;969.9;0;252.6;;15.5;1.12
08/05/2015;84;289;61;959.8;0;165.8;;18.2;2.55
07/05/2015;102;179;57;955.7;0;260;;18;0.71
06/05/2015;87;8;68;960.7;0;246.5;;12.9;1
05/05/2015;98;280;60;950.9;0;256.8;;15.2;4.42
04/05/2015;82;238;54;939.1;0;161.3;;21.9;4.55
03/05/2015;69;251;67;948.3;0;67;;19.3;2.89
02/05/2015;46;242;69;950.6;0;65.5;;20.5;2.75
01/05/2015;72;263;75;954.7;1.9;74.2;;16.9;4.87
30/04/2015;84;265;69;959.2;0;162.1;;15.3;3.59
29/04/2015;71;38;76;961.3;0.1;119.4;;11.4;1.28
28/04/2015;91;47;69;962.9;0.1;206.3;;10.5;1.81
27/04/2015;83;345;84;952.4;0.2;64.9;;10.8;2.31
26/04/2015;81;271;80;943.9;7.1;63.3;;13.3;1.64
25/04/2015;85;256;65;951.2;0.1;147.6;;16.1;3.53
24/04/2015;79;261;67;954;0;119.1;;16;0.99
23/04/2015;103;25;73;960.3;0;226.5;;14.5;0.6
22/04/2015;102;149;56;961;0.4;206.6;;16.5;2.4
21/04/2015;103;135;58;964;0;224.3;;16.3;2.36
20/04/2015;95;64;70;963.7;0;243.9;;12.5;0.63
19/04/2015;85;358;78;957;0;128.5;;10.8;0.46
18/04/2015;88;330;78;952.6;5.3;178.4;;13;0.93
17/04/2015;71;41;88;958.3;1.3;101.5;;12.2;0.63
16/04/2015;106;253;67;954.5;0;94.1;;14.1;1.38
15/04/2015;112;138;33;956.9;0;94.4;;17.5;2.89
14/04/2015;113;122;38;965.6;0;197.9;;19.7;2.53
13/04/2015;111;129;40;971.7;0;234.1;;18.1;2.03
12/04/2015;105;148;61;970.6;0;235.7;;15.5;1.79
11/04/2015;91;49;79;969.2;0;201.1;;12.9;1.73
10/04/2015;93;182;69;963.6;0.5;111;;13.4;2.08
09/04/2015;113;153;44;965.4;0.5;97.8;;13.1;3.17
08/04/2015;112;151;47;968;0;245;;12.9;4.85
07/04/2015;104;147;56;967.1;0;243.6;;12.4;1.81
06/04/2015;84;52;68;960.2;0;238.2;;9.8;1.51
05/04/2015;78;44;77;955.7;0;227.7;;9.2;3.12
04/04/2015;89;24;83;959.2;0.2;73.6;;8.8;2.57
03/04/2015;75;44;71;963.6;0;194.6;;11;2.05
02/04/2015;85;47;64;971.4;0;225.8;;10.2;0.82
01/04/2015;85;36;74;977.5;0;178.5;;9.4;3.33
31/03/2015;73;15;81;974.9;0;198.6;;11.8;1.86
30/03/2015;65;51;74;970.9;0;113.7;;12.4;1.17
29/03/2015;83;324;71;970.1;0;165.9;;12.8;0.54
28/03/2015;68;46;80;973.5;0;189.4;;12.3;1.03
27/03/2015;66;357;90;971.2;0.2;117.5;;10.8;2.24
26/03/2015;70;292;91;958.5;2;63.1;;7.3;2.22
25/03/2015;76;3;88;952;3.3;86.6;;3.7;3.04
24/03/2015;64;13;94;948.1;2.9;25.8;;5.5;1.5
23/03/2015;54;246;96;947.2;17.1;26.2;;3.1;0.55
22/03/2015;77;32;88;951.9;0.7;26.5;;6.4;3.3
21/03/2015;73;40;95;952.4;2.6;16.9;;6.1;3.08
20/03/2015;61;40;93;957.7;0.6;19.7;;7.1;3.68
19/03/2015;83;54;83;960.4;2.1;102.5;;10.1;1.95
18/03/2015;92;127;64;960.9;0.2;69.5;;10.6;2.22
17/03/2015;85;140;52;957.2;0;182.4;;10.8;1.48
16/03/2015;80;167;72;957.9;0;140.5;;7;1.14
15/03/2015;74;320;89;960.5;1.6;25.4;;3.9;1.72
14/03/2015;85;314;90;965.9;3.4;32.5;;4.2;2.9
13/03/2015;82;345;80;968.7;1.3;112.5;;7.6;2.69
12/03/2015;80;57;82;964.3;0;144.3;;10;1.5
11/03/2015;77;32;74;969.2;0;154.6;;10.4;1.62
