Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;PM10;SO2;TOL
1/07/2015;0.01;0.1;null(null);5.9;9.6;19.0;43.0;10.0;3.9;0.01
2/07/2015;0.01;0.1;null(null);2.5;7.6;12.0;43.0;9.2;1.8;0.01
3/07/2015;0.01;0.1;null(null);4.6;14.0;21.0;43.0;23.0;5.9;0.01
4/07/2015;0.01;0.1;null(null);1.2;2.8;5.0;55.0;9.9;1.5;0.01
5/07/2015;0.01;0.1;null(null);1.3;3.0;5.1;66.0;12.0;1.3;0.01
6/07/2015;0.01;0.1;null(null);6.6;17.0;27.0;45.0;13.0;5.7;0.01
7/07/2015;0.01;0.1;null(null);3.1;7.9;13.0;40.0;9.9;1.3;0.01
8/07/2015;0.01;0.1;null(null);2.5;7.0;11.0;55.0;19.0;1.0;0.01
9/07/2015;0.01;0.1;null(null);3.0;9.6;14.0;62.0;25.0;2.3;0.01
10/07/2015;null(null);0.1;null(null);2.1;13.0;16.0;54.0;19.0;2.3;null(null)
11/07/2015;null(null);0.1;null(null);1.6;4.7;6.9;45.0;9.8;1.1;null(null)
12/07/2015;null(null);0.1;null(null);1.3;3.3;5.0;48.0;14.0;1.0;null(null)
13/07/2015;null(null);0.1;null(null);1.5;2.5;4.8;51.0;14.0;1.0;null(null)
14/07/2015;null(null);0.1;null(null);1.6;3.8;6.1;54.0;14.0;1.0;null(null)
15/07/2015;null(null);0.1;null(null);2.0;7.5;10.0;50.0;18.0;1.0;null(null)
16/07/2015;null(null);0.1;null(null);2.6;10.0;14.0;31.0;13.0;1.1;null(null)
17/07/2015;null(null);0.1;null(null);5.0;11.0;18.0;33.0;8.7;1.5;null(null)
18/07/2015;null(null);0.1;null(null);6.0;13.0;22.0;35.0;8.3;1.8;null(null)
19/07/2015;null(null);0.1;null(null);1.7;4.9;7.4;46.0;5.3;1.3;null(null)
20/07/2015;null(null);0.1;null(null);3.9;6.3;12.0;22.0;8.3;1.0;null(null)
21/07/2015;null(null);0.1;null(null);5.3;6.2;14.0;29.0;10.0;2.0;null(null)
22/07/2015;null(null);0.1;null(null);1.3;4.1;6.3;51.0;11.0;1.0;null(null)
23/07/2015;null(null);0.1;null(null);9.1;12.0;26.0;46.0;10.0;3.8;null(null)
24/07/2015;null(null);0.1;null(null);1.1;3.3;5.0;53.0;9.6;1.0;null(null)
25/07/2015;null(null);0.1;null(null);5.3;10.0;18.0;49.0;17.0;1.9;null(null)
26/07/2015;null(null);0.1;null(null);1.5;5.6;7.8;34.0;11.0;1.4;null(null)
27/07/2015;null(null);0.1;null(null);1.8;5.1;7.6;51.0;11.0;1.0;null(null)
28/07/2015;null(null);0.1;null(null);2.1;7.4;11.0;30.0;9.5;1.3;null(null)
29/07/2015;null(null);0.1;null(null);2.3;5.0;8.4;46.0;10.0;1.0;null(null)
30/07/2015;null(null);0.1;null(null);2.1;4.8;7.7;64.0;11.0;1.0;null(null)
31/07/2015;null(null);0.1;null(null);1.7;4.3;6.8;79.0;8.5;1.0;null(null)
1/09/2015;null(null);0.1;null(null);2.5;6.0;10.0;62.0;14.0;1.2;null(null)
2/09/2015;null(null);0.1;null(null);1.7;4.2;6.9;70.0;10.0;1.0;null(null)
3/09/2015;null(null);0.1;null(null);2.4;5.0;8.6;66.0;12.0;1.0;null(null)
4/09/2015;null(null);0.1;null(null);2.1;4.5;7.8;66.0;8.3;1.0;null(null)
5/09/2015;null(null);0.1;null(null);1.6;3.5;6.0;71.0;6.9;1.2;null(null)
6/09/2015;null(null);0.1;null(null);1.8;8.2;11.0;67.0;9.8;1.8;null(null)
7/09/2015;null(null);0.1;null(null);3.1;27.0;31.0;52.0;17.0;4.0;null(null)
8/09/2015;null(null);0.1;null(null);12.0;28.0;47.0;50.0;23.0;6.2;null(null)
9/09/2015;null(null);0.1;null(null);12.0;21.0;39.0;41.0;12.0;4.2;null(null)
10/09/2015;null(null);0.1;null(null);2.2;9.1;13.0;46.0;27.0;1.3;null(null)
11/09/2015;null(null);0.1;null(null);14.0;18.0;41.0;30.0;11.0;4.5;null(null)
12/09/2015;null(null);0.1;null(null);1.4;3.4;5.9;56.0;7.2;1.0;null(null)
13/09/2015;null(null);0.1;null(null);2.2;4.1;7.5;57.0;9.2;1.9;null(null)
14/09/2015;null(null);0.1;null(null);2.7;9.8;14.0;61.0;17.0;1.2;null(null)
15/09/2015;null(null);0.1;null(null);7.2;13.0;24.0;43.0;3.0;2.2;null(null)
16/09/2015;null(null);0.1;null(null);2.1;5.9;9.2;69.0;13.0;1.3;null(null)
