Fecha;vv;dd;TMP;HR;RS;LL;PM25;SO2;NO;NO2;NOX;O3
01/01/2015;0.7;272;10.9;65;128;0;11;3;21;46;78;40
02/01/2015;0.6;247;10.4;66;127;0;21;3;68;72;176;21
03/01/2015;0.6;244;12.2;51;129;0;22;3;79;82;204;18
04/01/2015;0.3;329;14.1;55;130;0;14;3;44;76;143;23
05/01/2015;0.5;272;11.7;78;68;0.2;16;3;;;;25
06/01/2015;0.6;283;11;80;105;0;22;3;;;;27
07/01/2015;0.6;293;12;77;79;0.2;23;3;;;;30
08/01/2015;0.8;271;11.3;78;110;0.2;28;3;39;63;123;24
09/01/2015;0.7;245;11.4;71;132;0;26;3;53;70;152;20
10/01/2015;0.5;236;12.9;53;135;0;25;3;84;79;208;19
11/01/2015;0.7;282;15.2;46;133;0;14;3;35;58;111;33
12/01/2015;0.6;316;13.3;71;122;0;12;3;22;55;88;31
13/01/2015;0.7;258;13.5;68;128;0;19;3;33;59;108;30
14/01/2015;0.3;301;13.9;68;129;0;27;3;66;81;182;16
15/01/2015;0.7;230;12.9;73;127;0;29;3;46;70;139;20
16/01/2015;2;254;13;59;86;0;22;3;33;45;96;37
17/01/2015;1.3;251;10.8;55;144;0;10;3;15;33;56;48
18/01/2015;0.6;270;9.6;61;113;3.6;12;3;10;27;41;42
19/01/2015;0.8;307;10.4;76;42;4.8;4;3;5;33;39;41
20/01/2015;1.6;262;9.7;50;139;0;9;3;16;46;68;43
21/01/2015;2.1;265;10.2;56;150;0;9;3;10;31;45;43
22/01/2015;2.1;273;10.9;53;113;0;7;3;9;28;40;50
23/01/2015;1.2;274;10.9;49;152;0;7;3;16;39;63;46
24/01/2015;1;247;10.5;47;140;0;12;3;31;50;97;39
25/01/2015;1.5;285;13.4;46;153;0;11;3;11;32;49;53
26/01/2015;0.8;257;10.9;60;156;0;12;3;35;57;109;35
27/01/2015;0.8;269;12.6;62;154;0;16;3;39;63;121;29
28/01/2015;1.1;251;12.4;59;161;0;14;3;30;56;101;36
29/01/2015;2.2;240;15.5;53;154;0;14;3;9;31;42;46
30/01/2015;3.5;236;20.8;49;134;0;15;3;2;10;11;53
31/01/2015;5.7;263;16.6;46;147;4.2;12;3;3;6;10;71
01/02/2015;4.9;265;11.3;40;183;0;12;3;6;7;13;76
02/02/2015;2.4;262;12.2;47;128;0;6;3;2;20;22;58
03/02/2015;2.7;247;13.6;54;145;0.4;;3;3;21;24;56
04/02/2015;4.1;266;9.9;47;148;0;;3;8;15;26;74
05/02/2015;3.6;266;8.9;38;154;0.2;8;3;9;15;28;68
06/02/2015;3.1;263;8.9;41;154;0;10;3;14;35;56;56
07/02/2015;0.8;316;8.2;52;91;0;9;3;10;38;52;45
08/02/2015;1.1;243;9;56;166;0;16;3;13;34;54;43
09/02/2015;1.9;30;10.2;65;90;0;12;3;18;37;64;55
10/02/2015;1.6;58;12;71;56;0.8;;3;3;26;28;68
11/02/2015;1.1;357;12.4;74;38;0.2;;3;15;42;63;56
12/02/2015;0.5;276;11.9;80;17;0.6;13;4;20;63;93;29
13/02/2015;1.1;260;13.7;66;168;0.2;16;3;23;59;94;31
14/02/2015;2.7;249;16.1;53;120;0;7;3;3;15;19;65
15/02/2015;2.7;259;16.6;61;188;0.8;4;3;5;12;19;
16/02/2015;2;313;16.7;60;163;0.2;6;3;6;19;28;
17/02/2015;1.7;28;13.8;69;80;0.4;4;3;8;19;31;65
18/02/2015;2.7;64;14.3;65;141;0;8;3;7;23;33;72
19/02/2015;1.4;26;13.3;64;159;0;13;3;12;31;49;76
20/02/2015;1.1;3;12.7;67;143;0.2;13;3;10;35;50;66
21/02/2015;1.4;259;12.3;63;28;0;10;3;5;30;38;47
22/02/2015;2.2;275;13.6;46;;0;6;3;8;17;28;72
23/02/2015;3.3;257;17;52;103;0.4;10;3;6;16;25;54
24/02/2015;4.1;267;15.3;37;124;0.2;16;3;7;15;26;75
25/02/2015;3.6;264;15.6;42;112;0;10;3;6;13;21;70
26/02/2015;1.6;304;18;52;140;0;8;3;9;33;46;54
27/02/2015;1.8;271;17.8;45;187;0;9;3;7;26;36;58
28/02/2015;0.8;49;13;62;210;0;8;3;15;40;62;56
01/03/2015;1.7;248;19.8;49;193;0;7;3;3;18;22;57
02/03/2015;1.1;233;21.4;54;;0;17;3;26;48;87;34
03/03/2015;0.7;118;16.6;77;;0;16;3;24;37;74;37
04/03/2015;0.9;122;14.7;80;94;0;18;3;6;27;35;57
05/03/2015;1.1;224;13.7;33;185;0;11;3;17;46;73;62
06/03/2015;0.9;238;11.4;47;216;0.4;18;3;30;57;103;45
07/03/2015;0.8;222;12.7;58;;0;18;3;21;56;87;46
08/03/2015;0.8;129;13.1;71;;0.2;13;3;10;27;42;71
09/03/2015;1;165;14.1;79;;0.4;14;3;7;28;38;75
10/03/2015;0.8;254;13.6;81;257;0;16;3;22;54;88;53
11/03/2015;0.5;121;14.6;73;231;0;28;3;28;75;119;42
12/03/2015;0.7;101;15.8;70;;0;32;3;25;77;115;47
13/03/2015;1.1;125;14.5;80;212;0;25;3;12;38;57;82
14/03/2015;1;108;11.8;78;;1.4;10;3;10;35;50;56
15/03/2015;0.9;111;11.7;71;235;0;9;3;10;27;43;59
16/03/2015;1.2;71;11.8;76;;6.6;9;3;12;26;45;70
17/03/2015;1.8;53;11.9;73;92;0;33;3;10;30;45;71
18/03/2015;2.1;51;13.8;74;32;0.2;8;3;7;30;40;72
