Fecha;NO;NO2;O3;PM10;PM25;BEN
01/01/2015;20;36;26;Sense dades;25;Sense dades
02/01/2015;156;74;7;Sense dades;Sense dades;Sense dades
03/01/2015;126;73;8;Sense dades;45;Sense dades
04/01/2015;73;59;8;Sense dades;Sense dades;Sense dades
05/01/2015;100;61;5;Sense dades;43;Sense dades
06/01/2015;54;42;9;Sense dades;Sense dades;Sense dades
07/01/2015;164;71;3;55;49;2
08/01/2015;124;58;3;41;Sense dades;Sense dades
09/01/2015;102;57;4;44;Sense dades;Sense dades
10/01/2015;133;67;6;Sense dades;37;Sense dades
11/01/2015;66;48;6;Sense dades;Sense dades;Sense dades
12/01/2015;137;70;6;60;33;Sense dades
13/01/2015;74;65;8;Sense dades;Sense dades;Sense dades
14/01/2015;90;65;9;44;29;Sense dades
15/01/2015;65;63;8;74;Sense dades;Sense dades
16/01/2015;101;56;9;20;39;0.2
17/01/2015;37;40;18;Sense dades;Sense dades;Sense dades
18/01/2015;49;44;14;Sense dades;26;Sense dades
19/01/2015;7;31;25;18;Sense dades;0.4
20/01/2015;39;48;6;34;19;Sense dades
21/01/2015;47;45;8;Sense dades;Sense dades;Sense dades
22/01/2015;89;52;7;41;18;Sense dades
23/01/2015;92;55;11;32;Sense dades;Sense dades
24/01/2015;20;37;27;Sense dades;16;Sense dades
25/01/2015;13;34;46;Sense dades;Sense dades;Sense dades
26/01/2015;75;64;6;58;28;1.4
27/01/2015;82;65;8;44;Sense dades;Sense dades
28/01/2015;83;57;10;35;29;Sense dades
29/01/2015;32;39;24;13;Sense dades;Sense dades
30/01/2015;9;30;38;Sense dades;11;Sense dades
31/01/2015;13;29;36;Sense dades;Sense dades;Sense dades
01/02/2015;10;21;46;Sense dades;10;Sense dades
02/02/2015;28;43;23;35;Sense dades;0.8
03/02/2015;31;37;9;Sense dades;20;Sense dades
04/02/2015;14;31;25;Sense dades;Sense dades;Sense dades
05/02/2015;20;30;29;23;14;Sense dades
06/02/2015;40;39;22;26;Sense dades;Sense dades
07/02/2015;20;34;21;Sense dades;26;Sense dades
08/02/2015;12;28;24;Sense dades;Sense dades;Sense dades
09/02/2015;67;55;12;58;38;1.2
10/02/2015;56;57;11;57;Sense dades;Sense dades
11/02/2015;100;72;10;56;37;Sense dades
12/02/2015;80;74;13;56;Sense dades;Sense dades
13/02/2015;49;64;17;45;29;Sense dades
14/02/2015;46;55;17;Sense dades;Sense dades;Sense dades
15/02/2015;7;31;30;Sense dades;15;Sense dades
16/02/2015;50;58;15;39;Sense dades;Sense dades
17/02/2015;27;47;25;22;21;Sense dades
18/02/2015;32;49;34;34;Sense dades;Sense dades
19/02/2015;34;42;40;55;5;Sense dades
20/02/2015;62;61;22;51;Sense dades;0.7
21/02/2015;20;50;26;Sense dades;20;Sense dades
22/02/2015;6;23;60;Sense dades;Sense dades;Sense dades
23/02/2015;32;43;25;Sense dades;Sense dades;Sense dades
24/02/2015;10;23;49;7;Sense dades;0.1
25/02/2015;11;36;45;31;25;Sense dades
26/02/2015;57;55;7;39;Sense dades;Sense dades
27/02/2015;36;46;30;24;14;Sense dades
28/02/2015;22;40;33;Sense dades;Sense dades;Sense dades
01/03/2015;23;47;20;Sense dades;6;Sense dades
02/03/2015;23;41;19;25;Sense dades;Sense dades
03/03/2015;22;41;24;Sense dades;22;Sense dades
04/03/2015;33;41;20;31;Sense dades;Sense dades
05/03/2015;5;20;63;40;25;Sense dades
06/03/2015;51;59;24;48;Sense dades;Sense dades
07/03/2015;30;50;29;Sense dades;37;Sense dades
08/03/2015;19;48;34;Sense dades;Sense dades;Sense dades
09/03/2015;45;68;29;Sense dades;25;Sense dades
10/03/2015;53;73;32;57;Sense dades;Sense dades
11/03/2015;53;85;23;67;Sense dades;0.4
12/03/2015;53;57;41;44;Sense dades;Sense dades
13/03/2015;21;48;52;21;10;Sense dades
14/03/2015;3;26;53;Sense dades;Sense dades;Sense dades
15/03/2015;9;30;38;Sense dades;9;Sense dades
16/03/2015;4;25;48;23;4;0.2
17/03/2015;24;34;40;Sense dades;Sense dades;Sense dades
18/03/2015;1;15;73;17;13;Sense dades
19/03/2015;1;14;86;19;Sense dades;Sense dades
20/03/2015;1;11;92;23;5;Sense dades
21/03/2015;1;11;79;Sense dades;Sense dades;Sense dades
22/03/2015;1;10;74;Sense dades;8;Sense dades
23/03/2015;2;17;74;Sense dades;Sense dades;Sense dades
24/03/2015;1;17;76;12;9;Sense dades
25/03/2015;11;43;36;16;Sense dades;0.2
26/03/2015;13;41;45;19;16;0.1
27/03/2015;31;55;28;Sense dades;Sense dades;Sense dades
28/03/2015;16;39;35;Sense dades;19;Sense dades
29/03/2015;12;38;30;Sense dades;Sense dades;Sense dades
30/03/2015;44;59;26;26;15;0.2
31/03/2015;10;36;46;29;Sense dades;Sense dades
01/04/2015;23;38;39;32;12;0.1
02/04/2015;11;35;49;Sense dades;Sense dades;Sense dades
03/04/2015;6;20;54;Sense dades;14;Sense dades
04/04/2015;2;18;54;Sense dades;Sense dades;Sense dades
05/04/2015;3;19;52;Sense dades;Sense dades;Sense dades
06/04/2015;1;10;74;Sense dades;Sense dades;Sense dades
07/04/2015;16;29;54;28;13;Sense dades
08/04/2015;25;48;49;37;Sense dades;Sense dades
09/04/2015;31;52;48;29;14;0.2
10/04/2015;22;38;64;Sense dades;Sense dades;Sense dades
11/04/2015;2;18;78;Sense dades;8;Sense dades
12/04/2015;3;31;66;Sense dades;Sense dades;Sense dades
13/04/2015;37;67;38;41;Sense dades;0.2
14/04/2015;36;64;44;30;17;Sense dades
15/04/2015;15;34;66;30;Sense dades;Sense dades
16/04/2015;9;37;52;32;14;Sense dades
17/04/2015;12;35;45;Sense dades;Sense dades;Sense dades
18/04/2015;12;40;44;Sense dades;13;Sense dades
19/04/2015;2;21;56;Sense dades;Sense dades;Sense dades
20/04/2015;13;45;41;23;6;Sense dades
21/04/2015;28;50;46;25;Sense dades;0.2
22/04/2015;25;55;43;25;12;Sense dades
23/04/2015;16;48;54;30;Sense dades;Sense dades
24/04/2015;22;57;43;37;18;Sense dades
25/04/2015;3;27;57;Sense dades;Sense dades;Sense dades
26/04/2015;2;15;63;Sense dades;19;Sense dades
27/04/2015;9;25;44;15;Sense dades;0.2
28/04/2015;8;27;49;25;3;Sense dades
29/04/2015;34;51;48;21;Sense dades;Sense dades
30/04/2015;29;59;40;Sense dades;12;Sense dades
01/05/2015;7;38;49;Sense dades;Sense dades;Sense dades
02/05/2015;4;34;55;Sense dades;10;Sense dades
03/05/2015;5;32;57;Sense dades;Sense dades;Sense dades
04/05/2015;10;63;48;Sense dades;14;Sense dades
05/05/2015;14;78;42;39;Sense dades;Sense dades
06/05/2015;18;51;55;29;16;0.1
07/05/2015;23;60;50;Sense dades;Sense dades;Sense dades
08/05/2015;19;49;62;29;20;Sense dades
09/05/2015;10;41;62;Sense dades;Sense dades;Sense dades
10/05/2015;5;32;57;Sense dades;14;Sense dades
11/05/2015;31;63;43;37;Sense dades;Sense dades
12/05/2015;23;48;51;Sense dades;19;Sense dades
13/05/2015;21;56;42;48;Sense dades;0.2
14/05/2015;8;41;56;40;26;Sense dades
15/05/2015;3;14;78;Sense dades;Sense dades;Sense dades
16/05/2015;4;26;70;Sense dades;12;Sense dades
17/05/2015;3;23;73;Sense dades;Sense dades;Sense dades
18/05/2015;15;36;55;29;16;Sense dades
19/05/2015;7;24;46;11;Sense dades;Sense dades
20/05/2015;9;19;50;14;8;Sense dades
21/05/2015;3;18;59;19;Sense dades;0.1
22/05/2015;5;25;67;Sense dades;12;Sense dades
23/05/2015;7;26;67;Sense dades;Sense dades;Sense dades
24/05/2015;3;23;74;Sense dades;12;Sense dades
25/05/2015;20;40;65;19;Sense dades;0.1
26/05/2015;4;22;72;Sense dades;12;Sense dades
27/05/2015;10;26;64;27;Sense dades;Sense dades
28/05/2015;17;45;49;32;15;Sense dades
29/05/2015;16;51;52;20;Sense dades;Sense dades
30/05/2015;9;28;68;Sense dades;12;Sense dades
31/05/2015;3;26;71;Sense dades;Sense dades;Sense dades
01/06/2015;6;33;66;Sense dades;12;Sense dades
02/06/2015;16;51;48;26;Sense dades;Sense dades
03/06/2015;13;62;49;44;12;Sense dades
04/06/2015;27;57;57;29;Sense dades;Sense dades
05/06/2015;23;61;51;29;15;0.1
06/06/2015;18;48;67;Sense dades;Sense dades;Sense dades
07/06/2015;3;33;85;Sense dades;16;Sense dades
08/06/2015;8;49;61;Sense dades;Sense dades;Sense dades
09/06/2015;12;41;64;19;13;Sense dades
10/06/2015;3;21;94;21;Sense dades;0.1
11/06/2015;2;17;89;26;13;Sense dades
12/06/2015;6;37;64;18;Sense dades;Sense dades
13/06/2015;2;17;85;Sense dades;9;Sense dades
14/06/2015;2;21;77;Sense dades;Sense dades;Sense dades
15/06/2015;5;29;62;20;10;Sense dades
16/06/2015;9;36;47;Sense dades;Sense dades;Sense dades
17/06/2015;7;28;61;25;9;0.2
18/06/2015;7;38;74;25;Sense dades;Sense dades
19/06/2015;3;25;82;27;18;Sense dades
20/06/2015;5;29;67;Sense dades;Sense dades;Sense dades
21/06/2015;2;24;74;Sense dades;15;Sense dades
22/06/2015;9;40;62;Sense dades;Sense dades;Sense dades
23/06/2015;5;34;76;26;19;0.1
24/06/2015;4;19;80;Sense dades;Sense dades;Sense dades
25/06/2015;10;39;68;30;17;Sense dades
26/06/2015;13;46;60;28;Sense dades;Sense dades
27/06/2015;8;35;67;Sense dades;20;Sense dades
28/06/2015;8;30;64;Sense dades;Sense dades;Sense dades
29/06/2015;12;46;62;40;18;Sense dades
30/06/2015;13;51;64;33;Sense dades;Sense dades
01/07/2015;13;35;72;19;18;0.1
02/07/2015;2;20;97;Sense dades;Sense dades;Sense dades
03/07/2015;8;32;83;30;16;0.1
04/07/2015;4;37;86;Sense dades;Sense dades;Sense dades
05/07/2015;5;41;73;Sense dades;22;Sense dades
06/07/2015;16;51;69;39;Sense dades;Sense dades
07/07/2015;13;47;69;34;23;0.2
08/07/2015;3;23;83;30;Sense dades;0.1
09/07/2015;4;27;71;41;16;0.1
10/07/2015;11;42;51;Sense dades;Sense dades;Sense dades
11/07/2015;2;20;77;Sense dades;17;Sense dades
12/07/2015;2;19;70;Sense dades;Sense dades;Sense dades
13/07/2015;5;33;59;Sense dades;20;Sense dades
14/07/2015;6;35;60;Sense dades;Sense dades;Sense dades
15/07/2015;8;35;62;Sense dades;19;Sense dades
16/07/2015;14;46;64;37;Sense dades;0.2
17/07/2015;9;36;63;31;21;0.1
18/07/2015;3;22;76;Sense dades;Sense dades;Sense dades
19/07/2015;1;16;89;Sense dades;18;Sense dades
20/07/2015;3;31;64;31;Sense dades;Sense dades
21/07/2015;5;29;59;29;21;0.1
22/07/2015;6;28;92;26;Sense dades;0.1
23/07/2015;7;32;61;28;19;0.1
24/07/2015;7;27;59;Sense dades;Sense dades;Sense dades
25/07/2015;3;18;60;Sense dades;13;Sense dades
26/07/2015;3;22;57;Sense dades;Sense dades;Sense dades
27/07/2015;3;21;42;30;12;0.1
28/07/2015;9;26;42;34;Sense dades;Sense dades
29/07/2015;5;22;51;Sense dades;16;Sense dades
30/07/2015;3;19;55;22;Sense dades;0.1
31/07/2015;4;22;64;17;11;0.1
01/08/2015;2;12;90;Sense dades;Sense dades;Sense dades
02/08/2015;3;22;70;Sense dades;Sense dades;Sense dades
03/08/2015;8;32;56;Sense dades;Sense dades;Sense dades
04/08/2015;2;20;75;Sense dades;Sense dades;Sense dades
05/08/2015;13;42;47;Sense dades;Sense dades;Sense dades
06/08/2015;5;26;63;Sense dades;Sense dades;Sense dades
07/08/2015;4;25;59;Sense dades;Sense dades;Sense dades
08/08/2015;3;23;50;Sense dades;Sense dades;Sense dades
09/08/2015;1;11;59;Sense dades;Sense dades;Sense dades
10/08/2015;2;14;67;Sense dades;Sense dades;Sense dades
11/08/2015;10;26;63;Sense dades;Sense dades;Sense dades
12/08/2015;4;26;51;Sense dades;Sense dades;Sense dades
13/08/2015;3;24;54;Sense dades;Sense dades;Sense dades
14/08/2015;6;17;57;Sense dades;Sense dades;Sense dades
15/08/2015;2;14;49;Sense dades;Sense dades;Sense dades
16/08/2015;3;17;48;Sense dades;Sense dades;Sense dades
17/08/2015;2;14;64;Sense dades;Sense dades;Sense dades
18/08/2015;2;18;53;Sense dades;Sense dades;Sense dades
19/08/2015;10;29;49;Sense dades;Sense dades;Sense dades
20/08/2015;10;22;54;Sense dades;Sense dades;Sense dades
21/08/2015;6;23;52;Sense dades;Sense dades;Sense dades
22/08/2015;3;22;51;Sense dades;Sense dades;Sense dades
23/08/2015;1;13;61;Sense dades;Sense dades;Sense dades
24/08/2015;10;18;48;Sense dades;Sense dades;Sense dades
25/08/2015;12;24;42;Sense dades;Sense dades;Sense dades
26/08/2015;18;33;37;Sense dades;Sense dades;Sense dades
27/08/2015;7;32;43;Sense dades;Sense dades;Sense dades
28/08/2015;7;27;46;Sense dades;Sense dades;Sense dades
29/08/2015;2;18;52;Sense dades;Sense dades;Sense dades
30/08/2015;2;19;54;Sense dades;Sense dades;Sense dades
31/08/2015;14;32;55;Sense dades;Sense dades;Sense dades
01/09/2015;3;21;70;Sense dades;Sense dades;Sense dades
02/09/2015;6;30;45;Sense dades;Sense dades;Sense dades
03/09/2015;1;15;76;Sense dades;Sense dades;Sense dades
04/09/2015;4;24;43;Sense dades;Sense dades;Sense dades
05/09/2015;8;21;51;Sense dades;Sense dades;Sense dades
06/09/2015;1;13;70;Sense dades;Sense dades;Sense dades
07/09/2015;5;25;56;Sense dades;Sense dades;Sense dades
