Fecha;SO2;CO;NO2;PM10;O3;NO;NOX
03/10/2015;5;0,3;4;13;75;2;7
04/10/2015;5;0,3;8;18;43;2;11
05/10/2015;4;0,3;5;18;32;2;8
06/10/2015;5;0,3;3;6;66;2;6
07/10/2015;3;0,3;3;6;73;2;6
08/10/2015;3;0,3;3;5;71;2;6
09/10/2015;4;0,3;4;9;75;2;8
10/10/2015;5;0,3;7;24;74;2;10
11/10/2015;5;0,3;6;21;72;2;10
12/10/2015;4;0,3;5;10;65;2;9
13/10/2015;1;0,3;6;15;75;2;9
14/10/2015;2;0,3;5;9;82;2;8
15/10/2015;2;0,3;4;3;79;2;8
16/10/2015;3;0,3;7;9;72;2;10
17/10/2015;3;0,3;9;30;66;2;13
18/10/2015;3;0,3;6;22;55;2;10
19/10/2015;3;0,3;7;19;46;2;10
20/10/2015;3;0,3;7;6;65;2;10
21/10/2015;2;0,3;5;4;76;2;8
22/10/2015;3;0,3;5;5;75;2;8
23/10/2015;3;0,3;8;12;63;2;12
24/10/2015;3;0,3;9;27;55;2;12
25/10/2015;2;0,3;6;15;71;2;9
26/10/2015;5;0,3;7;21;65;2;10
27/10/2015;6;0,3;6;6;60;2;9
28/10/2015;5;0,2;6;2;67;2;9
29/10/2015;5;0,3;6;3;58;2;10
30/10/2015;5;0,3;9;18;55;3;13
31/10/2015;5;0,3;6;16;66;2;9
01/11/2015;6;0,3;7;18;74;2;10
