Fecha;Hora;SO2;CO;NO;NO2;PM10;O3;PM25;NOX
01/01/2014;1:00:00;3;0.4;4.9;11;19;25;10;18
01/01/2014;2:00:00;3;0.39;5.5;9;12;30;8;17
01/01/2014;3:00:00;3;0.4;5.2;12;21;22;9;20
01/01/2014;4:00:00;3;0.4;5.3;11;26;20;9;19
01/01/2014;5:00:00;3;0.39;4.3;10;23;18;8;16
01/01/2014;6:00:00;3;0.39;4.8;9;17;21;10;17
01/01/2014;7:00:00;3;0.39;4.5;9;19;23;8;16
01/01/2014;8:00:00;3;0.38;5.4;8;18;22;7;16
01/01/2014;9:00:00;3;0.39;5.8;8;7;24;11;17
01/01/2014;10:00:00;3;0.39;6.6;8;12;24;9;18
01/01/2014;11:00:00;3;0.41;6.5;9;10;20;12;19
01/01/2014;12:00:00;3;0.41;7.2;10;17;18;8;21
01/01/2014;13:00:00;3;0.41;6.4;12;26;16;9;22
01/01/2014;14:00:00;3;0.41;6;10;15;15;10;19
01/01/2014;15:00:00;3;0.41;5.9;10;20;16;10;20
01/01/2014;16:00:00;3;0.41;5.2;11;14;20;11;19
01/01/2014;17:00:00;3;0.4;4.9;10;4;32;5;17
01/01/2014;18:00:00;3;0.4;5.3;11;18;34;10;19
01/01/2014;19:00:00;3;0.36;5.2;6;1;55;3;14
01/01/2014;20:00:00;3;0.36;5.2;5;1;55;3;13
01/01/2014;21:00:00;3;0.37;5.1;6;2;45;3;14
01/01/2014;22:00:00;3;0.37;5.8;8;12;37;6;16
01/01/2014;23:00:00;3;0.36;5.2;7;13;40;5;15
01/01/2014;0:00:00;3;0.37;5;9;5;32;4;16
02/01/2014;1:00:00;3;0.37;5.2;8;8;31;4;16
02/01/2014;2:00:00;3;0.36;5.2;6;2;41;5;14
02/01/2014;3:00:00;3;0.37;5.7;7;5;39;4;16
02/01/2014;4:00:00;3;0.36;4.8;7;8;29;4;14
02/01/2014;5:00:00;3;0.36;5.1;7;2;33;5;15
02/01/2014;6:00:00;3;0.37;5.1;6;2;33;7;14
02/01/2014;7:00:00;3;0.36;5.3;8;3;31;4;16
02/01/2014;8:00:00;3;0.36;5.4;7;5;35;4;15
02/01/2014;9:00:00;3;0.36;6;8;1;40;6;17
02/01/2014;10:00:00;3;0.44;6.7;11;7;39;14;22
02/01/2014;11:00:00;3;0.38;7.6;11;33;39;30;23
02/01/2014;12:00:00;3;0.37;7.1;12;2;39;5;23
02/01/2014;13:00:00;3;0.39;8.1;14;12;31;8;27
02/01/2014;14:00:00;3;0.39;8.9;16;8;26;8;30
02/01/2014;15:00:00;3;0.43;7.6;18;17;32;12;29
