Fecha;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;3;0.2;18;19;21;46;36
02/01/2015;3;0.3;23;31;18;66;31
03/01/2015;4;0.4;22;40;20;73;32
04/01/2015;3;0.2;10;24;13;40;33
05/01/2015;3;0.2;16;21;19;46;30
06/01/2015;3;0.2;;;20;;31
07/01/2015;3;0.2;;;28;;24
08/01/2015;3;0.3;;;32;;27
09/01/2015;4;0.4;27;39;27;80;24
10/01/2015;4;0.6;28;40;25;82;25
11/01/2015;3;0.2;9;22;11;36;45
12/01/2015;3;0.2;20;25;19;56;22
13/01/2015;4;0.4;26;35;28;75;26
14/01/2015;4;0.3;28;37;17;80;25
15/01/2015;4;0.3;21;38;24;70;29
16/01/2015;3;0.2;7;19;12;29;56
17/01/2015;3;0.2;12;23;12;41;53
18/01/2015;3;0.2;9;20;15;34;49
19/01/2015;3;0.2;6;17;11;26;34
20/01/2015;3;0.2;10;14;9;28;47
21/01/2015;;;;;9;;
22/01/2015;3;0.2;;;12;;53
23/01/2015;3;0.3;;;11;;49
24/01/2015;3;0.3;4;16;9;22;58
25/01/2015;3;0.2;4;15;12;21;59
26/01/2015;3;0.3;16;23;18;48;40
27/01/2015;3;0.4;17;27;20;53;36
28/01/2015;3;0.2;16;28;14;51;37
29/01/2015;3;0.1;5;16;13;22;55
30/01/2015;3;0.1;2;6;19;8;63
31/01/2015;3;0.1;3;8;7;12;71
01/02/2015;3;0.1;10;11;3;25;75
02/02/2015;3;0.2;9;12;6;26;64
03/02/2015;3;0.1;3;6;4;8;70
04/02/2015;3;0.2;4;8;4;14;72
05/02/2015;3;0.2;5;9;8;16;67
06/02/2015;3;0.2;9;15;9;29;59
07/02/2015;3;0.3;11;14;15;31;40
08/02/2015;3;0.2;10;13;15;28;46
09/02/2015;3;0.1;8;9;18;22;62
10/02/2015;3;0.2;8;18;15;30;53
11/02/2015;3;0.2;6;22;18;31;56
12/02/2015;3;0.2;4;23;17;29;55
13/02/2015;3;0.2;8;23;16;34;50
14/02/2015;3;0.1;3;14;9;18;68
15/02/2015;3;0.1;2;10;4;12;65
16/02/2015;3;0.1;4;19;10;23;56
17/02/2015;3;0.1;4;13;12;18;69
18/02/2015;3;0.1;3;12;15;17;75
19/02/2015;3;0.3;3;19;24;23;73
20/02/2015;3;0.2;7;18;23;27;56
21/02/2015;3;0.2;4;6;10;11;64
22/02/2015;3;0.2;5;12;7;18;68
23/02/2015;3;0.1;5;10;7;18;59
24/02/2015;3;0.2;6;12;4;22;74
25/02/2015;3;0.2;6;16;4;25;69
26/02/2015;3;0.1;5;23;7;29;56
27/02/2015;3;0.2;3;14;7;18;73
28/02/2015;3;0.2;6;22;14;31;60
01/03/2015;3;0.1;5;14;7;20;55
02/03/2015;3;0.1;6;15;10;23;54
03/03/2015;3;0.1;3;12;16;15;54
04/03/2015;3;0.1;3;9;16;12;67
05/03/2015;3;0.3;11;18;7;35;70
06/03/2015;3;0.2;15;22;16;44;50
07/03/2015;3;0.3;10;21;22;36;59
08/03/2015;3;0.2;5;12;18;19;65
09/03/2015;3;0.2;6;25;19;32;59
10/03/2015;4;0.2;6;32;27;40;59
11/03/2015;4;0.2;8;28;35;39;59
12/03/2015;3;0.2;5;21;32;26;80
13/03/2015;3;0.1;2;14;37;17;82
14/03/2015;3;0.2;5;14;15;21;61
15/03/2015;3;0.3;5;14;17;21;60
16/03/2015;3;0.1;5;13;14;20;69
17/03/2015;3;0.2;7;14;16;23;76
18/03/2015;3;0.1;2;9;21;11;93
19/03/2015;3;0.1;3;5;40;8;92
20/03/2015;3;0.1;2;5;27;7;94
21/03/2015;3;0.1;2;9;23;11;57
22/03/2015;3;;2;7;14;10;61
23/03/2015;3;0.1;5;11;25;18;61
24/03/2015;3;0.1;4;7;28;12;75
25/03/2015;3;0.2;7;8;9;18;61
26/03/2015;3;0.3;12;15;13;31;66
27/03/2015;3;0.1;4;11;10;17;57
28/03/2015;3;0.1;6;14;13;23;49
29/03/2015;3;0.1;6;8;17;15;53
30/03/2015;3;0.2;11;16;24;33;52
31/03/2015;3;0.2;13;20;29;40;61
01/04/2015;3;0.1;9;16;19;28;56
02/04/2015;3;0.2;5;12;22;19;59
03/04/2015;3;0.1;2;7;;8;66
04/04/2015;3;0.1;2;7;18;9;58
05/04/2015;3;0.1;3;5;;8;65
06/04/2015;3;0.1;5;4;;11;91
07/04/2015;3;0.1;5;6;16;13;99
08/04/2015;3;0.1;3;7;;11;103
09/04/2015;3;0.1;2;6;;9;102
10/04/2015;3;0.1;2;9;22;10;88
11/04/2015;3;0.1;2;11;20;13;79
12/04/2015;3;0.1;2;7;20;9;104
13/04/2015;3;0.1;2;6;15;9;95
14/04/2015;3;0.1;4;9;23;13;71
15/04/2015;3;0.1;4;12;26;17;66
16/04/2015;3;0.2;3;16;19;20;65
17/04/2015;3;0.2;3;17;12;22;67
18/04/2015;3;0.1;3;12;19;15;74
19/04/2015;3;0.1;2;7;10;9;81
20/04/2015;3;0.1;5;8;12;14;77
21/04/2015;3;0.1;4;7;11;12;78
22/04/2015;3;0.1;2;8;13;10;76
23/04/2015;3;0.1;3;11;22;14;74
24/04/2015;3;0.1;2;10;27;12;75
25/04/2015;3;0.2;2;11;19;13;65
26/04/2015;3;0.1;2;7;9;8;72
27/04/2015;3;0.1;3;6;6;9;86
28/04/2015;3;0.1;5;9;8;16;76
29/04/2015;3;0.1;4;11;17;17;81
30/04/2015;3;0.2;3;15;25;19;78
01/05/2015;3;0.2;4;14;19;18;65
02/05/2015;3;0.1;4;11;18;16;75
03/05/2015;3;0.1;2;12;18;14;78
04/05/2015;4;0.1;2;9;27;11;79
05/05/2015;3;0.1;3;7;17;10;72
06/05/2015;3;0.1;3;6;16;9;88
07/05/2015;3;0.1;3;8;19;11;75
08/05/2015;3;0.1;3;9;20;12;69
09/05/2015;4;0.1;4;9;24;14;73
10/05/2015;3;0.1;6;5;18;11;73
11/05/2015;3;0.1;4;7;16;12;81
12/05/2015;3;0.1;3;10;18;14;82
13/05/2015;3;0.1;4;12;28;18;84
14/05/2015;5;0.3;;;57;;67
15/05/2015;3;0.1;3;5;22;8;94
16/05/2015;3;0.1;5;6;10;12;85
17/05/2015;3;0.1;4;6;13;10;83
18/05/2015;3;0.1;3;8;19;12;76
19/05/2015;3;0.1;2;5;17;7;75
20/05/2015;3;0.1;2;8;10;9;68
21/05/2015;3;0.1;2;7;12;9;73
22/05/2015;3;0.1;3;6;15;10;69
23/05/2015;3;0.1;2;5;14;7;82
24/05/2015;3;0.1;2;6;12;8;85
25/05/2015;3;0.1;3;11;17;13;83
26/05/2015;3;0.1;2;13;15;14;78
27/05/2015;3;0.1;3;9;15;12;97
28/05/2015;3;0.1;3;6;18;9;82
29/05/2015;3;0.1;3;6;15;10;90
30/05/2015;3;0.1;3;5;12;10;95
31/05/2015;3;0.1;4;6;9;11;89
01/06/2015;3;0.1;5;8;15;16;76
02/06/2015;3;0.1;5;9;20;17;79
03/06/2015;3;0.1;7;10;15;20;85
04/06/2015;3;0.1;6;11;13;20;85
05/06/2015;3;0.1;4;14;15;19;84
06/06/2015;3;0.1;4;11;15;16;84
07/06/2015;3;0.1;6;6;12;14;84
08/06/2015;3;0.1;6;8;17;17;87
09/06/2015;3;0.1;5;6;19;12;105
10/06/2015;3;0.1;6;5;17;12;104
11/06/2015;3;0.1;9;5;21;17;82
12/06/2015;3;0.1;7;6;21;15;75
13/06/2015;3;0.1;7;6;16;16;69
14/06/2015;3;0.1;6;6;14;13;85
15/06/2015;3;0.1;2;10;11;12;80
16/06/2015;3;0.1;3;8;11;12;76
17/06/2015;3;0.1;5;5;14;12;75
18/06/2015;3;0.1;5;7;17;13;81
19/06/2015;3;0.1;6;7;33;14;87
20/06/2015;3;0.1;3;4;17;7;86
21/06/2015;3;0.1;3;4;16;7;81
22/06/2015;3;0.1;2;5;21;7;87
23/06/2015;3;0.1;2;8;18;10;98
24/06/2015;3;0.1;2;9;16;11;92
25/06/2015;3;0.1;3;8;19;12;86
26/06/2015;3;0.1;4;9;20;15;85
27/06/2015;3;0.1;6;7;23;14;95
28/06/2015;4;0.1;3;5;21;9;97
