Fecha;Hora;SO2 ;NO2 ;PM10;PM25;O3 ;CO;BEN;TOL;XIL;dd;vv;TMP;HR;PRB
01/01/2014;0:00:00;2;27;88;34;42;0.5;0.3;0.3;1.1;319;0.7;15.1;59;1006
01/01/2014;1:00:00;2;54;69;26;19;0.7;1.3;2.8;2.8;294;0.8;14.6;61;1006
01/01/2014;2:00:00;2;60;69;22;11;0.7;1.2;3.4;3.5;319;1.1;13.8;60;1006
01/01/2014;3:00:00;2;46;46;15;20;0.5;0.8;3.1;3.3;318;1.6;13.8;52;1005
01/01/2014;4:00:00;2;34;41;15;25;0.5;0.6;2.1;2.3;299;1.7;13.4;61;1005
01/01/2014;5:00:00;2;36;50;14;26;0.5;0.5;2.5;2.8;306;1.4;13.0;55;1005
01/01/2014;6:00:00;2;25;47;14;32;0.4;0.4;1.8;2.1;313;1.8;13.0;50;1005
01/01/2014;7:00:00;2;20;25;8;45;0.4;0.3;1.2;1.5;327;2.2;13.0;61;1005
01/01/2014;8:00:00;2;32;21;9;39;0.4;0.3;1.2;1.0;325;1.8;13.1;65;1006
01/01/2014;9:00:00;2;34;21;6;25;0.4;0.3;1.8;2.7;236;1.2;14.8;60;1006
01/01/2014;10:00:00;2;24;33;8;37;0.4;0.3;1.4;1.6;162;1.0;16.8;57;1007
01/01/2014;11:00:00;2;10;18;7;52;0.3;0.7;1.5;1.5;142;1.6;17.1;57;1007
01/01/2014;12:00:00;2;8;6;3;62;0.3;0.4;0.5;0.9;141;2.3;16.9;64;1007
01/01/2014;13:00:00;2;16;9;5;58;0.3;0.4;0.7;1.1;146;2.8;17.1;63;1006
01/01/2014;14:00:00;2;14;9;4;61;0.3;0.3;0.5;1.1;116;2.7;17.3;62;1005
01/01/2014;15:00:00;2;12;9;4;63;0.3;0.4;0.4;1.4;148;2.0;17.1;63;1005
01/01/2014;16:00:00;2;14;9;5;62;0.3;0.4;0.2;0.9;183;1.7;17.1;64;1005
