Fecha;NO;NO2;O3;PM10;PM25
01/01/2015;27;39;20;Sense dades;24
02/01/2015;64;59;14;Sense dades;Sense dades
03/01/2015;30;41;24;Sense dades;19
04/01/2015;23;33;21;Sense dades;Sense dades
05/01/2015;112;71;7;Sense dades;37
06/01/2015;34;37;11;Sense dades;Sense dades
07/01/2015;100;62;3;51;38
08/01/2015;88;50;7;Sense dades;Sense dades
09/01/2015;64;49;8;Sense dades;15
10/01/2015;60;53;10;Sense dades;Sense dades
11/01/2015;30;32;11;27;19
12/01/2015;43;49;18;44;Sense dades
13/01/2015;63;61;16;45;18
14/01/2015;92;74;10;Sense dades;Sense dades
15/01/2015;50;55;11;43;6
16/01/2015;82;54;11;Sense dades;Sense dades
17/01/2015;Sense dades;Sense dades;Sense dades;Sense dades;22
18/01/2015;Sense dades;Sense dades;Sense dades;25;Sense dades
19/01/2015;37;61;22;18;13
20/01/2015;44;48;20;26;Sense dades
21/01/2015;44;45;21;32;16
22/01/2015;56;52;18;32;Sense dades
23/01/2015;70;62;20;Sense dades;17
24/01/2015;44;51;29;Sense dades;Sense dades
25/01/2015;14;28;57;19;11
26/01/2015;56;58;22;35;Sense dades
27/01/2015;58;58;14;36;19
28/01/2015;62;58;17;44;Sense dades
29/01/2015;71;49;27;17;24
30/01/2015;33;41;39;Sense dades;Sense dades
31/01/2015;17;26;48;Sense dades;7
01/02/2015;12;21;54;Sense dades;Sense dades
02/02/2015;51;53;30;31;15
03/02/2015;75;63;13;Sense dades;Sense dades
04/02/2015;34;46;30;Sense dades;12
05/02/2015;49;48;30;24;Sense dades
06/02/2015;55;59;24;46;17
07/02/2015;27;40;29;Sense dades;Sense dades
08/02/2015;15;27;40;Sense dades;23
09/02/2015;58;59;29;Sense dades;Sense dades
10/02/2015;75;72;25;50;27
11/02/2015;90;90;18;52;Sense dades
12/02/2015;86;88;13;54;28
13/02/2015;51;60;26;Sense dades;Sense dades
14/02/2015;27;41;32;Sense dades;16
15/02/2015;17;32;36;18;Sense dades
