Fecha;vv;dd;TMP;HR;RS;LL;SO2;NO;NO2;NOX;O3
01/01/2015;0.5;238;7.7;75;108;0;4;8;7;17;25
02/01/2015;0.3;214;7.2;73;115;0;5;32;10;59;14
03/01/2015;0.2;224;8.4;64;113;0;4;21;10;41;14
04/01/2015;0.2;299;10;71;112;0;4;14;12;33;16
05/01/2015;0.3;222;8.6;81;105;0.2;4;26;16;56;11
06/01/2015;0.3;206;9.6;83;93;0;3;9;10;24;21
07/01/2015;0.3;229;9.4;78;104;0;6;19;11;39;18
08/01/2015;0.4;220;8.3;80;109;0.2;5;33;9;59;13
09/01/2015;0.4;228;8.2;77;114;0;4;41;12;73;12
10/01/2015;0.2;199;9;73;116;0.2;4;25;9;46;10
11/01/2015;0.4;261;10.1;68;115;0;4;12;4;21;22
12/01/2015;0.6;232;10.3;76;111;0;5;16;8;32;21
13/01/2015;0.3;227;10.3;78;105;0;4;36;9;63;14
14/01/2015;0.2;345;10.5;68;116;0;5;21;7;38;19
15/01/2015;0.6;210;10.7;69;110;0;6;31;9;55;16
16/01/2015;1.9;246;13.5;41;73;0;5;5;5;10;49
17/01/2015;0.7;286;8.1;51;123;0;5;5;4;11;41
18/01/2015;0.9;222;7.4;56;81;1;6;2;6;8;32
19/01/2015;1.6;356;8.8;62;31;1.6;4;2;4;6;50
20/01/2015;0.5;250;6.7;49;86;0;5;9;8;20;33
21/01/2015;0.5;240;7.6;58;93;0;5;11;4;19;26
22/01/2015;0.7;251;7.9;54;111;0;5;12;4;20;36
23/01/2015;2.2;291;10.9;31;135;0;4;2;5;7;66
24/01/2015;1.6;293;12;32;128;0;3;2;4;6;64
25/01/2015;2.5;318;13.2;21;133;0;4;2;4;6;77
26/01/2015;0.4;227;8.1;51;128;0;7;;;;27
27/01/2015;1.2;271;11.1;53;124;0;5;;;;39
28/01/2015;0.7;230;10.7;53;138;0;4;;;;41
29/01/2015;2.5;244;15.1;43;93;0;4;8;23;35;35
30/01/2015;2.8;291;17.7;50;99;0.8;5;5;12;19;52
31/01/2015;2.1;279;12.7;46;137;0.6;3;2;8;9;61
01/02/2015;2.6;284;10.5;30;139;0;4;2;7;8;71
02/02/2015;1.6;242;10.6;43;107;0;4;4;19;24;47
03/02/2015;2.1;267;11.6;45;153;0.4;3;4;18;23;49
04/02/2015;2.4;332;6.9;48;95;1;5;2;5;6;71
05/02/2015;3.3;304;7.6;23;123;0;5;2;7;10;70
06/02/2015;1.6;320;6.1;29;139;0;4;2;8;11;66
07/02/2015;0.6;343;5.8;51;87;0;4;2;12;14;39
08/02/2015;0.6;227;6.3;54;161;0;4;5;30;36;36
09/02/2015;0.7;267;6;64;154;0;6;23;28;62;35
10/02/2015;0.2;211;7;67;165;0;5;17;43;69;32
11/02/2015;0.5;333;8.5;75;99;0;4;26;33;72;34
12/02/2015;0.2;290;9.1;;49;0.2;3;17;33;58;28
13/02/2015;0.5;207;10.5;73;150;0.2;5;20;33;63;21
14/02/2015;0.6;297;12.1;56;74;0;3;6;24;33;40
15/02/2015;0.6;11;13;59;144;0;4;4;24;29;35
16/02/2015;0.7;162;11.4;60;155;0;6;9;29;43;36
17/02/2015;1.4;20;12.8;50;63;0.4;3;2;6;7;67
18/02/2015;1.3;13;11.6;52;140;0;4;2;9;11;64
19/02/2015;1;8;9.4;68;156;0;3;10;20;34;60
20/02/2015;0.5;204;8.1;73;168;0;5;18;42;69;36
21/02/2015;3;295;10.4;53;78;0.2;4;4;23;28;48
22/02/2015;4.3;319;12.9;36;173;0;3;2;6;8;83
23/02/2015;1.1;249;14.6;50;127;0;7;15;26;48;34
24/02/2015;3.3;316;13.8;28;136;0;3;2;5;7;80
25/02/2015;3.1;319;15.2;34;76;0;3;2;6;9;81
26/02/2015;4.5;286;16.9;46;181;0;4;2;14;17;63
27/02/2015;4.2;320;14.2;35;209;0;3;3;13;16;74
28/02/2015;0.8;230;10.7;45;186;0;5;3;20;23;64
01/03/2015;0.4;191;13.5;61;106;0;4;9;34;47;24
02/03/2015;0.6;120;16.8;59;167;0;4;10;23;36;31
03/03/2015;1.4;70;13.5;78;101;0.2;3;2;15;17;49
04/03/2015;2.3;310;12.5;55;160;0;6;21;17;48;49
05/03/2015;1.9;265;11.6;30;220;0;4;11;26;42;62
06/03/2015;1;219;9.3;60;215;0;4;21;31;63;40
07/03/2015;0.6;138;10.5;69;215;0;4;6;29;37;48
08/03/2015;0.5;123;10.6;76;154;0;5;5;20;26;59
09/03/2015;0.6;186;11.4;78;173;0;4;4;20;25;52
10/03/2015;0.6;47;11.3;81;200;0;3;4;22;27;51
11/03/2015;0.5;175;12;79;187;0;6;10;32;46;46
12/03/2015;0.9;85;13.4;66;201;0.2;7;15;27;50;59
13/03/2015;0.6;202;11.8;77;176;0;4;11;21;36;66
14/03/2015;1.6;331;12.1;38;162;0;3;2;7;9;82
15/03/2015;0.9;225;10.2;45;175;0;4;2;13;15;71
16/03/2015;0.7;246;9.7;59;220;0;4;4;20;25;58
17/03/2015;0.5;144;9.4;67;216;0;4;9;22;35;61
18/03/2015;1.3;44;12.5;75;54;3.2;3;2;6;7;87
19/03/2015;2.4;48;13.8;69;58;1.4;3;2;4;6;97
20/03/2015;3.1;48;13.5;72;26;7.6;3;2;4;6;98
21/03/2015;1.2;58;13.3;;75;5.2;3;2;8;10;75
22/03/2015;1;36;11.5;;17;147.8;3;2;6;8;82
23/03/2015;2;82;13;88;46;13.6;3;2;4;6;91
24/03/2015;1.7;51;13.1;83;43;5.2;3;2;4;6;91
25/03/2015;6.1;317;12.1;36;177;0;4;2;4;6;87
