Fecha;Hora;PM10;SO2;NO2;NO;CO;O3;dd;vv;HR;LL;PRB;TMP
01/05/2015;1:00:00;21.75;3;25.75;2;0.07;34.5;137;0.4;60.65;0;941.25;17.575
01/05/2015;2:00:00;18.75;3;31.75;3.25;0.125;25.5;151;0.5;65.525;0;941.25;16.675
01/05/2015;3:00:00;23.75;3;39.5;2.25;0.105;11.75;7;0.3;70.15;0;941;15.6
01/05/2015;4:00:00;24;3;35.5;2;0.0925;15;157;0.5;73.35;0;940.5;15.2
01/05/2015;5:00:00;24;3;27;2;0.06;23.5;162;0.6;77.4;0;940;14.375
01/05/2015;6:00:00;17.5;3;14.5;2;0.0525;37.5;165;0.7;74.725;0;940;14.525
01/05/2015;7:00:00;15;3;25.75;2.25;0.05;16.75;175;0.5;77.775;0;939;13.475
01/05/2015;8:00:00;18.75;3.5;33.25;8;0.08;3.25;337;0.6;81.8;0;940;12.55
01/05/2015;9:00:00;25.5;3;25;3.5;0.0575;23.75;165;0.6;76.65;0;940;14.1
01/05/2015;10:00:00;22.25;3.25;22;5;0.065;29.5;194;0.9;72.65;0;940;15.9
01/05/2015;11:00:00;14.5;3;21.25;4;0.055;39.5;182;1.2;68.1;0;940;16.925
01/05/2015;12:00:00;21.5;3;22.25;5.5;0.075;41.5;207;1.3;62.1;0;940.25;18.825
01/05/2015;13:00:00;27.75;3.25;21.75;5.5;0.095;45;180;1;55.475;0;940;20.6
01/05/2015;14:00:00;31.75;4;19.25;4;0.105;54.75;200;1.5;47.525;0;940;21.925
01/05/2015;15:00:00;35;4;14.25;3;0.1175;66.75;181;1.3;38;0;940;23.575
01/05/2015;16:00:00;35;4;10.25;2;0.1275;72.25;204;1.7;35.675;0;939.75;24.35
01/05/2015;17:00:00;27.5;4;7;2;0.0975;79.75;197;1.5;34.775;0;939;25.85
01/05/2015;18:00:00;25;3.5;6.5;2;0.1075;76.75;165;1.8;35.875;0;939;26.025
01/05/2015;19:00:00;20.25;3.5;11;2;0.1425;66.25;182;1;38.475;0;939;25.15
01/05/2015;20:00:00;22.75;3.5;13;2;0.14;60;147;1;40.55;0;938.75;24.425
01/05/2015;21:00:00;13.5;3.25;25;2.25;0.1625;40.25;196;0.8;46.1;0;938.5;23.275
01/05/2015;22:00:00;22.25;3;27.75;2;0.12;27;166;0.7;52.725;0;939;22.025
01/05/2015;23:00:00;14.5;3;28.5;2;0.105;20.75;163;0.8;58.625;0;939.5;20.775
01/05/2015;0:00:00;17.5;3;17.5;2;0.075;27.25;176;1.9;61.425;0;940;20.075
02/05/2015;1:00:00;21.25;3;16.75;2.75;0.065;23;176;1.6;66.825;0;940;19.475
02/05/2015;2:00:00;24.75;3;13.5;2;0.0625;23.25;180;1;73.85;0;939.75;18.375
02/05/2015;3:00:00;15.75;3;10;3;0.05;21;166;1.8;77.425;0;940;17.625
02/05/2015;4:00:00;10.25;3;7;2;0.05;21;175;2;82.625;0;939;16.8
02/05/2015;5:00:00;17.5;3;6.25;2;0.0525;20.25;157;3.3;88.55;0;938.5;15.875
02/05/2015;6:00:00;18.75;3;5.25;2;0.06;18.5;137;3.4;92.925;0;938;15.375
02/05/2015;7:00:00;19;3;9.5;2;0.085;12.5;158;0.4;96.6;0;938;15.2
02/05/2015;8:00:00;12.25;3;22.25;4;0.0975;2.25;183;1.5;98.6;0;938;14.85
02/05/2015;9:00:00;13.75;3.25;16.5;6.25;0.0875;4.25;191;0.7;96.875;0;939;15.75
02/05/2015;10:00:00;12;3;21.75;11.25;0.1;2;163;0.6;93.9;0;939;16.175
02/05/2015;11:00:00;26;3;17.25;9;0.07;6;199;0.9;90.7;0;939;17.775
02/05/2015;12:00:00;25;3;7.25;4.75;0.0575;16.5;151;1;74.875;0;939;21.5
02/05/2015;13:00:00;27.75;3.5;7.5;5;0.0925;24.75;186;1.4;62.8;0;939;24.45
02/05/2015;14:00:00;19.5;3.75;6;3.5;0.1125;31.5;199;1.9;51.925;0;938.25;26.925
02/05/2015;15:00:00;32;3.5;5.5;2.5;0.11;39.5;240;1.8;49.275;0;938;27.45
02/05/2015;16:00:00;14.25;3;4.25;2.25;0.1075;44.25;189;1.8;44.775;0;937;28.5
02/05/2015;17:00:00;23.25;3.75;4.5;2.25;0.125;44.75;198;1.8;43.775;0;936;28.575
02/05/2015;18:00:00;18.25;3.25;4.5;2;0.14;42.5;186;1.6;41.725;0;936;28.625
02/05/2015;19:00:00;4;3;6;2;0.1275;40;179;1.4;41.15;0;935;28.075
