Fecha;PM10
01/01/2015;Sense dades
02/01/2015;22
03/01/2015;Sense dades
04/01/2015;30
05/01/2015;Sense dades
06/01/2015;25
07/01/2015;Sense dades
08/01/2015;24
09/01/2015;Sense dades
10/01/2015;21
11/01/2015;Sense dades
12/01/2015;27
13/01/2015;Sense dades
14/01/2015;29
15/01/2015;Sense dades
16/01/2015;36
17/01/2015;Sense dades
18/01/2015;18
19/01/2015;Sense dades
20/01/2015;18
21/01/2015;Sense dades
22/01/2015;26
23/01/2015;Sense dades
24/01/2015;15
25/01/2015;Sense dades
26/01/2015;26
27/01/2015;Sense dades
28/01/2015;27
29/01/2015;Sense dades
30/01/2015;12
31/01/2015;Sense dades
01/02/2015;6
02/02/2015;Sense dades
03/02/2015;23
04/02/2015;Sense dades
05/02/2015;17
06/02/2015;Sense dades
07/02/2015;27
08/02/2015;Sense dades
09/02/2015;38
10/02/2015;Sense dades
11/02/2015;35
12/02/2015;Sense dades
13/02/2015;48
14/02/2015;Sense dades
15/02/2015;14
16/02/2015;Sense dades
17/02/2015;25
18/02/2015;Sense dades
19/02/2015;35
20/02/2015;Sense dades
21/02/2015;29
22/02/2015;Sense dades
23/02/2015;23
24/02/2015;Sense dades
25/02/2015;12
26/02/2015;Sense dades
27/02/2015;27
28/02/2015;Sense dades
01/03/2015;30
02/03/2015;Sense dades
03/03/2015;17
04/03/2015;Sense dades
05/03/2015;14
06/03/2015;Sense dades
07/03/2015;27
08/03/2015;Sense dades
09/03/2015;41
10/03/2015;Sense dades
11/03/2015;56
12/03/2015;Sense dades
13/03/2015;47
14/03/2015;Sense dades
15/03/2015;17
16/03/2015;Sense dades
17/03/2015;20
18/03/2015;Sense dades
19/03/2015;28
20/03/2015;Sense dades
21/03/2015;45
22/03/2015;Sense dades
23/03/2015;27
24/03/2015;Sense dades
25/03/2015;12
26/03/2015;Sense dades
27/03/2015;21
28/03/2015;Sense dades
29/03/2015;19
30/03/2015;Sense dades
31/03/2015;22
01/04/2015;Sense dades
02/04/2015;30
03/04/2015;Sense dades
