Fecha;PM10;SO;NO2;NO;CO;O3;dd;vv;TMP;HR;PRB;RS;LL
01/01/2015;24;0;26;7;0.4;21;199;0.7;8.2;76.4;1028;72;0
02/01/2015;36;0;43;43;0.5;10;202;0.7;8.9;75.2;1029;57;0
03/01/2015;19;0;28;8;0.3;23;244;0.8;10.5;82.3;1029;49;0
04/01/2015;21;0;21;9;0.3;34;202;0.8;13.8;83.9;1028;36;0
05/01/2015;21;0;25;17;0.3;14;224;0.9;10.3;88.7;1022;73;0
06/01/2015;27;0;23;6;0.4;25;199;0.9;12.1;81.3;1022;43;0
07/01/2015;37;0;35;33;0.4;12;204;0.7;10.1;84.3;1025;72;0
08/01/2015;31;1;36;19;0.3;13;200;0.7;11;81.4;1029;39;0
09/01/2015;35;1;37;30;0.3;14;199;0.9;12.7;81.8;1031;73;0
10/01/2015;40;0;22;3;0.3;17;225;1.4;11.8;91.6;1027;25;0
11/01/2015;29;0;21;7;0.3;40;226;1.1;11.8;85.3;1027;30;6
12/01/2015;19;0;25;10;0.3;38;222;1.9;12.5;59.7;1022;80;0
13/01/2015;16;0;14;4;0.2;52;181;5.8;14.3;65;1017;44;1.5
14/01/2015;15;0;17;9;0.2;45;181;4;12.7;62.3;1018;75;0
15/01/2015;16;0;14;4;0.2;65;180;6.6;13.9;66.6;1009;10;5.5
16/01/2015;9;0;15;4;0.2;63;245;2.5;8.8;81;1013;30;9.75
17/01/2015;15;0;15;5;0.3;57;237;1.7;9.9;67.6;1017;62;0.5
18/01/2015;8;0;8;3;0.6;65;181;4.2;11;66.1;1010;35;12.25
19/01/2015;19;0;18;6;0.5;63;6;2.3;9;69.8;1014;38;4.75
20/01/2015;12;0;26;9;0.3;50;245;2.2;7.7;89;1011;23;6.75
21/01/2015;10;0;17;2;0.3;68;242;2.5;8.3;82.6;1010;23;19.25
22/01/2015;21;1;26;5;0.7;54;8;2.7;9.9;78.2;1015;44;6.25
23/01/2015;21;0;35;14;0.4;36;228;1.4;8.4;84.9;1022;63;0.25
24/01/2015;19;1;23;2;0.3;42;181;1.5;8.4;87.6;1025;26;1.25
25/01/2015;23;0;27;3;0.3;39;182;0.9;10;78.9;1027;46;0
26/01/2015;25;0;33;7;0.3;34;246;1.2;9.7;76.1;1026;32;0
27/01/2015;21;1;31;5;0.4;43;227;1.4;10.9;91.5;1026;24;3
28/01/2015;13;1;27;4;0.3;45;243;1.6;12;89.1;1021;35;0.25
29/01/2015;16;2;17;3;0.3;56;247;2.4;13.8;78;1010;15;2
30/01/2015;19;3;13;3;0.3;74;313;4.1;12.3;92.4;1002;4;66
31/01/2015;15;3;6;2;0.3;84;287;3.3;8.9;77.1;1004;23;31.25
01/02/2015;18;3;6;2;0.4;82;84;2.7;8.8;72.7;1013;34;15.75
02/02/2015;11;3;21;4;0.2;51;228;1.6;9.5;77.4;1008;45;6.5
03/02/2015;18;3;29;6;0.6;55;7;2.6;6.9;85.9;1006;15;24
04/02/2015;19;3;18;3;0.3;63;16;4.3;5.4;80.9;1012;18;11.25
05/02/2015;21;2;23;5;0.5;59;19;3.3;7.3;71.8;1017;45;5.5
06/02/2015;17;1;30;9;0.6;34;19;2.3;5;89;1015;19;9.25
07/02/2015;35;0;28;6;0.5;25;20;2;6.3;83.4;1019;10;1
08/02/2015;32;0;23;2;0.4;32;221;1.1;6.8;85.1;1025;24;0
09/02/2015;35;2;34;17;0.3;38;21;2;7.6;74.2;1023;84;0
10/02/2015;29;4;38;25;0.4;37;176;4;8.1;69;1019;121;0
11/02/2015;22;3;29;4;0.3;55;181;2.6;10.5;57.5;1017;64;0
12/02/2015;31;2;33;9;0.4;45;227;1.6;11.5;64.2;1016;94;0
13/02/2015;22;2;25;4;0.3;51;182;3.5;10;77.1;1015;58;2.75
14/02/2015;8;2;18;1;0.3;56;224;1.7;10.9;81;1012;14;5.5
15/02/2015;;;16;1;0.5;56;239;2.1;12;98.3;1013;15;25
16/02/2015;;1;11;1;0.3;74;247;1.7;12.1;85.9;1018;35;15
17/02/2015;32;3;26;4;0.4;57;20;3.2;10.4;71.6;1028;44;2.75
18/02/2015;27;3;36;18;0.3;26;183;1.1;8.3;81.2;1028;64;0
19/02/2015;32;5;41;21;0.4;21;219;0.9;9.4;71.4;1024;131;0
20/02/2015;20;3;25;5;0.3;43;201;1.6;12.1;66.6;1015;43;3.75
21/02/2015;13;2;;;0.2;82;315;2.6;10.7;81;1012;55;10.75
22/02/2015;15;3;;;0.2;71;225;1.5;11.6;85.6;1015;44;4
23/02/2015;16;2;;;0.2;50;250;3.2;11.4;87.7;1013;38;9.25
24/02/2015;18;0;6;7;0.2;80;264;3.6;9.4;84.7;1021;31;25.25
25/02/2015;17;1;5;4;0.2;79;312;4;12.2;89;1024;31;14
26/02/2015;12;2;6;1;0.2;70;313;2.8;13.5;94.9;1022;48;12.25
27/02/2015;21;2;14;2;0.3;73;6;2.3;11.7;72.2;1022;106;2.25
28/02/2015;12;2;11;1;0.2;53;226;1.6;13.7;86.9;1019;42;1.75
01/03/2015;13;3;16;2;0.3;33;180;1.2;17.3;81.9;1017;86;3
02/03/2015;11;1;22;3;0.4;43;251;1.1;14;99.1;1020;21;11
03/03/2015;20;1;24;6;0.4;39;22;1.9;12.8;97.6;1021;47;9.5
04/03/2015;20;1;21;3;0.4;62;6;2.3;11.2;78.5;1029;113;11.25
05/03/2015;20;1;23;9;0.2;50;7;1.7;10.1;74.4;1030;158;0.5
06/03/2015;26;2;30;10;0.3;40;7;1.6;11.6;65.1;1025;162;0
07/03/2015;32;3;34;9;0.3;26;201;0.8;13.2;71.2;1023;146;0
08/03/2015;39;3;22;3;0.5;48;158;1.2;13.1;74.7;1022;162;0
09/03/2015;63;2;34;8;0.5;40;225;1.1;13;84;1022;160;0
10/03/2015;48;2;32;7;0.3;37;23;2.4;12.8;91.9;1022;146;0
11/03/2015;59;1;30;3;0.4;40;223;1.1;12.9;92.2;1022;22;0
12/03/2015;56;2;26;8;0.4;40;222;1.2;13.1;85.6;1020;114;0
13/03/2015;23;1;12;1;0.2;75;159;2.1;12;75.8;1023;75;6
14/03/2015;21;1;12;2;0.3;69;244;2.6;9.2;85;1022;15;19
15/03/2015;37;1;19;2;0.3;51;221;1.2;9;82.1;1019;19;1.25
