Fecha;NO;NO2;NOX;PM10;SH2;SO2;dd;HR;PRB;RS;TMP;vv
01/10/2015;12;57;49;23;2;5;263;81;1016.1;130.6;17.3;0.86
30/09/2015;19;61;70;19;7;6;164;78;1013.2;134.2;18.3;0.34
29/09/2015;19;49;64;20;4;7;336;86;1014.1;136.2;16.1;0.28
28/09/2015;17;53;65;21;2;7;249;84;1018.5;188.8;16.6;0.5
27/09/2015;10;49;42;13;2;7;245;84;1018.3;121.8;16;0.68
26/09/2015;14;46;53;15;3;7;337;84;1015.8;166.9;17.2;0.35
25/09/2015;22;56;70;19;4;7;243;84;1016.9;177.6;16.3;0.31
24/09/2015;19;50;62;13;8;7;57;79;1017.5;180;16.4;0.19
23/09/2015;10;47;46;11;2;6;275;86;1014.9;81.3;15.8;0.42
22/09/2015;6;63;31;11;2;6;282;85;1012.5;91.4;16.4;0.91
21/09/2015;14;54;55;16;3;6;253;82;1014.5;179.1;16.5;0.52
20/09/2015;8;55;40;9;3;6;273;81;1019.2;218.9;16.3;0.19
19/09/2015;11;44;44;12;4;6;281;79;1021.7;220.5;16.4;0.18
18/09/2015;13;41;51;16;3;6;241;77;1018;175;15.6;0.62
17/09/2015;9;61;46;14;2;6;236;74;1008;70.7;16.3;0.97
16/09/2015;8;45;34;17;3;5;216;59;992.4;196.4;22.8;2.14
15/09/2015;17;56;59;16;2;5;206;68;999.2;57.6;18.4;2.06
14/09/2015;7;47;36;14;2;6;292;76;1009;110.6;17;0.65
13/09/2015;12;60;45;13;4;5;242;73;1002.8;66.3;19.9;0.63
12/09/2015;7;40;38;17;2;6;291;87;1008;29.2;19.6;0.23
11/09/2015;21;62;70;24;2;6;265;80;1008.7;224.8;20;0.49
10/09/2015;11;55;56;18;2;6;239;87;1011.8;51;18.7;0.51
09/09/2015;15;56;60;27;2;6;235;74;1010.1;199.7;20.1;0.66
08/09/2015;15;63;65;19;3;6;254;76;1014.3;229.8;16.8;0.35
07/09/2015;15;57;56;14;2;6;305;75;1019.2;234.6;16.5;0.42
06/09/2015;9;56;42;12;2;5;322;76;1019.9;244.1;16.4;0.39
05/09/2015;9;48;43;11;2;5;265;76;1018.4;133.8;16.7;0.37
04/09/2015;12;50;50;11;4;5;357;73;1015.3;158.8;17.2;0.4
03/09/2015;13;54;50;13;2;6;291;83;1013.8;100.8;17.7;0.66
02/09/2015;17;43;57;12;2;6;353;76;1013.9;203.9;18.1;0.7
01/09/2015;13;47;47;11;3;6;329;82;1016.2;94.8;18.8;0.98
31/08/2015;13;81;46;27;2;6;283;75;1009.6;99.5;23.8;0.87
30/08/2015;8;49;37;27;5;6;217;59;1009;211.5;27.6;0.43
29/08/2015;13;60;52;22;3;5;351;76;1010.7;248.1;25;0.7
28/08/2015;16;52;58;15;3;6;319;80;1012.1;257.6;22.7;0.81
27/08/2015;22;86;81;30;6;6;222;67;1007.3;158;24.7;0.45
26/08/2015;10;51;47;23;3;6;237;64;1008.4;254.6;24.5;0.55
25/08/2015;13;45;52;14;2;6;235;65;1013.7;265.2;20.7;0.35
24/08/2015;9;60;36;17;2;6;302;63;1009.6;210.8;20;1.03
23/08/2015;9;55;33;9;3;5;252;66;1002.9;241.3;22.1;0.71
22/08/2015;10;43;39;21;3;5;335;89;1007.9;139.6;21.3;0.7
21/08/2015;13;57;55;23;4;6;341;75;1014;271.2;22.9;0.4
20/08/2015;10;43;48;21;5;6;326;79;1017;263.3;21.2;0.45
19/08/2015;12;38;46;14;4;6;342;77;1016.5;286.2;18.8;0.44
18/08/2015;14;38;51;17;3;5;9;76;1013.5;271.7;18.8;0.36
17/08/2015;12;42;44;18;3;5;343;81;1011.9;202.7;18.9;0.65
16/08/2015;8;20;30;15;2;5;323;81;1010.9;194.7;17.9;0.48
15/08/2015;8;34;32;10;2;5;303;84;1013.2;174.2;18.1;0.45
14/08/2015;7;27;27;14;2;5;299;72;1014;160.5;19;1.11
13/08/2015;12;42;37;14;2;5;280;78;1011.8;214.7;21.5;0.72
12/08/2015;12;54;53;29;3;5;352;80;1010.5;239.4;23.2;0.68
11/08/2015;13;53;54;26;3;5;289;81;1008.9;225.5;21.9;0.22
10/08/2015;13;44;51;20;2;4;274;79;1013.2;294.6;20.6;0.51
09/08/2015;6;26;27;16;2;5;268;84;1019.1;135;18.7;0.77
08/08/2015;8;36;33;9;2;5;242;93;1019.5;54.1;17.1;0.63
07/08/2015;7;45;31;15;2;5;279;89;1014.9;64.8;20.2;1
06/08/2015;18;49;59;26;2;5;316;84;1011.3;185;21.1;0.52
05/08/2015;16;66;52;26;2;5;284;82;1010;210.1;22;0.53
04/08/2015;13;42;52;13;2;5;10;88;1014.4;103.6;19.6;0.43
03/08/2015;12;48;45;21;5;6;319;80;1011.7;202.8;21.7;0.48
02/08/2015;11;47;39;21;4;6;212;64;1009.6;308.7;24.7;0.73
01/08/2015;11;35;41;17;3;6;303;72;1013.4;195.2;19;0.38
31/07/2015;10;44;40;15;3;6;275;81;1008.8;72.3;17.9;0.61
30/07/2015;14;47;56;18;3;6;28;77;1013;138.7;17.9;0.42
29/07/2015;16;48;55;15;3;6;19;87;1011.9;58.2;18.6;0.36
28/07/2015;12;40;47;15;3;4;305;72;1011.7;311.8;22.1;0.33
27/07/2015;10;43;37;19;3;4;284;81;1013.3;113.7;20.4;0.68
26/07/2015;8;38;34;15;3;5;294;68;1011;264.7;21.8;0.33
25/07/2015;6;29;25;16;4;5;299;77;1016.3;192;18.9;0.74
