Fecha;Hora;SO2;NO;NO2;NOX;O3;PM25;PM10;dd;vv;TMP;HR;PRB;LL
01/01/2015;1:00:00;2;0.3;2;2.5;58;10;15;176;0.2;7.3;53;1003;0
01/01/2015;2:00:00;2;0.4;2;2.5;58;10;16;10;0.3;7.4;56;1004;0
01/01/2015;3:00:00;2;0.3;2;2.5;59;10;16;11;0.6;7.4;54;1005;0
01/01/2015;4:00:00;2;0.3;2;2.5;55;6;13;70;0.1;6.8;57;1005;0
01/01/2015;5:00:00;2;0.3;2;2.5;54;4;12;262;0;6.8;62;1005;0
01/01/2015;6:00:00;2;0.3;3;2.6;54;8;15;248;0.5;7.7;66;1006;0
01/01/2015;7:00:00;1;0.3;2;2.7;54;6;13;12;1.3;7.9;68;1006;0
01/01/2015;8:00:00;1;0.3;3;2.8;54;12;20;19;3.1;7.7;73;1006;0
01/01/2015;9:00:00;2;0.3;3;3;53;13;18;17;2.2;8.4;69;1008;0
01/01/2015;10:00:00;2;0.3;3;3;53;11;18;17;3;9;65;1008;0
01/01/2015;11:00:00;2;0.3;3;2.9;53;6;12;92;1.4;10.4;53;1009;0
01/01/2015;12:00:00;2;0.3;3;2.8;53;8;11;77;0.8;12;41;1009;0
01/01/2015;13:00:00;2;0.3;2;2.7;54;11;14;186;2.2;12.1;46;1008;0
01/01/2015;14:00:00;2;0.3;2;2.7;54;10;14;198;3.4;11.6;50;1007;0
01/01/2015;15:00:00;2;0.3;2;2.7;60;4;10;122;2.3;11.5;49;1008;0
01/01/2015;16:00:00;2;0.3;2;2.5;58;7;13;154;1.3;11.1;49;1008;0
01/01/2015;17:00:00;2;0.3;2;2.6;62;12;16;17;1.9;8.9;58;1008;0
01/01/2015;18:00:00;2;0.3;2;2.7;60;7;11;20;0.7;7.9;60;1009;0
01/01/2015;19:00:00;2;0.3;2;2.6;58;10;16;17;0.3;7.4;63;1010;0
01/01/2015;20:00:00;2;0.3;2;2.7;58;12;16;9;0.1;7.1;65;1010;0
01/01/2015;21:00:00;2;0.3;2;2.6;55;9;14;20;0;6.8;66;1009;0
01/01/2015;22:00:00;2;0.3;2;2.5;60;10;13;100;0.2;7;65;1010;0
01/01/2015;23:00:00;2;0.3;2;2.4;59;8;12;138;0;7.3;63;1009;0
01/01/2015;0:00:00;2;0.3;2;2.4;59;8;14;211;0;6.9;63;1009;0
02/01/2015;1:00:00;2;0.3;2;2.5;61;5;11;83;0.7;7.3;62;1009;0
02/01/2015;2:00:00;2;0.4;2;2.3;60;9;13;113;0.2;7.2;64;1009;0
02/01/2015;3:00:00;2;0.3;2;2.4;70;11;15;21;4.3;8.7;64;1008;0
02/01/2015;4:00:00;2;0.3;2;2.4;68;9;13;87;1.4;8.1;69;1008;0
02/01/2015;5:00:00;2;0.3;2;2.4;63;10;14;184;0.4;8.1;70;1008;0
02/01/2015;6:00:00;2;0.3;2;2.4;61;6;12;89;0.5;8;71;1009;0
02/01/2015;7:00:00;2;0.3;2;2.5;60;8;13;27;0.3;7.9;72;1009;0
02/01/2015;8:00:00;2;0.3;2;2.4;56;7;13;170;0.5;8.1;69;1010;0
02/01/2015;9:00:00;3;0.3;2;2.4;50;6;9;42;0;9.3;54;1010;0
02/01/2015;10:00:00;3;0.4;2;2.6;39;9;13;169;0;10.6;52;1011;0
02/01/2015;11:00:00;2;0.4;2;2.6;44;9;14;204;0.3;11.5;49;1011;0
02/01/2015;12:00:00;3;0.4;2;2.9;51;13;19;168;1.4;12.6;50;1011;0
02/01/2015;13:00:00;3;0.5;2;3;39;12;19;198;1.6;13.7;45;1011;0
02/01/2015;14:00:00;4;0.5;3;3.3;36;9;15;198;1.9;14.2;42;1010;0
02/01/2015;15:00:00;3;0.5;3;3.3;51;9;15;61;1.7;14.5;33;1010;0
02/01/2015;16:00:00;2;0.4;3;3.1;71;3;5;10;2.8;13.5;30;1010;0
02/01/2015;17:00:00;2;;;;62;8;10;96;0.7;12.5;35;1010;0
02/01/2015;18:00:00;3;;;;54;9;11;184;0;10.6;36;1010;0
02/01/2015;19:00:00;2;;;;54;15;16;21;0.1;10.4;30;1010;0
02/01/2015;20:00:00;3;;;;55;5;8;10;0;10.9;23;1011;0
02/01/2015;21:00:00;3;;;;56;4;;13;0;11;20;1011;0
02/01/2015;22:00:00;2;;;;59;4;5;165;0.2;10.9;21;1011;0
02/01/2015;23:00:00;2;;;;62;;3;320;0;10.6;22;1011;0
02/01/2015;0:00:00;2;;;;63;;4;197;0.2;10.4;26;1011;0
03/01/2015;1:00:00;2;;;;65;4;;262;0.3;10.8;22;1010;0
