Fecha;CO;NO;NO2;O3;PM10;PM25;SO2
01/01/2015;;18;35;28;;;4
02/01/2015;;48;49;16;;;5
03/01/2015;;20;38;22;;;5
04/01/2015;;10;27;32;;;4
05/01/2015;;36;34;15;;;4
06/01/2015;;8;21;20;;;4
07/01/2015;;6;22;34;;;4
08/01/2015;;8;23;23;;;4
09/01/2015;;12;26;15;;;4
10/01/2015;;16;25;11;;;4
11/01/2015;;12;24;41;;;4
12/01/2015;;39;35;13;;;4
13/01/2015;;28;40;20;;;4
14/01/2015;;24;34;21;;;4
15/01/2015;;20;35;21;;;4
16/01/2015;;8;24;49;;;3
17/01/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
18/01/2015;No hay dato;No hay dato;No hay dato;No hay dato;;;No hay dato
19/01/2015;;;;;;;
20/01/2015;;16;37;35;;;4
21/01/2015;;6;25;49;;;4
22/01/2015;;5;21;62;;;4
23/01/2015;;5;20;69;;;4
24/01/2015;;6;22;64;;;4
25/01/2015;;5;17;71;;;4
26/01/2015;;9;32;41;;;4
27/01/2015;;5;20;64;;;4
28/01/2015;;6;24;63;;;4
29/01/2015;;6;22;54;;;4
30/01/2015;;5;24;62;;;4
31/01/2015;;5;16;73;;;4
01/02/2015;;5;16;73;;;4
02/02/2015;;6;25;58;;;4
03/02/2015;;5;21;63;;;4
04/02/2015;;5;22;65;;;4
05/02/2015;;5;19;70;;;4
06/02/2015;;6;26;53;;;4
07/02/2015;;9;33;35;;;4
08/02/2015;;6;27;45;;;4
09/02/2015;;13;36;38;;;4
10/02/2015;;28;48;40;;;5
11/02/2015;;12;44;42;;;4
12/02/2015;;11;41;43;;;4
13/02/2015;;27;48;32;;;4
14/02/2015;;5;27;46;;;4
15/02/2015;;5;19;57;;;4
16/02/2015;;4;19;76;;;4
17/02/2015;;5;23;64;;;4
18/02/2015;;9;30;37;;;4
19/02/2015;;29;44;34;;;5
20/02/2015;;13;37;53;;;4
21/02/2015;;4;19;78;;;4
22/02/2015;;4;16;84;;;4
23/02/2015;;5;18;61;;;4
24/02/2015;;4;16;78;;;4
25/02/2015;;4;15;77;;;4
26/02/2015;;4;16;68;;;3
27/02/2015;;4;15;84;;;3
28/02/2015;;5;19;65;;;4
01/03/2015;;4;19;46;;;4
02/03/2015;;5;20;42;;;4
03/03/2015;;8;28;41;;;4
04/03/2015;;4;17;66;;;3
05/03/2015;;5;23;69;;;4
06/03/2015;;12;38;43;;;4
07/03/2015;;8;31;53;;;5
08/03/2015;;4;28;65;;;4
09/03/2015;;9;34;45;;;4
10/03/2015;;8;36;56;;;5
11/03/2015;;8;35;61;;;5
12/03/2015;;11;34;60;;;5
13/03/2015;;6;21;71;;;3
14/03/2015;;4;14;80;;;3
15/03/2015;;4;21;74;;;3
16/03/2015;;10;31;52;;;3
17/03/2015;;5;23;77;;;3
18/03/2015;No hay dato;6;30;67;;;3
19/03/2015;No hay dato;6;29;63;;;3
20/03/2015;No hay dato;11;33;62;;;3
21/03/2015;No hay dato;4;24;62;;;2
22/03/2015;No hay dato;4;21;54;;;2
23/03/2015;No hay dato;5;21;76;;;2
24/03/2015;No hay dato;5;24;65;;;2
25/03/2015;No hay dato;5;15;86;;;2
26/03/2015;No hay dato;4;15;77;;;3
27/03/2015;No hay dato;4;13;85;;;3
28/03/2015;No hay dato;4;12;66;;;3
29/03/2015;No hay dato;4;10;84;;;3
30/03/2015;No hay dato;4;12;84;;;3
31/03/2015;No hay dato;4;12;78;;;3
01/04/2015;No hay dato;4;14;79;;;3
02/04/2015;No hay dato;5;17;61;;;3
03/04/2015;No hay dato;5;15;53;;;3
04/04/2015;No hay dato;4;13;74;;;3
05/04/2015;No hay dato;4;16;59;;;3
06/04/2015;No hay dato;4;16;82;;;3
