Fecha;PM10
01/01/2015;Sense dades
02/01/2015;Sense dades
03/01/2015;Sense dades
04/01/2015;Sense dades
05/01/2015;Sense dades
06/01/2015;Sense dades
07/01/2015;Sense dades
08/01/2015;26
09/01/2015;26
10/01/2015;Sense dades
11/01/2015;Sense dades
12/01/2015;35
13/01/2015;33
14/01/2015;32
15/01/2015;43
16/01/2015;12
17/01/2015;Sense dades
18/01/2015;Sense dades
19/01/2015;Sense dades
20/01/2015;18
21/01/2015;22
22/01/2015;20
23/01/2015;19
24/01/2015;Sense dades
25/01/2015;Sense dades
26/01/2015;25
27/01/2015;25
28/01/2015;31
29/01/2015;11
30/01/2015;26
31/01/2015;Sense dades
01/02/2015;Sense dades
02/02/2015;Sense dades
03/02/2015;14
04/02/2015;Sense dades
05/02/2015;17
06/02/2015;20
07/02/2015;Sense dades
08/02/2015;Sense dades
09/02/2015;Sense dades
10/02/2015;44
11/02/2015;45
12/02/2015;50
13/02/2015;32
14/02/2015;Sense dades
15/02/2015;Sense dades
16/02/2015;28
17/02/2015;25
18/02/2015;Sense dades
19/02/2015;35
20/02/2015;31
21/02/2015;Sense dades
22/02/2015;Sense dades
23/02/2015;Sense dades
24/02/2015;8
25/02/2015;27
26/02/2015;24
27/02/2015;16
28/02/2015;Sense dades
01/03/2015;Sense dades
02/03/2015;18
03/03/2015;23
04/03/2015;25
05/03/2015;Sense dades
06/03/2015;31
07/03/2015;Sense dades
08/03/2015;Sense dades
09/03/2015;39
10/03/2015;45
11/03/2015;41
12/03/2015;Sense dades
13/03/2015;19
14/03/2015;Sense dades
15/03/2015;Sense dades
16/03/2015;20
17/03/2015;13
18/03/2015;Sense dades
19/03/2015;17
20/03/2015;28
21/03/2015;Sense dades
22/03/2015;Sense dades
23/03/2015;21
24/03/2015;13
25/03/2015;13
26/03/2015;18
27/03/2015;19
28/03/2015;Sense dades
29/03/2015;Sense dades
30/03/2015;Sense dades
31/03/2015;Sense dades
01/04/2015;Sense dades
02/04/2015;Sense dades
03/04/2015;Sense dades
04/04/2015;Sense dades
05/04/2015;Sense dades
06/04/2015;Sense dades
07/04/2015;17
08/04/2015;20
09/04/2015;Sense dades
10/04/2015;19
11/04/2015;Sense dades
12/04/2015;Sense dades
13/04/2015;34
14/04/2015;27
15/04/2015;37
16/04/2015;26
17/04/2015;Sense dades
18/04/2015;Sense dades
19/04/2015;Sense dades
20/04/2015;23
21/04/2015;21
22/04/2015;28
23/04/2015;29
24/04/2015;35
25/04/2015;Sense dades
26/04/2015;Sense dades
27/04/2015;Sense dades
28/04/2015;21
29/04/2015;21
30/04/2015;22
01/05/2015;Sense dades
02/05/2015;Sense dades
03/05/2015;Sense dades
04/05/2015;30
05/05/2015;35
06/05/2015;Sense dades
07/05/2015;26
08/05/2015;27
09/05/2015;Sense dades
10/05/2015;Sense dades
11/05/2015;Sense dades
12/05/2015;29
13/05/2015;Sense dades
14/05/2015;44
15/05/2015;19
16/05/2015;Sense dades
17/05/2015;Sense dades
18/05/2015;18
19/05/2015;12
20/05/2015;12
21/05/2015;18
22/05/2015;17
23/05/2015;Sense dades
24/05/2015;Sense dades
25/05/2015;Sense dades
26/05/2015;23
27/05/2015;Sense dades
28/05/2015;23
29/05/2015;Sense dades
30/05/2015;Sense dades
31/05/2015;Sense dades
01/06/2015;Sense dades
02/06/2015;24
03/06/2015;Sense dades
04/06/2015;24
05/06/2015;23
06/06/2015;Sense dades
07/06/2015;Sense dades
08/06/2015;20
09/06/2015;20
10/06/2015;23
11/06/2015;22
12/06/2015;Sense dades
13/06/2015;Sense dades
14/06/2015;Sense dades
15/06/2015;14
16/06/2015;14
17/06/2015;24
18/06/2015;Sense dades
19/06/2015;32
20/06/2015;28
21/06/2015;Sense dades
22/06/2015;21
23/06/2015;27
24/06/2015;Sense dades
25/06/2015;28
26/06/2015;30
27/06/2015;Sense dades
28/06/2015;Sense dades
29/06/2015;24
30/06/2015;24
01/07/2015;Sense dades
02/07/2015;26
03/07/2015;26
04/07/2015;Sense dades
05/07/2015;Sense dades
06/07/2015;Sense dades
07/07/2015;39
08/07/2015;32
09/07/2015;38
10/07/2015;Sense dades
11/07/2015;Sense dades
12/07/2015;Sense dades
13/07/2015;Sense dades
14/07/2015;34
15/07/2015;34
16/07/2015;36
17/07/2015;35
18/07/2015;Sense dades
19/07/2015;Sense dades
20/07/2015;33
21/07/2015;28
22/07/2015;24
23/07/2015;27
24/07/2015;Sense dades
25/07/2015;Sense dades
26/07/2015;Sense dades
27/07/2015;25
28/07/2015;Sense dades
29/07/2015;Sense dades
30/07/2015;24
31/07/2015;20
01/08/2015;Sense dades
02/08/2015;Sense dades
03/08/2015;Sense dades
04/08/2015;Sense dades
05/08/2015;Sense dades
06/08/2015;Sense dades
07/08/2015;Sense dades
08/08/2015;Sense dades
09/08/2015;Sense dades
10/08/2015;Sense dades
11/08/2015;Sense dades
12/08/2015;Sense dades
13/08/2015;Sense dades
14/08/2015;Sense dades
15/08/2015;Sense dades
16/08/2015;Sense dades
17/08/2015;Sense dades
18/08/2015;Sense dades
19/08/2015;Sense dades
20/08/2015;Sense dades
21/08/2015;Sense dades
22/08/2015;Sense dades
23/08/2015;Sense dades
24/08/2015;Sense dades
25/08/2015;Sense dades
26/08/2015;Sense dades
27/08/2015;Sense dades
28/08/2015;Sense dades
29/08/2015;Sense dades
30/08/2015;Sense dades
31/08/2015;Sense dades
01/09/2015;Sense dades
02/09/2015;Sense dades
03/09/2015;Sense dades
04/09/2015;Sense dades
05/09/2015;Sense dades
06/09/2015;Sense dades
07/09/2015;Sense dades
08/09/2015;Sense dades
09/09/2015;Sense dades
10/09/2015;Sense dades
11/09/2015;Sense dades
12/09/2015;Sense dades
13/09/2015;Sense dades
14/09/2015;Sense dades
15/09/2015;Sense dades
16/09/2015;Sense dades
17/09/2015;Sense dades
18/09/2015;Sense dades
19/09/2015;Sense dades
20/09/2015;Sense dades
21/09/2015;Sense dades
22/09/2015;Sense dades
23/09/2015;Sense dades
24/09/2015;Sense dades
25/09/2015;Sense dades
26/09/2015;Sense dades
27/09/2015;Sense dades
28/09/2015;Sense dades
29/09/2015;Sense dades
30/09/2015;Sense dades
01/10/2015;Sense dades
02/10/2015;Sense dades
03/10/2015;Sense dades
04/10/2015;Sense dades
05/10/2015;Sense dades
06/10/2015;Sense dades
07/10/2015;Sense dades
08/10/2015;Sense dades
09/10/2015;Sense dades
10/10/2015;Sense dades
11/10/2015;Sense dades
12/10/2015;Sense dades
13/10/2015;Sense dades
14/10/2015;Sense dades
15/10/2015;Sense dades
16/10/2015;Sense dades
17/10/2015;Sense dades
18/10/2015;Sense dades
19/10/2015;Sense dades
20/10/2015;Sense dades
21/10/2015;Sense dades
22/10/2015;Sense dades
23/10/2015;Sense dades
24/10/2015;Sense dades
25/10/2015;Sense dades
26/10/2015;Sense dades
27/10/2015;Sense dades
28/10/2015;Sense dades
29/10/2015;Sense dades
30/10/2015;Sense dades
31/10/2015;Sense dades
01/11/2015;Sense dades
02/11/2015;Sense dades
03/11/2015;Sense dades
04/11/2015;Sense dades
05/11/2015;Sense dades
06/11/2015;Sense dades
07/11/2015;Sense dades
