Fecha;PM10;BEN
01/01/2015;31;Sense dades
02/01/2015;34;Sense dades
03/01/2015;29;0.4
04/01/2015;35;Sense dades
05/01/2015;36;0.6
06/01/2015;29;Sense dades
07/01/2015;Sense dades;Sense dades
08/01/2015;Sense dades;Sense dades
09/01/2015;25;Sense dades
10/01/2015;32;0.4
11/01/2015;36;Sense dades
12/01/2015;35;0.3
13/01/2015;38;Sense dades
14/01/2015;33;0.2
15/01/2015;37;Sense dades
16/01/2015;38;Sense dades
17/01/2015;15;0.1
18/01/2015;25;Sense dades
19/01/2015;13;0.2
20/01/2015;13;Sense dades
21/01/2015;20;0.1
22/01/2015;22;Sense dades
23/01/2015;23;Sense dades
24/01/2015;14;0.1
25/01/2015;20;Sense dades
26/01/2015;26;0.2
27/01/2015;24;Sense dades
28/01/2015;24;0.1
29/01/2015;26;Sense dades
30/01/2015;19;Sense dades
31/01/2015;10;0
01/02/2015;11;Sense dades
02/02/2015;15;0.1
03/02/2015;14;Sense dades
04/02/2015;12;0.1
05/02/2015;18;Sense dades
06/02/2015;16;Sense dades
07/02/2015;15;0.1
08/02/2015;28;Sense dades
09/02/2015;37;0.2
10/02/2015;38;Sense dades
11/02/2015;44;0.4
12/02/2015;44;Sense dades
13/02/2015;50;Sense dades
14/02/2015;30;0.1
15/02/2015;17;Sense dades
16/02/2015;35;0.2
17/02/2015;32;Sense dades
18/02/2015;30;0.1
19/02/2015;34;Sense dades
20/02/2015;50;Sense dades
21/02/2015;28;0.5
22/02/2015;25;Sense dades
23/02/2015;25;0.1
24/02/2015;21;Sense dades
25/02/2015;21;0
26/02/2015;34;Sense dades
27/02/2015;28;Sense dades
28/02/2015;23;0.1
01/03/2015;35;Sense dades
02/03/2015;27;0.1
03/03/2015;20;Sense dades
04/03/2015;24;0.2
05/03/2015;20;Sense dades
06/03/2015;34;Sense dades
07/03/2015;32;0.1
08/03/2015;35;Sense dades
09/03/2015;47;0.2
10/03/2015;55;Sense dades
11/03/2015;68;0.2
12/03/2015;62;Sense dades
13/03/2015;50;Sense dades
14/03/2015;17;0
15/03/2015;16;Sense dades
16/03/2015;18;0.1
17/03/2015;23;Sense dades
18/03/2015;24;0
19/03/2015;29;Sense dades
20/03/2015;47;Sense dades
21/03/2015;59;0
22/03/2015;24;Sense dades
23/03/2015;30;0
24/03/2015;18;Sense dades
25/03/2015;14;0
26/03/2015;25;Sense dades
27/03/2015;22;Sense dades
28/03/2015;24;Sense dades
29/03/2015;23;Sense dades
30/03/2015;36;0
31/03/2015;29;Sense dades
01/04/2015;33;0
02/04/2015;36;Sense dades
03/04/2015;34;Sense dades
04/04/2015;32;0
05/04/2015;26;Sense dades
06/04/2015;26;0
07/04/2015;27;Sense dades
08/04/2015;34;0.1
09/04/2015;27;Sense dades
10/04/2015;28;Sense dades
11/04/2015;27;0
12/04/2015;28;Sense dades
13/04/2015;36;0
14/04/2015;48;Sense dades
15/04/2015;39;0
16/04/2015;37;Sense dades
17/04/2015;33;Sense dades
18/04/2015;33;0
19/04/2015;17;Sense dades
20/04/2015;16;0
21/04/2015;26;Sense dades
22/04/2015;23;0
23/04/2015;27;Sense dades
24/04/2015;38;Sense dades
25/04/2015;43;0
