Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;CO;dd;vv;TMP;HR;PRB
01/01/2014;00:00:00;12;1;4;19;1;57;0.1;311;1.0;14.4;66;998
01/01/2014;01:00:00;11;1;5;21;1;57;0.1;310;1.0;14.0;72;997
01/01/2014;02:00:00;12;2;3;8;1;58;0.1;316;1.3;14.0;53;997
01/01/2014;03:00:00;24;1;6;23;1;58;0.1;312;1.2;13.8;64;997
01/01/2014;04:00:00;17;1;4;10;1;61;0.1;317;1.3;13.7;52;997
01/01/2014;05:00:00;45;2;16;22;1;53;0.1;315;1.2;13.4;65;997
01/01/2014;06:00:00;35;1;9;18;1;54;0.1;307;1.1;14.7;64;998
01/01/2014;07:00:00;51;3;15;26;1;55;0.1;305;0.6;19.7;58;998
01/01/2014;08:00:00;29;2;7;17;1;67;0.1;118;0.9;19.5;59;999
01/01/2014;09:00:00;17;2;4;13;2;76;0.1;104;1.0;20.3;56;999
01/01/2014;10:00:00;19;2;5;13;5;78;0.1;96;1.2;20.5;57;998
01/01/2014;11:00:00;22;2;6;7;8;78;0.1;92;1.0;19.2;64;998
01/01/2014;12:00:00;22;2;4;7;1;79;0.1;92;1.0;19.6;63;997
01/01/2014;13:00:00;17;2;4;7;1;84;0.1;91;1.0;19.3;64;996
01/01/2014;14:00:00;22;2;5;6;1;79;0.1;99;1.0;18.1;69;996
01/01/2014;15:00:00;43;2;14;7;1;68;0.1;90;0.6;16.8;75;997
01/01/2014;16:00:00;17;2;9;6;2;71;0.1;102;0.6;15.4;85;997
01/01/2014;17:00:00;16;2;8;4;4;59;0.1;298;1.0;15.4;79;997
01/01/2014;18:00:00;14;1;4;7;2;63;0.1;306;1.2;15.0;79;998
01/01/2014;19:00:00;15;2;4;4;2;64;0.1;303;1.3;14.7;76;998
01/01/2014;20:00:00;34;1;13;5;1;53;0.1;305;1.2;14.5;75;998
01/01/2014;21:00:00;22;2;6;12;1;63;0.1;310;0.7;14.0;81;998
01/01/2014;22:00:00;13;1;5;6;1;61;0.1;319;0.9;13.7;86;998
01/01/2014;23:00:00;16;2;7;3;1;59;0.1;321;1.0;13.4;80;997
02/01/2014;00:00:00;45;2;14;6;1;50;0.1;321;0.9;13.4;77;996
02/01/2014;01:00:00;19;1;3;4;1;66;0.1;318;0.9;13.3;75;996
02/01/2014;02:00:00;22;1;6;5;1;67;0.1;323;0.9;13.2;75;996
02/01/2014;03:00:00;27;2;7;5;1;63;0.1;325;1.0;13.0;72;996
02/01/2014;04:00:00;13;1;3;5;1;68;0.1;319;1.2;13.3;68;996
02/01/2014;05:00:00;10;2;10;10;1;64;0.1;328;1.0;13.1;71;997
02/01/2014;06:00:00;10;3;9;12;2;66;0.1;344;0.7;15.3;72;997
02/01/2014;07:00:00;12;2;7;12;1;73;0.1;61;0.8;19.1;67;998
02/01/2014;08:00:00;31;3;14;8;1;66;0.1;98;1.0;19.9;65;998
02/01/2014;09:00:00;17;2;6;6;1;75;0.1;104;1.0;20.4;62;998
02/01/2014;10:00:00;16;2;5;3;3;77;0.1;100;1.1;20.7;60;997
02/01/2014;11:00:00;14;2;5;6;4;80;0.1;96;1.0;21.1;59;997
02/01/2014;12:00:00;13;2;3;6;1;79;0.1;91;0.9;21.5;58;996
02/01/2014;13:00:00;13;2;4;6;9;81;0.1;89;0.9;20.0;62;996
02/01/2014;14:00:00;16;2;6;6;1;79;0.1;87;0.8;19.4;65;996
02/01/2014;15:00:00;19;2;12;6;1;71;0.1;100;0.7;17.7;71;997
02/01/2014;16:00:00;23;2;22;8;3;59;0.1;103;0.5;15.6;87;997
02/01/2014;17:00:00;20;2;21;7;3;53;0.1;103;0.6;14.9;91;997
02/01/2014;18:00:00;21;2;25;7;3;47;0.1;79;0.6;15.2;89;998
02/01/2014;19:00:00;21;2;31;8;2;36;0.1;335;0.8;15.1;91;998
02/01/2014;20:00:00;34;2;28;6;2;35;0.1;314;0.9;15.0;88;998
02/01/2014;21:00:00;54;2;28;5;1;32;0.1;317;0.9;15.0;84;998
02/01/2014;22:00:00;49;2;21;5;1;41;0.1;312;0.6;14.9;76;998
02/01/2014;23:00:00;62;2;24;5;1;35;0.1;321;0.9;14.4;77;998
03/01/2014;00:00:00;30;2;8;6;1;52;0.1;318;0.9;14.6;77;998
03/01/2014;01:00:00;17;2;3;3;1;60;0.1;319;1.0;14.5;74;998
03/01/2014;02:00:00;15;1;3;5;1;64;0.1;322;1.0;14.4;77;998
03/01/2014;03:00:00;21;1;6;6;1;61;0.1;300;0.9;14.7;69;997
03/01/2014;04:00:00;52;2;15;4;1;48;0.1;306;0.9;14.3;71;998
03/01/2014;05:00:00;40;3;14;5;1;49;0.1;312;1.1;14.5;66;998
03/01/2014;06:00:00;24;4;16;11;2;49;0.1;322;0.8;15.9;70;999
03/01/2014;07:00:00;16;2;8;10;1;64;0.1;58;0.9;19.8;66;999
03/01/2014;08:00:00;28;3;12;7;1;64;0.1;103;1.0;20.5;64;1000
03/01/2014;09:00:00;74;6;21;6;1;59;0.1;106;1.1;21.1;62;1000
03/01/2014;10:00:00;34;3;9;5;4;71;0.1;101;1.1;21.2;62;999
03/01/2014;11:00:00;19;2;5;4;1;76;0.1;107;1.0;21.4;61;999
03/01/2014;12:00:00;16;2;3;2;2;78;0.1;93;1.0;21.4;60;998
03/01/2014;13:00:00;14;2;4;6;5;82;0.1;107;1.0;20.8;60;998
03/01/2014;14:00:00;13;2;4;6;4;81;0.1;165;0.9;20.0;60;998
03/01/2014;15:00:00;12;2;6;8;1;78;0.1;188;0.7;18.4;71;998
03/01/2014;16:00:00;12;2;8;6;4;72;0.1;229;0.7;17.6;79;998
03/01/2014;17:00:00;13;2;7;3;2;64;0.1;285;1.1;16.9;75;999
03/01/2014;18:00:00;12;2;6;3;2;59;0.1;301;1.2;16.4;72;999
03/01/2014;19:00:00;13;2;7;6;1;59;0.1;317;1.0;16.1;67;999
03/01/2014;20:00:00;14;2;7;5;1;59;0.1;313;1.0;16.0;60;1000
03/01/2014;21:00:00;15;2;6;3;1;58;0.1;319;1.1;15.9;53;1000
03/01/2014;22:00:00;13;1;4;4;1;61;0.1;307;1.2;16.0;45;1000
03/01/2014;23:00:00;14;1;4;7;1;59;0.1;307;1.2;15.7;50;1000
04/01/2014;00:00:00;21;1;5;8;1;57;0.1;299;1.1;15.8;52;1000
04/01/2014;01:00:00;36;1;8;10;1;52;0.1;296;1.0;16.1;60;1000
04/01/2014;02:00:00;18;2;4;9;1;55;0.1;320;0.8;16.2;72;999
04/01/2014;03:00:00;15;2;3;9;3;58;0.1;24;1.3;16.6;77;999
04/01/2014;04:00:00;12;2;3;2;4;57;0.1;287;1.4;16.4;71;1000
04/01/2014;05:00:00;10;1;3;9;2;56;0.1;296;1.2;16.0;69;1000
04/01/2014;06:00:00;9;2;3;7;4;60;0.1;22;1.1;17.2;76;1001
04/01/2014;07:00:00;10;2;5;6;3;59;0.1;59;1.1;19.1;70;1002
04/01/2014;08:00:00;12;2;8;12;4;55;0.1;68;1.1;19.5;77;1002
04/01/2014;09:00:00;11;2;6;4;1;59;0.1;70;1.4;21.3;71;1002
04/01/2014;10:00:00;19;2;5;4;1;58;0.1;75;1.6;21.8;68;1001
04/01/2014;11:00:00;13;2;4;4;7;59;0.1;70;1.8;20.4;77;1001
04/01/2014;12:00:00;15;2;5;4;4;56;0.1;70;1.8;20.4;78;1000
04/01/2014;13:00:00;13;2;3;4;2;56;0.1;66;2.4;20.0;79;999
