Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
01/07/2015;1:00:00;38;4;5;2;95;242;0.9;23.5;0;0;28.5
01/07/2015;2:00:00;34;4;2;2;95;181;0.3;26.3;0;0;26.8
01/07/2015;3:00:00;35;7;8;2;90;201;0.2;26.8;0;0;26.5
01/07/2015;4:00:00;41;8;3;2;89;208;0.2;28.8;0;0;24.8
01/07/2015;5:00:00;35;6;3;2;93;197;0.2;29;0;0;24.8
01/07/2015;6:00:00;34;4;2;2;90;133;0.2;31.8;0;0;23
01/07/2015;7:00:00;30;4;2;2;89;199;0.2;33.3;0;0;22.6
01/07/2015;8:00:00;34;4;35;12;53;70;0.2;32.8;0;0;22.5
01/07/2015;9:00:00;42;3;19;3;58;86;0.2;30.8;0;0;24.4
01/07/2015;10:00:00;61;3;6;2;77;119;0.2;28.3;0;0;27.1
01/07/2015;11:00:00;43;4;11;4;86;204;0.2;25.8;0;0;29.6
01/07/2015;12:00:00;52;6;6;4;105;200;0.3;23.3;0;0;31.6
01/07/2015;13:00:00;53;5;2;2;123;184;0.4;20.3;0;0;33.7
01/07/2015;14:00:00;54;5;9;3;125;177;0.6;18.8;0;0;35.1
01/07/2015;15:00:00;42;4;3;2;130;217;0.7;18;0;0;36.2
01/07/2015;16:00:00;46;4;2;2;132;207;0.5;15.8;0;0;36.9
01/07/2015;17:00:00;40;3;3;2;125;204;0.8;12;0;0;37.9
01/07/2015;18:00:00;42;4;7;2;118;223;1.1;11.5;0;0;37.2
01/07/2015;19:00:00;41;5;5;2;124;248;1.4;12.8;0;0;37.3
01/07/2015;20:00:00;47;4;8;2;110;267;2;11.3;0;0;36.6
01/07/2015;21:00:00;40;3;8;2;110;292;2.2;13.5;0;0;34.3
01/07/2015;22:00:00;42;3;11;2;101;296;1.2;17;0;0;31.9
01/07/2015;23:00:00;35;3;18;4;92;297;1.1;18.3;0;0;30.1
01/07/2015;0:00:00;21;3;13;2;88;292;0.5;21.5;0;0;28.3
02/07/2015;1:00:00;29;3;5;2;82;247;1.1;30.3;0;0;26.6
02/07/2015;2:00:00;38;3;2;2;75;260;2.2;32.8;0;0;25.2
