Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;LL;PRB;TMP;BEN;TOL;XIL
14/01/2015;15:00:00;n;13;29.5;7.25;57.5;n;n;n;n;n;n;n;n
14/01/2015;16:00:00;n;30.25;22.25;4.75;68.25;n;n;n;n;n;n;n;n
14/01/2015;17:00:00;n;39.5;26;6.5;60.25;n;n;n;n;n;n;n;n
14/01/2015;18:00:00;n;30.75;41.75;11.25;40.5;n;n;n;n;n;n;n;n
14/01/2015;19:00:00;n;12;55.25;16.75;23.25;n;n;n;n;n;n;n;n
14/01/2015;20:00:00;n;6.5;63;29;7.5;n;n;n;n;n;n;n;n
14/01/2015;21:00:00;n;2.75;55.5;24;5.5;n;n;n;n;n;n;n;n
14/01/2015;22:00:00;n;2.25;43;16.25;7.25;n;n;n;n;n;n;n;n
14/01/2015;23:00:00;n;2;34.5;14.75;5.25;n;n;n;n;n;n;n;n
14/01/2015;0:00:00;n;2;26.75;9.5;9.5;n;n;n;n;n;n;n;n
15/01/2015;1:00:00;n;2;21;8.75;9;n;n;n;n;n;n;n;n
15/01/2015;2:00:00;n;2;20.5;9;6;n;n;n;n;n;n;n;n
15/01/2015;3:00:00;n;2;21;7.25;4.25;n;n;n;n;n;n;n;n
15/01/2015;4:00:00;n;2;19.75;8.5;4;n;n;n;n;n;n;n;n
15/01/2015;5:00:00;n;2;11;6.25;10;n;n;n;n;n;n;n;n
15/01/2015;6:00:00;n;2;12.25;6.5;6.5;n;n;n;n;n;n;n;n
15/01/2015;7:00:00;n;2;18.5;14;2.75;n;n;n;n;n;n;n;n
15/01/2015;8:00:00;n;2;23.75;30;2;n;n;n;n;n;n;n;n
15/01/2015;9:00:00;n;2;31.25;56.25;2.25;n;n;n;n;n;n;n;n
15/01/2015;10:00:00;n;2;40.75;88.5;3.25;n;n;n;n;n;n;n;n
15/01/2015;11:00:00;n;2.25;59.25;73.25;6.25;n;n;n;n;n;n;n;n
15/01/2015;12:00:00;n;2.25;51.5;33.5;18.5;n;n;n;n;n;n;n;n
15/01/2015;13:00:00;n;2.5;26.75;18.5;46.75;n;n;n;n;n;n;n;n
15/01/2015;14:00:00;n;4.25;24.25;13;48.25;n;n;n;n;n;n;n;n
15/01/2015;15:00:00;n;4.5;23.75;12.75;47.5;n;n;n;n;n;n;n;n
15/01/2015;16:00:00;n;5;20;8;49;n;n;n;n;n;n;n;n
15/01/2015;17:00:00;n;4.25;22.25;9;47;n;n;n;n;n;n;n;n
15/01/2015;18:00:00;n;3.75;24.75;11;42.25;n;n;n;n;n;n;n;n
15/01/2015;19:00:00;n;3;24;10;41.5;n;n;n;n;n;n;n;n
15/01/2015;20:00:00;n;2;23.75;11;41.5;n;n;n;n;n;n;n;n
15/01/2015;21:00:00;n;2;17.25;7.25;46.5;n;n;n;n;n;n;n;n
15/01/2015;22:00:00;n;2;16.75;7.25;47.75;n;n;n;n;n;n;n;n
15/01/2015;23:00:00;n;2;13.5;5.25;52.75;n;n;n;n;n;n;n;n
15/01/2015;0:00:00;n;2;11.5;4.25;48.5;n;n;n;n;n;n;n;n
16/01/2015;1:00:00;n;2;10.75;4.75;40.5;n;n;n;n;n;n;n;n
16/01/2015;2:00:00;n;2;8.75;4.5;40.5;n;n;n;n;n;n;n;n
16/01/2015;3:00:00;n;2;8.5;4.25;43.75;n;n;n;n;n;n;n;n
16/01/2015;4:00:00;n;2;8;4.75;46.5;n;n;n;n;n;n;n;n
16/01/2015;5:00:00;n;2;8.25;5;56.25;n;n;n;n;n;n;n;n
16/01/2015;6:00:00;n;2;9;5.25;57.75;n;n;n;n;n;n;n;n
16/01/2015;7:00:00;n;2;9;5;56;n;n;n;n;n;n;n;n
16/01/2015;8:00:00;n;2;12.5;6;51;n;n;n;n;n;n;n;n
16/01/2015;9:00:00;n;2;16.75;8.5;48;n;n;n;n;n;n;n;n
16/01/2015;10:00:00;n;2;17.3333;8;46.6667;n;n;n;n;n;n;n;n
16/01/2015;12:00:00;n;11.6667;11.6667;6;57.3333;n;n;n;n;n;n;n;n
16/01/2015;13:00:00;n;6.25;13.25;7.25;54.75;n;n;n;n;n;n;n;n
16/01/2015;14:00:00;n;5.5;16.5;8.75;53.75;n;n;n;n;n;n;n;n
16/01/2015;15:00:00;n;8.5;18.5;9.75;55.25;n;n;n;n;n;n;n;n
16/01/2015;16:00:00;n;7.5;14.75;6;59;n;n;n;n;n;n;n;n
16/01/2015;17:00:00;n;6.75;15.75;7;57.75;n;n;n;n;n;n;n;n
16/01/2015;18:00:00;n;5.75;18.25;7;54.25;n;n;n;n;n;n;n;n
16/01/2015;19:00:00;n;5.75;21.75;8.5;48;n;n;n;n;n;n;n;n
16/01/2015;20:00:00;n;5.75;26.5;10.25;35.5;n;n;n;n;n;n;n;n
16/01/2015;21:00:00;n;2.75;29.5;11;31.75;n;n;n;n;n;n;n;n
16/01/2015;22:00:00;n;2.75;23;7.75;36.25;n;n;n;n;n;n;n;n
16/01/2015;23:00:00;n;2;17.5;6.75;41;n;n;n;n;n;n;n;n
16/01/2015;0:00:00;n;3.75;14.75;5.5;39;n;n;n;n;n;n;n;n
17/01/2015;1:00:00;n;2;15.25;6.5;36.75;n;n;n;n;n;n;n;n
17/01/2015;2:00:00;n;2;10.5;4.75;49.25;n;n;n;n;n;n;n;n
17/01/2015;3:00:00;n;2.5;7.5;4.75;54.25;n;n;n;n;n;n;n;n
17/01/2015;4:00:00;n;2;7.75;4.5;52.25;n;n;n;n;n;n;n;n
17/01/2015;5:00:00;n;2;7.25;4;48.25;n;n;n;n;n;n;n;n
17/01/2015;6:00:00;n;2.75;7.25;4.25;50;n;n;n;n;n;n;n;n
17/01/2015;7:00:00;n;2;9;5.5;45.75;n;n;n;n;n;n;n;n
17/01/2015;8:00:00;n;2;12;6.5;44;n;n;n;n;n;n;n;n
17/01/2015;9:00:00;n;2;11.75;5.75;41.75;n;n;n;n;n;n;n;n
17/01/2015;10:00:00;n;2;19.75;10;27.25;n;n;n;n;n;n;n;n
17/01/2015;11:00:00;n;2;16;8.75;36.75;n;n;n;n;n;n;n;n
17/01/2015;12:00:00;n;2;17.25;9;32.75;n;n;n;n;n;n;n;n
17/01/2015;13:00:00;n;14.75;20.25;9.5;40.5;n;n;n;n;n;n;n;n
17/01/2015;14:00:00;n;33.75;17;6.75;51.25;n;n;n;n;n;n;n;n
17/01/2015;15:00:00;n;46.5;18.75;6.25;55;n;n;n;n;n;n;n;n
17/01/2015;16:00:00;n;16.25;12;4.75;60.5;n;n;n;n;n;n;n;n
17/01/2015;17:00:00;n;14.75;13;6;57;n;n;n;n;n;n;n;n
17/01/2015;18:00:00;n;15.25;17.75;6.5;52.5;n;n;n;n;n;n;n;n
17/01/2015;19:00:00;n;10.75;21.5;7.75;37;n;n;n;n;n;n;n;n
17/01/2015;20:00:00;n;6.75;29;9.25;23.5;n;n;n;n;n;n;n;n
17/01/2015;21:00:00;n;4.75;29;9.5;18.5;n;n;n;n;n;n;n;n
17/01/2015;22:00:00;n;2;26.75;8.25;16.5;n;n;n;n;n;n;n;n
17/01/2015;23:00:00;n;2;28.5;12;11.5;n;n;n;n;n;n;n;n
17/01/2015;0:00:00;n;2;20.5;7.75;15.5;n;n;n;n;n;n;n;n
18/01/2015;1:00:00;n;2;18;7.5;18;n;n;n;n;n;n;n;n
18/01/2015;2:00:00;n;2;11.25;5.25;31.5;n;n;n;n;n;n;n;n
18/01/2015;3:00:00;n;2;10.75;5;37.25;n;n;n;n;n;n;n;n
18/01/2015;4:00:00;n;2;8.25;5;41.5;n;n;n;n;n;n;n;n
18/01/2015;5:00:00;n;2.25;9.25;4.75;41.5;n;n;n;n;n;n;n;n
18/01/2015;6:00:00;n;2.25;7.25;4;44.75;n;n;n;n;n;n;n;n
18/01/2015;7:00:00;n;2;7;4.75;53;n;n;n;n;n;n;n;n
18/01/2015;8:00:00;n;2;7.25;4.5;55.25;n;n;n;n;n;n;n;n
18/01/2015;9:00:00;n;2;6.75;4.25;55;n;n;n;n;n;n;n;n
18/01/2015;10:00:00;n;2;7;4.25;53.5;n;n;n;n;n;n;n;n
18/01/2015;11:00:00;n;2;8.25;5;53.5;n;n;n;n;n;n;n;n
18/01/2015;12:00:00;n;2.25;8.25;4.75;54;n;n;n;n;n;n;n;n
18/01/2015;13:00:00;n;2.25;8.75;4.25;54.25;n;n;n;n;n;n;n;n
18/01/2015;14:00:00;n;2;9.75;5.25;52.75;n;n;n;n;n;n;n;n
18/01/2015;15:00:00;n;2;9.25;5;52.5;n;n;n;n;n;n;n;n
18/01/2015;16:00:00;n;2.25;9.25;4.25;51;n;n;n;n;n;n;n;n
18/01/2015;17:00:00;n;2.25;12;6;44.75;n;n;n;n;n;n;n;n
18/01/2015;18:00:00;n;2;13.25;6;41;n;n;n;n;n;n;n;n
