Fecha;SO2;NO;NO2;O3;CO;PM10;PM25;BEN
01/01/2015;6;18;33;13;0.5;34;31;1.8
02/01/2015;7;42;47;8;0.6;Sense dades;Sense dades;Sense dades
03/01/2015;7;38;43;10;0.7;65;58;Sense dades
04/01/2015;6;20;32;11;0.5;Sense dades;Sense dades;Sense dades
05/01/2015;4;18;25;7;0.5;38;34;Sense dades
06/01/2015;3;10;23;9;0.4;Sense dades;Sense dades;Sense dades
07/01/2015;3;10;25;10;0.3;41;22;0.4
08/01/2015;3;7;25;17;0.3;Sense dades;Sense dades;Sense dades
09/01/2015;3;6;19;16;0.2;22;20;Sense dades
10/01/2015;3;7;19;9;0.3;Sense dades;Sense dades;Sense dades
11/01/2015;3;12;22;7;0.4;20;19;Sense dades
12/01/2015;3;18;33;7;0.4;Sense dades;Sense dades;Sense dades
13/01/2015;4;46;41;6;0.6;40;35;Sense dades
14/01/2015;3;25;34;4;0.5;Sense dades;Sense dades;Sense dades
15/01/2015;3;29;31;4;0.5;35;29;Sense dades
16/01/2015;3;23;28;21;0.4;Sense dades;Sense dades;Sense dades
17/01/2015;3;10;26;33;0.3;17;15;0.4
18/01/2015;5;11;31;15;0.4;Sense dades;Sense dades;Sense dades
19/01/2015;4;10;28;26;0.3;18;14;0.4
20/01/2015;4;17;30;28;0.3;Sense dades;Sense dades;Sense dades
21/01/2015;4;24;35;11;0.5;35;30;Sense dades
22/01/2015;3;11;29;28;0.3;Sense dades;Sense dades;Sense dades
23/01/2015;3;14;22;39;0.3;18;12;Sense dades
24/01/2015;2;5;16;42;0.3;Sense dades;Sense dades;Sense dades
25/01/2015;2;4;11;55;0.2;13;7;Sense dades
26/01/2015;4;18;39;24;0.4;Sense dades;Sense dades;Sense dades
27/01/2015;4;43;49;15;0.6;45;30;1.4
28/01/2015;4;17;30;23;0.4;Sense dades;Sense dades;Sense dades
29/01/2015;4;24;35;18;0.4;Sense dades;20;Sense dades
30/01/2015;2;5;15;51;0.2;Sense dades;Sense dades;Sense dades
31/01/2015;1;3;10;58;0.2;Sense dades;3;Sense dades
01/02/2015;1;1;5;68;0.2;Sense dades;Sense dades;Sense dades
02/02/2015;2;13;34;33;0.3;Sense dades;11;Sense dades
03/02/2015;2;6;29;35;0.3;Sense dades;Sense dades;Sense dades
04/02/2015;2;6;25;44;0.3;8;5;Sense dades
05/02/2015;2;5;18;48;0.2;Sense dades;Sense dades;Sense dades
06/02/2015;2;8;25;35;0.3;14;9;Sense dades
07/02/2015;3;9;28;24;0.4;Sense dades;Sense dades;Sense dades
08/02/2015;3;5;22;38;0.3;26;22;0.3
09/02/2015;4;19;44;23;0.4;Sense dades;Sense dades;Sense dades
10/02/2015;5;42;59;15;0.5;55;42;1.2
11/02/2015;6;55;70;9;0.6;Sense dades;Sense dades;Sense dades
12/02/2015;6;64;71;7;0.7;72;56;Sense dades
13/02/2015;4;62;66;13;0.6;Sense dades;Sense dades;Sense dades
14/02/2015;4;24;37;28;0.4;34;24;Sense dades
15/02/2015;2;8;22;34;0.3;Sense dades;Sense dades;Sense dades
16/02/2015;3;14;42;36;0.3;18;12;Sense dades
17/02/2015;4;25;51;19;0.4;Sense dades;Sense dades;Sense dades
18/02/2015;2;15;37;33;0.3;19;13;Sense dades
19/02/2015;4;36;56;17;0.5;Sense dades;Sense dades;Sense dades
20/02/2015;4;16;53;32;0.4;52;37;Sense dades
21/02/2015;2;8;30;43;0.3;Sense dades;Sense dades;Sense dades
22/02/2015;2;6;17;63;0.2;5;3;0.1
23/02/2015;3;16;32;35;0.3;Sense dades;Sense dades;Sense dades
24/02/2015;2;7;12;65;0.2;8;3;0.1
25/02/2015;2;8;16;57;0.2;Sense dades;Sense dades;Sense dades
26/02/2015;2;17;27;39;0.2;24;6;Sense dades
27/02/2015;1;2;13;65;0.2;Sense dades;Sense dades;Sense dades
28/02/2015;2;3;19;49;0.2;14;6;Sense dades
01/03/2015;3;2;23;33;0.3;Sense dades;Sense dades;Sense dades
02/03/2015;2;3;19;32;0.2;16;8;Sense dades
03/03/2015;2;9;30;30;0.3;Sense dades;Sense dades;Sense dades
04/03/2015;1;4;24;45;0.3;32;13;Sense dades
05/03/2015;1;1;6;64;0.2;Sense dades;Sense dades;Sense dades
06/03/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;44;22;0.4
07/03/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
08/03/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;44;25;Sense dades
09/03/2015;3;Sense dades;Sense dades;42;0.4;Sense dades;Sense dades;Sense dades
10/03/2015;3;Sense dades;Sense dades;40;0.4;69;40;0.5
11/03/2015;4;Sense dades;Sense dades;43;0.4;Sense dades;Sense dades;Sense dades
12/03/2015;3;10;37;43;0.4;78;55;Sense dades
13/03/2015;2;5;21;49;0.3;Sense dades;Sense dades;Sense dades
14/03/2015;1;5;13;63;0.2;15;4;Sense dades
15/03/2015;2;5;17;49;0.3;Sense dades;Sense dades;Sense dades
16/03/2015;2;5;19;50;0.3;33;16;Sense dades
17/03/2015;3;8;27;44;0.3;Sense dades;Sense dades;Sense dades
18/03/2015;2;7;30;41;0.3;30;12;Sense dades
19/03/2015;2;7;35;40;0.3;Sense dades;Sense dades;Sense dades
20/03/2015;2;10;35;30;0.4;40;23;0.3
21/03/2015;1;5;15;59;0.3;Sense dades;Sense dades;Sense dades
22/03/2015;1;5;16;42;0.3;14;6;Sense dades
23/03/2015;1;4;11;51;0.3;Sense dades;Sense dades;Sense dades
24/03/2015;1;6;27;46;0.3;23;7;0.1
25/03/2015;1;6;10;62;0.2;Sense dades;Sense dades;Sense dades
26/03/2015;1;5;12;55;0.2;10;3;Sense dades
27/03/2015;1;5;11;62;0.2;Sense dades;Sense dades;Sense dades
28/03/2015;1;4;7;48;0.2;12;3;Sense dades
29/03/2015;1;3;5;59;0.2;Sense dades;Sense dades;Sense dades
30/03/2015;1;3;6;64;0.2;17;5;0.1
31/03/2015;1;3;10;54;0.2;Sense dades;Sense dades;Sense dades
01/04/2015;1;3;10;64;0.2;Sense dades;Sense dades;Sense dades
02/04/2015;2;4;21;50;0.2;28;12;Sense dades
03/04/2015;2;3;16;42;0.2;Sense dades;Sense dades;Sense dades
04/04/2015;2;2;9;55;0.2;10;3;Sense dades
05/04/2015;2;2;8;54;0.2;Sense dades;Sense dades;Sense dades
06/04/2015;2;2;11;64;0.2;24;13;Sense dades
07/04/2015;2;4;22;60;0.3;Sense dades;Sense dades;Sense dades
08/04/2015;2;5;23;64;0.3;29;16;Sense dades
09/04/2015;3;5;26;63;0.3;Sense dades;Sense dades;Sense dades
10/04/2015;2;5;26;62;0.3;26;8;0.1
11/04/2015;2;2;19;65;0.2;Sense dades;Sense dades;Sense dades
12/04/2015;2;2;17;67;0.3;30;13;Sense dades
13/04/2015;2;8;30;56;0.3;Sense dades;Sense dades;Sense dades
14/04/2015;2;6;31;58;0.2;40;14;Sense dades
15/04/2015;2;5;35;52;0.3;Sense dades;Sense dades;Sense dades
16/04/2015;3;4;26;52;0.2;28;12;Sense dades
17/04/2015;3;19;21;54;0.2;Sense dades;Sense dades;Sense dades
18/04/2015;3;Sense dades;Sense dades;68;0.2;19;5;0.1
19/04/2015;3;Sense dades;Sense dades;68;0.2;Sense dades;Sense dades;Sense dades
20/04/2015;3;Sense dades;Sense dades;67;0.2;22;6;0.1
21/04/2015;3;1;23;59;0.2;Sense dades;Sense dades;Sense dades
22/04/2015;2;5;33;53;0.3;22;13;Sense dades
23/04/2015;2;3;23;58;0.2;Sense dades;Sense dades;Sense dades
24/04/2015;3;3;22;68;0.2;32;15;Sense dades
25/04/2015;2;2;17;65;0.2;Sense dades;Sense dades;Sense dades
26/04/2015;2;2;14;47;0.2;16;24;Sense dades
27/04/2015;1;2;9;64;0.2;Sense dades;Sense dades;Sense dades
28/04/2015;2;2;12;71;0.2;26;14;0.1
29/04/2015;2;4;22;45;0.2;Sense dades;Sense dades;Sense dades
30/04/2015;2;3;19;59;0.2;35;19;Sense dades
01/05/2015;2;2;16;44;0.2;Sense dades;Sense dades;Sense dades
02/05/2015;2;2;14;44;0.2;Sense dades;Sense dades;Sense dades
