Fecha;PM25
03/01/2015;7
08/01/2015;22
15/01/2015;18
22/01/2015;6
23/01/2015;4
24/01/2015;5
25/01/2015;4
26/01/2015;8
27/01/2015;7
28/01/2015;7
29/01/2015;8
01/02/2015;2
02/02/2015;5
05/02/2015;7
06/02/2015;4
07/02/2015;9
08/02/2015;12
09/02/2015;12
10/02/2015;10
25/02/2015;5
26/02/2015;6
27/02/2015;5
28/02/2015;6
02/03/2015;14
03/03/2015;9
04/03/2015;10
05/03/2015;6
06/03/2015;10
07/03/2015;14
08/03/2015;13
09/03/2015;21
10/03/2015;22
11/03/2015;35
13/03/2015;29
14/03/2015;8
24/04/2015;11
25/04/2015;26
26/04/2015;14
27/04/2015;4
28/04/2015;6
29/04/2015;12
30/04/2015;15
14/05/2015;36
15/05/2015;17
16/05/2015;7
17/05/2015;8
18/05/2015;10
20/05/2015;8
21/05/2015;8
22/05/2015;11
23/05/2015;13
24/05/2015;10
25/05/2015;14
26/05/2015;11
27/05/2015;13
28/05/2015;12
29/05/2015;11
30/05/2015;12
31/05/2015;10
01/06/2015;12
02/06/2015;14
03/06/2015;15
04/06/2015;15
05/06/2015;15
11/06/2015;18
12/06/2015;19
13/06/2015;14
14/06/2015;13
20/06/2015;13
21/06/2015;14
25/06/2015;14
26/06/2015;17
27/06/2015;16
28/06/2015;19
29/06/2015;14
30/06/2015;17
01/07/2015;15
10/07/2015;17
16/07/2015;19
17/07/2015;23
18/07/2015;23
19/07/2015;25
20/07/2015;27
21/07/2015;25
22/07/2015;17
23/07/2015;13
24/07/2015;13
25/07/2015;20
26/07/2015;15
27/07/2015;18
28/07/2015;17
29/07/2015;17
30/07/2015;11
06/08/2015;14
07/08/2015;21
