Fecha;SO2;NO2;PM10;O3;NO;NOX;BEN;PM25;TOL;XIL
03/10/2015;5;18;23;54;3;25;0,2;10;0,4;0,2
04/10/2015;5;15;22;40;3;20;0,2;10;0,3;0,1
05/10/2015;5;11;28;44;2;14;0,1;8;0,1;0,1
06/10/2015;5;14;16;46;3;19;0,1;3;0,1;0,1
07/10/2015;4;10;17;51;2;13;0,1;4;0,1;0,1
08/10/2015;4;11;18;48;2;14;0,1;5;0,1;0,1
09/10/2015;8;27;21;22;14;52;0,2;7;0,1;0,1
10/10/2015;8;28;25;24;13;51;0,3;9;0,2;0,1
11/10/2015;10;27;26;25;4;35;0,2;10;0,1;0,1
12/10/2015;7;17;25;29;5;26;0,2;11;0,1;0,1
13/10/2015;5;11;28;55;3;16;0,2;13;0,1;0,1
14/10/2015;4;9;24;67;2;13;0,2;11;0,1;0,1
15/10/2015;5;17;19;53;6;27;0,2;8;0,1;0,1
16/10/2015;8;31;23;28;11;51;0,2;10;0,2;0,1
17/10/2015;9;27;29;29;14;51;0,2;11;0,1;0,1
18/10/2015;6;25;28;29;9;40;0,2;13;0,1;0,1
19/10/2015;9;24;28;23;22;60;0,3;12;0,7;0,4
20/10/2015;5;9;21;55;2;12;0,2;9;0,5;0,1
21/10/2015;5;9;18;65;2;12;0,2;9;0,2;0,1
22/10/2015;5;14;19;58;2;18;0,1;11;0,3;0,1
23/10/2015;6;32;24;26;29;81;0,3;9;1,3;0,9
24/10/2015;6;25;29;34;8;40;0,2;10;0,9;0,9
25/10/2015;5;15;25;56;2;18;0,1;11;0,2;0,1
26/10/2015;6;17;29;53;2;22;0,1;10;0,5;0,1
27/10/2015;6;21;18;40;6;31;0,1;5;0,5;0,2
28/10/2015;6;32;17;24;9;50;0,2;5;0,8;0,4
29/10/2015;6;26;16;26;10;43;0,2;5;1,7;0,4
30/10/2015;7;32;23;23;27;77;0,3;8;1,7;0,7
31/10/2015;6;25;22;57;10;43;0,2;8;0,9;0,4
01/11/2015;7;18;26;0;3;25;0,1;8;0,4;0,1
