Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;CO
01/01/2014;00:00:00;7;3;18;31;33;50;0.4
01/01/2014;01:00:00;7;2;9;47;24;59;0.3
01/01/2014;02:00:00;8;3;8;27;15;60;0.3
01/01/2014;03:00:00;7;3;7;70;24;61;0.3
01/01/2014;04:00:00;7;2;7;25;20;61;0.2
01/01/2014;05:00:00;7;3;9;83;21;61;0.3
01/01/2014;06:00:00;7;3;6;45;20;63;0.2
01/01/2014;07:00:00;7;4;7;88;20;70;0.2
01/01/2014;08:00:00;20;18;26;301;20;65;0.4
01/01/2014;09:00:00;12;6;13;359;17;78;0.4
01/01/2014;10:00:00;7;4;7;366;15;81;0.4
01/01/2014;11:00:00;7;4;7;57;13;81;0.4
01/01/2014;12:00:00;7;3;6;90;13;81;0.4
01/01/2014;13:00:00;9;4;8;5;13;80;0.4
01/01/2014;14:00:00;8;3;8;143;13;79;0.4
01/01/2014;15:00:00;8;3;9;35;13;80;0.4
01/01/2014;16:00:00;8;3;14;42;13;74;0.4
01/01/2014;17:00:00;8;5;26;5;15;53;0.6
01/01/2014;18:00:00;8;2;15;4;15;53;0.4
01/01/2014;19:00:00;8;3;19;4;15;51;0.4
01/01/2014;20:00:00;8;3;12;4;15;61;0.4
01/01/2014;21:00:00;7;3;9;59;12;64;0.3
01/01/2014;22:00:00;7;3;7;6;11;65;0.3
01/01/2014;23:00:00;7;3;6;4;10;65;0.3
02/01/2014;00:00:00;7;3;5;24;10;62;0.3
02/01/2014;01:00:00;7;2;6;4;9;59;0.2
02/01/2014;02:00:00;8;2;7;62;11;57;0.2
02/01/2014;03:00:00;8;3;17;54;12;48;0.2
02/01/2014;04:00:00;8;3;26;12;13;41;0.2
02/01/2014;05:00:00;8;3;21;79;17;47;0.2
02/01/2014;06:00:00;8;4;25;16;14;43;0.3
02/01/2014;07:00:00;9;10;30;74;18;45;0.3
02/01/2014;08:00:00;28;54;62;334;24;34;0.5
02/01/2014;09:00:00;9;12;24;N;18;70;0.5
02/01/2014;10:00:00;8;9;19;207;14;75;0.5
02/01/2014;11:00:00;8;13;18;75;13;75;0.4
02/01/2014;12:00:00;8;7;14;5;11;84;0.4
02/01/2014;13:00:00;8;8;15;38;13;86;0.5
02/01/2014;14:00:00;8;10;21;32;11;83;0.5
02/01/2014;15:00:00;9;6;24;53;10;80;0.4
02/01/2014;16:00:00;9;3;24;22;11;74;0.5
02/01/2014;17:00:00;9;4;51;54;13;30;0.5
02/01/2014;18:00:00;9;4;51;4;11;27;0.5
02/01/2014;19:00:00;9;3;39;4;4;34;0.5
02/01/2014;20:00:00;9;3;25;4;4;47;0.4
02/01/2014;21:00:00;8;2;18;24;11;56;0.4
02/01/2014;22:00:00;7;3;13;21;7;62;0.3
02/01/2014;23:00:00;8;3;8;24;4;63;0.3
03/01/2014;00:00:00;8;2;7;12;2;62;0.2
03/01/2014;01:00:00;8;3;7;31;6;60;0.2
03/01/2014;02:00:00;8;3;19;58;8;48;0.2
03/01/2014;03:00:00;10;3;34;26;7;35;0.2
03/01/2014;04:00:00;9;4;33;4;5;36;0.2
03/01/2014;05:00:00;9;4;31;102;11;38;0.3
03/01/2014;06:00:00;9;6;34;70;12;35;0.3
03/01/2014;07:00:00;9;15;35;44;16;43;0.4
03/01/2014;08:00:00;11;18;32;4;20;51;0.5
03/01/2014;09:00:00;8;12;19;241;14;66;0.5
03/01/2014;10:00:00;9;5;11;30;11;77;0.4
03/01/2014;11:00:00;8;6;14;134;8;78;0.4
03/01/2014;12:00:00;9;5;14;105;8;80;0.4
03/01/2014;13:00:00;9;4;12;140;11;85;0.4
03/01/2014;14:00:00;9;4;16;237;10;80;0.4
03/01/2014;15:00:00;9;3;21;158;7;75;0.5
03/01/2014;16:00:00;9;5;33;122;11;61;0.5
03/01/2014;17:00:00;9;9;48;46;13;44;0.6
03/01/2014;18:00:00;8;7;39;44;13;41;0.6
03/01/2014;19:00:00;8;15;53;4;18;47;0.6
03/01/2014;20:00:00;8;4;23;46;12;67;0.4
03/01/2014;21:00:00;7;3;14;42;7;70;0.4
03/01/2014;22:00:00;7;3;9;129;6;68;0.4
03/01/2014;23:00:00;7;3;8;116;3;63;0.4
04/01/2014;00:00:00;7;3;7;72;1;59;0.4
04/01/2014;01:00:00;7;3;8;7;3;57;0.4
04/01/2014;02:00:00;7;3;6;80;1;60;0.4
04/01/2014;03:00:00;7;3;6;42;3;56;0.4
04/01/2014;04:00:00;7;4;17;165;8;47;0.4
04/01/2014;05:00:00;7;3;18;79;8;47;0.4
04/01/2014;06:00:00;7;5;23;5;8;43;0.4
04/01/2014;07:00:00;9;7;26;125;10;44;0.4
04/01/2014;08:00:00;8;5;16;147;10;59;0.4
04/01/2014;09:00:00;8;5;12;5;8;62;0.4
04/01/2014;10:00:00;7;4;9;105;3;65;0.4
